name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Leather Vest;1;1;0;0;0;1;1;-1;0;1;0;0;Gathering;2;Speed Gatherer;3;Whim;1;;;;;Bullfango Pelt;1;Iron Ore;1;;;;
Chainmail Vest;1;1;0;0;0;1;4;2;-2;0;1;1;Health;3;Hunger;1;Combo Rate;2;;;;;Iron Ore;2;Warm Pelt;1;;;;
Yukumo Dogi;1;-1;1;0;0;1;2;-1;1;0;0;0;Protection;2;Wide-Range;1;Sense;1;;;;;;;;;;;;
Loc Lac Shawl;1;1;1;0;0;1;5;2;1;0;-3;0;Dungmaster;3;Hunger;3;Transportr;2;;;;;Altaroth Stomach;1;Monster Fluid;3;Ice Crystal;3;;
Hunter's Mail;1;1;1;0;1;1;6;0;-3;0;1;0;Poison;-2;Psychic;1;Ranger;1;;;;;Iron Ore;2;Jaggi Scale;1;Monster Bone S;2;;
Hunter's Vest;1;1;1;0;2;1;3;1;-2;1;2;1;Poison;-2;Psychic;1;Ranger;1;;;;;Iron Ore;2;Jaggi Scale;1;Monster Bone S;2;;
Alloy Mail;1;3;1;0;1;1;6;-1;-2;0;1;-1;Expert;2;Wind Res;3;Sharpener;1;Gathering;-2;;;Machalite Ore;3;Pelagicite Ore;2;Iron Ore;2;;
Alloy Vest;1;3;1;0;2;1;3;0;-1;1;2;0;Reload Spd;1;Pellet Up;2;Pellet S+;2;Gathering;-2;;;Machalite Ore;3;Pelagicite Ore;2;Iron Ore;2;;
Bone Mail;1;2;1;0;1;1;7;1;-1;0;0;-2;Sleep;-2;KO;2;Maestro;1;Perception;1;;;Jumbo Bone;1;Mystery Bone;4;Sharpened Fang;2;;
Bone Vest;1;2;1;0;2;1;4;2;0;1;1;-1;Sleep;-2;KO;2;Maestro;1;Perception;1;;;Jumbo Bone;1;Mystery Bone;4;Sharpened Fang;2;;
Bnahabra Suit;1;3;0;0;1;2;9;-4;2;2;-1;-1;Paralysis;1;Attack;-2;Sheathing;2;Status;2;;;Bnahabra Shell;2;Bnahabra Wing;3;Monster Fluid;2;Killer Beetle;1
Bnahabra Vest;1;3;0;0;2;2;5;-3;3;3;0;0;Paralysis;1;Attack;-2;Sheathing;3;Status;1;;;Bnahabra Shell;2;Bnahabra Wing;3;Monster Fluid;2;Killer Beetle;1
Rhenoplos Mail;1;2;1;0;1;2;9;1;-1;1;-1;-1;Mud/Snow;2;KO;1;Ice Res;-2;Artillery;2;;;Rhenoplos Scalp;1;Rhenoplos Shell;2;Earth Crystal;2;;
Rhenoplos Vest;1;2;1;0;2;2;5;2;0;2;0;0;Mud/Snow;2;KO;1;Ice Res;-2;Artillery;1;;;Rhenoplos Scalp;1;Rhenoplos Shell;2;Earth Crystal;2;;
Jaggi Mail;1;2;0;0;1;2;10;-2;0;1;0;0;Stun;2;Attack;2;LastingPwr;-2;Gluttony;2;;;King's Frill;1;G.Jaggi Claw;2;Jaggi Hide;3;Iron Ore;3
Jaggi Vest;1;2;0;0;2;2;5;-1;1;2;1;1;Stun;2;Attack;2;LastingPwr;-2;Gluttony;2;;;King's Frill;1;G.Jaggi Claw;2;Jaggi Hide;3;Iron Ore;3
Arzuros Mail;1;2;1;0;1;2;11;-2;0;1;1;-1;Paralysis;-2;Defense;2;Rec Level;1;Anti-Theft;3;;;Arzuros Pelt;3;Arzuros Shell;1;Bnahabra Shell;2;Flashbug;3
Arzuros Vest;1;2;1;0;2;2;6;-1;1;2;2;0;Paralysis;-2;Defense;2;Rec Level;2;Anti-Theft;2;;;Arzuros Pelt;3;Arzuros Shell;1;Bnahabra Shell;2;Flashbug;3
Wroggi Mail;1;3;1;0;1;2;12;1;0;1;-1;-2;Poison;1;Stun;-2;Status;1;Sharpness;1;TeamPlayer;2;G.Wroggi Hide;2;G.Wroggi Brace;1;Poison Sac;3;Ice Crystal;5
Wroggi Vest;1;3;1;0;2;2;6;2;1;2;0;-1;Poison;2;Stun;-2;Status;1;Normal Up;2;TeamPlayer;2;G.Wroggi Hide;2;G.Wroggi Brace;1;Poison Sac;3;Ice Crystal;5
Qurupeco Mail;1;3;1;0;1;2;14;2;0;0;-1;-3;Wind Res;2;Maestro;2;Wide-Range;1;Eating;-2;;;Vivid Feather;1;Qurupeco Scale;2;Monster Bone M;2;Carpenterbug;3
Qurupeco Vest;1;3;1;0;2;2;7;3;1;1;0;-2;Wind Res;2;Pellet Up;2;Wide-Range;1;Eating;-2;;;Vivid Feather;1;Qurupeco Scale;2;Monster Bone M;2;Carpenterbug;3
Ludroth Mail;1;3;1;0;1;2;14;-3;-1;1;2;-1;Heat Res;2;Stamina;2;Water Atk;2;ThunderRes;-2;Oxygen;1;Spongy Hide;2;R.Ludroth Claw;1;Hydro Hide;3;Killer Beetle;2
Ludroth Vest;1;3;0;0;2;2;7;-2;0;2;3;0;Heat Res;2;Stamina;2;Water Atk;2;ThunderRes;-2;Oxygen;2;Spongy Hide;2;R.Ludroth Claw;1;Hydro Hide;3;Killer Beetle;2
Baggi Mail;1;4;1;0;1;2;15;-2;0;0;0;1;Sleep;2;Rec Speed;2;Fire Atk;-2;TeamLeader;2;;;King's Crest;1;G.Baggi Claw;1;Baggi Hide;2;Pelagicite Ore;2
Baggi Vest;1;4;1;0;2;2;8;-1;1;1;1;2;Sleep;2;Rec Speed;2;Fire Atk;-1;TeamLeader;2;;;King's Crest;1;G.Baggi Claw;1;Baggi Hide;2;Pelagicite Ore;2
Lagombi Mail;1;4;1;0;1;2;15;-2;-1;0;0;1;Heat Res;-2;Cold Res;2;Evade Dist;2;LastingPwr;2;;;Lagom Plastron;2;Lagombi Pelt;2;Baggi Scale;4;Killer Beetle;3
Lagombi Vest;1;4;1;0;2;2;8;-1;0;1;1;2;Heat Res;-2;Cold Res;2;Evade Dist;1;LastingPwr;3;;;Lagom Plastron;2;Lagombi Pelt;2;Baggi Scale;4;Killer Beetle;3
Barroth Mail;1;3;0;0;1;2;16;-4;1;0;4;-2;Attack;2;Defense;2;Guard;2;Hunger;-2;;;Barroth Scalp;1;Barroth Ridge;2;Fertile Mud;2;Killer Beetle;2
Barroth Vest;1;3;0;0;2;2;8;-3;2;1;5;-1;Attack;1;Defense;2;Precision;2;Hunger;-2;;;Barroth Scalp;1;Barroth Ridge;2;Fertile Mud;2;Killer Beetle;2
Volvidon Mail;2;5;1;0;1;2;16;1;0;1;-3;-1;Attack;2;Tremor Res;1;Cold Res;-2;Evasion;3;;;Volvidon Shell;3;Volvi Rickrack;1;Jumbo Bone;2;Uroktor Scale;4
