name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
レザーグラブ;1;1;1;0;0;1;1;-1;0;1;0;0;採取;2;高速収集;2;気まぐれ;1;;;;;暖かい毛皮;2;;;;;;
チェーングラブ;1;1;1;0;0;1;4;2;-2;0;1;1;体力;3;腹減り;2;調合成功率;1;;;;;鉄鉱石;1;砥石;2;;;;
ユクモノコテ;1;-1;1;0;0;1;2;-1;1;0;0;0;加護;2;気配;3;広域;1;;;;;※港店売り;1;;;;;;
ハンターアーム;1;1;1;0;1;1;6;0;-3;0;1;0;毒;-1;千里眼;1;狩人;3;;;;;大地の結晶;1;ジャギィの鱗;2;ツタの葉;1;;
ハンターガード;1;1;1;0;2;1;3;1;-2;1;2;1;毒;-1;千里眼;1;狩人;2;;;;;大地の結晶;1;ジャギィの鱗;2;ツタの葉;1;;
アロイアーム;1;1;0;0;1;1;6;-1;-2;0;1;-1;達人;2;風圧;1;研ぎ師;4;採取;-1;;;マカライト鉱石;2;大地の結晶;2;鉄鉱石;4;;
アロイガード;1;1;0;0;2;1;3;0;-1;1;2;0;装填速度;3;散弾強化;3;散弾追加;2;採取;-2;;;マカライト鉱石;2;大地の結晶;2;鉄鉱石;4;;
ボーンアーム;1;1;1;0;1;1;7;1;-1;0;0;-2;睡眠;-1;KO;3;笛;1;観察眼;4;;;竜骨【小】;3;なぞの骨;3;とがった牙;2;;
ボーンガード;1;1;0;0;2;1;4;2;0;1;1;-1;睡眠;-1;KO;3;笛;1;観察眼;4;;;竜骨【小】;3;なぞの骨;3;とがった牙;2;;
ブナハグローブ;1;3;0;0;1;2;9;-4;2;2;-1;-1;麻痺;1;攻撃;-2;納刀;3;特殊攻撃;2;;;飛甲虫の羽;3;飛甲虫の甲殻;2;飛甲虫の麻痺針;5;キラビートル;2
ブナハカフス;1;3;0;0;2;2;5;-3;3;3;0;0;麻痺;1;攻撃;-2;納刀;3;特殊攻撃;2;;;飛甲虫の羽;3;飛甲虫の甲殻;2;飛甲虫の麻痺針;5;キラビートル;2
リノプロアーム;1;2;1;0;1;2;9;1;-1;1;-1;-1;耐泥耐雪;1;KO;3;氷耐性;-2;砲術;2;;;草食竜の甲殻;2;竜骨【中】;4;氷結晶;2;;
リノプロガード;1;2;1;0;2;2;5;2;0;2;0;0;耐泥耐雪;1;KO;2;氷耐性;-2;砲術;3;;;草食竜の甲殻;2;竜骨【中】;4;氷結晶;2;;
ジャギィアーム;1;2;1;0;1;2;10;-2;0;1;0;0;気絶;1;攻撃;4;効果持続;-2;食いしん坊;1;;;狗竜の爪;2;狗竜の皮;3;ジャギィの鱗;2;大地の結晶;2
ジャギィガード;1;2;1;0;2;2;5;-1;1;2;1;1;気絶;1;攻撃;4;効果持続;-2;食いしん坊;1;;;狗竜の爪;2;狗竜の皮;3;ジャギィの鱗;2;大地の結晶;2
アシラアーム;1;2;1;0;1;2;11;-2;0;1;1;-1;麻痺;-2;防御;2;回復量;3;盗み無効;2;;;青熊獣の甲殻;2;青熊獣の腕甲;1;青熊獣の毛;2;甲虫の腹袋;2
アシラガード;1;2;1;0;2;2;6;-1;1;2;2;0;麻痺;-2;防御;3;回復量;1;盗み無効;2;;;青熊獣の甲殻;2;青熊獣の腕甲;1;青熊獣の毛;2;甲虫の腹袋;2
フロギィアーム;1;3;1;0;1;2;12;1;0;1;-1;-2;毒;2;気絶;-2;特殊攻撃;1;斬れ味;3;采配;1;毒狗竜の腕甲;2;毒狗竜の皮;2;フロギィの鱗;2;セッチャクロアリ;3
フロギィガード;1;3;1;0;2;2;6;2;1;2;0;-1;毒;2;気絶;-2;特殊攻撃;1;通常弾強化;3;采配;1;毒狗竜の腕甲;2;毒狗竜の皮;2;フロギィの鱗;2;セッチャクロアリ;3
ペッコアーム;1;3;1;0;1;2;14;2;0;0;-1;-3;風圧;3;笛;1;広域;2;食事;-2;;;火打石;1;彩鳥の羽根;2;彩鳥の鱗;2;雷光虫;2
ペッコガード;1;3;1;0;2;2;7;3;1;1;0;-2;風圧;3;散弾強化;1;広域;2;食事;-2;;;火打石;1;彩鳥の羽根;2;彩鳥の鱗;2;雷光虫;2
ルドロスアーム;1;3;1;0;1;2;14;-3;-1;1;2;-1;耐暑;2;スタミナ;1;水属性攻撃;3;雷耐性;-2;酸素;1;水獣の爪;1;水獣の鱗;2;海綿質の皮;2;水袋;2
ルドロスガード;1;3;1;0;2;2;7;-2;0;2;3;0;耐暑;2;スタミナ;1;水属性攻撃;3;雷耐性;-1;酸素;2;水獣の爪;1;水獣の鱗;2;海綿質の皮;2;水袋;2
バギィアーム;1;4;1;0;1;2;15;-2;0;0;0;1;睡眠;1;回復速度;1;火属性攻撃;-2;氷属性攻撃;2;号令;2;眠狗竜の爪;2;眠狗竜の皮;3;バギィの皮;2;アイシスメタル;2
バギィガード;1;4;1;0;2;2;8;-1;1;1;1;2;睡眠;1;回復速度;1;火属性攻撃;-2;氷属性攻撃;2;号令;2;眠狗竜の爪;2;眠狗竜の皮;3;バギィの皮;2;アイシスメタル;2
ウルクアーム;1;4;1;0;1;2;15;-2;-1;0;0;1;耐暑;-2;耐寒;3;回避距離;2;効果持続;1;;;白兎獣の氷爪;2;白兎獣の毛;2;白兎獣の腹甲;1;なめらかな皮;4
ウルクガード;1;4;1;0;2;2;8;-1;0;1;1;2;耐暑;-2;耐寒;2;回避距離;2;効果持続;1;;;白兎獣の氷爪;2;白兎獣の毛;2;白兎獣の腹甲;1;なめらかな皮;4
ボロスアーム;1;3;1;0;1;2;16;-4;1;0;4;-2;攻撃;3;防御;2;ガード性能;1;腹減り;-2;;;土砂竜の爪;2;土砂竜の甲殻;2;肥沃なドロ;2;草食竜の甲殻;3
ボロスガード;1;3;1;0;2;2;8;-3;2;1;5;-1;攻撃;3;防御;1;精密射撃;1;腹減り;-2;;;土砂竜の爪;2;土砂竜の甲殻;2;肥沃なドロ;2;草食竜の甲殻;3
ラングロアーム;2;5;2;0;1;2;16;1;0;1;-3;-1;攻撃;3;耐震;1;耐寒;-2;回避性能;2;;;赤甲獣の爪;2;赤甲獣の蛇腹甲;2;大きな骨;2;溶岩獣の鱗;4
ラングロガード;2;5;2;0;2;2;8;2;1;2;-2;0;攻撃;3;耐寒;-2;回避性能;1;通常弾強化;2;;;赤甲獣の爪;2;赤甲獣の蛇腹甲;2;大きな骨;2;溶岩獣の鱗;4
ガブルアーム;1;4;1;0;1;2;17;-2;-3;1;2;0;回復速度;-2;達人;4;食事;1;泳ぎ;1;;;灯魚竜のヒレ;1;灯魚竜の棘;2;灯魚竜の皮;3;麻痺袋;3
ガブルガード;1;4;1;0;2;2;9;-1;-2;2;3;1;回復速度;-2;達人;4;食事;1;泳ぎ;1;;;灯魚竜のヒレ;1;灯魚竜の棘;2;灯魚竜の皮;3;麻痺袋;3
レイアアーム;1;4;1;0;1;2;18;2;-2;-3;0;0;体力;1;回復速度;-2;火属性攻撃;3;回復量;2;;;火竜の翼爪;2;雌火竜の甲殻;2;雌火竜の棘;1;大地の結晶;5
レイアガード;1;4;1;0;2;2;9;3;-1;-2;1;1;体力;1;回復速度;-2;火属性攻撃;3;回復量;2;;;火竜の翼爪;2;雌火竜の甲殻;2;雌火竜の棘;1;大地の結晶;5
ネブラアーム;2;4;0;0;1;2;18;-4;1;-1;0;1;加護;-2;聴覚保護;3;特殊攻撃;2;研ぎ師;3;;;毒怪竜の皮;4;毒怪竜の爪;1;不気味な毒腺;3;竜骨【大】;3
ネブラガード;2;4;0;0;2;2;9;-3;2;0;1;2;加護;-2;聴覚保護;2;特殊攻撃;3;装填速度;2;;;毒怪竜の皮;4;毒怪竜の爪;1;不気味な毒腺;3;竜骨【大】;3
インゴットアーム;2;5;1;0;1;2;19;-2;2;0;-2;0;納刀;3;ガード強化;1;雷属性攻撃;2;気まぐれ;-2;;;ドラグライト鉱石;2;ライトクリスタル;2;紅蓮石;1;マカライト鉱石;5
インゴットガード;2;5;1;0;2;2;10;-1;3;1;-1;1;雷属性攻撃;2;反動;2;散弾強化;2;気まぐれ;-2;;;ドラグライト鉱石;2;ライトクリスタル;2;紅蓮石;1;マカライト鉱石;5
ベリオアーム;2;5;0;0;1;3;20;-4;-1;0;0;2;体術;2;気力回復;-2;回避性能;3;氷属性攻撃;3;;;氷牙竜の爪;1;氷牙竜の甲殻;3;氷結袋;4;なめらかな皮;6
ベリオガード;2;5;0;0;2;3;10;-3;0;1;1;3;体術;2;気力回復;-2;回避性能;3;氷属性攻撃;3;;;氷牙竜の爪;1;氷牙竜の甲殻;3;氷結袋;4;なめらかな皮;6
ハプルアーム;2;5;1;0;1;2;21;2;-2;1;0;-4;耐泥耐雪;1;納刀;3;腹減り;-2;食事;2;;;潜口竜の爪;2;潜口竜の甲殻;2;鮮やかな体液;4;甲虫の大顎;3
ハプルガード;2;5;1;0;2;2;11;3;-1;2;1;-3;耐泥耐雪;1;納刀;3;腹減り;-2;食事;2;;;潜口竜の爪;2;潜口竜の甲殻;2;鮮やかな体液;4;甲虫の大顎;3
ギルドバードアーム;2;5;1;1;1;3;21;0;0;0;0;0;体力;2;気配;-2;運気;3;千里眼;3;;;飛竜のコイン;2;海竜のコイン;3;牙獣のコイン;4;爆鎚竜の耐熱殻;2
ギルドバードカフス;2;5;1;1;2;3;11;1;1;1;1;1;体力;2;気配;-2;運気;2;千里眼;3;;;飛竜のコイン;2;海竜のコイン;3;牙獣のコイン;4;爆鎚竜の耐熱殻;2
スカラーグラブ;2;5;1;2;1;3;21;0;0;0;0;0;体力;2;気配;-2;運気;3;千里眼;3;;;飛竜のコイン;2;海竜のコイン;3;牙獣のコイン;4;爆鎚竜の耐熱殻;2
スカラーカフス;2;5;1;2;2;3;11;1;1;1;1;1;体力;2;気配;-2;運気;2;千里眼;3;;;飛竜のコイン;2;海竜のコイン;3;牙獣のコイン;4;爆鎚竜の耐熱殻;2
ラギアアーム;2;5;0;0;1;3;22;-4;2;-1;1;-1;溜め短縮;3;痛撃;3;特殊攻撃;-1;水流;1;;;海竜の爪;2;海竜の皮;2;海竜の鱗;4;アイシスメタル;2
ラギアガード;2;5;0;0;2;3;11;-3;3;0;2;0;痛撃;2;特殊攻撃;-1;通常弾強化;3;水流;1;;;海竜の爪;2;海竜の皮;2;海竜の鱗;4;アイシスメタル;2
レウスアーム;2;5;1;0;1;3;22;2;-2;-3;0;0;攻撃;5;火属性攻撃;2;研ぎ師;1;回復量;-2;;;火竜の尻尾;1;火竜の翼爪;1;火竜の骨髄;2;ドラグライト鉱石;3
レウスガード;2;5;1;0;2;3;11;3;-1;-2;1;1;攻撃;4;火属性攻撃;2;貫通弾強化;1;回復量;-2;;;火竜の尻尾;1;火竜の翼爪;1;火竜の骨髄;2;ドラグライト鉱石;3
ドボルアーム;2;5;1;0;1;3;24;-4;1;1;2;-2;攻撃;3;回復速度;2;達人;-2;逆境;1;;;尾槌竜の甲殻;4;尾槌竜の尾甲;2;尾槌竜の苔甲;4;草食竜の甲殻;3
ドボルガード;2;5;1;0;2;3;12;-3;2;2;3;-1;攻撃;3;回復速度;2;達人;-2;逆境;1;;;尾槌竜の甲殻;4;尾槌竜の尾甲;2;尾槌竜の苔甲;4;草食竜の甲殻;3
ディアブロアーム;2;5;1;0;1;3;24;2;0;0;0;-4;溜め短縮;3;達人;3;耐震;2;研ぎ師;-2;;;角竜の牙;3;角竜の骨髄;1;ねじれた角;2;草食竜の甲殻;3
ディアブロガード;2;5;1;0;2;3;12;3;1;1;1;-3;達人;3;耐震;2;精密射撃;-2;貫通弾強化;2;;;角竜の牙;3;角竜の骨髄;1;ねじれた角;2;草食竜の甲殻;3
ガンキンアーム;2;5;1;0;1;3;24;2;1;-2;-4;-1;防御;4;減気攻撃;3;爆弾強化;2;泳ぎ;-2;;;爆鎚竜の鱗;3;爆鎚竜の顎;1;溶岩塊;3;紅蓮石;1
ガンキンガード;2;5;1;0;2;3;12;3;2;-1;-3;0;防御;3;通常弾強化;3;爆弾強化;2;泳ぎ;-2;;;爆鎚竜の鱗;3;爆鎚竜の顎;1;溶岩塊;3;紅蓮石;1
アグナアーム;2;5;2;0;1;3;24;2;0;0;-4;-1;ガード性能;1;火属性攻撃;2;斬れ味;3;燃鱗;1;底力;-1;溶岩獣の鱗;8;竜骨【中】;4;溶岩塊;8;紅蓮石;1
アグナガード;2;5;1;0;2;3;12;3;1;1;-3;0;火属性攻撃;3;精密射撃;2;通常弾強化;3;燃鱗;1;底力;-1;溶岩獣の鱗;8;竜骨【中】;4;溶岩塊;8;紅蓮石;1
セレネアーム;-1;5;0;2;1;3;26;0;-2;-5;3;1;加護;-2;重撃;3;聴覚保護;1;水属性攻撃;2;;;大海龍の甲皮;2;大海龍の鱗;2;神秘の発光体;1;;
セレネガード;-1;5;0;2;2;3;13;1;-1;-4;4;2;加護;-2;重撃;3;聴覚保護;3;水属性攻撃;2;;;大海龍の甲皮;2;大海龍の鱗;2;神秘の発光体;1;;
ヘリオスアーム;-1;5;0;1;1;3;26;0;-2;-5;3;1;加護;-2;重撃;3;聴覚保護;1;水属性攻撃;2;;;大海龍の甲皮;2;大海龍の鱗;2;神秘の発光体;1;;
ヘリオスガード;-1;5;0;1;2;3;13;1;-1;-4;4;2;加護;-2;重撃;3;聴覚保護;3;水属性攻撃;2;;;大海龍の甲皮;2;大海龍の鱗;2;神秘の発光体;1;;
レザーＳアーム;3;6;1;0;1;4;16;-2;0;2;0;0;採取;2;高速収集;2;気まぐれ;2;;;;;上質な毛皮;2;暖かい毛皮;2;なめらかな皮;4;;
レザーＳガード;3;6;1;0;2;4;8;-1;1;3;1;1;採取;2;高速収集;1;気まぐれ;2;;;;;上質な毛皮;2;暖かい毛皮;2;なめらかな皮;4;;
ユクモノコテ・天;3;6;1;0;1;4;18;-1;2;0;0;0;加護;1;気配;3;研ぎ師;2;広域;1;;;王族カナブン;2;暖かい毛皮;3;丸鳥の羽;3;;
ユクモノコテ・地;3;6;2;0;2;4;9;0;3;1;1;1;加護;2;気配;1;精密射撃;1;広域;1;;;王族カナブン;2;暖かい毛皮;3;丸鳥の羽;3;;
チェーンＳアーム;3;6;1;0;1;4;22;2;-3;0;2;1;体力;4;調合成功率;2;調合数;3;;;;;カブレライト鉱石;2;アイシスメタル;2;大地の結晶;2;;
チェーンＳガード;3;6;1;0;2;4;11;3;-2;1;3;2;体力;4;調合成功率;2;調合数;2;;;;;カブレライト鉱石;2;アイシスメタル;2;大地の結晶;2;;
ハンターＳアーム;3;6;1;0;1;4;24;0;-4;0;2;0;毒;-2;千里眼;3;狩人;1;高速設置;3;;;デプスライト鉱石;2;ジャギィの上鱗;2;大地の結晶;2;竜骨【大】;2
ハンターＳガード;3;6;1;0;2;4;12;1;-3;1;3;1;毒;-2;千里眼;3;狩人;2;高速設置;3;;;デプスライト鉱石;2;ジャギィの上鱗;2;大地の結晶;2;竜骨【大】;2
ボーンＳアーム;3;6;1;0;1;4;26;2;-1;0;0;-3;睡眠;-2;KO;2;笛;3;効果持続;2;観察眼;1;上質な鳥竜骨;2;竜骨【大】;1;とがった牙;5;;
ボーンＳガード;3;6;1;0;2;4;13;3;0;1;1;-2;睡眠;-2;KO;2;笛;3;効果持続;2;観察眼;1;上質な鳥竜骨;2;竜骨【大】;1;とがった牙;5;;
アロイＳアーム;3;6;1;0;1;4;28;-1;-3;0;2;-2;達人;2;風圧;1;研ぎ師;3;採取;-2;;;デプスライト鉱石;2;カブレライト鉱石;3;マカライト鉱石;7;大地の結晶;7
アロイＳガード;3;6;1;0;2;4;14;0;-2;1;3;-1;装填速度;3;散弾強化;2;散弾追加;1;採取;-3;;;デプスライト鉱石;2;カブレライト鉱石;3;マカライト鉱石;7;大地の結晶;7
ブナハＳグローブ;3;6;0;0;1;4;32;-5;2;3;-1;-1;麻痺;2;攻撃;-2;納刀;3;特殊攻撃;3;;;飛甲虫の堅殻;2;飛甲虫の羽;-2;上質な腹袋;2;モンスターの体液;3
ブナハＳカフス;3;6;0;0;2;4;16;-4;3;4;0;0;麻痺;2;攻撃;-2;納刀;4;特殊攻撃;2;;;飛甲虫の堅殻;2;飛甲虫の羽;-2;上質な腹袋;2;モンスターの体液;3
リノプロＳアーム;3;6;1;0;1;4;32;2;-1;1;-1;-1;気絶;-1;耐泥耐雪;3;溜め短縮;2;KO;2;砲術;3;草食竜の堅殻;3;竜骨【中】;4;氷結晶;3;;
リノプロＳガード;3;6;2;0;2;4;16;3;0;2;0;0;気絶;-1;耐泥耐雪;1;溜め短縮;3;KO;2;砲術;2;草食竜の堅殻;3;竜骨【中】;4;氷結晶;3;;
撫子【蕾袖】;4;7;1;2;1;5;35;0;0;0;0;0;毒;-2;広域;3;観察眼;4;千里眼;3;;;落陽草の花;1;ユニオン鉱石;3;高級お食事券;1;イチノタチウオ;3
桔梗【蕾袖】;4;7;1;2;2;5;18;1;1;1;1;1;毒;-2;広域;3;観察眼;4;千里眼;3;;;落陽草の花;1;ユニオン鉱石;3;高級お食事券;1;イチノタチウオ;3
ジャギィＳアーム;3;6;1;0;1;4;36;-4;0;2;0;0;気絶;3;攻撃;4;効果持続;-2;食いしん坊;2;;;狗竜の尖爪;4;王者のエリマキ;1;鳥竜玉;1;シーブライト鉱石;2
ジャギィＳガード;3;6;1;0;2;4;18;-3;1;3;1;1;気絶;4;攻撃;3;効果持続;-2;食いしん坊;2;;;狗竜の尖爪;4;王者のエリマキ;1;鳥竜玉;1;シーブライト鉱石;2
アシラＳアーム;3;6;2;0;1;4;37;-3;0;2;2;-2;麻痺;-2;防御;2;減気攻撃;2;回復量;2;盗み無効;2;青熊獣の堅殻;3;青熊獣の堅腕甲;3;青熊獣の毛;3;上質な腹袋;2
アシラＳガード;3;6;2;0;2;4;19;-2;1;3;3;-1;麻痺;-2;防御;1;減気攻撃;2;回復量;2;盗み無効;3;青熊獣の堅殻;3;青熊獣の堅腕甲;3;青熊獣の毛;3;上質な腹袋;2
フロギィＳアーム;3;6;2;0;1;4;38;2;0;2;-2;-3;毒;2;防御;-2;斬れ味;2;食事;1;采配;1;毒狗竜の堅腕甲;3;毒狗竜の上皮;3;猛毒袋;4;デプスライト鉱石;1
フロギィＳガード;3;6;2;0;2;4;19;3;1;3;-1;-2;毒;2;防御;-2;通常弾強化;2;食事;1;采配;1;毒狗竜の堅腕甲;3;毒狗竜の上皮;3;猛毒袋;4;デプスライト鉱石;1
バギィＳアーム;4;7;1;0;1;4;40;-4;0;1;0;2;睡眠;2;回復速度;1;火属性攻撃;-2;氷属性攻撃;3;号令;3;眠狗竜の尖爪;3;眠狗竜の上皮;3;昏睡袋;4;アイシスメタル;4
バギィＳガード;4;7;1;0;2;4;20;-3;1;2;1;3;睡眠;2;回復速度;1;火属性攻撃;-2;氷属性攻撃;3;号令;3;眠狗竜の尖爪;3;眠狗竜の上皮;3;昏睡袋;4;アイシスメタル;4
ウルクＳアーム;4;7;1;0;1;4;40;-3;-1;0;0;2;達人;2;耐暑;-2;耐寒;3;回避距離;2;効果持続;1;白兎獣の凍爪;2;白兎獣の毛;3;白兎獣の堅腹甲;3;王族カナブン;2
ウルクＳガード;4;7;1;0;2;4;20;-2;0;1;1;3;達人;3;耐暑;-2;耐寒;2;回避距離;2;効果持続;1;白兎獣の凍爪;2;白兎獣の毛;3;白兎獣の堅腹甲;3;王族カナブン;2
ペッコＳアーム;3;6;1;0;1;5;41;3;0;0;-1;-4;氷耐性;-2;笛;3;広域;4;千里眼;1;;;彩鳥の上鱗;3;火打石;1;彩鳥の羽根;4;王族カナブン;2
ペッコＳガード;3;6;1;0;2;5;21;4;1;1;0;-3;氷耐性;-2;散弾強化;3;広域;4;千里眼;1;;;彩鳥の上鱗;3;火打石;1;彩鳥の羽根;4;王族カナブン;2
ペッコＵアーム;3;6;1;0;1;6;41;-1;3;0;0;-4;対防御DOWN;1;達人;3;風圧;4;氷属性攻撃;-2;;;電気石;3;紅彩鳥の上鱗;3;極彩色の羽根;2;ドスヘラクレス;3
ペッコＵガード;3;6;1;0;2;6;21;0;4;1;1;-3;対防御DOWN;2;達人;3;風圧;3;氷属性攻撃;-2;;;電気石;3;紅彩鳥の上鱗;3;極彩色の羽根;2;ドスヘラクレス;3
ルドロスＳアーム;3;6;1;0;1;5;42;-4;-1;1;3;-1;聴覚保護;1;スタミナ;1;水属性攻撃;3;雷属性攻撃;-2;酸素;2;水獣の鋭爪;3;水獣の上鱗;4;海綿質の上皮;2;ドスヘラクレス;5
ルドロスＳガード;3;6;1;0;2;5;21;-3;0;2;4;0;聴覚保護;1;スタミナ;1;水属性攻撃;3;雷属性攻撃;-2;酸素;2;水獣の鋭爪;3;水獣の上鱗;4;海綿質の上皮;2;ドスヘラクレス;5
ルドロスＵアーム;3;6;0;0;1;6;42;-4;-2;1;3;0;スタミナ;3;特殊攻撃;3;雷耐性;-2;腹減り;3;;;紫水獣の鋭爪;4;海綿質の紫皮;2;紫水獣の上鱗;2;大水袋;2
ルドロスＵガード;3;6;0;0;2;6;21;-3;-1;2;4;1;スタミナ;3;特殊攻撃;4;雷耐性;-2;腹減り;2;;;紫水獣の鋭爪;4;海綿質の紫皮;2;紫水獣の上鱗;2;大水袋;2
ラングロＳアーム;3;7;1;0;1;4;44;2;0;1;-4;-1;攻撃;3;耐震;2;耐寒;-2;回避性能;2;;;赤甲獣の尖爪;3;強力麻痺袋;6;堅牢な骨;3;ドラグライト鉱石;5
ラングロＳガード;3;7;1;0;2;4;22;3;1;2;-3;0;攻撃;3;耐震;2;耐寒;-2;回避性能;2;;;赤甲獣の尖爪;3;強力麻痺袋;6;堅牢な骨;3;ドラグライト鉱石;5
ロワーガマーノ;4;7;1;1;1;5;46;-4;3;1;0;-1;抗菌;1;加護;-2;聴覚保護;3;龍属性攻撃;4;;;マレコガネ;3;オオクワアゲハ;1;アルビノエキス;5;にが虫;10
ロワーガブラッソ;4;7;1;1;2;5;23;-3;4;2;1;0;抗菌;1;加護;-2;聴覚保護;3;龍属性攻撃;4;;;マレコガネ;3;オオクワアゲハ;1;アルビノエキス;5;にが虫;10
ファルメルマーノ;4;7;1;2;1;5;46;-4;3;1;0;-1;抗菌;1;加護;-2;聴覚保護;3;龍属性攻撃;4;;;マレコガネ;3;オオクワアゲハ;1;アルビノエキス;5;にが虫;10
ファルメルブラッソ;4;7;1;2;2;5;12;-3;4;2;1;0;抗菌;1;加護;-2;聴覚保護;3;龍属性攻撃;4;;;マレコガネ;3;オオクワアゲハ;1;アルビノエキス;5;にが虫;10
アーティアアーム;4;7;1;0;1;5;46;0;-3;3;-3;2;気力回復;4;ガード強化;3;;;;;;;細い太古の破片;3;さびた破片;5;ユニオン鉱石;3;ドラグライト鉱石;9
アーティアガード;4;7;1;0;2;5;23;1;-2;4;-2;3;反動;3;精密射撃;6;;;;;;;細い太古の破片;3;さびた破片;5;ユニオン鉱石;3;ドラグライト鉱石;9
ボロスＳアーム;3;6;2;0;1;5;46;-4;1;0;4;-2;攻撃;4;防御;1;ガード性能;1;腹減り;-2;;;土砂竜の鋭爪;4;土砂竜の堅殻;2;上竜骨;2;ジャギィの鱗;4
ボロスＳガード;3;6;2;0;2;5;23;-3;2;1;5;-1;攻撃;4;防御;1;精密射撃;1;腹減り;-2;;;土砂竜の鋭爪;4;土砂竜の堅殻;2;上竜骨;2;ジャギィの鱗;4
ボロスＵアーム;4;7;3;0;1;6;48;-4;-2;0;1;3;防御;1;火属性攻撃;-2;氷属性攻撃;2;底力;2;;;氷砕竜の鋭爪;4;氷砕竜の堅殻;2;上竜骨;2;眠狗竜の上皮;3
ボロスＵガード;4;7;3;0;2;6;24;-3;-1;1;2;4;防御;1;火属性攻撃;-2;氷属性攻撃;2;底力;1;;;氷砕竜の鋭爪;4;氷砕竜の堅殻;2;上竜骨;2;眠狗竜の上皮;3
ガブルＳアーム;3;7;1;0;1;5;47;-2;-4;1;3;0;回復速度;-2;達人;5;食事;2;泳ぎ;1;;;灯魚竜の上皮;4;灯魚竜の上棘;2;灯魚竜の棘;3;竜骨【中】;5
ガブルＳガード;3;7;1;0;2;5;24;-1;-3;2;4;1;回復速度;-2;達人;5;食事;2;泳ぎ;1;;;灯魚竜の上皮;4;灯魚竜の上棘;2;灯魚竜の棘;3;竜骨【中】;5
マギュルラーマ;3;6;1;0;1;5;48;-4;0;0;1;2;回復速度;3;溜め短縮;3;ガード性能;-2;調合成功率;1;高速設置;3;王族カナブン;4;ペピポパンプキン;5;モンスターの濃汁;3;トウガラシ;15
マギュルアスト;3;6;1;0;2;5;24;-3;1;1;2;3;回復速度;2;溜め短縮;3;精密射撃;-2;調合成功率;1;高速設置;3;王族カナブン;4;ペピポパンプキン;5;モンスターの濃汁;3;トウガラシ;15
ギルドバードＳアーム;3;-1;1;1;1;5;48;0;0;0;0;0;体力;2;気配;-2;運気;2;千里眼;3;;;闘技王のコイン;2;牙獣のコイン;3;海竜のコイン;2;勇気の証;2
ギルドバードＳカフス;3;-1;1;1;2;5;24;1;1;1;1;1;体力;2;気配;-3;運気;1;千里眼;4;;;闘技王のコイン;2;牙獣のコイン;3;海竜のコイン;2;勇気の証;2
スカラーＳグラブ;3;-1;1;2;1;5;48;0;0;0;0;0;体力;2;気配;-2;運気;2;千里眼;3;;;闘技王のコイン;2;牙獣のコイン;3;海竜のコイン;2;勇気の証;2
スカラーＳカフス;3;-1;1;2;2;5;24;1;1;1;1;1;体力;2;気配;-3;運気;1;千里眼;4;;;闘技王のコイン;2;牙獣のコイン;3;海竜のコイン;2;勇気の証;2
インゴットＳアーム;4;7;2;0;1;5;48;-2;3;1;-3;0;納刀;4;ガード強化;1;雷属性攻撃;1;気まぐれ;-2;;;ユニオン鉱石;2;グラシスメタル;3;デプスライト鉱石;2;溶岩塊;2
インゴットＳガード;4;7;2;0;2;5;24;-1;4;2;-2;1;雷属性攻撃;2;反動;1;散弾強化;2;気まぐれ;-2;;;ユニオン鉱石;2;グラシスメタル;3;デプスライト鉱石;2;溶岩塊;2
レイアＳアーム;3;6;1;0;1;5;49;3;-2;-4;0;0;体力;3;火属性攻撃;4;水属性攻撃;-2;回復量;1;;;雌火竜の堅殻;4;火竜の翼爪;3;雌火竜の棘;2;紅蓮石;3
レイアＳガード;3;6;1;0;2;5;25;4;-1;-3;1;1;体力;3;火属性攻撃;4;水属性攻撃;-2;回復量;1;;;雌火竜の堅殻;4;火竜の翼爪;3;雌火竜の棘;2;紅蓮石;3
