name;hr;village;slots;skill_one;skill_one_points;skill_two;skill_two_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four;alt_material_one;alt_amount_one;alt_material_two;alt_amount_two;alt_material_three;alt_amount_three;alt_material_four;alt_amount_four
Antidote Jewel 1;1;3;1;Poison;1;Stun;-1;Aquaglow Jewel;1;Wroggi Hide;2;;;;;;;;;;;;
Antidote Jewel 2;1;3;2;Poison;3;Stun;-1;Aquaglow Jewel;1;G.Wroggi Brace;2;Screamer;2;;;Bloodrun Jewel;1;Toxin Sac;1;;;;
Paralysis Jwl 1;1;1;1;Paralysis;1;Poison;-1;Aquaglow Jewel;1;Bnahabra Shell;2;;;;;;;;;;;;
Paralysis Jwl 2;2;5;2;Paralysis;3;Poison;-1;Sunspire Jewel;1;Volvidon Claw;2;Monster Fluid;2;;;Bloodrun Jewel;1;Omniplegia Sac;1;;;;
Pep Jewel 1;1;4;1;Sleep;1;Mud/Snow;-1;Aquaglow Jewel;1;Baggi Hide;2;;;;;;;;;;;;
Pep Jewel 2;1;4;2;Sleep;3;Mud/Snow;-1;Sunspire Jewel;1;King's Crest;1;Warm Pelt;2;;;Bloodrun Jewel;1;Coma Sac;1;;;;
Steadfast Jwl 1;1;1;1;Stun;1;Paralysis;-1;Aquaglow Jewel;1;Bird Wyvern Fang;3;;;;;;;;;;;;
Standfast Jwl 1;1;2;1;Stun;2;;;Aquaglow Jewel;1;King's Frill;1;Arzuros Pelt;2;;;Bloodrun Jewel;1;G.Jaggi Hide+;2;;;;
Tracker Jewel 1;1;2;1;Mud/Snow;1;Sleep;-1;Aquaglow Jewel;1;Rhenoplos Shell;2;;;;;;;;;;;;
Trekker Jewel 1;2;5;1;Mud/Snow;2;;;Sunspire Jewel;1;Volvi Rickrack;1;Pelagicite Ore;2;;;;;;;;;;
Sterile Jewel 1;1;1;1;Antiseptic;1;Sense;-1;Aquaglow Jewel;1;Hydro Hide;2;;;;;;;;;;;;
Aseptic Jewel 1;1;3;1;Antiseptic;2;;;Aquaglow Jewel;1;Spongy Hide;1;Earth Crystal;2;;;;;;;;;;
Def Lock Jewel 1;1;1;1;Def Lock;2;;;Aquaglow Jewel;1;Adamant Seed;2;Catalyst;2;;;;;;;;;;
Dungmaster Jwl 1;1;1;1;Dungmaster;2;;;Aquaglow Jewel;1;Dung Bomb;2;;;;;;;;;;;;
Biology Jewel 1;6;-1;1;Biology;1;Sense;-1;Adamant Orb;1;Volvidon Talon;2;;;;;;;;;;;;
Microbio Jewel 1;7;-1;1;Biology;2;;;Adamant Orb;1;Volvidon Talon;1;Brach Ebonshell+;1;;;;;;;;;;
Attack Jewel 1;1;1;1;Attack;1;Defense;-1;Aquaglow Jewel;1;Jaggi Scale;2;Might Seed;1;;;;;;;;;;
Attack Jewel 2;1;4;2;Attack;3;Defense;-1;Sunspire Jewel;1;Rath Talon;2;Demondrug;1;;;;;;;;;;
Attack Jewel 3;4;8;3;Attack;5;Defense;-1;Bloodrun Jewel;1;Barioth Claw+;1;Mega Demondrug;2;;;;;;;;;;
Defense Jewel 1;1;2;1;Defense;1;Attack;-1;Aquaglow Jewel;1;Arzuros Shell;1;Adamant Seed;2;;;;;;;;;;
Defense Jewel 2;2;5;2;Defense;3;Attack;-1;Sunspire Jewel;1;Uragaan Shell;2;Armorskin;2;;;Bloodrun Jewel;1;Arzuros Brace+;1;Mega Armorskin;2;;
Vitality Jewel 1;1;1;1;Health;2;;;Aquaglow Jewel;1;Dragon Toadstool;2;;;;;;;;;;;;
Recovery Jewel 1;1;1;1;Rec Speed;1;Eating;-1;Aquaglow Jewel;1;Jaggi Hide;2;;;;;;;;;;;;
Recovery Jewel 2;2;4;2;Rec Speed;3;Eating;-1;Sunspire Jewel;1;Gigginox Hide;1;Pale Extract;2;;;Bloodrun Jewel;1;G.Baggi Hide+;2;;;;
Protection Jwl 1;1;4;1;Protection;1;;;Sunspire Jewel;1;Rathian Shell;2;;;;;;;;;;;;
Asylum Jewel 1;4;7;1;Protection;2;;;Lazurite Jewel;1;P.Rath Carapace;2;Commendation;1;;;;;;;;;;
Sheath Jewel 1;1;3;1;Sheathing;1;Sharpener;-1;Aquaglow Jewel;1;Humspun Conch;1;Altaroth Stomach;1;;;Bloodrun Jewel;1;Jaggi Scale+;1;Pinnacle Coin;1;;
Sheath Jewel 2;4;8;2;Sheathing;3;Sharpener;-1;Bloodrun Jewel;1;Diablos Carapace;1;Quality Sac;2;;;;;;;;;;
Charger Jewel 1;2;5;1;FastCharge;1;Constitutn;-1;Sunspire Jewel;1;Nibelsnarf Claw;1;Barroth Ridge;2;;;Bloodrun Jewel;1;Diablos Carapace;2;;;;
Charger Jewel 3;5;9;3;FastCharge;4;Constitutn;-2;Lazurite Jewel;1;Mohran Carapace;1;S.Bari Carapace;2;;;;;;;;;;
Expert Jewel 1;1;1;1;Expert;1;Dragon Res;-1;Aquaglow Jewel;1;Sharpened Fang;2;Iron Ore;1;;;;;;;;;;
Expert Jewel 2;2;5;2;Expert;3;Dragon Res;-1;Sunspire Jewel;1;Rathalos Tail;1;G.Baggi Claw;2;;;Bloodrun Jewel;1;R.Ludroth Scale+;2;;;;
Expert Jewel 3;5;10;3;Expert;5;Dragon Res;-1;Lazurite Jewel;1;I.Lagi Hide+;1;Nibel Carapace;2;;;;;;;;;;
Tenderizer Jwl 1;2;5;1;Tenderizer;1;Health;-1;Sunspire Jewel;1;Rathalos Webbing;1;Rathian Spike;1;;;Bloodrun Jewel;1;Rathalos Scale+;2;;;;
Tenderizer Jwl 3;5;10;3;Tenderizer;4;Health;-2;Lazurite Jewel;1;Deviljho Fang;1;Rathalos Ruby;1;;;;;;;;;;
Destroyer Jwl 1;2;5;1;Destroyer;1;Expert;-1;Sunspire Jewel;1;Duramboros Hump;1;Duramboros Shell;2;;;Bloodrun Jewel;1;Hard Mossplate;2;;;;
Destroyer Jwl 3;5;7;3;Destroyer;4;Expert;-2;Lazurite Jewel;1;Mohran Brace+;1;Rathian Ruby;1;;;;;;;;;;
KO Jewel 1;2;5;1;KO;1;FastCharge;-1;Sunspire Jewel;1;Monster Bone+;2;Rhenoplos Scalp;1;;;;;;;;;;
KO Jewel 2;2;5;2;KO;3;FastCharge;-1;Sunspire Jewel;1;Diablos Ridge;2;Blossom Cricket;2;;;Bloodrun Jewel;1;Stoutbone;2;;;;
Drain Jewel 1;1;3;1;Stam Drain;1;Stamina;-1;Aquaglow Jewel;1;Barroth Claw;1;Monster Bone M;1;;;;;;;;;;
Drain Jewel 2;5;-1;2;Stam Drain;3;Stamina;-1;Lazurite Jewel;1;Narga Tailspike;2;Piscine Coin;1;;;Adamant Orb;1;Barroth Talon;1;;;;
Physique Jewel 1;1;3;1;Constitutn;1;Stamina;-1;Aquaglow Jewel;1;King's Beak;1;Wroggi Scale;2;;;Bloodrun Jewel;1;Barioth Pelt+;2;;;;
Physique Jewel 2;5;8;2;Constitutn;3;Stamina;-1;Lazurite Jewel;1;Agnaktor Fin+;1;G.Wroggi Hide+;2;;;;;;;;;;
Earplug Jewel 1;1;4;1;Hearing;1;Protection;-1;Sunspire Jewel;1;Rathian Webbing;1;Lagombi Ear;2;;;Bloodrun Jewel;1;Fearsome Maw;2;;;;
Earplug Jewel 3;4;9;3;Hearing;4;Protection;-2;Lazurite Jewel;1;Zinogre Carapace;2;Uncanny Hide+;2;;;;;;;;;;
Wind Res Jewel 1;2;5;1;Wind Res;1;Fate;-1;Sunspire Jewel;1;Diablos Shell;1;Dragonite Ore;2;;;;;;;;;;
Wind Res Jewel 2;5;9;2;Wind Res;3;Fate;-1;Bloodrun Jewel;1;Indigo Tusks+;1;Carbalite Ore;3;;;;;;;;;;
Footing Jewel 1;1;3;1;Tremor Res;1;Sleep;-1;Aquaglow Jewel;1;Fertile Mud;1;;;;;;;;;;;;
Tectonic Jewel 1;2;5;1;Tremor Res;2;;;Sunspire Jewel;1;Nibelsnarf Scalp;1;Carpenterbug;2;;;;;;;;;;
Heat Res Jewel 1;1;1;1;Heat Res;2;;;Aquaglow Jewel;1;Ice Crystal;3;;;;;;;;;;;;
Cold Res Jewel 1;1;4;1;Cold Res;2;;;Aquaglow Jewel;1;Baggi Scale;2;;;;;;;;;;;;
Sprinter Jewel 1;1;3;1;Stamina;1;Hunger;-1;Aquaglow Jewel;1;R.Ludroth Claw;1;Mega Dash Juice;2;;;Bloodrun Jewel;1;Plum Spongy Hide;2;;;;
Sprinter Jewel 3;4;8;3;Stamina;4;Hunger;-2;Lazurite Jewel;1;Brach Carapace;1;Spongy Hide+;2;;;;;;;;;;
Refresh Jewel 1;1;4;1;Stam Recov;1;Evasion;-1;Sunspire Jewel;1;Rathian Scale;1;Monster Bone M;2;;;Bloodrun Jewel;1;Rheno Carapace;2;Pinnacle Coin;1;;
Refresh Jewel 2;5;9;2;Stam Recov;3;Evasion;-1;Bloodrun Jewel;1;Nargacuga Fang+;1;Monster Keenbone;2;;;;;;;;;;
Evasion Jewel 1;1;4;1;Evasion;1;Health;-1;Sunspire Jewel;1;Lagom Plastron;2;Killer Beetle;2;;;Bloodrun Jewel;1;Narga Razor;1;;;;
Evasion Jewel 2;5;9;2;Evasion;3;Health;-1;Lazurite Jewel;1;S.Barioth Pelt+;2;Lagombi Pelt+;2;;;;;;;;;;
Jumping Jewel 1;5;9;1;Evade Dist;1;Health;-1;Bloodrun Jewel;1;Nargacuga Pelt+;2;Bnahabra Wing;2;;;Adamant Orb;1;Barioth Cortex;1;;;;
Slider Jewel 1;6;-1;1;Dive Dist;1;Constitutn;-1;Adamant Orb;1;Lagombi Auricle;2;;;;;;;;;;;;
Glider Jewel 1;7;-1;1;Dive Dist;2;;;Adamant Orb;1;Crushing Fang;2;Narga Razor+;1;;;;;;;;;;
Ninja Jewel 1;1;1;1;Sense;2;;;Aquaglow Jewel;1;Smoke Bomb;1;;;;;;;;;;;;
Ironwall Jewel 1;1;3;1;Guard;1;Constitutn;-1;Aquaglow Jewel;1;Barroth Shell;2;;;;;;;;;;;;
Ironwall Jewel 2;2;5;2;Guard;3;Constitutn;-1;Sunspire Jewel;1;Agnaktor Beak;1;Agnaktor Shell;3;;;Bloodrun Jewel;1;G.Agnak Fin+;2;;;;
Shield Jewel 1;2;5;1;Guard Boost;1;Stamina;-1;Sunspire Jewel;1;Firestone;2;;;;;;;;;;;;
Shield Jewel 2;5;9;2;Guard Boost;3;Stamina;-1;Bloodrun Jewel;1;G.Agnak Carapace;1;Firecell Stone;3;;;;;;;;;;
Disabler Jewel 1;1;4;1;Status;1;Elemental;-1;Sunspire Jewel;1;Bnahabra Wing;3;Bnahabra Spine;2;;;Bloodrun Jewel;1;Bnaha Carapace;2;Quality Fin;2;;
Disabler Jewel 2;4;7;2;Status;3;Elemental;-1;Bloodrun Jewel;1;Gigginox Claw+;1;Monster Broth;2;;;;;;;;;;
Blaze Jewel 1;1;4;1;Fire Atk;1;Water Atk;-1;Sunspire Jewel;1;Rathian Scale;2;;;;;;;;;;;;
Blaze Jewel 2;6;-1;2;Fire Atk;3;Water Atk;-1;Adamant Orb;1;Conflagrant Sac;1;Volvidon Cortex;2;;;;;;;;;;
Stream Jewel 1;1;3;1;Water Atk;1;ThunderAtk;-1;Aquaglow Jewel;1;R.Ludroth Crest;1;;;;;;;;;;;;
Stream Jewel 2;6;-1;2;Water Atk;3;ThunderAtk;-1;Adamant Orb;1;Gobul Kingwhiskr;1;Plesioth Fang+;2;;;;;;;;;;
Bolt Jewel 1;2;4;1;ThunderAtk;1;Ice Atk;-1;Sunspire Jewel;1;Gigginox Claw;1;Thunderbug;2;;;;;;;;;;
Bolt Jewel 2;7;-1;2;ThunderAtk;3;Ice Atk;-1;Adamant Orb;1;Lightning Sac;1;Lagiacrus Talon;2;;;;;;;;;;
Frost Jewel 1;1;4;1;Ice Atk;1;Fire Atk;-1;Sunspire Jewel;1;G.Baggi Hide;2;;;;;;;;;;;;
Frost Jewel 2;6;-1;2;Ice Atk;3;Fire Atk;-1;Adamant Orb;1;J.Barroth Lash;1;Lagombi Fur;2;;;;;;;;;;
Dragon Jewel 1;2;5;1;Dragon Atk;1;Status;-1;Sunspire Jewel;1;Barioth Claw;2;Dragonfell Berry;2;;;;;;;;;;
Dragon Jewel 2;7;-1;2;Dragon Atk;3;Status;-1;Adamant Orb;1;Dracophage Bug;2;S.Zin Dragonhair;2;;;;;;;;;;
