name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
レザーヘッド;1;1;1;0;0;1;1;-1;0;1;0;0;採取;1;高速収集;2;気まぐれ;2;;;;;暖かい毛皮;1;鉄鉱石;1;;;;
モガピスカノーズ;1;1;0;0;0;1;3;-2;-3;0;3;2;酸素;10;水流;1;;;;;;;ケルビの角;2;イキツギ藻;2;なぞの骨;2;;
チェーンヘッド;1;1;1;0;0;1;4;2;-2;0;1;1;体力;1;腹減り;1;調合成功率;4;;;;;大地の結晶;1;鉄鉱石;1;;;;
ユクモノカサ;1;-1;0;0;0;1;2;-1;1;0;0;0;加護;2;気配;2;広域;3;;;;;※港店売り;1;;;;;;
ハンターヘルム;1;1;1;0;0;1;6;0;-3;0;1;0;毒;-2;千里眼;2;狩人;2;;;;;マカライト鉱石;1;鉄鉱石;1;セッチャクロアリ;2;;
ハンターキャップ;1;1;1;0;0;1;3;1;-2;1;2;1;毒;-2;千里眼;4;狩人;3;;;;;マカライト鉱石;1;鉄鉱石;1;セッチャクロアリ;2;;
アロイヘルム;1;1;1;0;0;1;6;-1;-2;0;1;-1;達人;3;風圧;2;研ぎ師;2;採取;-2;;;マカライト鉱石;3;大地の結晶;2;鉄鉱石;3;;
アロイキャップ;1;1;1;0;0;1;3;0;-1;1;2;0;装填速度;2;散弾強化;2;散弾追加;2;採取;-1;;;マカライト鉱石;3;大地の結晶;2;鉄鉱石;3;;
ボーンヘルム;1;1;0;0;0;1;7;1;-1;0;0;-2;睡眠;-2;KO;1;笛;1;観察眼;2;;;大きなヒレ;3;なぞの頭骨;1;とがった牙;2;;
ボーンキャップ;1;1;1;0;0;1;4;2;0;1;1;-1;睡眠;-2;KO;1;笛;2;観察眼;2;;;大きなヒレ;3;なぞの頭骨;1;とがった牙;2;;
ブナハハット;1;3;0;0;0;2;9;-4;2;2;-1;-1;麻痺;2;攻撃;-2;納刀;1;特殊攻撃;2;;;飛甲虫の甲殻;2;飛甲虫の羽;3;キラビートル;1;セッチャクロアリ;2
ブナハキャップ;1;3;0;0;0;2;5;-3;3;3;0;0;麻痺;2;攻撃;-2;納刀;2;特殊攻撃;3;;;飛甲虫の甲殻;2;飛甲虫の羽;3;キラビートル;1;セッチャクロアリ;2
リノプロヘルム;1;2;1;0;0;2;9;1;-1;1;-1;-1;耐泥耐雪;1;KO;1;氷耐性;-2;砲術;1;;;草食竜の頭殻;1;草食竜の甲殻;2;氷結晶;2;;
リノプロキャップ;1;2;1;0;0;2;5;2;0;2;0;0;耐泥耐雪;2;KO;2;氷耐性;-2;砲術;1;;;草食竜の頭殻;1;草食竜の甲殻;2;氷結晶;2;;
ジャギィヘルム;1;2;1;0;0;2;10;-2;0;1;0;0;気絶;1;攻撃;1;効果持続;-2;食いしん坊;2;;;狗竜の皮;3;狗竜の爪;1;ジャギィの鱗;2;鉄鉱石;3
ジャギィキャップ;1;2;1;0;0;2;5;-1;1;2;1;1;気絶;2;攻撃;2;効果持続;-2;食いしん坊;3;;;狗竜の皮;3;狗竜の爪;1;ジャギィの鱗;2;鉄鉱石;3
アシラヘルム;1;2;1;0;0;2;11;-2;0;1;1;-1;麻痺;-2;防御;1;回復量;2;盗み無効;1;;;青熊獣の甲殻;2;青熊獣の毛;2;大きな骨;2;セッチャクロアリ;3
アシラキャップ;1;2;1;0;0;2;6;-1;1;2;2;0;麻痺;-2;防御;1;回復量;3;盗み無効;1;;;青熊獣の甲殻;2;青熊獣の毛;2;大きな骨;2;セッチャクロアリ;3
フロギィヘルム;1;3;1;0;0;2;12;1;0;1;-1;-2;毒;2;気絶;-2;特殊攻撃;1;斬れ味;2;采配;2;王者のクチバシ;1;毒狗竜の皮;2;フロギィの鱗;2;キラビートル;2
フロギィキャップ;1;3;1;0;0;2;6;2;1;2;0;-1;毒;2;気絶;-2;特殊攻撃;1;通常弾強化;2;采配;2;王者のクチバシ;1;毒狗竜の皮;2;フロギィの鱗;2;キラビートル;2
ペッコヘルム;1;3;1;0;0;2;14;2;0;0;-1;-3;風圧;2;笛;2;広域;1;食事;-2;;;へんなクチバシ;2;彩鳥の羽根;2;竜骨【中】;2;セッチャクロアリ;3
ペッコキャップ;1;3;1;0;0;2;7;3;1;1;0;-2;風圧;2;散弾強化;2;広域;2;食事;-2;;;へんなクチバシ;2;彩鳥の羽根;2;竜骨【中】;2;セッチャクロアリ;3
ルドロスヘルム;1;3;0;0;0;2;14;-3;-1;1;2;-1;耐暑;2;スタミナ;2;水属性攻撃;2;雷耐性;-2;酸素;2;水獣のトサカ;2;水獣の尻尾;1;水獣の鱗;2;セッチャクロアリ;3
ルドロスキャップ;1;3;1;0;0;2;7;-2;0;2;3;0;耐暑;2;スタミナ;3;水属性攻撃;2;雷耐性;-2;酸素;1;水獣のトサカ;2;水獣の尻尾;1;水獣の鱗;2;セッチャクロアリ;3
