english;spanish;french;italian;german;japanese;chinese
Leather Vest;;Tunique en cuir;;Leder-Weste;レザーベスト;轻皮内衣
Chainmail Vest;;Tunique en maille;;Ketten-Weste;チェーンベスト;锁链内衣
Yukumo Dogi;;Keikogi Yukumo;;Yukumo-Dogi;ユクモノドウギ;结云外套
Loc Lac Shawl;;Foulard de Loc Lac;;Loc-Lac-Tuch;ロックラックスーツ;洛克拉克上衣
Hunter's Mail;;Cotte de chasseur;;Jäger-Panzer;ハンターメイル;猎人铠甲
Hunter's Vest;;Tunique de chasseur;;Jäger-Weste;ハンターレジスト;猎人炼甲
Alloy Mail;;Cotte en alliage;;Legierungs-Panzer;アロイメイル;合金铠甲
Alloy Vest;;Tunique en alliage;;Legierungs-Weste;アロイレジスト;合金炼甲
Bone Mail;;Cotte d'os;;Knochen-Panzer;ボーンメイル;骨制铠甲
Bone Vest;;Tunique d'os;;Knochen-Weste;ボーンレジスト;骨制炼甲
Bnahabra Suit;;Armure Bnahabra;;Bnahabra-Anzug;ブナハスーツ;飞甲虫上衣
Bnahabra Vest;;Tunique Bnahabra;;Bnahabra-Weste;ブナハベスト;飞甲虫内衣
Rhenoplos Mail;;Cotte Rhenoplos;;Rhenoplos-Panzer;リノプロメイル;草食龙铠甲
Rhenoplos Vest;;Tunique Rhenoplos;;Rhenoplos-Weste;リノプロレジスト;草食龙炼甲
Jaggi Mail;;Cotte Jaggi;;Jaggi-Panzer;ジャギィメイル;狗龙铠甲
Jaggi Vest;;Tunique Jaggi;;Jaggi-Weste;ジャギィレジスト;狗龙炼甲
Arzuros Mail;;Cotte Arzuros;;Arzuros-Panzer;アシラメイル;青熊兽铠甲
Arzuros Vest;;Tunique Arzuros;;Arzuros-Weste;アシラレジスト;青熊兽炼甲
Wroggi Mail;;Cotte Wroggi;;Wroggi-Panzer;フロギィメイル;毒狗龙铠甲
Wroggi Vest;;Tunique Wroggi;;Wroggi-Weste;フロギィレジスト;毒狗龙炼甲
Qurupeco Mail;;Cotte Qurupeco;;Qurupeco-Panzer;ペッコメイル;彩鸟铠甲
Qurupeco Vest;;Tunique Qurupeco;;Qurupeco-Weste;ペッコレジスト;彩鸟炼甲
Ludroth Mail;;Cotte Ludroth;;Ludroth-Panzer;ルドロスメイル;水兽铠甲
Ludroth Vest;;Tunique Ludroth;;Ludroth-Weste;ルドロスレジスト;水兽炼甲
Baggi Mail;;Cotte Baggi;;Baggi-Panzer;バギィメイル;眠狗龙铠甲
Baggi Vest;;Tunique Baggi;;Baggi-Weste;バギィレジスト;眠狗龙炼甲
Lagombi Mail;;Cotte Lagombi;;Lagombi-Panzer;ウルクメイル;白兔兽铠甲
Lagombi Vest;;Tunique Lagombi;;Lagombi-Weste;ウルクレジスト;白兔兽炼甲
