english;spanish;french;italian;german;japanese;chinese
Warm Pelt;;Peau chaude;;Warmer Pelz;暖かい毛皮;暖毛皮
Iron Ore;;Minerai de fer;;Eisenerz;鉄鉱石;铁矿石
Kelbi Horn;;Corne de Kelbi;;Kelbi-Horn;ケルビの角;羚鹿的角
Airweed;;Herbe d'air;;Luftkraut;イキツギ藻;呼吸海藻
Mystery Bone;;Os mystère;;Rätselknochen;なぞの骨;谜之骨
Earth Crystal;;Cristal de terre;;Erdkristall;大地の結晶;大地结晶
Machalite Ore;;Machalite;;Machalit-Erz;マカライト鉱石;燕雀石
Carpenterbug;;Bâtinsecte;;Tischlerkäfer;セッチャクロアリ;粘着白蚁
Big Fin;;Grande nageoire;;Große Flosse;大きなヒレ;大鳍
Unknown Skull;;Crâne inconnu;;Anonymer Schädel;なぞの頭骨;谜之头骨
Sharpened Fang;;Croc aiguisé;;GeschärfterRzahn;とがった牙;尖牙
Bnahabra Shell;;Carapa. Bnahabra;;Bnahabra-Panzer;飛甲虫の甲殻;飞甲虫的甲壳
Bnahabra Wing;;Aile Bnahabra;;Bnahabra-Flügel;飛甲虫の羽;飞甲虫的羽
Killer Beetle;;Scarabée tueur;;Killerkäfer;キラビートル;杀人蜂幼虫
Rhenoplos Scalp;;Scalp Rhenoplos;;Rhenoplos-Skalp;草食竜の頭殻;草食龙的头壳
Rhenoplos Shell;;Carap. Rhenoplos;;Rhenoplos-Panzer;草食竜の甲殻;草食龙的甲壳
Ice Crystal;;Cristal glacé;;Eiskristall;氷結晶;冰结晶
G.Jaggi Hide;;Cuir gd. Jaggi;;Großjaggi-Haut;狗竜の皮;狗龙的皮
G.Jaggi Claw;;Griffe gd. Jaggi;;Großjaggi-Klaue;狗竜の爪;狗龙的爪
Jaggi Scale;;Écaille Jaggi;;Jaggi-Schuppe;ジャギィの鱗;小狗龙的鳞
Arzuros Shell;;Carapace Arzuros;;Arzuros-Panzer;青熊獣の甲殻;青熊兽的甲壳
Arzuros Pelt;;Peau Arzuros;;Arzuros Pelz;青熊獣の毛;青熊兽的毛
Jumbo Bone;;Jumbos;;Jumboknochen;大きな骨;大骨
King's Beak;;Bec roi;;Königsschnabel;王者のクチバシ;王者的喙
G.Wroggi Hide;;Cuir gd. Wroggi;;Großwroggi-Haut;毒狗竜の皮;毒狗龙的皮
Wroggi Scale;;Écaille Wroggi;;Wroggi-Schuppe;フロギィの鱗;小毒狗龙的鳞
Strange Beak;;Bec étrange;;Selts. Schnabel;へんなクチバシ;奇怪的喙
Monster Bone M;;Os monstre moyen;;Monsterknochen M;竜骨【中】;龙骨【中】
R.Ludroth Crest;;Crête Ludroth R.;;K.Ludroth-Kamm;水獣のトサカ;水兽的头冠
R.Ludroth Tail;;Queue Ludroth R.;;K.Ludroth-Schweif;水獣の尻尾;水兽的尾巴
R.Ludroth Scale;;Écail.Ludroth R.;;K.Ludroth-Schuppe;水獣の鱗;水兽的鳞
G.Baggi Hide;;Cuir gd. Baggi;;Großbaggi-Haut;眠狗竜の皮;眠狗龙的皮
G.Baggi Claw;;Griffe gd. Baggi;;Großbaggi-Klaue;眠狗竜の爪;眠狗龙的爪
Baggi Scale;;Écaille Baggi;;Baggi-Schuppe;バギィの鱗;小眠狗龙的鳞
Isisium;;Isisium;;Isisium;アイシスメタル;闪亮金属
Lagombi Ear;;Oreille Lagombi;;Lagombi-Ohr;白兎獣の耳;白兔兽的耳
Baggi Hide;;Cuir Baggi;;Baggi-Haut;バギィの皮;小眠狗龙的皮
Barroth Ridge;;Vertèbre Barroth;;Barroth-Rückgrat;土砂竜の背甲;土砂龙的背甲
Barroth Shell;;Carapace Barroth;;Barroth-Panzer;土砂竜の甲殻;土砂龙的甲壳
Barroth Scalp;;Scalp Barroth;;Barroth-Skalp;土砂竜の頭殻;土砂龙的头壳
Volvidon Claw;;Griffe Volvidon;;Volvidon-Klaue;赤甲獣の爪;赤甲兽的爪
Volvidon Shell;;Carap. Volvidon;;Volvidon-Panzer;赤甲獣の甲殻;赤甲兽的甲壳
Monster Fluid;;Fluide monstre;;Monsterfluid;モンスターの体液;怪物的体液
Dragonite Ore;;Dragonite;;Drachenit-Erz;ドラグライト鉱石;辉龙石
Gobul Whisker;;Moustache Gobul;;Gobul-Barthaar;灯魚竜のヒゲ;灯鱼龙的触须
Gobul Lantern;;Lanterne Gobul;;Gobul-Laterne;提灯球;提灯球
Gobul Hide;;Cuir Gobul;;Gobul-Haut;灯魚竜の皮;灯鱼龙的皮
Rathian Spike;;Pointe Rathian;;Rathian-Stachel;雌火竜の棘;雌火龙的棘
Rathian Scale;;Écaille Rathian;;Rathian-Schuppe;雌火竜の鱗;雌火龙的鳞
Rathian Shell;;Carapace Rathian;;Rathian-Panzer;雌火竜の甲殻;雌火龙的甲壳
Uncanny Hide;;Cuir étrange;;Gruselige Haut;不気味な皮;可怕的皮
Gigginox Hide;;Cuir Gigginox;;Gigginox-Haut;毒怪竜の皮;毒怪龙的皮
Poison Sac;;Poche de poison;;Giftbeutel;毒袋;毒袋
Pelagicite Ore;;Pelagicite;;Pelagizit-Erz;シーブライト鉱石;彩水晶
Lightcrystal;;Cristal lumière;;Lichtkristall;ライトクリスタル;光水晶
Amber Tusks;;Défenses ambre;;Bernsteinhauer;琥珀色の牙;琥珀色的牙
Barioth Pelt;;Peau Barioth;;Barioth-Pelz;氷牙竜の毛皮;冰牙龙的毛皮
Barioth Shell;;Carapace Barioth;;Barioth-Panzer;氷牙竜の甲殻;冰牙龙的甲壳
Great Jaggi Head;;Tête gd. Jaggi;;Großjaggi-Kopf;狗竜の頭;狗龙的头
King's Frill;;Collerette roi;;Königsrüsche;王者のエリマキ;王者的围脖
Firestone;;Pierre-feu;;Feuerstein;紅蓮石;红莲石
Nibelsnarf Scalp;;Scalp Nibelsnarf;;Nibelsnarf-Skalp;潜口竜の頭殻;潜口龙的头壳
Nibelsnarf Shell;;Cara. Nibelsnarf;;Nibelsnarf-Panzer;潜口竜の甲殻;潜口龙的甲壳
Flying Coin;;Pièce volants;;Flugwyvernmünze;飛竜のコイン;飞龙的硬币
Leviathan Coin;;Pièce Leviathan;;Leviathan-Münze;海竜のコイン;海龙的硬币
Beast Coin;;Pièce bêtes;;Bestienmünze;牙獣のコイン;牙兽的硬币
Volvi Rickrack;;Feston Volvidon;;Volvidon-Zacken;赤甲獣の蛇腹甲;赤甲兽的蛇腹甲
Lagiacrus Horn;;Corne Lagiacrus;;Lagiacrus-Horn;海竜の角;海龙的角
Lagiacrus Hide;;Cuir Lagiacrus;;Lagiacrus-Haut;海竜の皮;海龙的皮
Lagiacrus Scale;;Écail. Lagiacrus;;Lagiacrus-Schuppe;海竜の鱗 ;海龙的鳞
Rathalos Scale;;Écaille Rathalos;;Rathalos-Schuppe;火竜の鱗;火龙的鳞
Rathalos Shell;;Carapa. Rathalos;;Rathalos-Panzer;火竜の甲殻;火龙的甲壳
Rath Talon;;Griffe Rath;;Rathalos-Kralle;火竜の翼爪;火龙的翼爪
Duramboros Horn;;Corne Duramboros;;Duramboros-Horn;尾槌竜の角;尾槌龙的角
Duramboros Shell;;Cara. Duramboros;;Duramboros -Panzer;尾槌竜の甲殻;尾槌龙的甲壳
Monster Bone+;;Os de monstre+;;Monsterknochen+;上竜骨;上龙骨
Diablos Tailcase;;Étui queue Diab.;;DiabSchweifschtz;角竜の尾甲;角龙的尾甲
Diablos Shell;;Carapace Diablos;;Diablos-Panzer;角竜の甲殻;角龙的甲壳
Diablos Ridge;;Vertèbre Diablos;;Diablos-Rückgrat;角竜の背甲;角龙的背甲
Uragaan Shell;;Carapace Uragaan;;Uragaan-Panzer;爆鎚竜の甲殻;爆锤龙的甲壳
Uragaan Marrow;;Moelle Uragaan;;Uragaan-Mark;爆鎚竜の骨髄;爆锤龙的骨髓
Uragaan Scale;;Écaille Uragaan;;Uragaan-Schuppe;爆鎚竜の鱗;爆锤龙的鳞
Agnaktor Shell;;Carapa. Agnaktor;;Agnaktor-Panzer;炎戈竜の甲殻;炎戈龙的甲壳
