english;spanish;french;italian;german;japanese;chinese
Antidote Jewel 1;;Joyau antidote 1;;Gegengift-Jwl 1;耐毒珠【１】;耐毒珠【1】
Antidote Jewel 2;;Joyau antidote 2;;Gegengift-Jwl 2;耐毒珠【２】;耐毒珠【2】
Paralysis Jwl 1;;J. paralysie 1;;Lähm-Juwel 1;耐痺珠【１】;耐痹珠【1】
Paralysis Jwl 2;;J. paralysie 2;;Lähm-Juwel 2;耐痺珠【２】;耐痹珠【2】
Pep Jewel 1;;Joyau ardeur 1;;Pepp-Juwel 1;耐眠珠【１】;耐眠珠【1】
Pep Jewel 2;;Joyau ardeur 2;;Pepp-Juwel 2;耐眠珠【２】;耐眠珠【2】
Steadfast Jwl 1;;Joyau ténacité 1;;Felsenfest-Jwl 1;耐絶珠【１】;耐绝珠【1】
Standfast Jwl 1;;Joyau fermeté 1;;Standfest-Jwl 1;制絶珠【１】;制绝珠【1】
Tracker Jewel 1;;Joyau traqueur 1;;Aufspür-Juwel 1;耐粘珠【１】;耐粘珠【1】
Trekker Jewel 1;;Joyau rôdeur 1;;Trekker-Jewel 1;抗粘珠【１】;抗粘珠【1】
Sterile Jewel 1;;Joyau stérile 1;;Steriles Juwel 1;耐菌珠【１】;耐菌珠【1】
Aseptic Jewel 1;;J. aseptique 1;;Aseptik-Jewel 1;抗菌珠【１】;抗菌珠【1】
Def Lock Jewel 1;;J. assurance 1;;AbwSperre-Jwl 1;耐防珠【１】;耐防珠【1】
Dungmaster Jwl 1;;Joyau bousier 1;;DungmeisterJwl 1;肥師珠【１】;肥师珠【1】
Biology Jewel 1;;Joyau biologie 1;;Biologie-Juwel 1;菌学珠【１】;菌学珠【1】
Microbio Jewel 1;;Joyau microbio 1;;Biologie-Juwel 2;菌究珠【１】;菌究珠【1】
Attack Jewel 1;;Joyau attaque 1;;Angriffs-Juwel 1;攻撃珠【１】;攻击珠【1】
Attack Jewel 2;;Joyau attaque 2;;Angriffs-Juwel 2;攻撃珠【２】;攻击珠【2】
Attack Jewel 3;;Joyau attaque 3;;Angriffs-Juwel 3;攻撃珠【３】;攻击珠【3】
Defense Jewel 1;;Joyau défense 1;;Verteidig-Jwl 1;防御珠【１】;防御珠【1】
Defense Jewel 2;;Joyau défense 2;;Verteidig-Jwl 2;防御珠【２】;防御珠【2】
Vitality Jewel 1;;Joyau vitalité 1;;LebenskraftJwl 1;体力珠【１】;体力珠【1】
Recovery Jewel 1;;Joyau récup. 1;;Erhohlungs-Jwl 1;早復珠【１】;早复珠【1】
Recovery Jewel 2;;Joyau récup. 2;;Erhohlungs-Jwl 2;早復珠【２】;早复珠【2】
Protection Jwl 1;;J. projection 1;;Schutz-Juwel 1;加護珠【１】;加护珠【1】
Asylum Jewel 1;;Joyau asile 1;;Zuflucht-Juwel 1;神護珠【１】;神护珠【1】
Sheath Jewel 1;;J. rengainage 1;;Wegsteck-Juwel 1;速納珠【１】;速纳珠【1】
Sheath Jewel 2;;J. rengainage 2;;Wegsteck-Juwel 2;速納珠【２】;速纳珠【2】
Charger Jewel 1;;Joyau chargeur 1;;Kurzlade-Juwel 1;短縮珠【１】;短缩珠【1】
Charger Jewel 3;;Joyau chargeur 3;;Kurzlade-Juwel 3;短縮珠【３】;短缩珠【3】
Expert Jewel 1;;Joyau expert 1;;Experten-Juwel 1;達人珠【１】;达人珠【1】
Expert Jewel 2;;Joyau expert 2;;Experten-Juwel 2;達人珠【２】;达人珠【2】
Expert Jewel 3;;Joyau expert 3;;Experten-Juwel 3;達人珠【３】;达人珠【3】
Tenderizer Jwl 1;;J. attendris. 1;;Klopfer-Juwel 1;痛撃珠【１】;痛击珠【1】
Tenderizer Jwl 3;;J. attendris. 3;;Klopfer-Juwel 3;痛撃珠【３】;痛击珠【3】
Destroyer Jwl 1;;J. destructeur 1;;Zerstörer-Juwel 1;重撃珠【１】;重击珠【1】
Destroyer Jwl 3;;J. destructeur 3;;Zerstörer-Juwel 3;重撃珠【３】;重击珠【3】
KO Jewel 1;;Joyau KO 1;;Knock-out-Jwl 1;ＫＯ珠【１】;ＫＯ珠【1】
KO Jewel 2;;Joyau KO 2;;Knock-out-Jwl 2;ＫＯ珠【２】;ＫＯ珠【2】
Drain Jewel 1;;Joyau drainage 1;;Entzug-Juwel 1;奪気珠【１】;夺气珠【1】
Drain Jewel 2;;Joyau drainage 2;;Entzug-Juwel 2;奪気珠【２】;夺气珠【2】
Physique Jewel 1;;Joyau physique 1;;Figur-Juwel 1;体術珠【１】;体术珠【1】
Physique Jewel 2;;Joyau physique 2;;Figur-Juwel 2;体術珠【２】;体术珠【2】
Earplug Jewel 1;;Joyau bouchon 1;;Ohrstöpsel-Jwl 1;防音珠【１】;防音珠【1】
Earplug Jewel 3;;Joyau bouchon 3;;Ohrstöpsel-Jwl 3;防音珠【３】;防音珠【3】
Wind Res Jewel 1;;Joyau vent 1;;Windabw-Juwel 1;防風珠【１】;防风珠【1】
Wind Res Jewel 2;;Joyau vent 2;;Windabw-Juwel 2;防風珠【２】;防风珠【2】
Footing Jewel 1;;Joyau appui 1;;Fundament-Jwl 1;耐震珠【１】;耐震珠【1】
Tectonic Jewel 1;;J. tectonique 1;;Tektonik-Juwel 1;抗震珠【１】;抗震珠【1】
Heat Res Jewel 1;;Joyau chaleur 1;;Hitzeabw-Juwel 1;耐暑珠【１】;耐暑珠【1】
Cold Res Jewel 1;;Joyau froid 1;;Kälteabw-Juwel 1;耐寒珠【１】;耐寒珠【1】
Sprinter Jewel 1;;Joyau sprinter 1;;Sprinter-Juwel 1;強走珠【１】;强走珠【1】
Sprinter Jewel 3;;Joyau sprinter 3;;Sprinter-Juwel 3;強走珠【３】;强走珠【3】
Refresh Jewel 1;;J. revigorant 1;;ErfrischungsJwl 1;早気珠【１】;早气珠【1】
Refresh Jewel 2;;J. revigorant 2;;ErfrischungsJwl 2;早気珠【２】;早气珠【2】
Evasion Jewel 1;;Joyau évasion 1;;Ausweich-Juwel 1;回避珠【１】;回避珠【1】
Evasion Jewel 2;;Joyau évasion 2;;Ausweich-Juwel 2;回避珠【２】;回避珠【2】
Jumping Jewel 1;;Joyau de saut 1;;Sprung-Juwel 1;跳躍珠【１】;跳跃珠【1】
Slider Jewel 1;;Joyau esquive 1;;Gleiter-Juwel 1;滑走珠【１】;滑走珠【1】
Glider Jewel 1;;Joyau glissade 1;;Segler-Juwel 1;滑空珠【１】;滑空珠【1】
Ninja Jewel 1;;Joyau ninja 1;;Ninja-Juwel 1;忍脚珠【１】;忍脚珠【1】
Ironwall Jewel 1;;Joyau mur fer 1;;Eisenmauer-Jwl 1;鉄壁珠【１】;铁壁珠【1】
Ironwall Jewel 2;;Joyau mur fer 2;;Eisenmauer-Jwl 2;鉄壁珠【２】;铁壁珠【2】
Shield Jewel 1;;Joyau bouclier 1;;Schild-Juwel 1;強壁珠【１】;强壁珠【1】
Shield Jewel 2;;Joyau bouclier 2;;Schild-Juwel 2;強壁珠【２】;强壁珠【2】
Disabler Jewel 1;;J. infirmant 1;;Abschalt-Juwel 1;特攻珠【１】;特攻珠【1】
Disabler Jewel 2;;J. infirmant 2;;Abschalt-Juwel 2;特攻珠【２】;特攻珠【2】
Blaze Jewel 1;;Joyau brasier 1;;Lohe-Juwel 1;火炎珠【１】;火炎珠【1】
