english;spanish;french;italian;german;japanese;chinese
Leather Headgear;;Coiffe en cuir;;Leder-Kopfbedeckung;レザーヘッド;轻皮刃笠
Piscine Mask;;Masque de nageur;;Fisch-Maske;モガピスカノーズ;莫伽海之面具
Chainmail Headgear;;Coiffe en maille;;Ketten-Kopfbedeckung;チェーンヘッド;锁链刃笠
Yukumo Kasa;;Kasa Yukumo;;Yukumo-Kasa;ユクモノカサ;结云村帽
Hunter's Helm;;Casque de chasseur;;Jäger-Helm;ハンターヘルム;猎人头盔
Hunter's Cap;;Heaume de chasseur;;Jäger-Kappe;ハンターキャップ;猎人战帽
Alloy Helm;;Casque en alliage;;Legierungs-Helm;アロイヘルム;合金头盔
Alloy Cap;;Heaume en alliage;;Legierungs-Kappe;アロイキャップ;合金战帽
Bone Helm;;Casque d'os;;Knochen-Helm;ボーンヘルム;骨制头盔
Bone Cap;;Heaume d'os;;Knochen-Kappe;ボーンキャップ;骨制战帽
Bnahabra Hat;;Chapeau Bnahabra;;Bnahabra-Hut;ブナハハット;飞甲虫帽子
Bnahabra Headpiece;;Couvre-chef Bnahabra;;Bnahabra-Haube;ブナハキャップ;飞甲虫头饰
Rhenoplos Helm;;Casque Rhenoplos;;Rhenoplos-Helm;リノプロヘルム;草食龙头盔
Rhenoplos Cap;;Heaume Rhenoplos;;Rhenoplos-Kappe;リノプロキャップ;草食龙战帽
Jaggi Helm;;Casque Jaggi;;Jaggi-Helm;ジャギィヘルム;狗龙头盔
Jaggi Cap;;Heaume Jaggi;;Jaggi-Kappe;ジャギィキャップ;狗龙战帽
Arzuros Helm;;Casque Arzuros;;Arzuros-Helm;アシラヘルム;青熊兽头盔
Arzuros Cap;;Calot Arzuros;;Arzuros-Kappe;アシラキャップ;青熊兽战帽
Wroggi Hat;;Chapeau Wroggi;;Wroggi-Helm;フロギィヘルム;毒狗龙头盔
Wroggi Cap;;Calot Wroggi;;Wroggi-Kappe;フロギィキャップ;毒狗龙战帽
Qurupeco Helm;;Casque Qurupeco;;Qurupeco-Helm;ペッコヘルム;彩鸟头盔
Qurupeco Cap;;Heaume Qurupeco;;Qurupeco-Kappe;ペッコキャップ;彩鸟战帽
Ludroth Helm;;Casque Ludroth;;Ludroth-Helm;ルドロスヘルム;水兽头盔
Ludroth Cap;;Heaume Ludroth;;Ludroth-Kappe;ルドロスキャップ;水兽战帽
Baggi Helm;;Casque Baggi;;Baggi-Helm;バギィヘルム;眠狗龙头盔
Baggi Cap;;Heaume Baggi;;Baggi-Kappe;バギィキャップ;眠狗龙战帽
Lagombi Helm;;Casque Lagombi;;Lagombi-Helm;ウルクヘルム;白兔兽头盔
Lagombi Cap;;Calot Lagombi;;Lagombi-Kappe;ウルクキャップ;白兔兽战帽
Barroth Helm;;Casque Barroth;;Barroth-Helm;ボロスヘルム;土砂龙头盔
Barroth Cap;;Heaume Barroth;;Barroth-Kappe;ボロスキャップ;土砂龙战帽
Volvidon Helm;;Casque Volvidon;;Volvidon-Helm;ラングロヘルム;赤甲兽头盔
Volvidon Cap;;Calot Volvidon;;Volvidon-Kappe;ラングロキャップ;赤甲兽战帽
Gobul Helm;;Casque Gobul;;Gobul-Helm;ガブルヘルム;灯鱼龙头盔
Gobul Cap;;Heaume Gobul;;Gobul-Kappe;ガブルキャップ;灯鱼龙战帽
Rathian Helm;;Casque Rathian;;Rathian-Helm;レイアヘルム;雌火龙头盔
Rathian Cap;;Heaume Rathian;;Rathian-Kappe;レイアキャップ;雌火龙战帽
Gigginox Helm;;Casque Gigginox;;Gigginox-Helm;ネブラヘルム;毒怪龙头盔
Gigginox Cap;;Heaume Gigginox;;Gigginox-Kappe;ネブラキャップ;毒怪龙战帽
Ingot Helm;;Casque en lingot;;Guss-Helm;インゴットヘルム;高合金头盔
Ingot Cap;;Heaume en lingot;;Guss-Kappe;インゴットキャップ;高合金战帽
Barioth Helm;;Casque Barioth;;Barioth-Helm;ベリオヘルム;冰牙龙头盔
Barioth Cap;;Heaume Barioth;;Barioth-Kappe;ベリオキャップ;冰牙龙战帽
Jaggi Mask;;Masque Jaggi;;Jaggi-Maske;ジャギィフェイク;狗龙面具
Nibelsnarf Helm;;Casque Nibelsnarf;;Nibelsnarf-Helm;ハプルヘルム;潜口龙头盔
Nibelsnarf Cap;;Calot Nibelsnarf;;Nibelsnarf-Kappe;ハプルキャップ;潜口龙战帽
Guild Bard Lobos;;Lobos de barde;;Gildenbarden-Lobos;ギルドバードロボス;工会精英头盔
Guild Bard Hat;;Chapeau de barde;;Gildenbarden-Hut;ギルドバードハット;工会精英帽子
Scholar's Beret;;Béret de clerc;;Gelehrten-Barett;スカラーフード;店员头巾
Scholar's Cap;;Heaume de clerc;;Gelehrten-Kappe;スカラーベレー;店员贝雷帽
Lagiacrus Helm;;Casque Lagiacrus;;Lagiacrus-Helm;ラギアヘルム;海龙头盔
Lagiacrus Cap;;Heaume Lagiacrus;;Lagiacrus-Kappe;ラギアキャップ;海龙战帽
Rathalos Helm;;Casque Rathalos;;Rathalos-Helm;レウスヘルム;雄火龙头盔
Rathalos Cap;;Heaume Rathalos;;Rathalos-Kappe;レウスキャップ;雄火龙战帽
Duramboros Helm;;Casque Duramboros;;Duramboros-Helm;ドボルヘルム;尾槌龙头盔
Duramboros Cap;;Calot Duramboros;;Duramboros-Kappe;ドボルキャップ;尾槌龙战帽
Diablos Helm;;Casque Diablos;;Diablos-Helm;ディアブロヘルム;角龙头盔
Diablos Cap;;Heaume Diablos;;Diablos-Kappe;ディアブロキャップ;角龙战帽
Uragaan Helm;;Casque Uragaan;;Uragaan-Helm;ガンキンヘルム;爆锤龙头盔
Uragaan Cap;;Heaume Uragaan;;Uragaan-Kappe;ガンキンキャップ;爆锤龙战帽
Agnaktor Helm;;Casque Agnaktor;;Agnaktor-Helm;アグナヘルム;炎戈龙头盔
Agnaktor Cap;;Heaume Agnaktor;;Agnaktor-Kappe;アグナキャップ;炎戈龙战帽
Helios Helm;;Casque Helios;;Helios-Helm;ヘリオスヘルム;太阳神头盔
Helios Cap;;Heaume Helios;;Helios-Kappe;ヘリオスキャップ;太阳神战帽
Selene Helm;;Casque Selene;;Selene-Helm;セレネヘルム;月神头盔
Selene Cap;;Heaume Selene;;Selene-Kappe;セレネキャップ;月神战帽
Leather Helm S;;Casque en cuir S;;Leder-Helm S;レザーＳヘルム;轻皮头盔Ｓ
Leather Cap S;;Calot en cuir S;;Leder-Kappe S;レザーＳキャップ;轻皮战帽Ｓ
Yukumo Sky Kasa;;Kasa ciel Yukumo;;Yukumo-Himmel-Kasa;ユクモノカサ・天;结云村帽・天
Yukumo Land Kasa;;Kasa terre Yukumo;;Yukumo-Land-Kasa;ユクモノカサ・地;结云村帽・地
Chainmail Helm S;;Casque en maille S;;Ketten-Helm S;チェーンＳヘルム;锁链头盔Ｓ
Chainmail Cap S;;Calot en maille S;;Ketten-Kappe S;チェーンＳキャップ;锁链战帽Ｓ
Hunter's Helm S;;Casque de chasseur S;;Jäger-Helm S;ハンターＳヘルム;猎人头盔Ｓ
Hunter's Cap S;;Calot de chasseur S;;Jäger-Kappe S;ハンターＳキャップ;猎人战帽Ｓ
Piscine Mask S;;Masque de nageur S;;Fisch-Maske S;モガピスカＳノーズ;莫伽海之面具Ｓ
Piscine Snorkel S;;Tuba de nageur S;;Fisch-Schnorchel S;モガピスカＳシュノ;莫伽海之换气管Ｓ
Bone Helm S;;Casque d'os S;;Knochen-Helm S;ボーンＳヘルム;骨制头盔Ｓ
Bone Cap S;;Calot d'os S;;Knochen-Kappe S;ボーンＳキャップ;骨制战帽Ｓ
