name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
レザーパンツ;1;1;0;0;0;1;1;-1;0;1;0;0;採取;2;高速収集;2;気まぐれ;3;;;;;暖かい毛皮;2;;;;;;
モガピスカフィン;1;1;1;0;0;1;3;-2;-3;0;3;2;水流;1;泳ぎ;8;;;;;;;水生獣の皮;2;大きなヒレ;1;;;;
チェーンパンツ;1;1;1;0;0;1;4;2;-2;0;1;1;体力;2;腹減り;2;調合成功率;2;;;;;鉄鉱石;2;暖かい毛皮;2;;;;
ユクモノハカマ;1;-1;0;0;0;1;2;-1;1;0;0;0;加護;2;気配;2;広域;3;;;;;※港店売り;1;;;;;;
ロックラックブーツ;1;1;0;0;0;1;5;2;1;0;-3;0;こやし;3;腹減り;3;運搬;5;;;;;甲虫の大顎;3;甲虫の腹袋;2;氷結晶;3;;
ハンターグリーヴ;1;1;0;0;1;1;6;0;-3;0;1;0;毒;-1;千里眼;3;狩人;3;;;;;鉄鉱石;1;大地の結晶;1;竜骨【小】;2;;
ハンターレギンス;1;1;0;0;2;1;3;1;-2;1;2;1;毒;-1;千里眼;3;狩人;3;;;;;鉄鉱石;1;大地の結晶;1;竜骨【小】;2;;
アロイグリーヴ;1;1;0;0;1;1;6;-1;-2;0;1;-1;胴系統倍化;1;;;;;;;;;マカライト鉱石;4;大地の結晶;2;鉄鉱石;2;;
アロイレギンス;1;1;0;0;2;1;3;0;-1;1;2;0;胴系統倍化;1;;;;;;;;;マカライト鉱石;4;大地の結晶;2;鉄鉱石;2;;
ボーングリーヴ;1;2;1;0;1;1;7;1;-1;0;0;-2;睡眠;-1;KO;2;笛;4;観察眼;1;;;竜骨【中】;2;棒状の骨;2;なぞの骨;4;;
ボーンレギンス;1;2;1;0;2;1;4;2;0;1;1;-1;睡眠;-1;KO;2;笛;3;観察眼;1;;;竜骨【中】;2;棒状の骨;2;なぞの骨;4;;
ブナハブーツ;1;3;0;0;1;2;9;-4;2;2;-1;-1;麻痺;2;攻撃;-1;納刀;2;特殊攻撃;3;;;飛甲虫の甲殻;2;飛甲虫の羽;3;キラビートル;2;セッチャクロアリ;3
ブナハフット;1;3;0;0;2;2;5;-3;3;3;0;0;麻痺;2;攻撃;-1;納刀;1;特殊攻撃;3;;;飛甲虫の甲殻;2;飛甲虫の羽;3;キラビートル;2;セッチャクロアリ;3
リノプログリーヴ;1;2;0;0;1;2;9;1;-1;1;-1;-1;耐泥耐雪;3;KO;3;氷耐性;-1;砲術;3;;;草食竜の甲殻;2;竜骨【小】;6;氷結晶;2;;
リノプロレギンス;1;2;0;0;2;2;5;2;0;2;0;0;耐泥耐雪;3;KO;2;氷耐性;-1;砲術;3;;;草食竜の甲殻;2;竜骨【小】;6;氷結晶;2;;
ジャギィグリーヴ;1;1;1;0;1;2;10;-2;0;1;0;0;気絶;3;攻撃;3;効果持続;-1;食いしん坊;1;;;ジャギィの皮;4;ジャギィの鱗;3;竜骨【小】;4;マカライト鉱石;2
ジャギィレギンス;1;1;1;0;2;2;5;-1;1;2;1;1;気絶;3;攻撃;2;効果持続;-1;食いしん坊;1;;;ジャギィの皮;4;ジャギィの鱗;3;竜骨【小】;4;マカライト鉱石;2
アシラグリーヴ;1;2;0;0;1;2;11;-2;0;1;1;-1;胴系統倍化;1;;;;;;;;;青熊獣の腕甲;2;青熊獣の毛;2;飛甲虫の甲殻;2;光蟲;3
