name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Leather Belt;1;1;0;0;0;1;1;-1;0;1;0;0;Gathering;3;Speed Gatherer;1;Whim;3;;;;;Bullfango Pelt;1;Iron Ore;1;;;;
Piscine Belt;1;1;0;0;0;1;3;-2;-3;0;3;2;CurrentRes;8;Swimming;2;;;;;;;Hydro Hide;2;Broken Shell;2;;;;
Chainmail Belt;1;1;1;0;0;1;4;2;-2;0;1;1;Health;1;Hunger;4;Combo Rate;1;;;;;Iron Ore;1;Warm Pelt;2;;;;
Yukumo Obi;1;-1;1;0;0;1;2;-1;1;0;0;0;Protection;2;Sense;2;Wide-Range;2;;;;;;;;;;;;
Loc Lac Kilt;1;1;0;0;0;1;5;2;1;0;-3;0;Dungmaster;4;Hunger;4;Transportr;3;;;;;Altaroth Stomach;2;Altaroth Jaw;2;Ice Crystal;3;;
Hunter's Faulds;1;1;1;0;1;1;6;0;-3;0;1;0;Poison;-1;Psychic;3;Ranger;1;;;;;Machalite Ore;2;Iron Ore;1;Carpenterbug;1;;
Hunter's Coat;1;1;1;0;2;1;3;1;-2;1;2;1;Poison;-1;Psychic;3;Ranger;1;;;;;Machalite Ore;2;Iron Ore;1;Carpenterbug;1;;
Alloy Coil;1;3;1;0;1;1;6;-1;-2;0;1;-1;Expert;1;Wind Res;1;Sharpener;2;Gathering;-1;;;Machalite Ore;2;Pelagicite Ore;2;Iron Ore;3;;
Alloy Coat;1;3;1;0;2;1;3;0;-1;1;2;0;Reload Spd;3;Pellet Up;1;Pellet S+;2;Gathering;-1;;;Machalite Ore;2;Pelagicite Ore;2;Iron Ore;3;;
Bone Faulds;1;1;1;0;1;1;7;1;-1;0;0;-2;Sleep;-1;KO;2;Maestro;3;Perception;2;;;Monster Bone S;3;Bone;3;Sharpened Fang;2;;
Bone Coat;1;1;1;0;2;1;4;2;0;1;1;-1;Sleep;-1;KO;2;Maestro;3;Perception;2;;;Monster Bone S;3;Bone;3;Sharpened Fang;2;;
Bnahabra Coil;1;3;0;0;1;2;9;-4;2;2;-1;-1;Paralysis;4;Attack;-1;Sheathing;2;Status;1;;;Bnahabra Wing;3;Bnahabra Shell;2;Monster Fluid;1;Killer Beetle;2
Bnahabra Coat;1;3;0;0;2;2;5;-3;3;3;0;0;Paralysis;4;Attack;-1;Sheathing;1;Status;1;;;Bnahabra Wing;3;Bnahabra Shell;2;Monster Fluid;1;Killer Beetle;2
Rhenoplos Coil;1;2;1;0;1;2;9;1;-1;1;-1;-1;Mud/Snow;2;KO;2;Ice Res;-1;Artillery;2;;;Rhenoplos Shell;2;Rhenoplos Scalp;1;Earth Crystal;2;;
Rhenoplos Coat;1;2;1;0;2;2;5;2;0;2;0;0;Mud/Snow;2;KO;3;Ice Res;-1;Artillery;2;;;Rhenoplos Shell;2;Rhenoplos Scalp;1;Earth Crystal;2;;
Jaggi Faulds;1;2;0;0;1;2;10;-2;0;1;0;0;Stun;3;Attack;3;LastingPwr;-1;Gluttony;4;;;G.Jaggi Hide;2;King's Frill;1;Jaggi Hide;3;Earth Crystal;1
Jaggi Coat;1;2;0;0;2;2;5;-1;1;2;1;1;Stun;2;Attack;3;LastingPwr;-1;Gluttony;3;;;G.Jaggi Hide;2;King's Frill;1;Jaggi Hide;3;Earth Crystal;1
Arzuros Faulds;1;2;1;0;1;2;11;-2;0;1;1;-1;Paralysis;-2;Defense;3;Rec Level;3;Anti-Theft;1;;;Arzuros Pelt;2;Arzuros Shell;1;Jumbo Bone;1;Carpenterbug;3
Arzuros Coat;1;2;1;0;2;2;6;-1;1;2;2;0;Paralysis;-2;Defense;2;Rec Level;2;Anti-Theft;3;;;Arzuros Pelt;2;Arzuros Shell;1;Jumbo Bone;1;Carpenterbug;3
Wroggi Faulds;1;3;1;0;1;2;12;1;0;1;-1;-2;Poison;1;Stun;-1;Status;1;Sharpness;3;TeamPlayer;3;Wroggi Hide;3;Wroggi Scale;2;Monster Bone S;6;Killer Beetle;3
Wroggi Coat;1;3;1;0;2;2;6;2;1;2;0;-1;Poison;1;Stun;-1;Status;1;Normal Up;2;TeamPlayer;3;Wroggi Hide;3;Wroggi Scale;2;Monster Bone S;6;Killer Beetle;3
Qurupeco Coil;1;3;1;0;1;2;14;2;0;0;-1;-3;Wind Res;1;Maestro;2;Wide-Range;3;Eating;-1;;;Qurupeco Feather;2;Qurupeco Scale;3;Monster Bone S;4;Killer Beetle;2
Qurupeco Coat;1;3;1;0;2;2;7;3;1;1;0;-2;Wind Res;1;Pellet Up;2;Wide-Range;3;Eating;-1;;;Qurupeco Feather;2;Qurupeco Scale;3;Monster Bone S;4;Killer Beetle;2
Ludroth Faulds;1;3;1;0;1;2;14;-3;-1;1;2;-1;Heat Res;2;Stamina;3;Water Atk;1;ThunderRes;-1;Oxygen;2;Hydro Hide;3;Immature Sponge;5;Monster Bone S;4;Killer Beetle;2
Ludroth Coat;1;3;1;0;2;2;7;-2;0;2;3;0;Heat Res;2;Stamina;2;Water Atk;1;ThunderRes;-2;Oxygen;1;Hydro Hide;3;Immature Sponge;5;Monster Bone S;4;Killer Beetle;2
Baggi Coil;1;4;1;0;1;2;15;-2;0;0;0;1;Sleep;2;Rec Speed;2;Fire Atk;-1;Ice Atk;1;TeamLeader;2;G.Baggi Hide;2;King's Crest;1;Sleep Sac;3;Pelagicite Ore;2
Baggi Coat;1;4;1;0;2;2;8;-1;1;1;1;2;Sleep;3;Rec Speed;1;Fire Atk;-1;Ice Atk;1;TeamLeader;1;G.Baggi Hide;2;King's Crest;1;Sleep Sac;3;Pelagicite Ore;2
Lagombi Faulds;1;4;1;0;1;2;15;-2;-1;0;0;1;Heat Res;-2;Cold Res;2;Evade Dist;2;LastingPwr;2;;;Lagombi Pelt;3;Lagombi Claw;1;Jumbo Bone;2;Killer Beetle;3
Lagombi Coat;1;4;1;0;2;2;8;-1;0;1;1;2;Heat Res;-2;Cold Res;2;Evade Dist;2;LastingPwr;2;;;Lagombi Pelt;3;Lagombi Claw;1;Jumbo Bone;2;Killer Beetle;3
Barroth Faulds;1;3;1;0;1;2;16;4;1;0;-4;-2;Attack;1;Defense;2;Guard;3;Hunger;-2;;;Barroth Shell;2;Barroth Claw;1;Barroth Ridge;2;Monster Bone M;5
Barroth Coat;1;3;1;0;2;2;8;5;2;1;-3;-1;Attack;1;Defense;2;Precision;2;Hunger;-2;;;Barroth Shell;2;Barroth Claw;1;Barroth Ridge;2;Monster Bone M;5
Volvidon Faulds;2;5;1;0;1;2;16;1;0;1;-3;-1;Attack;1;Tremor Res;4;Cold Res;-2;Evasion;1;;;Volvidon Shell;3;Paralysis Sac;4;Monster Fluid;1;Firestone;1
Volvidon Coat;2;5;1;0;2;2;8;2;1;2;-2;0;Attack;2;Cold Res;-2;Evasion;2;Normal Up;3;;;Volvidon Shell;3;Paralysis Sac;4;Monster Fluid;1;Firestone;1
Gobul Faulds;1;4;0;0;1;2;17;-2;-3;1;2;0;Rec Speed;-2;Expert;2;Eating;4;Swimming;2;;;Gobul Fin;1;Gobul Spike;2;Gobul Whisker;1;Gobul Lantern;1
Gobul Coat;1;4;0;0;2;2;9;-1;-2;2;3;1;Rec Speed;-2;Expert;2;Eating;3;Swimming;2;;;Gobul Fin;1;Gobul Spike;2;Gobul Whisker;1;Gobul Lantern;1
Rathian Faulds;1;4;1;0;1;2;18;2;-2;-3;0;0;Health;2;Rec Speed;-2;Fire Atk;2;Rec Level;2;;;Rathian Webbing;2;Rathian Plate;1;Flame Sac;2;Machalite Ore;5
Rathian Coat;1;4;1;0;2;2;9;3;-1;-2;1;1;Health;1;Rec Speed;-2;Fire Atk;2;Rec Level;1;;;Rathian Webbing;2;Rathian Plate;1;Flame Sac;2;Machalite Ore;5
Gigginox Faulds;2;4;1;0;1;2;18;-4;1;-1;0;1;Protection;-2;Hearing;2;Status;2;Sharpener;2;;;Gigginox Hide;4;Uncanny Hide;1;Velvety Hide;4;G.Baggi Hide;2
Gigginox Coat;2;4;1;0;2;2;9;-3;2;0;1;2;Protection;-2;Hearing;2;Status;1;Reload Spd;3;;;Gigginox Hide;4;Uncanny Hide;1;Velvety Hide;4;G.Baggi Hide;2
Ingot Coil;2;5;0;0;1;2;19;-2;2;0;-2;0;Sheathing;2;Guard Boost;3;ThunderAtk;3;Whim;-2;;;Dragonite Ore;4;Firestone;1;Isisium;3;Machalite Ore;5
Ingot Coat;2;5;0;0;2;2;10;-1;3;1;-1;1;ThunderAtk;3;Recoil;3;Pellet Up;2;Whim;-2;;;Dragonite Ore;4;Firestone;1;Isisium;3;Machalite Ore;5
Barioth Faulds;2;5;1;0;1;3;20;-4;-1;0;0;2;Constitutn;2;Stam Recov;-2;Evasion;2;Ice Atk;2;;;Amber Tusks;1;Barioth Spike;1;Monster Bone+;2;Lagom Plastron;4
Barioth Coat;2;5;1;0;2;3;10;-3;0;1;1;3;Constitutn;1;Stam Recov;-2;Evasion;2;Ice Atk;2;;;Amber Tusks;1;Barioth Spike;1;Monster Bone+;2;Lagom Plastron;4
Nibelsnarf Faulds;2;5;2;0;1;2;21;2;-2;1;0;-4;Mud/Snow;2;Sheathing;2;Hunger;-2;Eating;1;;;Nibelsnarf Hide;3;Nibelsnarf Scalp;1;Monster Bone L;3;Altaroth Stomach;4
Nibelsnarf Coat;2;5;2;0;2;2;11;3;-1;2;1;-3;Mud/Snow;2;Sheathing;1;Hunger;-2;Eating;1;;;Nibelsnarf Hide;3;Nibelsnarf Scalp;1;Monster Bone L;3;Altaroth Stomach;4
Guild Bard Coil;2;5;1;1;1;3;21;0;0;0;0;0;Health;3;Sense;-2;Fate;1;Psychic;2;;;Flying Coin;2;Leviathan Coin;3;Beast Coin;4;Vivid Fluid;4
Guild Bard Coat;2;5;1;1;2;3;11;1;1;1;1;1;Health;3;Sense;-2;Fate;1;Psychic;2;;;Flying Coin;2;Leviathan Coin;3;Beast Coin;4;Vivid Fluid;4
Scholar's Skirt;2;5;1;2;1;3;21;0;0;0;0;0;Health;3;Sense;-2;Fate;1;Psychic;2;;;Flying Coin;2;Leviathan Coin;3;Beast Coin;4;Vivid Fluid;4
Scholar's Mini;2;5;1;2;2;3;11;1;1;1;1;1;Health;3;Sense;-2;Fate;1;Psychic;2;;;Flying Coin;2;Leviathan Coin;3;Beast Coin;4;Vivid Fluid;4
Lagiacrus Faulds;2;5;1;0;1;3;22;-4;2;-1;1;-1;FastCharge;1;Tenderizer;3;Status;-2;CurrentRes;2;;;Lagiacrus Horn;1;Shell Shocker;2;Lagiacrus Scale;4;Isisium;1
Lagiacrus Coat;2;5;1;0;2;3;11;-3;3;0;2;0;Tenderizer;2;Status;-2;Normal Up;1;CurrentRes;2;;;Lagiacrus Horn;1;Shell Shocker;2;Lagiacrus Scale;4;Isisium;1
Rathalos Faulds;2;5;1;0;1;3;22;2;-2;-3;0;0;Attack;2;Fire Atk;1;Sharpener;3;Rec Level;-2;;;Rathalos Webbing;3;Rathalos Plate;1;Monster Bone+;3;Firestone;1
Rathalos Coat;2;5;1;0;2;3;11;3;-1;-2;1;1;Attack;2;Fire Atk;1;Pierce Up;3;Rec Level;-2;;;Rathalos Webbing;3;Rathalos Plate;1;Monster Bone+;3;Firestone;1
Duramboros Faulds;2;5;1;0;1;3;24;-4;1;1;2;-2;Attack;2;Rec Speed;2;Expert;-2;Survivor;3;;;Duram Mossplate;4;Duramboros Shell;4;Duram Tailbone;1;Wroggi Hide;4
Duramboros Coat;2;5;1;0;2;3;12;-3;2;2;3;-1;Attack;1;Rec Speed;2;Expert;-2;Survivor;3;;;Duram Mossplate;4;Duramboros Shell;4;Duram Tailbone;1;Wroggi Hide;4
Diablos Coil;2;5;2;0;1;3;24;2;0;0;0;-4;FastCharge;1;Expert;1;Tremor Res;3;Sharpener;-2;;;Diablos Shell;4;Diablos Fang;4;Majestic Horn;1;Rhenoplos Scalp;4
Diablos Coat;2;5;2;0;2;3;12;3;1;1;1;-3;Expert;1;Tremor Res;3;Precision;-2;Pierce Up;1;;;Diablos Shell;4;Diablos Fang;4;Majestic Horn;1;Rhenoplos Scalp;4
Uragaan Faulds;2;5;2;0;1;3;24;2;1;-2;-4;-1;Defense;4;Stam Drain;2;Bomb Boost;2;Swimming;-2;;;Uragaan Scute;2;Uragaan Scale;3;Monster Bone+;2;Volvidon Shell;3
Uragaan Coat;2;5;2;0;2;3;12;3;2;-1;-3;0;Defense;4;Normal Up;2;Bomb Boost;2;Swimming;-2;;;Uragaan Scute;2;Uragaan Scale;3;Monster Bone+;2;Volvidon Shell;3
Agnaktor Faulds;2;5;1;0;1;3;24;2;0;0;-4;-1;Guard;3;Fire Atk;2;Sharpness;1;Flame Aura;2;Potential;-1;Agnaktor Scale;6;Agnaktor Fin;2;Agnaktor Claw;1;Agnaktor Tail;1
Agnaktor Coat;2;5;2;0;2;3;12;3;1;1;-3;0;Fire Atk;1;Precision;1;Normal Up;2;Flame Aura;2;Potential;-1;Agnaktor Scale;6;Agnaktor Fin;2;Agnaktor Claw;1;Agnaktor Tail;1
