name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Leather Headgear;1;1;1;0;0;1;1;-1;0;1;0;0;Gathering;1;Speed Gatherer;2;Whim;2;;;;;Warm Pelt;1;Iron Ore;1;;;;
Piscine Mask;1;1;0;0;0;1;3;-2;-3;0;3;2;Oxygen;10;CurrentRes;1;;;;;;;Kelbi Horn;2;Airweed;2;Mystery Bone;2;;
Chainmail Headgear;1;1;1;0;0;1;4;2;-2;0;1;1;Health;1;Hunger;1;Combo Rate;4;;;;;Earth Crystal;1;Iron Ore;1;;;;
Yukumo Kasa;1;-1;0;0;0;1;2;-1;1;0;0;0;Protection;2;Sense;2;Wide-Range;3;;;;;;;;;;;;
Hunter's Helm;1;1;1;0;0;1;6;0;-3;0;1;0;Poison;-2;Psychic;2;Ranger;2;;;;;Machalite Ore;1;Iron Ore;1;Carpenterbug;2;;
Hunter's Cap;1;1;1;0;0;1;3;1;-2;1;2;1;Poison;-2;Psychic;4;Ranger;3;;;;;Machalite Ore;1;Iron Ore;1;Carpenterbug;2;;
Alloy Helm;1;1;1;0;0;1;6;-1;-2;0;1;-1;Expert;3;Wind Res;2;Sharpener;2;Gathering;-2;;;Machalite Ore;3;Earth Crystal;2;Iron Ore;3;;
Alloy Cap;1;1;1;0;0;1;3;0;-1;1;2;0;Reload Spd;2;Pellet Up;2;Pellet S+;2;Gathering;-1;;;Machalite Ore;3;Earth Crystal;2;Iron Ore;3;;
Bone Helm;1;1;0;0;0;1;7;1;-1;0;0;-2;Sleep;-2;KO;1;Maestro;1;Perception;2;;;Big Fin;3;Unknown Skull;1;Sharpened Fang;2;;
Bone Cap;1;1;1;0;0;1;4;2;0;1;1;-1;Sleep;-2;KO;1;Maestro;2;Perception;2;;;Big Fin;3;Unknown Skull;1;Sharpened Fang;2;;
Bnahabra Hat;1;3;0;0;0;2;9;-4;2;2;-1;-1;Paralysis;2;Attack;-2;Sheathing;1;Status;2;;;Bnahabra Shell;2;Bnahabra Wing;3;Killer Beetle;1;Carpenterbug;2
Bnahabra Headpiece;1;3;0;0;0;2;5;-3;3;3;0;0;Paralysis;2;Attack;-2;Sheathing;2;Status;3;;;Bnahabra Shell;2;Bnahabra Wing;3;Killer Beetle;1;Carpenterbug;2
Rhenoplos Helm;1;2;1;0;0;2;9;1;-1;1;-1;-1;Mud/Snow;1;KO;1;Ice Res;-2;Artillery;1;;;Rhenoplos Scalp;1;Rhenoplos Shell;2;Ice Crystal;2;;
Rhenoplos Cap;1;2;1;0;0;2;5;2;0;2;0;0;Mud/Snow;2;KO;2;Ice Res;-2;Artillery;1;;;Rhenoplos Scalp;1;Rhenoplos Shell;2;Ice Crystal;2;;
Jaggi Helm;1;2;1;0;0;2;10;-2;0;1;0;0;Stun;1;Attack;1;LastingPwr;-2;Gluttony;2;;;G.Jaggi Hide;3;G.Jaggi Claw;1;Jaggi Scale;2;Iron Ore;3
Jaggi Cap;1;2;1;0;0;2;5;-1;1;2;1;1;Stun;2;Attack;2;LastingPwr;-2;Gluttony;3;;;G.Jaggi Hide;3;G.Jaggi Claw;1;Jaggi Scale;2;Iron Ore;3
Arzuros Helm;1;2;1;0;0;2;11;-2;0;1;1;-1;Paralysis;-2;Defense;1;Rec Level;2;Anti-Theft;1;;;Arzuros Shell;2;Arzuros Pelt;2;Jumbo Bone;2;Carpenterbug;3
Arzuros Cap;1;2;1;0;0;2;6;-1;1;2;2;0;Paralysis;-2;Defense;1;Rec Level;3;Anti-Theft;1;;;Arzuros Shell;2;Arzuros Pelt;2;Jumbo Bone;2;Carpenterbug;3
Wroggi Hat;1;3;1;0;0;2;12;1;0;1;-1;-2;Poison;2;Stun;-2;Status;1;Sharpness;2;TeamPlayer;2;King's Beak;1;G.Wroggi Hide;2;Wroggi Scale;2;Killer Beetle;2
Wroggi Cap;1;3;1;0;0;2;6;2;1;2;0;-1;Poison;2;Stun;-2;Status;1;Normal Up;2;TeamPlayer;2;King's Beak;1;G.Wroggi Hide;2;Wroggi Scale;2;Killer Beetle;2
Qurupeco Helm;1;3;1;0;0;2;14;2;0;0;-1;-3;Wind Res;2;Maestro;2;Wide-Range;1;Eating;-2;;;Strange Beak;2;Qurupeco Feather;2;Monster Bone M;2;Carpenterbug;3
Qurupeco Cap;1;3;1;0;0;2;7;3;1;1;0;-2;Wind Res;2;Pellet Up;2;Wide-Range;2;Eating;-2;;;Strange Beak;2;Qurupeco Feather;2;Monster Bone M;2;Carpenterbug;3
Ludroth Helm;1;3;0;0;0;2;14;-3;-1;1;2;-1;Heat Res;2;Stamina;2;Water Atk;2;ThunderRes;-2;Oxygen;2;R.Ludroth Crest;2;R.Ludroth Tail;1;R.Ludroth Scale;2;Carpenterbug;3
Ludroth Cap;1;3;1;0;0;2;7;-2;0;2;3;0;Heat Res;2;Stamina;3;Water Atk;2;ThunderRes;-2;Oxygen;1;R.Ludroth Crest;2;R.Ludroth Tail;1;R.Ludroth Scale;2;Carpenterbug;3
Baggi Helm;1;4;0;0;0;2;15;-2;0;0;0;1;Sleep;2;Rec Speed;2;Fire Atk;-2;Ice Atk;1;TeamLeader;2;G.Baggi Hide;3;G.Baggi Claw;2;Baggi Scale;3;Isisium;2
Baggi Cap;1;4;0;0;0;2;8;-1;1;1;1;2;Sleep;2;Rec Speed;3;Fire Atk;-2;Ice Atk;1;TeamLeader;2;G.Baggi Hide;3;G.Baggi Claw;2;Baggi Scale;3;Isisium;2
Lagombi Helm;1;4;0;0;0;2;15;-2;-1;0;0;1;Heat Res;-2;Cold Res;2;Evade Dist;2;LastingPwr;4;;;Lagombi Ear;2;Jumbo Bone;2;Baggi Hide;4;Isisium;2
Lagombi Cap;1;4;0;0;0;2;8;-1;0;1;1;2;Heat Res;-2;Cold Res;3;Evade Dist;3;LastingPwr;3;;;Lagombi Ear;2;Jumbo Bone;2;Baggi Hide;4;Isisium;2
Barroth Helm;1;3;1;0;0;2;16;0;1;0;0;-2;Attack;2;Defense;1;Guard;3;Hunger;-2;;;Barroth Ridge;2;Barroth Shell;1;Barroth Scalp;1;Rhenoplos Scalp;2
Barroth Cap;1;3;1;0;0;2;8;1;2;1;1;-1;Attack;3;Defense;2;Precision;4;Hunger;-2;;;Barroth Ridge;2;Barroth Shell;1;Barroth Scalp;1;Rhenoplos Scalp;2
Volvidon Helm;2;5;0;0;0;2;16;1;0;1;-3;-1;Attack;2;Tremor Res;3;Cold Res;-2;Evasion;1;;;Volvidon Claw;2;Volvidon Shell;2;Monster Fluid;2;Dragonite Ore;4
Volvidon Cap;2;5;0;0;0;2;8;2;1;2;-2;0;Attack;1;Cold Res;-2;Evasion;3;Normal Up;3;;;Volvidon Claw;2;Volvidon Shell;2;Monster Fluid;2;Dragonite Ore;4
Gobul Helm;1;4;2;0;0;2;17;-2;-3;1;2;0;Rec Speed;-2;Expert;1;Eating;2;Swimming;1;;;Gobul Whisker;2;Gobul Lantern;1;Gobul Hide;3;Monster Bone M;4
Gobul Cap;1;4;2;0;0;2;9;-1;-2;2;3;1;Rec Speed;-2;Expert;2;Eating;3;Swimming;2;;;Gobul Whisker;2;Gobul Lantern;1;Gobul Hide;3;Monster Bone M;4
Rathian Helm;1;4;0;0;0;2;18;2;-2;-3;0;0;Health;3;Rec Speed;-2;Fire Atk;2;Rec Level;3;;;Rathian Spike;1;Rathian Scale;4;Rathian Shell;3;Earth Crystal;5
Rathian Cap;1;4;0;0;0;2;9;3;-1;-2;1;1;Health;4;Rec Speed;-2;Fire Atk;3;Rec Level;4;;;Rathian Spike;1;Rathian Scale;4;Rathian Shell;3;Earth Crystal;5
Gigginox Helm;2;4;1;0;0;2;18;-4;1;-1;0;1;Protection;-2;Hearing;2;Status;1;Sharpener;2;;;Uncanny Hide;2;Gigginox Hide;3;Poison Sac;2;G.Baggi Hide;3
Gigginox Cap;2;4;1;0;0;2;9;-3;2;0;1;2;Protection;-2;Hearing;3;Status;2;Reload Spd;2;;;Uncanny Hide;2;Gigginox Hide;3;Poison Sac;2;G.Baggi Hide;3
Ingot Helm;2;5;1;0;0;2;19;-2;2;0;-2;0;Sheathing;3;Guard Boost;2;ThunderAtk;1;Whim;-2;;;Dragonite Ore;2;Isisium;2;Pelagicite Ore;1;Lightcrystal;1
Ingot Cap;2;5;1;0;0;2;10;-1;3;1;-1;1;ThunderAtk;1;Recoil;3;Pellet Up;2;Whim;-2;;;Dragonite Ore;2;Isisium;2;Pelagicite Ore;1;Lightcrystal;1
Barioth Helm;2;5;1;0;0;3;20;-4;-1;0;0;2;Constitutn;1;Stam Recov;-2;Evasion;2;Ice Atk;3;;;Amber Tusks;2;Barioth Pelt;3;Barioth Shell;2;Killer Beetle;6
Barioth Cap;2;5;2;0;0;3;10;-3;0;1;1;3;Constitutn;2;Stam Recov;-1;Evasion;2;Ice Atk;3;;;Amber Tusks;2;Barioth Pelt;3;Barioth Shell;2;Killer Beetle;6
Jaggi Mask;2;5;0;0;0;3;10;0;0;0;0;0;Speed Gatherer;10;;;;;;;;;Great Jaggi Head;1;G.Jaggi Hide;3;King's Frill;1;Firestone;2
Nibelsnarf Helm;2;5;1;0;0;2;21;2;-2;1;0;-4;Mud/Snow;3;Sheathing;1;Hunger;-2;Eating;2;;;Nibelsnarf Scalp;1;Nibelsnarf Shell;2;Monster Bone M;5;G.Jaggi Hide;2
Nibelsnarf Cap;2;5;1;0;0;2;11;3;-1;2;1;-3;Mud/Snow;3;Sheathing;2;Hunger;-2;Eating;3;;;Nibelsnarf Scalp;1;Nibelsnarf Shell;2;Monster Bone M;5;G.Jaggi Hide;2
Guild Bard Lobos;2;5;0;1;0;3;21;0;0;0;0;0;Health;3;Sense;-2;Fate;2;Psychic;2;;;Flying Coin;2;Leviathan Coin;3;Beast Coin;4;Volvi Rickrack;3
Guild Bard Hat;2;5;0;1;0;3;11;1;1;1;1;1;Health;3;Sense;-2;Fate;3;Psychic;2;;;Flying Coin;2;Leviathan Coin;3;Beast Coin;4;Volvi Rickrack;3
Scholar's Beret;2;5;0;2;0;3;21;0;0;0;0;0;Health;3;Sense;-2;Fate;2;Psychic;2;;;Flying Coin;2;Leviathan Coin;3;Beast Coin;4;Volvi Rickrack;3
Scholar's Cap;2;5;0;2;0;3;11;1;1;1;1;1;Health;3;Sense;-2;Fate;3;Psychic;2;;;Flying Coin;2;Leviathan Coin;3;Beast Coin;4;Volvi Rickrack;3
Lagiacrus Helm;2;5;2;0;0;3;22;-4;2;-1;1;-1;FastCharge;1;Tenderizer;1;Status;-3;CurrentRes;2;;;Lagiacrus Horn;2;Lagiacrus Hide;3;Lagiacrus Scale;3;Isisium;2
Lagiacrus Cap;2;5;2;0;0;3;11;-3;3;0;2;0;Tenderizer;3;Status;-2;Normal Up;1;CurrentRes;2;;;Lagiacrus Horn;2;Lagiacrus Hide;3;Lagiacrus Scale;3;Isisium;2
Rathalos Helm;2;5;0;0;0;3;22;2;-2;-3;0;0;Attack;3;Fire Atk;1;Sharpener;2;Rec Level;-2;;;Rathalos Scale;3;Rathalos Shell;3;Rath Talon;1;Dragonite Ore;3
Rathalos Cap;2;5;0;0;0;3;11;3;-1;-2;1;1;Attack;4;Fire Atk;2;Pierce Up;2;Rec Level;-2;;;Rathalos Scale;3;Rathalos Shell;3;Rath Talon;1;Dragonite Ore;3
Duramboros Helm;2;5;1;0;0;3;24;-4;1;1;2;-2;Attack;3;Rec Speed;1;Expert;-2;Survivor;2;;;Duramboros Horn;2;Duramboros Shell;4;Monster Bone+;3;Rhenoplos Shell;3
Duramboros Cap;2;5;1;0;0;3;12;-3;2;2;3;-1;Attack;4;Rec Speed;3;Expert;-2;Survivor;2;;;Duramboros Horn;2;Duramboros Shell;4;Monster Bone+;3;Rhenoplos Shell;3
Diablos Helm;2;5;1;0;0;3;24;2;0;0;0;-4;FastCharge;1;Expert;2;Tremor Res;1;Sharpener;-2;;;Diablos Tailcase;2;Diablos Shell;4;Diablos Ridge;2;G.Wroggi Hide;5
Diablos Cap;2;5;1;0;0;3;12;3;1;1;1;-3;Expert;2;Tremor Res;1;Precision;-2;Pierce Up;1;;;Diablos Tailcase;2;Diablos Shell;4;Diablos Ridge;2;G.Wroggi Hide;5
Uragaan Helm;2;5;1;0;0;3;24;2;1;-2;-4;-1;Defense;3;Stam Drain;1;Bomb Boost;2;Swimming;-2;;;Uragaan Shell;3;Uragaan Marrow;1;Uragaan Scale;4;Dragonite Ore;3
Uragaan Cap;2;5;1;0;0;3;12;3;2;-1;-3;0;Defense;4;Normal Up;1;Bomb Boost;2;Swimming;-2;;;Uragaan Shell;3;Uragaan Marrow;1;Uragaan Scale;4;Dragonite Ore;3
Agnaktor Helm;2;5;0;0;0;3;24;2;0;0;-4;-1;Guard;2;Fire Atk;2;Sharpness;2;Flame Aura;2;Potential;-1;Agnaktor Shell;5;Agnaktor Beak;1;Agnaktor Hide;3;Dragonite Ore;5
Agnaktor Cap;2;5;0;0;0;3;12;3;1;1;-3;0;Fire Atk;2;Precision;4;Normal Up;5;Flame Aura;2;Potential;-1;Agnaktor Shell;5;Agnaktor Beak;1;Agnaktor Hide;3;Dragonite Ore;5
