english;spanish;french;italian;german;japanese;chinese
Poison;;Poison;;Gift;毒;毒
Paralysis;;Paralysie;;Lähmung;麻痺;麻痹
Sleep;;Sommeil;;Schlaf;睡眠;睡眠
Stun;;Étourdir;;Betäuben;気絶;气绝
Mud/Snow;;Boue/Neige;;Schl/Schn.;耐泥耐雪;耐泥耐雪
Antiseptic;;Stériliser;;Antisept.;抗菌;抗菌
Def Lock;;Assurance;;Abw.Sperre;対防御DOWN;对防御ＤＯＷＮ
Dungmaster;;Bousier;;Dungmeist.;こやし;肥料
Biology;;Biologie;;Biologie;細菌学;细菌学
Attack;;Attaque;;Angriff;攻撃;攻击
Defense;;Défense;;Verteidigung;防御;防御
Health;;Vie;;Gesundheit;体力;体力
Rec Speed;;Récup.;;ErholGschw;回復速度;回复速度
Protection;;Protection;;Schutz;加護;加护
Sheathing;;Rengainage;;Wegstecken;納刀;收刀
FastCharge;;Charger;;Schn.lad.;溜め短縮;蓄力缩短
Expert;;Expert;;Experte;達人;达人
Tenderizer;;Attendrir;;Klopfer;痛撃;痛击
Destroyer;;Destruction;;Zerstörer;重撃;重击
KO;;KO;;Knock-out;KO;ＫＯ
Stam Drain;;Drainer;;Ausd.Entz.;減気攻撃;灭气攻击
Constitutn;;Ninja;;Konstitutn;体術;体术
Hearing;;Ouïe;;Gehör;聴覚保護;听觉保护
Wind Res;;Vent;;Windabwehr;風圧;风压
Tremor Res;;Séisme;;Bebenabw.;耐震;耐震
Heat Res;;Chaleur;;Hitzeabw.;耐暑;耐暑
Cold Res;;Froid;;Kälteabw.;耐寒;耐寒
Stamina;;Stamina;;Ausdauer;スタミナ;耐力
Stam Recov;;Récupérer;;AusdErholg;気力回復;气力回复
Evasion;;Évasion;;Ausweichen;回避性能;回避性能
Evade Dist;;Esquive;;Ausweichdst;回避距離;回避距離
Dive Dist;;Dérobade;;Tauchentf.;飛距離;飞距离
Sense;;Sens;;Spürsinn;気配;气息
Guard;;Garde;;Block;ガード性能;防御性能
Guard Up;;Paladin;;Block hoch;ガード強化;防御强化
Auto-Guard;;Garde auto;;Autoblock;自動防御;自动防御
Status;;Statut;;Status;特殊攻撃;特殊攻击
Fire Atk;;Att. Feu;;Feuerangr.;火属性攻撃;火属性攻击
Water Atk;;Att. Eau;;Wasserang.;水属性攻撃;水属性攻击
ThunderAtk;;At. Foudre;;Donnerang.;雷属性攻撃;雷属性攻击
Ice Atk;;Att. Glace;;Eisangriff;氷属性攻撃;冰属性攻击
Dragon Atk;;At. Dragon;;Drachenan.;龍属性攻撃;龍属性攻击
Elemental;;Élémental;;Element;属性攻撃;属性攻击
Fire Res;;Feu;;Feuerabw.;火耐性;火耐性
Water Res;;Eau;;Wasserabw.;水耐性;水耐性
ThunderRes;;Foudre;;Donnerabw.;雷耐性;雷耐性
Ice Res;;Glace;;Eisabwehr;氷耐性;冰耐性
Dragon Res;;Dragon;;Drachenabw.;龍耐性;龍耐性
Sharpness;;Tranchant;;Schärfe;斬れ味;锋利度
Handicraft;;Artisanat;;Handwerk;匠;匠
Fencing;;Escrime;;Fechten;剣術;剑术
Sharpener;;Aiguiseur;;Schärfer;研ぎ師;研磨师
PunishDraw;;Punition;;StrafHieb;抜刀減気;拔刀灭气
Crit Draw;;Critique;;KritHieb;抜刀会心;拔刀会心
Reload Spd;;Recharger;;NachlGesch;装填速度;装填速度
Loading;;Munitions;;Kapazität;装填数;装填数
Rapid Fire;;Sniper;;Schnellfeu;速射;速射
Recoil;;Recul;;Rückstoß;反動;后坐力
Precision;;Précision;;Präzision;精密射撃;精密射击
Normal Up;;Normale G;;NormlShoch;通常弾強化;通常弹强化
Pierce Up;;Perçante G;;PiercShoch;貫通弾強化;贯通弹强化
Pellet Up;;Plomb G;;SchrtShoch;散弾強化;散弹强化
Normal S+;;Normale +;;NormlSzufü;通常弾追加;通常弹追加
Pierce S+;;Perçante +;;PiercSzufü;貫通弾追加;贯通弹追加
Pellet S+;;Plomb +;;SchrtSzufü;散弾追加;散弹追加
Crag S+;;Explosive +;;CragSzufüg;榴弾追加;榴弹追加
Clust S+;;Frag. +;;StreuSzufüg;拡散弾追加;扩散弹追加
Slicing S+;;Tranch. +;;SchnittSzf;斬裂弾追加;斩裂弹追加
Slime S+;;Poiss. +;;SchleimSzf;爆破弾追加;爆破弹追加
Poison C+;;E. pois. +;;Gift B+;毒瓶追加;毒瓶追加
Para C+;;E. para. +;;Lähm B+;麻痺瓶追加;麻痹瓶追加
Sleep C+;;E. somm. +;;Schlaf B+;睡眠瓶追加;睡眠瓶追加
Power C+;;E. éner. +;;Kraft B+;強撃瓶追加;强击瓶追加
C.Range C+;;E. càc +;;Nahkampf B+;接撃瓶追加;接撃瓶追加
Exhaust C+;;E. épui. +;;Ermüd. B+;減気瓶追加;灭气瓶追加
Slime C+;;E. poiss.+;;Schleim B+;爆破瓶追加;爆破瓶追加
Maestro;;Musique;;Maestro;笛;笛
Artillery;;Artillerie;;Artillerie;砲術;炮术
Bomb Boost;;Bombardier;;BombStärk.;爆弾強化;爆弹强化
Rec Level;;Restaurer;;ErholStufe;回復量;回复量
Wide-Range;;Soutien;;Großraum;広域;广域
LastingPwr;;Objets;;EwigeKraft;効果持続;效果持续
Hunger;;Appétit;;Hunger;腹減り;饥饿
Gluttony;;Gastronome;;Schlemmen;食いしん坊;大胃王
Eating;;Repas;;Essen;食事;食事
Carnivore;;Carnivore;;Fleischfr.;肉食;肉食
Combo Rate;;Inventeur;;Combi-Rate;調合成功率;调合成功率
Combo Plus;;Alchimiste;;CombiBonus;調合数;调合数
Gathering;;Collecte;;Sammeln;採取;采集
Spd Gather;;Chapardeur;;SchnllSamm;高速収集;高速收集
Whim;;Lubie;;Laune;気まぐれ;反复无常
Honey;;Miel;;Honig;ハチミツ;蜂蜜
Charmer;;Charme;;AmulFinder;護石王;护石王
Fate;;Destin;;Schicksal;運気;运气
Carving;;Dépeçage;;Zerlegen;剥ぎ取り;剥取
Tranquilzr;;Capture;;Beruhigung;捕獲;捕获
Perception;;Perception;;Wahrnehmen;観察眼;观察眼
Psychic;;Lucidité;;Vision;千里眼;千里眼
Transportr;;Convoyeur;;Rucksack;運搬;搬运
Ranger;;Ranger;;Ranger;狩人;狩人
Anti-Theft;;Antivol;;Anti-Dieb;盗み無効;偷盗无效
SpeedSetup;;Piège;;SchnllAufb;高速設置;高速设置
Flame Aura;;Aura feu;;Flammenau.;燃鱗;燃鳞
Oxygen;;Oxygène;;Sauerstoff;酸素;氧气
CurrentRes;;Courant;;Stromabw.;水流;水流
Swimming;;Natation;;Schwimmen;泳ぎ;游泳
Sea Legs;;Aquatique;;Seefest;水の心;水之心
Potential;;Potentiel;;Potenzial;底力;底力
Survivor;;Survivant;;Überleben;逆境;逆境
Gloves Off;;Puissance;;Brachial;本気;认真
Spirit;;Courage;;Elan;闘魂;斗魂
Unscathed;;Indemne;;Unversehrt;無傷;无伤
FreeElemnt;;Réveil;;FreiElemnt;属性解放;属性解放
Blight Res;;Fléau;;Brandabw.;属性耐性;属性耐性
Guts;;Bravoure;;Mut;根性;根性
TeamPlayer;;Collectif;;Teamspiel.;采配;指令
TeamLeader;;Leader;;Teamanfüh.;号令;号令
Status Res;;Res Statut;;Statusabw.;状態耐性;状态耐性
Fury;;Furie;;Zorn;怒;怒
Edgemaster;;Aiguiseur (Edgemaster);;Schneidmst;刀匠;刀匠
SteadyHand;;Fermeté;;Sichere Hd;射手;射手
Unshakable;;Constance;;Unerschütt;不動;不动
Torso Up;;Torse +;;RumpfVerst;胴系統倍化;胴系統倍化
Negate Poison;;Antidote;;Gift nichtig;毒無効;毒无效
Double Poison;;Venin;;Doppeltes Gift;毒倍加;毒倍加
Negate Paralysis;;Anti-paralysie;;Lähmung nichtig;麻痺無効;麻痹无效
Double Paralysis;;Super paralysie;;Doppelte Lähmung;麻痺倍加;麻痹倍加
Negate Sleep;;Noctambule;;Schlaf nichtig;睡眠無効;睡眠无效
Double Sleep;;Hypersomnie;;Doppelter Schlaf;睡眠倍加;睡眠倍加
Halve Stun;;Crâne de pierre;;Halbes Betäuben;気絶確率半減;气绝几率减半
Negate Stun;;Crâne de fer;;Betäuben nichtig;気絶無効;气绝无效
Double Stun;;Menton de verre;;Dopp. Betäuben;気絶倍加;气绝倍加
Negate Mud/Snow;;Anti-boue/neige;;Schl/Schn nicht.;泥＆雪無効;泥＆雪无效
Antiseptic;;Antiseptique;;Antiseptik;抗菌;抗菌
Iron Skin;;Peau d'acier;;Eisenhaut;鉄面皮;铁面皮
Dung Bomb Expert;;Maître bousier;;Dungbomben-Exp.;こやし玉名人;肥料弹名人
Bio Master;;Maître bio;;Bio-Meister;バイオドクター;生物博士
Attack Up (S);;Attaque +1;;Angriff +;攻撃力UP【小】;攻击力ＵＰ【小】
Attack Up (M);;Attaque +2;;Angriff ++;攻撃力UP【中】;攻击力ＵＰ【中】
Attack Up (L);;Attaque +3;;Angriff +++;攻撃力UP【大】;攻击力ＵＰ【大】
Attack Down (S);;Attaque -1;;Angriff -;攻撃力DOWN【小】;攻击力ＤＯＷＮ【小】
Attack Down (M);;Attaque -2;;Angriff --;攻撃力DOWN【中】;攻击力ＤＯＷＮ【中】
Attack Down (L);;Attaque -3;;Angriff ---;攻撃力DOWN【大】;攻击力ＤＯＷＮ【大】
Defense Up (S);;Défense +1;;Verteidigung +;防御力UP【小】;防御力ＵＰ【小】
Defense Up (M);;Défense +2;;Verteidigung ++;防御力UP【中】;防御力ＵＰ【中】
Defense Up (L);;Défense +3;;Verteidigung +++;防御力UP【大】;防御力ＵＰ【大】
Defense Down (S);;Défense -1;;Verteidigung -;防御力DOWN【小】;防御力ＤＯＷＮ【小】
Defense Down (M);;Défense -2;;Verteidigung --;防御力DOWN【中】;防御力ＤＯＷＮ【中】
