name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Leather Pants;1;1;0;0;0;1;1;-1;0;1;0;0;Gathering;2;Speed Gatherer;2;Whim;3;;;;;Warm Pelt;2;;;;;;
Piscine Breeches;1;1;1;0;0;1;3;-2;-3;0;3;2;CurrentRes;1;Swimming;8;;;;;;;Hydro Hide;2;Big Fin;1;;;;
Chainmail Pants;1;1;1;0;0;1;4;2;-2;0;1;1;Health;2;Hunger;2;Combo Rate;2;;;;;Iron Ore;2;Warm Pelt;2;;;;
Yukumo Hakama;1;-1;0;0;0;1;2;-1;1;0;0;0;Protection;2;Sense;2;Wide-Range;3;;;;;;;;;;;;
Loc Lac Boots;1;1;0;0;0;1;5;2;1;0;-3;0;Dungmaster;3;Hunger;3;Transportr;5;;;;;Altaroth Jaw;3;Altaroth Stomach;2;Ice Crystal;3;;
Hunter's Greaves;1;1;0;0;1;1;6;0;-3;0;1;0;Poison;-1;Psychic;3;Ranger;3;;;;;Iron Ore;1;Earth Crystal;1;Monster Bone S;2;;
Hunter's Leggings;1;1;0;0;2;1;3;1;-2;1;2;1;Poison;-1;Psychic;3;Ranger;3;;;;;Iron Ore;1;Earth Crystal;1;Monster Bone S;2;;
Alloy Greaves;1;1;0;0;1;1;6;-1;-2;0;1;-1;Torso Up;1;;;;;;;;;Machalite Ore;4;Earth Crystal;2;Iron Ore;2;;
Alloy Leggings;1;1;0;0;2;1;3;0;-1;1;2;0;Torso Up;1;;;;;;;;;Machalite Ore;4;Earth Crystal;2;Iron Ore;2;;
Bone Greaves;1;2;1;0;1;1;7;1;-1;0;0;-2;Sleep;-1;KO;2;Maestro;4;Perception;1;;;Monster Bone M;2;Bone;2;Mystery Bone;4;;
Bone Leggings;1;2;1;0;2;1;4;2;0;1;1;-1;Sleep;-1;KO;2;Maestro;3;Perception;1;;;Monster Bone M;2;Bone;2;Mystery Bone;4;;
Bnahabra Boots;1;3;0;0;1;2;9;-4;2;2;-1;-1;Paralysis;2;Attack;-1;Sheathing;2;Status;3;;;Bnahabra Shell;2;Bnahabra Wing;3;Killer Beetle;2;Carpenterbug;3
Bnahabra Pants;1;3;0;0;2;2;5;-3;3;3;0;0;Paralysis;2;Attack;-1;Sheathing;1;Status;3;;;Bnahabra Shell;2;Bnahabra Wing;3;Killer Beetle;2;Carpenterbug;3
Rhenoplos Greaves;1;2;0;0;1;2;9;1;-1;1;-1;-1;Mud/Snow;3;KO;3;Ice Res;-1;Artillery;3;;;Rhenoplos Shell;2;Monster Bone S;6;Ice Crystal;2;;
Rhenoplos Leggings;1;2;0;0;2;2;5;2;0;2;0;0;Mud/Snow;3;KO;2;Ice Res;-1;Artillery;3;;;Rhenoplos Shell;2;Monster Bone S;6;Ice Crystal;2;;
Jaggi Greaves;1;1;1;0;1;2;10;-2;0;1;0;0;Stun;3;Attack;3;LastingPwr;-1;Gluttony;1;;;Jaggi Hide;4;Jaggi Scale;3;Monster Bone S;4;Machalite Ore;2
Jaggi Leggings;1;1;1;0;2;2;5;-1;1;2;1;1;Stun;3;Attack;2;LastingPwr;-1;Gluttony;1;;;Jaggi Hide;4;Jaggi Scale;3;Monster Bone S;4;Machalite Ore;2
Arzuros Greaves;1;2;0;0;1;2;11;-2;0;1;1;-1;Torso Up;1;;;;;;;;;Arzuros Brace;2;Arzuros Pelt;2;Bnahabra Shell;2;Flashbug;3
Arzuros Leggings;1;2;0;0;2;2;6;-1;1;2;2;0;Torso Up;1;;;;;;;;;Arzuros Brace;2;Arzuros Pelt;2;Bnahabra Shell;2;Flashbug;3
Wroggi Greaves;1;3;1;0;1;2;12;1;0;1;-1;-2;Poison;4;Stun;-1;Status;1;Sharpness;1;TeamPlayer;2;G.Wroggi Brace;2;G.Wroggi Hide;2;Wroggi Hide;3;Carpenterbug;3
Wroggi Leggings;1;3;1;0;2;2;6;2;1;2;0;-1;Poison;3;Stun;-1;Status;1;Normal Up;1;TeamPlayer;2;G.Wroggi Brace;2;G.Wroggi Hide;2;Wroggi Hide;3;Carpenterbug;3
Qurupeco Greaves;1;3;1;0;1;2;14;2;0;0;-1;-3;Wind Res;2;Maestro;3;Wide-Range;3;Eating;-1;;;Qurupeco Scale;2;Vivid Feather;1;Monster Bone S;4;Killer Beetle;2
Qurupeco Leggings;1;3;1;0;2;2;7;3;1;1;0;-2;Wind Res;2;Pellet Up;3;Wide-Range;2;Eating;-1;;;Qurupeco Scale;2;Vivid Feather;1;Monster Bone S;4;Killer Beetle;2
Ludroth Greaves;1;3;1;0;1;2;14;-3;-1;1;2;-1;Heat Res;2;Stamina;2;Water Atk;2;ThunderRes;-1;Oxygen;2;R.Ludroth Claw;2;R.Ludroth Scale;3;Spongy Hide;2;Carpenterbug;3
Ludroth Leggings;1;3;1;0;2;2;7;-2;0;2;3;0;Heat Res;2;Stamina;2;Water Atk;2;ThunderRes;-1;Oxygen;2;R.Ludroth Claw;2;R.Ludroth Scale;3;Spongy Hide;2;Carpenterbug;3
Baggi Greaves;1;4;0;0;1;2;15;-2;0;0;0;1;Sleep;3;Rec Speed;3;Fire Atk;-1;Ice Atk;1;TeamLeader;2;Baggi Hide;4;Baggi Scale;3;Monster Bone S;6;Lightcrystal;1
Baggi Leggings;1;4;0;0;2;2;8;-1;1;1;1;2;Sleep;2;Rec Speed;3;Fire Atk;-2;Ice Atk;1;TeamLeader;3;Baggi Hide;4;Baggi Scale;3;Monster Bone S;6;Lightcrystal;1
Lagombi Greaves;1;4;2;0;1;2;15;-2;-1;0;0;1;Heat Res;-2;Cold Res;1;Evade Dist;2;LastingPwr;1;;;Lagombi Pelt;2;Lagom Plastron;2;Lagombi Claw;1;Carpenterbug;8
Lagombi Leggings;1;4;2;0;2;2;8;-1;0;1;1;2;Heat Res;-2;Cold Res;1;Evade Dist;2;LastingPwr;1;;;Lagombi Pelt;2;Lagom Plastron;2;Lagombi Claw;1;Carpenterbug;8
Barroth Greaves;1;3;1;0;1;2;16;4;1;0;-4;-2;Attack;2;Defense;3;Guard;1;Hunger;-2;;;Barroth Shell;2;Barroth Tail;1;Monster Bone L;2;Rhenoplos Shell;3
Barroth Leggings;1;3;1;0;2;2;8;5;2;1;-3;-1;Attack;2;Defense;3;Precision;1;Hunger;-2;;;Barroth Shell;2;Barroth Tail;1;Monster Bone L;2;Rhenoplos Shell;3
Volvidon Greaves;2;5;0;0;1;2;16;1;0;1;-3;-1;Torso Up;1;;;;;;;;;Volvidon Claw;2;Volvidon Shell;2;Volvi Rickrack;1;Earth Crystal;4
Volvidon Leggings;2;5;0;0;2;2;8;2;1;2;-2;0;Torso Up;1;;;;;;;;;Volvidon Claw;2;Volvidon Shell;2;Volvi Rickrack;1;Earth Crystal;4
Gobul Greaves;1;4;1;0;1;2;17;-2;-3;1;2;0;Rec Speed;-2;Expert;2;Eating;2;Swimming;3;;;Gobul Spike;2;Gobul Hide;4;Gobul Fin;1;Monster Bone M;5
Gobul Leggings;1;4;1;0;2;2;9;-1;-2;2;3;1;Rec Speed;-2;Expert;1;Eating;2;Swimming;2;;;Gobul Spike;2;Gobul Hide;4;Gobul Fin;1;Monster Bone M;5
Rathian Greaves;1;4;2;0;1;2;18;2;-2;-3;0;0;Health;2;Rec Speed;-2;Fire Atk;1;Rec Level;1;;;Rathian Shell;3;Rathian Scale;4;Monster Bone L;3;Lightcrystal;1
