name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Brave's Gloves;1;1;0;0;0;1;1;2;0;1;0;0;Gathering;3;Fate;2;Health;-2;Rider;2;;;Monster Bone S;1;;;;;;
Leather Gloves;1;1;1;0;0;1;1;-1;0;1;0;0;Gathering;1;Whim;1;;;;;;;Warm Pelt;2;;;;;;
Chainmail Gloves;1;1;1;0;0;1;4;2;-2;0;1;1;Health;1;Hunger;2;;;;;;;Iron Ore;1;Whetstone;2;;;;
Hunter's Vambraces;1;1;1;0;1;1;6;0;-3;0;1;0;Combo Rate;1;Ranger;3;Poison;-1;;;;;Earth Crystal;1;Jaggi Scale;2;Ivy;1;;
Hunter's Guards;1;1;1;0;2;1;3;1;-2;1;2;1;Combo Rate;1;Ranger;3;Poison;-1;;;;;Earth Crystal;1;Jaggi Scale;2;Ivy;1;;
Bone Vambraces;1;2;1;0;1;1;7;1;-1;0;0;-2;KO;3;Maestro;1;;;;;;;Mystery Bone;2;Monster Bone S;2;Monster Fluid;2;;
Bone Guards;1;2;1;0;2;1;4;2;0;1;1;-1;KO;3;Maestro;1;;;;;;;Mystery Bone;2;Monster Bone S;2;Monster Fluid;2;;
Alloy Vambraces;1;1;1;0;1;1;8;-1;-2;0;1;-1;Defense;2;Gathering;-1;Wind Res;1;;;;;Machalite Ore;2;Earth Crystal;2;Iron Ore;4;;
Alloy Guards;1;1;1;0;2;1;4;0;-1;1;2;0;Gathering;-1;Pellet Up;1;Pellet S+;2;;;;;Machalite Ore;2;Earth Crystal;2;Iron Ore;4;;
Rhenoplos Vambraces;1;3;1;0;1;2;8;1;-1;1;-1;-1;Artillery;2;KO;3;Faint;-2;Snow/Mud Res;1;;;Rhenoplos Shell;2;Monster Bone M;4;Iron Ore;2;;
Rhenoplos Guards;1;3;1;0;2;2;4;2;0;2;0;0;Artillery;2;KO;2;Faint;-2;Snow/Mud Res;1;;;Rhenoplos Shell;2;Monster Bone M;4;Iron Ore;2;;
Bnahabra Gloves;1;2;0;0;1;2;10;-4;2;2;-1;-1;Attack;-2;Status;2;Sheathing;3;Paralysis;1;;;Bnahabra Wing;3;Bnahabra Shell;2;Altaroth Stomach;2;Flashbug;2
Bnahabra Cuffs;1;2;0;0;2;2;5;-3;3;3;0;0;Attack;-2;Status;2;Sheathing;3;Paralysis;1;;;Bnahabra Wing;3;Bnahabra Shell;2;Altaroth Stomach;2;Flashbug;2
Jaggi Vambraces;1;2;1;0;1;2;10;-2;0;1;0;0;Sharpening Speed;4;Lasting Power;-2;Faint;1;;;;;Great Jaggi Claw;2;Great Jaggi Hide;3;Jaggi Scale;2;Earth Crystal;2
Jaggi Guards;1;2;1;0;2;2;5;-1;1;2;1;1;Reload Speed;4;Lasting Power;-2;Faint;1;;;;;Great Jaggi Claw;2;Great Jaggi Hide;3;Jaggi Scale;2;Earth Crystal;2
Kunchuu Vambraces;1;2;1;0;1;2;12;2;2;2;2;2;Defense;6;Thunder Res;-2;;;;;;;Kunchuu Shell;5;Sharpened Fang;3;Iron Ore;2;Gluehopper;1
Kunchuu Guards;1;2;1;0;2;2;6;3;3;3;3;3;Defense;6;Thunder Res;-2;;;;;;;Kunchuu Shell;5;Sharpened Fang;3;Iron Ore;2;Gluehopper;1
Genprey Vambraces;2;3;1;0;1;2;12;1;-2;2;1;-3;Status;3;Rec Speed;-2;Paralysis;1;;;;;Gendrome Hide;2;Genprey Scale;3;Iron Ore;2;Genprey Fang;5
Genprey Guards;2;3;1;0;2;2;6;2;-1;3;2;-2;Status;3;Rec Speed;-2;Paralysis;1;;;;;Gendrome Hide;2;Genprey Scale;3;Iron Ore;2;Genprey Fang;5
Velociprey Vambraces;1;2;0;0;1;2;13;0;0;2;0;-4;Attack;4;Psychic;2;Paralysis;-2;Faint;1;;;Velocidrome Claw;2;Velocidrome Hide;3;Velociprey Scale;2;Earth Crystal;3
Velociprey Guards;1;2;0;0;2;2;7;1;1;3;1;-3;Attack;4;Psychic;2;Paralysis;-2;Faint;1;;;Velocidrome Claw;2;Velocidrome Hide;3;Velociprey Scale;2;Earth Crystal;3
Arzuros Vambraces;-1;3;1;0;1;2;13;-2;0;1;1;-1;Speed Gatherer;3;Gluttony;1;Hunger;-2;Honey;2;;;Arzuros Shell;2;Arzuros Pelt;2;Altaroth Stomach;1;;
Arzuros Guards;-1;3;1;0;2;2;7;-1;1;2;2;0;Speed Gatherer;3;Gluttony;1;Hunger;-2;Honey;2;;;Arzuros Shell;2;Arzuros Pelt;2;Altaroth Stomach;1;;
High-Metal Vambraces;2;4;1;0;1;2;14;-2;3;0;-2;-1;Artillery;2;Health;1;Stamina;-1;;;;;Dragonite Ore;3;Machalite Ore;2;Iron Ore;4;Sharp Claw;2
High-Metal Guards;2;4;1;0;2;2;7;-1;4;1;-1;0;Artillery;2;Health;1;Stamina;-1;;;;;Dragonite Ore;3;Machalite Ore;2;Iron Ore;4;Sharp Claw;2
Battle Vambraces;3;5;1;0;1;2;14;2;-2;0;-2;-1;Attack;2;Hearing;-2;Guard;3;;;;;Remobra Skin;1;Warm Pelt;1;Conga Pelt;5;Earth Crystal;2
Battle Guards;3;5;1;0;2;2;7;3;-1;1;-1;0;Attack;2;Hearing;-2;Guard Boost;3;;;;;Remobra Skin;1;Warm Pelt;1;Conga Pelt;5;Earth Crystal;2
Kecha Vambraces;1;3;1;0;1;2;14;-3;-2;2;2;0;Fate;-2;Water Attack;3;Whim;1;;;;;Kecha-Wacha Pelt;3;Kecha-Wacha Long Bone;2;Monster Bone S;2;Ivy;3
Kecha Guards;1;3;1;0;2;2;7;-2;-1;3;3;1;Fate;-2;Water Attack;3;Whim;1;;;;;Kecha-Wacha Pelt;3;Kecha-Wacha Long Bone;2;Monster Bone S;2;Ivy;3
