name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Brave's Vest;1;1;0;0;0;1;1;2;0;1;0;0;Health;-2;Rec Speed;2;Rider;3;;;;;Monster Bone S;1;Iron Ore;1;;;;
Leather Vest;1;1;0;0;0;1;1;-1;0;1;0;0;Gathering;3;Whim;2;;;;;;;Warm Pelt;1;Monster Bone S;1;;;;
Chainmail Vest;1;1;0;0;0;1;4;2;-2;0;1;1;Health;3;Hunger;1;;;;;;;Iron Ore;2;Warm Pelt;1;;;;
Loc LacSuit;1;2;1;0;0;1;5;2;1;0;-3;0;Heat Res;5;Transporter;3;;;;;;;Steel Egg;1;Altaroth Stomach;2;Jaggi Hide;3;;
Hunter's Mail;1;1;1;0;1;1;6;0;-3;0;1;0;Combo Rate;2;Ranger;1;Poison;-2;;;;;Iron Ore;2;Jaggi Scale;1;Monster Bone S;2;;
Hunter's Vest;1;1;1;0;2;1;3;1;-2;1;2;1;Combo Rate;2;Ranger;1;Poison;-2;;;;;Iron Ore;2;Jaggi Scale;1;Monster Bone S;2;;
Bone Mail;1;3;1;0;1;1;7;1;-1;0;0;-2;KO;2;Maestro;1;;;;;;;Mystery Bone;2;Jumbo Bone;1;Altaroth Stomach;2;;
Bone Vest;1;3;1;0;2;1;4;2;0;1;1;-1;KO;2;Maestro;1;;;;;;;Mystery Bone;2;Jumbo Bone;1;Altaroth Stomach;2;;
Alloy Mail;1;1;1;0;1;1;8;-1;-2;0;1;-1;Defense;1;Gathering;-2;Wind Res;3;;;;;Machalite Ore;3;Monster Bone S;2;Iron Ore;2;;
Alloy Vest;1;1;1;0;2;1;4;0;-1;1;2;0;Gathering;-2;Pellet Up;2;Pellet S+;2;;;;;Machalite Ore;3;Monster Bone S;2;Iron Ore;2;;
Rhenoplos Mail;1;3;1;0;1;2;8;1;-1;1;-1;-1;KO;1;Faint;-2;Snow/Mud Res;2;;;;;Rhenoplos Scalp;1;Rhenoplos Shell;2;Earth Crystal;2;;
Rhenoplos Vest;1;3;1;0;2;2;4;2;0;2;0;0;KO;1;Faint;-2;Snow/Mud Res;2;;;;;Rhenoplos Scalp;1;Rhenoplos Shell;2;Earth Crystal;2;;
Bnahabra Suit;1;2;0;0;1;2;10;-4;2;2;-1;-1;Attack;-2;Status;2;Sheathing;2;Paralysis;1;;;Bnahabra Shell;2;Bnahabra Wing;3;Monster Fluid;2;Thunderbug;1
Bnahabra Vest;1;2;0;0;2;2;5;-3;3;3;0;0;Attack;-2;Status;1;Sheathing;3;Paralysis;1;;;Bnahabra Shell;2;Bnahabra Wing;3;Monster Fluid;2;Thunderbug;1
Jaggi Mail;1;2;0;0;1;2;10;-2;0;1;0;0;Sharpening Speed;1;Lasting Power;-1;Faint;2;;;;;King's Frill;1;Great Jaggi Claw;2;Jaggi Hide;3;Iron Ore;3
Jaggi Vest;1;2;0;0;2;2;5;-1;1;2;1;1;Reload Speed;1;Lasting Power;-1;Faint;2;;;;;King's Frill;1;Great Jaggi Claw;2;Jaggi Hide;3;Iron Ore;3
SlagtothCloak;2;3;0;0;1;2;10;-2;0;1;2;-1;Health;8;Rec Speed;2;;;;;;;Slagtoth Hide;4;Machalite Ore;2;Warm Pelt;3;;
SlagtothCape;2;3;0;0;2;2;5;-1;1;2;3;0;Health;8;Rec Speed;2;;;;;;;Slagtoth Hide;4;Machalite Ore;2;Warm Pelt;3;;
