name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
ブレイブグラブ;1;1;0;0;0;1;1;2;0;1;0;0;採取;3;運気;2;体力;-2;乗り;2;;;竜骨【小】;1;;;;;;
レザーグラブ;1;1;1;0;0;1;1;-1;0;1;0;0;採取;1;気まぐれ;1;;;;;;;暖かい毛皮;2;;;;;;
チェーングラブ;1;1;1;0;0;1;4;2;-2;0;1;1;体力;1;腹減り;2;;;;;;;鉄鉱石;1;砥石;2;;;;
ハンターアーム;1;1;1;0;1;1;6;0;-3;0;1;0;調合成功率;1;狩人;3;毒;-1;;;;;大地の結晶;1;ジャギィの鱗;2;ツタの葉;1;;
ハンターガード;1;1;1;0;2;1;3;1;-2;1;2;1;調合成功率;1;狩人;3;毒;-1;;;;;大地の結晶;1;ジャギィの鱗;2;ツタの葉;1;;
ボーンアーム;1;2;1;0;1;1;7;1;-1;0;0;-2;KO;3;笛;1;;;;;;;なぞの骨;2;竜骨【小】;2;モンスターの体液;2;;
ボーンガード;1;2;1;0;2;1;4;2;0;1;1;-1;KO;3;笛;1;;;;;;;なぞの骨;2;竜骨【小】;2;モンスターの体液;2;;
アロイアーム;1;1;1;0;1;1;8;-1;-2;0;1;-1;防御;2;採取;-1;風圧;1;;;;;マカライト鉱石;2;大地の結晶;2;鉄鉱石;4;;
アロイガード;1;1;1;0;2;1;4;0;-1;1;2;0;採取;-1;散弾強化;1;散弾追加;2;;;;;マカライト鉱石;2;大地の結晶;2;鉄鉱石;4;;
リノプロアーム;1;3;1;0;1;2;8;1;-1;1;-1;-1;砲術;2;KO;3;気絶;-2;耐泥耐雪;1;;;草食竜の甲殻;2;竜骨【中】;4;鉄鉱石;2;;
リノプロガード;1;3;1;0;2;2;4;2;0;2;0;0;砲術;2;KO;2;気絶;-2;耐泥耐雪;1;;;草食竜の甲殻;2;竜骨【中】;4;鉄鉱石;2;;
ブナハグローブ;1;2;0;0;1;2;10;-4;2;2;-1;-1;攻撃;-2;特殊攻撃;2;納刀;3;麻痺;1;;;飛甲虫の羽;3;飛甲虫の甲殻;2;甲虫の腹袋;2;光蟲;2
ブナハカフス;1;2;0;0;2;2;5;-3;3;3;0;0;攻撃;-2;特殊攻撃;2;納刀;3;麻痺;1;;;飛甲虫の羽;3;飛甲虫の甲殻;2;甲虫の腹袋;2;光蟲;2
ジャギィアーム;1;2;1;0;1;2;10;-2;0;1;0;0;研ぎ師;4;効果持続;-2;気絶;1;;;;;狗竜の爪;2;狗竜の皮;3;ジャギィの鱗;2;大地の結晶;2
ジャギィガード;1;2;1;0;2;2;5;-1;1;2;1;1;装填速度;4;効果持続;-2;気絶;1;;;;;狗竜の爪;2;狗竜の皮;3;ジャギィの鱗;2;大地の結晶;2
クンチュウアーム;1;2;1;0;1;2;12;2;2;2;2;2;防御;6;雷耐性;-2;;;;;;;盾虫の甲殻;5;とがった牙;3;鉄鉱石;2;のりこねバッタ;1
クンチュウガード;1;2;1;0;2;2;6;3;3;3;3;3;防御;6;雷耐性;-2;;;;;;;盾虫の甲殻;5;とがった牙;3;鉄鉱石;2;のりこねバッタ;1
ゲネポスアーム;2;3;1;0;1;2;12;1;-2;2;1;-3;特殊攻撃;3;回復速度;-2;麻痺;1;;;;;ドスゲネポスの皮;2;ゲネポスの鱗;3;鉄鉱石;2;ゲネポスの麻痺牙;5
ゲネポスガード;2;3;1;0;2;2;6;2;-1;3;2;-2;特殊攻撃;3;回復速度;-2;麻痺;1;;;;;ドスゲネポスの皮;2;ゲネポスの鱗;3;鉄鉱石;2;ゲネポスの麻痺牙;5
ランポスアーム;1;2;0;0;1;2;13;0;0;2;0;-4;攻撃;4;千里眼;2;麻痺;-2;気絶;1;;;ドスランポスの爪;2;ドスランポスの皮;3;ランポスの鱗;2;大地の結晶;3
ランポスガード;1;2;0;0;2;2;7;1;1;3;1;-3;攻撃;4;千里眼;2;麻痺;-2;気絶;1;;;ドスランポスの爪;2;ドスランポスの皮;3;ランポスの鱗;2;大地の結晶;3
アシラアーム;-1;3;1;0;1;2;13;-2;0;1;1;-1;高速収集;3;食いしん坊;1;腹減り;-2;ハチミツ;2;;;青熊獣の甲殻;2;青熊獣の毛;2;甲虫の腹袋;1;;
アシラガード;-1;3;1;0;2;2;7;-1;1;2;2;0;高速収集;3;食いしん坊;1;腹減り;-2;ハチミツ;2;;;青熊獣の甲殻;2;青熊獣の毛;2;甲虫の腹袋;1;;
ハイメタアーム;2;4;1;0;1;2;14;-2;3;0;-2;-1;砲術;2;体力;1;スタミナ;-1;;;;;ドラグライト鉱石;3;マカライト鉱石;2;鉄鉱石;4;とがった爪;2
ハイメタガード;2;4;1;0;2;2;7;-1;4;1;-1;0;砲術;2;体力;1;スタミナ;-1;;;;;ドラグライト鉱石;3;マカライト鉱石;2;鉄鉱石;4;とがった爪;2
バトルアーム;3;5;1;0;1;2;14;2;-2;0;-2;-1;攻撃;2;聴覚保護;-2;ガード性能;3;;;;;翼蛇竜の皮;1;暖かい毛皮;1;コンガの毛;5;大地の結晶;2
バトルガード;3;5;1;0;2;2;7;3;-1;1;-1;0;攻撃;2;聴覚保護;-2;ガード強化;3;;;;;翼蛇竜の皮;1;暖かい毛皮;1;コンガの毛;5;大地の結晶;2
ケチャアーム;1;3;1;0;1;2;14;-3;-2;2;2;0;運気;-2;水属性攻撃;3;気まぐれ;1;;;;;奇猿狐の毛;3;奇猿狐の長骨;2;竜骨【小】;2;ツタの葉;3
ケチャガード;1;3;1;0;2;2;7;-2;-1;3;3;1;運気;-2;水属性攻撃;3;気まぐれ;1;;;;;奇猿狐の毛;3;奇猿狐の長骨;2;竜骨【小】;2;ツタの葉;3
ゲリョスアーム;1;3;2;0;1;2;14;-4;2;0;1;-2;スタミナ;3;腹減り;-2;毒;2;;;;;ゴム質の皮;3;大地の結晶;2;マカライト鉱石;2;;
ゲリョスガード;1;3;2;0;2;2;7;-3;3;1;2;-1;スタミナ;3;腹減り;-2;毒;2;;;;;ゴム質の皮;3;大地の結晶;2;マカライト鉱石;2;;
コンガアーム;2;4;1;0;1;2;14;-3;1;2;1;-1;細菌学;2;食いしん坊;1;腹減り;-2;;;;;桃毛獣の毛;2;とがった爪;3;獣骨;4;キラビートル;1
コンガガード;2;4;1;0;2;2;7;-2;2;3;2;0;細菌学;2;食いしん坊;1;腹減り;-2;;;;;桃毛獣の毛;2;とがった爪;3;獣骨;4;キラビートル;1
ルドロスアーム;-1;3;1;0;1;2;15;-3;-1;1;2;-1;スタミナ;1;水属性攻撃;3;雷耐性;-2;耐暑;2;;;水獣の爪;1;ランポスの鱗;2;海綿質の皮;2;水袋;2
ルドロスガード;-1;3;1;0;2;2;7;-2;0;2;3;0;スタミナ;1;水属性攻撃;3;雷耐性;-1;耐暑;2;;;水獣の爪;1;ランポスの鱗;2;海綿質の皮;2;水袋;2
ウルクアーム;2;4;1;0;1;2;15;-2;-1;2;2;2;回避距離;2;耐暑;-1;耐寒;3;;;;;白兎獣の氷爪;2;白兎獣の毛;2;白兎獣の腹甲;1;肉厚な皮;4
ウルクガード;2;4;1;0;2;2;8;-1;0;3;3;3;回避距離;2;耐暑;-1;耐寒;3;;;;;白兎獣の氷爪;2;白兎獣の毛;2;白兎獣の腹甲;1;肉厚な皮;4
イーオスアーム;3;5;1;0;1;2;15;0;-3;2;-3;2;特殊攻撃;3;毒;1;気絶;-2;;;;;ドスイーオスの皮;1;イーオスの毒牙;5;イーオスの鱗;2;鉄鉱石;2
イーオスガード;3;5;1;0;2;2;8;1;-2;3;-2;3;特殊攻撃;3;毒;1;気絶;-2;;;;;ドスイーオスの皮;1;イーオスの毒牙;5;イーオスの鱗;2;鉄鉱石;2
ガブラスーツグラブ;3;-1;2;0;1;2;15;1;2;-3;-2;1;属性解放;2;属性耐性;-1;毒;1;;;;;縞模様の皮;5;火竜の翼膜;2;キラビートル;1;蟲のコイン;1
ガブラスーツハンド;3;-1;2;0;2;2;8;2;3;-2;-1;2;属性解放;2;属性耐性;-1;毒;1;;;;;縞模様の皮;5;火竜の翼膜;2;キラビートル;1;蟲のコイン;1
カブラアーム;1;3;1;0;1;2;16;2;-2;1;-3;0;防御;2;採取;-1;体力;1;研ぎ師;2;;;鬼蛙の爪;1;鬼蛙の甲殻;2;鬼蛙の鱗;2;カワズの油;2
カブラガード;1;3;1;0;2;2;8;3;-1;2;-2;1;装填速度;2;防御;2;採取;-1;体力;1;;;鬼蛙の爪;1;鬼蛙の甲殻;2;鬼蛙の鱗;2;カワズの油;2
クックアーム;1;2;0;0;1;2;16;2;-2;2;-1;-3;攻撃;3;火属性攻撃;3;水耐性;-1;;;;;怪鳥の鱗;3;怪鳥の甲殻;2;怪鳥の翼膜;2;;
クックガード;1;2;0;0;2;2;8;3;-1;3;0;-2;攻撃;3;火属性攻撃;3;水耐性;-1;;;;;怪鳥の鱗;3;怪鳥の甲殻;2;怪鳥の翼膜;2;;
