name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
ブレイブベスト;1;1;0;0;0;1;1;2;0;1;0;0;体力;-2;回復速度;2;乗り;3;;;;;竜骨【小】;1;鉄鉱石;1;;;;
レザーベスト;1;1;0;0;0;1;1;-1;0;1;0;0;採取;3;気まぐれ;2;;;;;;;暖かい毛皮;1;竜骨【小】;1;;;;
チェーンベスト;1;1;0;0;0;1;4;2;-2;0;1;1;体力;3;腹減り;1;;;;;;;鉄鉱石;2;暖かい毛皮;1;;;;
ロックラックスーツ;1;2;1;0;0;1;5;2;1;0;-3;0;耐暑;5;運搬;3;;;;;;;鋼のたまご;1;甲虫の腹袋;2;ジャギィの皮;3;;
ハンターメイル;1;1;1;0;1;1;6;0;-3;0;1;0;調合成功率;2;狩人;1;毒;-2;;;;;鉄鉱石;2;ジャギィの鱗;1;竜骨【小】;2;;
ハンターレジスト;1;1;1;0;2;1;3;1;-2;1;2;1;調合成功率;2;狩人;1;毒;-2;;;;;鉄鉱石;2;ジャギィの鱗;1;竜骨【小】;2;;
ボーンメイル;1;3;1;0;1;1;7;1;-1;0;0;-2;KO;2;笛;1;;;;;;;なぞの骨;2;大きな骨;1;甲虫の腹袋;2;;
ボーンレジスト;1;3;1;0;2;1;4;2;0;1;1;-1;KO;2;笛;1;;;;;;;なぞの骨;2;大きな骨;1;甲虫の腹袋;2;;
アロイメイル;1;1;1;0;1;1;8;-1;-2;0;1;-1;防御;1;採取;-2;風圧;3;;;;;マカライト鉱石;3;竜骨【小】;2;鉄鉱石;2;;
アロイレジスト;1;1;1;0;2;1;4;0;-1;1;2;0;採取;-2;散弾強化;2;散弾追加;2;;;;;マカライト鉱石;3;竜骨【小】;2;鉄鉱石;2;;
リノプロメイル;1;3;1;0;1;2;8;1;-1;1;-1;-1;KO;1;気絶;-2;耐泥耐雪;2;;;;;草食竜の頭殻;1;草食竜の甲殻;2;大地の結晶;2;;
リノプロレジスト;1;3;1;0;2;2;4;2;0;2;0;0;KO;1;気絶;-2;耐泥耐雪;2;;;;;草食竜の頭殻;1;草食竜の甲殻;2;大地の結晶;2;;
ブナハスーツ;1;2;0;0;1;2;10;-4;2;2;-1;-1;攻撃;-2;特殊攻撃;2;納刀;2;麻痺;1;;;飛甲虫の甲殻;2;飛甲虫の羽;3;モンスターの体液;2;雷光虫;1
ブナハベスト;1;2;0;0;2;2;5;-3;3;3;0;0;攻撃;-2;特殊攻撃;1;納刀;3;麻痺;1;;;飛甲虫の甲殻;2;飛甲虫の羽;3;モンスターの体液;2;雷光虫;1
