name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
ブレイブヘッド;1;1;1;0;0;1;1;2;0;1;0;0;体力;-1;回復速度;3;乗り;2;;;;;竜骨【小】;1;;;;;;
レザーヘッド;1;1;1;0;0;1;1;-1;0;1;0;0;採取;2;気まぐれ;3;;;;;;;暖かい毛皮;1;鉄鉱石;1;;;;
チェーンヘッド;1;1;1;0;0;1;4;2;-2;0;1;1;体力;1;腹減り;1;;;;;;;大地の結晶;1;鉄鉱石;1;;;;
ハンターヘルム;1;1;1;0;0;1;6;0;-3;0;1;0;調合成功率;2;狩人;2;毒;-2;;;;;マカライト鉱石;1;鉄鉱石;1;のりこねバッタ;2;;
ハンターキャップ;1;1;1;0;0;1;3;1;-2;1;2;1;調合成功率;3;狩人;2;毒;-2;;;;;マカライト鉱石;1;鉄鉱石;1;のりこねバッタ;2;;
ボーンヘルム;1;2;0;0;0;1;7;1;-1;0;0;-2;KO;1;笛;1;;;;;;;なぞの骨;2;なぞの頭骨;1;甲虫の大顎;1;;
ボーンキャップ;1;2;0;0;0;1;4;2;0;1;1;-1;KO;1;笛;1;;;;;;;なぞの骨;2;なぞの頭骨;1;甲虫の大顎;1;;
アロイヘルム;1;1;1;0;0;1;8;-1;-2;0;1;-1;防御;2;採取;-2;風圧;2;;;;;マカライト鉱石;3;大地の結晶;2;鉄鉱石;3;;
アロイキャップ;1;1;1;0;0;1;4;0;-1;1;2;0;採取;-1;散弾強化;2;散弾追加;2;;;;;マカライト鉱石;3;大地の結晶;2;鉄鉱石;3;;
リノプロヘルム;1;3;1;0;0;2;8;1;-1;1;-1;-1;KO;1;気絶;-2;耐泥耐雪;1;;;;;草食竜の頭殻;1;草食竜の甲殻;2;鉄鉱石;2;;
リノプロキャップ;1;3;1;0;0;2;4;2;0;2;0;0;KO;2;気絶;-2;耐泥耐雪;2;;;;;草食竜の頭殻;1;草食竜の甲殻;2;鉄鉱石;2;;
ブナハハット;1;2;0;0;0;2;10;-4;2;2;-1;-1;攻撃;-2;特殊攻撃;2;納刀;1;麻痺;2;;;飛甲虫の甲殻;2;飛甲虫の羽;3;雷光虫;1;のりこねバッタ;2
ブナハキャップ;1;2;0;0;0;2;5;-3;3;3;0;0;攻撃;-2;特殊攻撃;3;納刀;2;麻痺;2;;;飛甲虫の甲殻;2;飛甲虫の羽;3;雷光虫;1;のりこねバッタ;2
ジャギィヘルム;1;2;2;0;0;2;10;-2;0;1;0;0;研ぎ師;1;効果持続;-1;気絶;1;;;;;狗竜の皮;3;狗竜の爪;1;ジャギィの鱗;2;鉄鉱石;3
ジャギィキャップ;1;2;1;0;0;2;5;-1;1;2;1;1;装填速度;2;効果持続;-1;気絶;2;;;;;狗竜の皮;3;狗竜の爪;1;ジャギィの鱗;2;鉄鉱石;3
ズワロフード;2;3;2;0;0;2;10;-2;0;1;2;-1;体力;2;回復速度;5;睡眠;-1;;;;;垂皮竜の皮;2;マカライト鉱石;4;暖かい毛皮;3;;
ズワロフッド;2;3;3;0;0;2;5;-1;1;2;3;0;体力;2;回復速度;4;睡眠;-1;;;;;垂皮竜の皮;2;マカライト鉱石;4;暖かい毛皮;3;;
ゲネポスヘルム;2;3;1;0;0;2;12;1;-2;2;1;-3;特殊攻撃;2;麻痺;1;;;;;;;ドスゲネポスの皮;2;ゲネポスの鱗;3;鉄鉱石;4;竜骨【小】;2
ゲネポスキャップ;2;3;2;0;0;2;6;2;-1;3;2;-2;特殊攻撃;1;麻痺;1;;;;;;;ドスゲネポスの皮;2;ゲネポスの鱗;3;鉄鉱石;4;竜骨【小】;2
ランポスヘルム;1;2;1;0;0;2;13;0;0;2;0;-4;攻撃;2;千里眼;2;麻痺;-1;気絶;1;;;ドスランポスの皮;3;ドスランポスの爪;1;ランポスの鱗;2;のりこねバッタ;2
ランポスキャップ;1;2;2;0;0;2;7;1;1;3;1;-3;攻撃;1;千里眼;2;麻痺;-1;気絶;1;;;ドスランポスの皮;3;ドスランポスの爪;1;ランポスの鱗;2;のりこねバッタ;2
アシラヘルム;-1;3;1;0;0;2;13;-2;0;1;1;-1;食いしん坊;4;腹減り;-2;ハチミツ;2;;;;;青熊獣の甲殻;2;青熊獣の毛;2;のりこねバッタ;2;;
アシラキャップ;-1;3;2;0;0;2;7;-1;1;2;2;0;食いしん坊;3;腹減り;-2;ハチミツ;3;;;;;青熊獣の甲殻;2;青熊獣の毛;2;のりこねバッタ;2;;
ハイメタヘルム;2;4;1;0;0;2;14;-2;3;0;-2;-1;砲術;1;体力;2;スタミナ;-2;;;;;ドラグライト鉱石;2;マカライト鉱石;3;ライトクリスタル;1;大地の結晶;2
ハイメタキャップ;2;4;1;0;0;2;7;-1;4;1;-1;0;砲術;1;体力;2;スタミナ;-2;;;;;ドラグライト鉱石;2;マカライト鉱石;3;ライトクリスタル;1;大地の結晶;2
バトルヘルム;3;5;2;0;0;2;14;2;-2;0;-2;-1;攻撃;2;研ぎ師;1;;;;;;;縞模様の皮;2;鉄鉱石;5;盾虫の甲殻;4;大地の結晶;2
バトルキャップ;3;5;2;0;0;2;7;3;-1;1;-1;0;装填速度;1;攻撃;2;;;;;;;縞模様の皮;2;鉄鉱石;5;盾虫の甲殻;4;大地の結晶;2
ケチャヘルム;1;3;0;0;0;2;14;-3;-2;2;2;0;運気;-2;水属性攻撃;3;気まぐれ;2;;;;;奇猿狐の毛;3;奇猿狐の尻尾;1;大きな骨;2;のりこねバッタ;2
ケチャキャップ;1;3;0;0;0;2;7;-2;-1;3;3;1;運気;-1;水属性攻撃;3;気まぐれ;2;;;;;奇猿狐の毛;3;奇猿狐の尻尾;1;大きな骨;2;のりこねバッタ;2
ゲリョスヘルム;1;3;1;0;0;2;14;-4;2;0;1;-2;スタミナ;1;腹減り;-2;毒;2;;;;;ゴム質の皮;2;大地の結晶;2;ゲネポスの皮;2;鉄鉱石;5
ゲリョスキャップ;1;3;1;0;0;2;7;-3;3;1;2;-1;スタミナ;1;腹減り;-2;毒;2;;;;;ゴム質の皮;2;大地の結晶;2;ゲネポスの皮;2;鉄鉱石;5
コンガヘルム;2;4;1;0;0;2;14;-3;1;2;1;-1;細菌学;2;食いしん坊;4;腹減り;-2;;;;;極彩色の毛;1;桃毛獣の毛;2;とがった爪;3;のりこねバッタ;2
コンガキャップ;2;4;1;0;0;2;7;-2;2;3;2;0;細菌学;2;食いしん坊;4;腹減り;-2;;;;;極彩色の毛;1;桃毛獣の毛;2;とがった爪;3;のりこねバッタ;2
ルドロスヘルム;-1;3;0;0;0;2;15;-3;-1;1;2;-1;スタミナ;2;水属性攻撃;2;雷耐性;-2;耐暑;2;;;水獣の爪;2;マカライト鉱石;2;ランポスの皮;2;のりこねバッタ;2
ルドロスキャップ;-1;3;0;0;0;2;7;-2;0;2;3;0;スタミナ;3;水属性攻撃;3;雷耐性;-2;耐暑;2;;;水獣の爪;2;マカライト鉱石;2;ランポスの皮;2;のりこねバッタ;2
