english;spanish;french;italian;german;japanese;chinese
Book of Combos 1;Libro de Combos 1;;;;調合書①入門編;调合书①入门篇
Book of Combos 2;Libro de Combos 2;;;;調合書②初級編;调合书②初级篇
Book of Combos 3;Libro de Combos 3;;;;調合書③中級編;调合书③中级篇
Book of Combos 4;Libro de Combos 4;;;;調合書④上級編;调合书④上级篇
Book of Combos 5;Libro de Combos 5;;;;調合書⑤達人編;调合书⑤达人篇
Potion;Poción;;;;回復薬;回复药
Mega Potion;Megapoción;;;;回復薬グレート;回复药Ｇ
Nutrients;Nutrientes;;;;栄養剤;营养剂
Mega Nutrients;Meganutrientes;;;;栄養剤グレート;营养剂Ｇ
Antidote;Antídoto;;;;解毒薬;解毒药
Immunizer;Inmunizador;;;;活力剤;活力剂
Dash Juice;Zumo de Poder;;;;強走薬;强走药
Mega Dash Juice;Megazumo;;;;強走薬グレート;强走药Ｇ
Demondrug;Droga Demoníaca;;;;鬼人薬;鬼人药
Mega Demondrug;Megadroga Demon.;;;;鬼人薬グレート;鬼人药Ｇ
Might Pill;Pildora de poder;;;;怪力の丸薬;怪力药丸
Armorskin;Piel de Armadura;;;;硬化薬;硬化药
Mega Armorskin;Megapiel Armad.;;;;硬化薬グレート;硬化药Ｇ
Adamant Pill;Píldora Armadura;;;;忍耐の丸薬;忍耐药丸
Cool Drink;Bebida Fría;;;;クーラードリンク;冷饮
Hot Drink;Bebida Caliente;;;;ホットドリンク;热饮
Cleanser;Limpiador;;;;消散剤;消散剂
Deodorant;Desodorante;;;;消臭玉;消臭玉
Psychoserum;Psicosuero;;;;千里眼の薬;千里眼药
Herbal Medicine;Medicina Herbal;;;;漢方薬;汉方药
Max Potion;Poción Máx.;;;;秘薬;秘药
Ancient Potion;Poción Antigua;;;;いにしえの秘薬;远古秘药
Catalyst;Catalizador;;;;増強剤;增强剂
Energy Drink;Bebida Energét.;;;;元気ドリンコ;提神饮料
Gunpowder;Pólvora;;;;爆薬;爆药
Lifecrystals;Cristales de Vida;;;;生命の粉;生命之粉
Lifepowder;Polvo de Vida;;;;生命の粉塵;生命粉尘
Tranquilizer;Tranquilizante;;;;捕獲用麻酔薬;捕获用麻醉药
Powercharm;Amuleto de Poder;;;;力の護符;力之护符
Powertalon;Garra de Poder;;;;力の爪;力之爪
Armorcharm;Amuleto Armadura;;;;守りの護符;守之护符
Armortalon;Garra Armadura;;;;守りの爪;守之爪
Raw Meat;Carne Cruda;;;;生肉;生肉
Poisoned Meat;Carne Envenenada;;;;毒生肉;毒生肉
Tainted Meat;Carne Paralizante;;;;シビレ生肉;麻痹生肉
Drugged Meat;Carne Somnifera;;;;眠り生肉;睡眠生肉
Rare Steak;Fil. Poco Hecho;;;;生焼け肉;没烤熟的肉
Well-Done Steak;Filete al Punto;;;;こんがり肉;烤熟的肉
Burnt Meat;Carne Quemada;;;;コゲ肉;焦肉
Cool Meat;Carne Fria;;;;クーラーミート;冷肉
Hot Meat;Carne Caliente;;;;ホットミート;热肉
Mosswine Jerky;Charqui Musgoso;;;;モスジャーキー;狗龙腿肉
Boomerang;Bumerán;;;;ブーメラン;回力镖
Throwing Knife;Cuchillo lanzam.;;;;投げナイフ;投掷匕首
Poison Knife;Cuchillo enven.;;;;毒投げナイフ;毒投掷匕首
Sleep Knife;Cuch. Somnifero;;;;眠り投げナイフ;催眠投掷匕首
Paralysis Knife;Cuch. Paraliz;;;;麻痺投げナイフ;麻痹投掷匕首
Tranq Knife;Cuch. Tranquil.;;;;捕獲用麻酔ナイフ;捕获用麻醉匕首
Bomb Material;Material Bomba;;;;素材玉;素材弹
Paintball;Bola de Pintura;;;;ペイントボール;染色球
Flash Bomb;Bomba de Luz;;;;閃光玉;闪光弹
Sonic Bomb;Bomba Sónica;;;;音爆弾;音爆弹
Dung;Boñiga;;;;モンスターのフン;怪物的粪
Dung Bomb;Bomba Boñiga;;;;こやし玉;肥料玉
Smoke Bomb;Bomba de Humo;;;;けむり玉;烟雾弹
Poison Smoke Bomb;Bomba Humo Ven.;;;;毒けむり玉;毒烟雾弹
Farcaster;Transportador;;;;モドリ玉;返回玉
Tranq Bomb;Bomba tranquil.;;;;捕獲用麻酔玉;捕获用麻醉玉
Spiderweb;Telaraña;;;;クモの巣;蜘蛛巢
Net;Red;;;;ネット;网
Trap Tool;Herram. Trampa;;;;トラップツール;陷阱工具
Pitfall Trap;Trampa Escollo;;;;落とし穴;落穴陷阱
Shock Trap;Trampa Choque;;;;シビレ罠;麻痹陷阱
Small Barrel Bomb;Bomba Barril pq.;;;;小タル爆弾;小桶爆弹
Small Barrel Bomb+;Bomba Barr. Pq+;;;;小タル爆弾Ｇ;小桶爆弹Ｇ
Large Barrel Bomb;Bomba Barril Gr.;;;;大タル爆弾;大桶爆弹
Large Barrel Bomb+;Bomba Barr. Gr.+;;;;大タル爆弾Ｇ;大桶爆弹Ｇ
Bounce Bomb;Bomba de Rebote;;;;打上げタル爆弾;飞空爆弹
Bounce Bomb+;Bomba Rebote+;;;;打上げタル爆弾Ｇ;飞空爆弹Ｇ
Felvine Bomb;Bomba Vid Felyne;;;;マタタビ爆弾;木天蓼爆弾
JUMP Barrel Bomb;Bomba Barril Jump;;;;ＪＵＭＰタル爆弾;ＪＵＭＰ爆弹
Huskberry;Baya Hueca;;;;カラの実;空心果
Bone Husk;Cascara de Hueso;;;;カラ骨;空心骨
LV1 Normal S;Disp. Normal Nv1;;;;LV1 通常弾;LV1 通常弹
LV2 Normal S;Disp. Normal Nv2;;;;LV2 通常弾;LV2 通常弹
LV3 Normal S;Disp. Normal Nv3;;;;LV3 通常弾;LV3 通常弹
LV1 Pierce S;Disp Perfor. Nv1;;;;LV1 貫通弾;LV1 贯通弹
LV2 Pierce S;Disp Perfor. Nv2;;;;LV2 貫通弾;LV2 贯通弹
LV3 Pierce S;Disp Perfor. Nv3;;;;LV3 貫通弾;LV3 贯通弹
LV1 Pellet S;Disp Perdig. Nv1;;;;LV1 散弾;LV1 散弹
LV2 Pellet S;Disp Perdig. Nv2;;;;LV2 散弾;LV2 散弹
LV3 Pellet S;Disp Perdig. Nv3;;;;LV3 散弾;LV3 散弹
LV1 Crag S;Disp Explos. Nv1;;;;LV1 徹甲榴弾;LV1 彻甲榴弹
LV2 Crag S;Disp Explos. Nv2;;;;LV2 徹甲榴弾;LV2 彻甲榴弹
LV3 Crag S;Disp Explos. Nv3;;;;LV3 徹甲榴弾;LV3 彻甲榴弹
LV1 Clust S;Disp. Grupo Nv1;;;;LV1 拡散弾;LV1 扩散弹
LV2 Clust S;Disp. Grupo Nv2;;;;LV2 拡散弾;LV2 扩散弹
LV3 Clust S;Disp. Grupo Nv3;;;;LV3 拡散弾;LV3 扩散弹
Flaming S;Disparo Fuego;;;;火炎弾;火炎弹
Water S;Disparo Agua;;;;水冷弾;水冷弹
Thunder S;Disparo Trueno;;;;電撃弾;电击弹
Freeze S;Disp. Congelante;;;;氷結弾;冰结弹
Dragon S;Disparo Dragón;;;;滅龍弾;灭龙弹
LV1 Poison S;Disp Veneno Nv1;;;;LV1 毒弾;LV1 毒弹
LV2 Poison S;Disp Veneno Nv2;;;;LV2 毒弾;LV2 毒弹
LV1 Paralysis S;Disp. Paral. Nv1;;;;LV1 麻痺弾;LV1 麻痹弹
