english;spanish;french;italian;german;japanese;chinese
Steadfast Jewel 1;Joya Firme  【１】;;;;耐絶珠【１】;耐绝珠【1】
Standfast Jewel 1;Joya Rotunda  【１】;;;;制絶珠【１】;制绝珠【1】
Paralysis Jewel 1;Joya Parálisis  【１】;;;;耐痺珠【１】;耐痹珠【1】
Paralysis Jewel 2;Joya Parálisis  【２】;;;;耐痺珠【２】;耐痹珠【2】
Pep Jewel 1;Joya Vitalidad  【１】;;;;耐眠珠【１】;耐眠珠【1】
Pep Jewel 2;Joya Vitalidad  【２】;;;;耐眠珠【２】;耐眠珠【2】
Antidote Jewel 1;Joya Antídoto  【１】;;;;耐毒珠【１】;耐毒珠【1】
Antidote Jewel 2;Joya Antídoto  【２】;;;;耐毒珠【２】;耐毒珠【2】
Def Lock Jewel 1;Joya Bloqueo Def.  【１】;;;;耐防珠【１】;耐防珠【1】
Alarm Jewel 1;Joya Alarma  【１】;;;;防盗珠【１】;防盗珠【1】
Tracker Jewel 1;Joya Rastreo  【１】;;;;耐粘珠【１】;耐粘珠【1】
Trekker Jewel 1;Joya Buscador  【１】;;;;抗粘珠【１】;抗粘珠【1】
Footing Jewel 1;Joya Ancla  【１】;;;;耐震珠【１】;耐震珠【1】
Tectonic Jewel 1;Joya Tectónica  【１】;;;;抗震珠【１】;抗震珠【1】
Heat Res Jewel 1;Joya Res. Calor  【１】;;;;耐暑珠【１】;耐暑珠【1】
Cold Res Jewel 1;Joya Res. Frío  【１】;;;;耐寒珠【１】;耐寒珠【1】
Earplug Jewel 1;Joya Tapon Oido  【１】;;;;防音珠【１】;防音珠【1】
Earplug Jewel 3;Joya Tapon Oido  【３】;;;;防音珠【３】;防音珠【3】
Wind Res Jewel 1;Joya Res. Viento  【１】;;;;防風珠【１】;防风珠【1】
Wind Res Jewel 2;Joya Res. Viento  【２】;;;;防風珠【２】;防风珠【2】
Attack Jewel 1;Joya de Ataque  【１】;;;;攻撃珠【１】;攻击珠【1】
Attack Jewel 2;Joya de Ataque  【２】;;;;攻撃珠【２】;攻击珠【2】
Attack Jewel 3;Joya de Ataque  【３】;;;;攻撃珠【３】;攻击珠【3】
Expert Jewel 1;Joya Experto  【１】;;;;達人珠【１】;达人珠【1】
Expert Jewel 2;Joya Experto  【２】;;;;達人珠【２】;达人珠【2】
Expert Jewel 3;Joya Experto  【３】;;;;達人珠【３】;达人珠【3】
Disabler Jewel 1;Joya Desarmador  【１】;;;;特攻珠【１】;特攻珠【1】
Disabler Jewel 2;Joya Desarmador  【２】;;;;特攻珠【２】;特攻珠【2】
Element Jewel 1;Joya Elemental  【１】;;;;属攻珠【１】;属攻珠【1】
Element Jewel 3;Joya Elemental  【３】;;;;属攻珠【３】;属攻珠【3】
Blaze Jewel 1;Joya Ardiente  【１】;;;;火炎珠【１】;火炎珠【1】
Blaze Jewel 2;Joya Ardiente  【２】;;;;火炎珠【２】;火炎珠【2】
Stream Jewel 1;Joya Acuosa  【１】;;;;流水珠【１】;流水珠【1】
Stream Jewel 2;Joya Acuosa  【２】;;;;流水珠【２】;流水珠【2】
Bolt Jewel 1;Joya Relámpago  【１】;;;;雷光珠【１】;雷光珠【1】
Bolt Jewel 2;Joya Relámpago  【２】;;;;雷光珠【２】;雷光珠【2】
Frost Jewel 1;Joya Congelada  【１】;;;;氷結珠【１】;冰结珠【1】
Frost Jewel 2;Joya Congelada  【２】;;;;氷結珠【２】;冰结珠【2】
Dragon Jewel 1;Joya Dragón  【１】;;;;破龍珠【１】;破龙珠【1】
Dragon Jewel 2;Joya Dragón  【２】;;;;破龍珠【２】;破龙珠【2】
Tenderizer Jewel 1;Joya Maza  【１】;;;;痛撃珠【１】;痛击珠【1】
Tenderizer Jewel 3;Joya Maza  【３】;;;;痛撃珠【３】;痛击珠【3】
Destroyer Jewel 1;Joya Destructor  【１】;;;;重撃珠【１】;重击珠【1】
Destroyer Jewel 3;Joya Destructor  【３】;;;;重撃珠【３】;重击珠【3】
Capacity Jewel 2;Joya Carga  【２】;;;;装填珠【２】;装填珠【2】
Capacity Jewel 3;Joya Carga  【３】;;;;装填珠【３】;装填珠【3】
Charger Jewel 1;Joya Carga Corta  【１】;;;;短縮珠【１】;短缩珠【1】
Charger Jewel 3;Joya Carga Corta  【３】;;;;短縮珠【３】;短缩珠【3】
Throttle Jewel 1;Joya Poderosa  【１】;;;;全開珠【１】;全开珠【1】
Throttle Jewel 2;Joya Poderosa  【２】;;;;全開珠【２】;全开珠【2】
KO Jewel 1;Joya KO  【１】;;;;ＫＯ珠【１】;ＫＯ珠【1】
KO Jewel 2;Joya KO  【２】;;;;ＫＯ珠【２】;ＫＯ珠【2】
Drain Jewel 1;Joya Drenaje  【１】;;;;奪気珠【１】;夺气珠【1】
Drain Jewel 2;Joya Drenaje  【２】;;;;奪気珠【２】;夺气珠【2】
Potential Jewel 1;Joya Potencial  【１】;;;;底力珠【１】;底力珠【1】
Potential Jewel 2;Joya Potencial  【２】;;;;底力珠【２】;底力珠【2】
Fortitude Jewel 1;Joya Fortaleza  【１】;;;;逆境珠【１】;逆境珠【1】
Fortitude Jewel 2;Joya Fortaleza  【２】;;;;逆境珠【２】;逆境珠【2】
Bombardier Jewel 1;Joya Bombardero  【１】;;;;爆師珠【１】;爆师珠【1】
Sonorous Jewel 1;Joya Flautista  【１】;;;;鼓笛珠【１】;鼓笛珠【1】
Artillery Jewel 1;Joya Artillera  【１】;;;;砲術珠【１】;炮术珠【1】
Defense Jewel 1;Joya Defensa  【１】;;;;防御珠【１】;防御珠【1】
Defense Jewel 2;Joya Defensa  【２】;;;;防御珠【２】;防御珠【2】
Resistor Jewel 1;Joya Resistor  【１】;;;;属耐珠【１】;属耐珠【1】
Resistor Jewel 3;Joya Resistor  【３】;;;;属耐珠【３】;属耐珠【3】
Fire Res Jewel 1;Joya Res. Fuego  【１】;;;;耐火珠【１】;耐火珠【1】
Nul-Fire Jewel;Joya Antifuego  【１】;;;;制火珠【１】;制火珠【1】
Water Res Jewel 1;Joya Res. Agua  【１】;;;;耐水珠【１】;耐水珠【1】
Nul-Water Jewel 1;Joya Antiagua  【１】;;;;制水珠【１】;制水珠【1】
Thunder Res Jewel 1;Joya Res. Trueno  【１】;;;;耐雷珠【１】;耐雷珠【1】
Nul-Thunder Jewel 1;Joya Antitrueno 【１】;;;;制雷珠【１】;制雷珠【1】
Ice Res Jewel 1;Joya Res. hielo  【１】;;;;耐氷珠【１】;耐冰珠【1】
Nul-Ice Jewel 1;Joya Antihielo  【１】;;;;制氷珠【１】;制冰珠【1】
Dragon Res Jewel 1;Joya Res. Dragón  【１】;;;;耐龍珠【１】;耐龙珠【1】
Nul=Dragon Jewel 1;Joya Antidragón  【１】;;;;制龍珠【１】;制龙珠【1】
Protection Jewel 1;Joya Protección  【１】;;;;加護珠【１】;加护珠【1】
Asylum Jewel 1;Joya Asilo  【１】;;;;神護珠【１】;神护珠【1】
Vitality Jewel 1;Joya de Fuerza  【１】;;;;体力珠【１】;体力珠【1】
Rec Speed Jewel 1;Joya Recuperacion  【１】;;;;早復珠【１】;早复珠【1】
Rec Speed Jewel 2;Joya Recuperacion  【２】;;;;早復珠【２】;早复珠【2】
Medicine Jewel 1;Joya Curadora  【１】;;;;治癒珠【１】;治愈珠【1】
Medicine Jewel 2;Joya Curadora  【２】;;;;治癒珠【２】;治愈珠【2】
Evasion Jewel 1;Joya Evasión  【１】;;;;回避珠【１】;回避珠【1】
Evasion Jewel 2;Joya Evasión  【２】;;;;回避珠【２】;回避珠【2】
Jumping Jewel 1;Joya Salto  【１】;;;;跳躍珠【１】;跳跃珠【1】
Sheath Jewel 1;Joya Enfundado  【１】;;;;速納珠【１】;速纳珠【1】
Sheath Jewel 2;Joya Enfundado  【２】;;;;速納珠【２】;速纳珠【2】
Trapmaster Jewel 1;Joya Trampero  【１】;;;;罠師珠【１】;罠师珠【1】
Gobbler Jewel 1;Joya Glotón  【１】;;;;早食珠【１】;早食珠【1】
Gobbler Jewel 3;Joya Glotón  【３】;;;;早食珠【３】;早食珠【3】
Sprinter Jewel 1;Joya Velocista  【１】;;;;強走珠【１】;强走珠【1】
Sprinter Jewel 3;Joya Velocista  【３】;;;;強走珠【３】;强走珠【3】
Physique Jewel 1;Joya Salud  【１】;;;;体術珠【１】;体术珠【1】
Physique Jewel 2;Joya Salud  【２】;;;;体術珠【２】;体术珠【2】
Refresh Jewel 1;Joya Revitalante  【１】;;;;早気珠【１】;早气珠【1】
Refresh Jewel 2;Joya Revitalante  【２】;;;;早気珠【２】;早气珠【2】
Hungerless Jewel 1;Joya Sin Hambre  【１】;;;;無食珠【１】;无食珠【1】
Metabolism Jewel 1;Joya Metabolismo  【１】;;;;食漢珠【１】;食汉珠【1】
Fate Jewel 1;Joya Destino  【１】;;;;運気珠【１】;运气珠【1】
Fate Jewel 3;Joya Destino  【３】;;;;運気珠【３】;运气珠【3】
Capture Jewel 1;Joya Captura  【１】;;;;捕獲珠【１】;捕获珠【1】
Capture Jewel 3;Joya Captura  【３】;;;;捕獲珠【３】;捕获珠【3】
Carver Jewel 1;Joya Carveador  【１】;;;;皮剥珠【１】;皮剥珠【1】
Carver Jewel 3;Joya Carveador  【３】;;;;皮剥珠【３】;皮剥珠【3】
