english;spanish;french;italian;german;japanese;chinese
Brave's Belt;Cinturon de Valiente;;;;ブレイブベルト;勇气扣带
Leather Belt;Cinturon de Cuero;;;;レザーベルト;皮制扣带
Chainmail Belt;Cinturon de Malla;;;;チェーンベルト;锁链扣带
Loc Lac Coil;Faja de Loc Lac ;;;;ロックラックコイル;洛克拉克腿甲
Hunter's Faulds;Muslera de Cazador;;;;ハンターフォールド;猎人腿甲
Hunter's Coat;Cota de Cazador;;;;ハンターコート;猎人裙甲
Bone Faulds;Muslera de Hueso;;;;ボーンフォールド;骨制腿甲
Bone Coat;Cota de Hueso;;;;ボーンコート;骨制裙甲
Alloy Coil;Faja de Aleacion;;;;アロイコイル;合金腿甲
Alloy Coat;Cota de Aleacion;;;;アロイコート;合金裙甲
Rhenoplos Coil;Faja de Rhenoplos;;;;リノプロコイル;草食龙腿甲
Rhenoplos Coat;Cota de Rhenoplos;;;;リノプロコート;草食龙裙甲
Bnahabra Coil;Faja de Bnahabra;;;;ブナハコイル;飞甲虫腿甲
Bnahabra Coat;Cota de Bnahabra;;;;ブナハコート;飞甲虫裙甲
Jaggi Faulds;Muslera de Jaggi;;;;ジャギィフォールド;狗龙腿甲
Jaggi Coat;Cota de Jaggi;;;;ジャギィコート;狗龙裙甲
Genprey Faulds;Muslera de Genprey;;;;ゲネポスフォールド;黄速龙腿甲
Genprey Coat;Cota de Genprey;;;;ゲネポスコート;黄速龙裙甲
Velociprey Faulds;Muslera de Velociprey;;;;ランポスフォールド;蓝速龙腿甲
Velociprey Coat;Cota de Velociprey;;;;ランポスコート;蓝速龙裙甲
Arzuros Faulds;Muslera de Arzuros;;;;アシラフォールド;青熊兽腿甲
Arzuros Coat;Cota de Arzuros;;;;アシラコート;青熊兽裙甲
High-Metal Faulds;Muslera de Metal de Calidad;;;;ハイメタフォールド;矿石腿甲
High-Metal Coat;Cota de Metal de Calidad;;;;ハイメタコート;矿石裙甲
Battle Faulds;Muslera de Batalla;;;;バトルフォールド;战斗腿甲
Battle Coat;Cota de Batalla;;;;バトルコート;战斗裙甲
Kecha Faulds;Muslera de Kecha;;;;ケチャフォールド;奇猿狐腿甲
Kecha Coat;Cota de Kecha;;;;ケチャコート;奇猿狐裙甲
Gypceros Faulds;Muslera de Gypceros;;;;ゲリョスフォールド;毒怪鸟腿甲
Gypceros Coat;Cota de Gypceros;;;;ゲリョスコート;毒怪鸟裙甲
Conga Faulds;Muslera de Conga;;;;コンガフォールド;桃毛兽腿甲
Conga Coat;Cota de Conga;;;;コンガコート;桃毛兽裙甲
Ludroth Faulds;Muslera de Ludroth;;;;ルドロスフォールド;水兽腿甲
Ludroth Coat;Cota de Ludroth;;;;ルドロスコート;水兽裙甲
Lagombi Faulds;Muslera de Lagombi;;;;ウルクフォールド;白兔兽腿甲
Lagombi Coat;Cota de Lagombi;;;;ウルクコート;白兔兽裙甲
Ioprey Faulds;Muslera de Ioprey;;;;イーオスフォールド;红速龙腿甲
Ioprey Coat;Cota de Ioprey;;;;イーオスコート;红速龙裙甲
Remobra Belt;Cinturon de Remobre;;;;ガブラスーツベルト;翼蛇龙套扣带
Remobra Band;Banda de Remobra;;;;ガブラスーツバンド;翼蛇龙套之箍
Tetsukabra Faulds;Muslera de Tetsukabra ;;;;カブラフォールド;鬼蛙腿甲
Tetsukabra Coat;Cota de Tetsukabra ;;;;カブラコート;鬼蛙裙甲
Kut-Ku Faulds;Muslera de Kut-Ku;;;;クックフォールド;大怪鸟腿甲
Kut-Ku Coat;Cota de Kut-Ku;;;;クックコート;大怪鸟裙甲
King LobsterCoil;Faja de Rey Langosta;;;;Ｋ・ロブスタコイル;龙虾王腿甲
King LobsterCoat;Cota de Rey Langosta;;;;Ｋ・ロブスタコート;龙虾王裙甲
Barroth Faulds;Muslera de Barroth;;;;ボロスフォールド;土砂龙腿甲
Barroth Coat;Cota de Barroth;;;;ボロスコート;土砂龙裙甲
Ingot Coil;Faja de Lingote;;;;インゴットコイル;铸锭腿甲
Ingot Coat;Cota de Lingote;;;;インゴットコート;铸锭裙甲
Basarios Faulds;Muslera de Basarios;;;;バサルフォールド;岩龙腿甲
Basarios Coat;Cota de Basarios;;;;バサルコート;岩龙裙甲
Guardian Coil;Faja de Guardian;;;;ガーディアンコイル;守护者腿甲
Guardian Coat;Cota de Guardian;;;;ガーディアンコート;守护者裙甲
Helper Skirt;Falda de Ayudante;;;;ヘルパースカート;护工装褶裙
Helper Frill;Volante de Ayudante;;;;ヘルパーフリル;护工装迷你裙
Rouaga Anka;Elitro de Aelucanth;;;;ロワーガアンカ;锹虫腿甲
Rouaga Cocuso;Ala de Aelucanth;;;;ロワーガコクサ;锹虫裙甲
Falmer Anka;Elitro de Rhopessa;;;;ファルメルアンカ;蝴蝶腿甲
Falmer Cocuso;Ala de Rhopessa;;;;ファルメルコクサ;蝴蝶裙甲
Nightmare Oha;Hoja Mosgharl;;;;マギュルオッハ;南瓜裙腰
Nightmare Brat;Fronda Mosgharl ;;;;マギュルブラット;南瓜裙甲
Nerusukyura Faulds;Muslera de Nerusukyura;;;;スキュラフォールド;影蜘蛛腿甲
Nerusukyura Coat;Cota de Nerusukyura;;;;スキュラコート;影蜘蛛裙甲
Khezu Faulds;Muslera de Khezu;;;;フルフルフォールド;电龙腿甲
Khezu Coat;Cota de Khezu;;;;フルフルコート;电龙裙甲
Rathian Faulds;Muslera de Rathian;;;;レイアフォールド;雌火龙腿甲
