name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
ブレイブパンツ;1;1;0;0;0;1;1;2;0;1;0;0;体力;-2;回復速度;2;乗り;4;;;;;竜骨【小】;1;;;;;;
レザーパンツ;1;1;0;0;0;1;1;-1;0;1;0;0;採取;1;気まぐれ;3;;;;;;;暖かい毛皮;2;;;;;;
チェーンパンツ;1;1;1;0;0;1;4;2;-2;0;1;1;体力;2;腹減り;2;;;;;;;鉄鉱石;2;暖かい毛皮;1;;;;
ロックラックブーツ;1;2;2;0;0;1;5;2;1;0;-3;0;耐暑;2;運搬;5;;;;;;;鋼のたまご;1;モンスターの体液;1;ジャギィの鱗;3;;
ハンターグリーヴ;1;1;0;0;1;1;6;0;-3;0;1;0;調合成功率;1;狩人;3;毒;-2;;;;;鉄鉱石;1;大地の結晶;1;竜骨【小】;2;;
ハンターレギンス;1;1;0;0;2;1;3;1;-2;1;2;1;調合成功率;1;狩人;3;毒;-2;;;;;鉄鉱石;1;大地の結晶;1;竜骨【小】;2;;
ボーングリーヴ;1;3;1;0;1;1;7;1;-1;0;0;-2;KO;2;笛;4;;;;;;;なぞの骨;2;竜骨【中】;1;とがった牙;1;;
ボーンレギンス;1;3;1;0;2;1;4;2;0;1;1;-1;KO;2;笛;4;;;;;;;なぞの骨;2;竜骨【中】;1;とがった牙;1;;
アロイグリーヴ;1;1;0;0;1;1;8;-1;-2;0;1;-1;胴系統倍化;1;;;;;;;;;マカライト鉱石;4;大地の結晶;2;鉄鉱石;2;;
アロイレギンス;1;1;0;0;2;1;4;0;-1;1;2;0;胴系統倍化;1;;;;;;;;;マカライト鉱石;4;大地の結晶;2;鉄鉱石;2;;
リノプログリーヴ;1;3;0;0;1;2;8;1;-1;1;-1;-1;KO;3;気絶;-1;耐泥耐雪;3;;;;;草食竜の甲殻;2;竜骨【小】;4;鉄鉱石;2;;
リノプロレギンス;1;3;0;0;2;2;4;2;0;2;0;0;KO;2;気絶;-1;耐泥耐雪;3;;;;;草食竜の甲殻;2;竜骨【小】;4;鉄鉱石;2;;
ブナハブーツ;1;2;0;0;1;2;10;-4;2;2;-1;-1;攻撃;-1;特殊攻撃;3;納刀;2;麻痺;2;;;飛甲虫の甲殻;2;飛甲虫の羽;3;雷光虫;2;のりこねバッタ;2
ブナハフット;1;2;0;0;2;2;5;-3;3;3;0;0;攻撃;-1;特殊攻撃;3;納刀;1;麻痺;2;;;飛甲虫の甲殻;2;飛甲虫の羽;3;雷光虫;2;のりこねバッタ;2
ジャギィグリーヴ;1;2;1;0;1;2;10;-2;0;1;0;0;研ぎ師;2;効果持続;-1;気絶;3;;;;;ジャギィの皮;4;ジャギィの鱗;3;竜骨【小】;4;マカライト鉱石;2
ジャギィレギンス;1;2;1;0;2;2;5;-1;1;2;1;1;装填速度;2;効果持続;-1;気絶;3;;;;;ジャギィの皮;4;ジャギィの鱗;3;竜骨【小】;4;マカライト鉱石;2
ゲネポスグリーヴ;2;3;1;0;1;2;12;1;-2;2;1;-3;特殊攻撃;1;麻痺;2;;;;;;;ドスゲネポスの皮;2;ゲネポスの鱗;2;鉄鉱石;4;;
ゲネポスレギンス;2;3;1;0;2;2;6;2;-1;3;2;-2;特殊攻撃;1;麻痺;2;;;;;;;ドスゲネポスの皮;2;ゲネポスの鱗;2;鉄鉱石;4;;
ランポスグリーヴ;1;2;1;0;1;2;13;0;0;2;0;-4;攻撃;3;気絶;3;;;;;;;ランポスの皮;2;ランポスの鱗;3;竜骨【小】;4;鉄鉱石;4
ランポスレギンス;1;2;1;0;2;2;7;1;1;3;1;-3;攻撃;3;気絶;3;;;;;;;ランポスの皮;2;ランポスの鱗;3;竜骨【小】;4;鉄鉱石;4
アシラグリーヴ;-1;3;0;0;1;2;13;-2;0;1;1;-1;胴系統倍化;1;;;;;;;;;青熊獣の毛;2;飛甲虫の甲殻;2;光蟲;1;;
アシラレギンス;-1;3;0;0;2;2;7;-1;1;2;2;0;胴系統倍化;1;;;;;;;;;青熊獣の毛;2;飛甲虫の甲殻;2;光蟲;1;;
ハイメタグリーヴ;2;4;1;0;1;2;14;-2;3;0;-2;-1;砲術;4;体力;2;スタミナ;-1;;;;;ドラグライト鉱石;3;マカライト鉱石;2;鉄鉱石;3;ランポスの鱗;3
ハイメタレギンス;2;4;1;0;2;2;7;-1;4;1;-1;0;砲術;4;体力;2;スタミナ;-1;;;;;ドラグライト鉱石;3;マカライト鉱石;2;鉄鉱石;3;ランポスの鱗;3
バトルグリーヴ;3;5;1;0;1;2;14;2;-2;0;-2;-1;攻撃;4;聴覚保護;-1;研ぎ師;2;;;;;縞模様の皮;1;暖かい毛皮;1;イーオスの鱗;5;大地の結晶;3
バトルレギンス;3;5;1;0;2;2;7;3;-1;1;-1;0;装填速度;2;攻撃;4;聴覚保護;-1;;;;;縞模様の皮;1;暖かい毛皮;1;イーオスの鱗;5;大地の結晶;3
ケチャグリーヴ;1;3;0;0;1;2;14;-3;-2;2;2;0;運気;-1;水属性攻撃;1;気まぐれ;4;;;;;奇猿狐の尻尾;1;奇猿狐の長骨;2;奇猿狐の毛;2;雷光虫;2
ケチャレギンス;1;3;0;0;2;2;7;-2;-1;3;3;1;運気;-1;水属性攻撃;1;気まぐれ;4;;;;;奇猿狐の尻尾;1;奇猿狐の長骨;2;奇猿狐の毛;2;雷光虫;2
ゲリョスグリーヴ;1;3;1;0;1;2;14;-4;2;0;1;-2;スタミナ;3;腹減り;-2;毒;1;;;;;ゴム質の皮;3;大地の結晶;2;ゲネポスの皮;3;;
ゲリョスレギンス;1;3;1;0;2;2;7;-3;3;1;2;-1;スタミナ;3;腹減り;-2;毒;1;;;;;ゴム質の皮;3;大地の結晶;2;ゲネポスの皮;3;;
コンガグリーヴ;2;3;1;0;1;2;14;-3;1;2;1;-1;細菌学;2;食いしん坊;2;腹減り;-2;;;;;コンガの毛;4;徹甲虫の甲殻;2;大きな骨;1;マカライト鉱石;2
コンガレギンス;2;3;1;0;2;2;7;-2;2;3;2;0;細菌学;2;食いしん坊;2;腹減り;-2;;;;;コンガの毛;4;徹甲虫の甲殻;2;大きな骨;1;マカライト鉱石;2
ルドロスグリーヴ;-1;3;1;0;1;2;15;-3;-1;1;2;-1;スタミナ;2;水属性攻撃;2;雷耐性;-1;耐暑;2;;;水獣の爪;2;ランポスの鱗;3;海綿質の皮;2;のりこねバッタ;3
ルドロスレギンス;-1;3;1;0;2;2;7;-2;0;2;3;0;スタミナ;2;水属性攻撃;2;雷耐性;-1;耐暑;2;;;水獣の爪;2;ランポスの鱗;3;海綿質の皮;2;のりこねバッタ;3
ウルクグリーヴ;2;4;2;0;1;2;15;-2;-1;2;2;2;回避距離;2;耐暑;-1;耐寒;1;;;;;白兎獣の毛;2;白兎獣の腹甲;2;白兎獣の氷爪;1;のりこねバッタ;8
ウルクレギンス;2;4;2;0;2;2;8;-1;0;3;3;3;回避距離;2;耐暑;-1;耐寒;1;;;;;白兎獣の毛;2;白兎獣の腹甲;2;白兎獣の氷爪;1;のりこねバッタ;8
イーオスグリーヴ;3;5;0;0;1;2;15;0;-3;2;-3;2;胴系統倍化;1;;;;;;;;;イーオスの皮;2;イーオスの鱗;4;竜骨【小】;3;鉄鉱石;2
イーオスレギンス;3;5;0;0;2;2;8;1;-2;3;-2;3;胴系統倍化;1;;;;;;;;;イーオスの皮;2;イーオスの鱗;4;竜骨【小】;3;鉄鉱石;2
ガブラスーツフット;3;-1;3;0;1;2;15;1;2;-3;-2;1;属性解放;1;属性耐性;-2;毒;1;;;;;縞模様の皮;5;火竜の翼膜;2;キラビートル;2;蟲のコイン;1
ガブラスーツタイツ;3;-1;3;0;2;2;8;2;3;-2;-1;2;属性解放;1;属性耐性;-2;毒;1;;;;;縞模様の皮;5;火竜の翼膜;2;キラビートル;2;蟲のコイン;1
カブラグリーヴ;1;3;0;0;1;2;16;2;-2;1;-3;0;胴系統倍化;1;;;;;;;;;鬼蛙の爪;2;鬼蛙の甲殻;3;草食竜の甲殻;2;大地の結晶;3
カブラレギンス;1;3;0;0;2;2;8;3;-1;2;-2;1;胴系統倍化;1;;;;;;;;;鬼蛙の爪;2;鬼蛙の甲殻;3;草食竜の甲殻;2;大地の結晶;3
クックグリーヴ;1;2;2;0;1;2;16;2;-2;2;-1;-3;攻撃;2;聴覚保護;-2;スタミナ;1;;;;;怪鳥の耳;2;怪鳥の甲殻;2;怪鳥の翼膜;2;ランポスの皮;2
クックレギンス;1;2;2;0;2;2;8;3;-1;3;0;-2;攻撃;2;聴覚保護;-2;スタミナ;1;;;;;怪鳥の耳;2;怪鳥の甲殻;2;怪鳥の翼膜;2;ランポスの皮;2
Ｋ・ロブスタグリーヴ;-1;4;1;0;1;4;16;-2;-5;-2;5;2;回避性能;1;回避距離;4;火耐性;-3;;;;;エビの小殻;1;エビの尾扇;1;化け鮫のヒレ;1;マカライト鉱石;3
Ｋ・ロブスタレギンス;-1;4;1;0;2;4;8;-1;-4;-1;6;3;回避性能;1;回避距離;4;火耐性;-3;;;;;エビの小殻;1;エビの尾扇;1;化け鮫のヒレ;1;マカライト鉱石;3
