name;hr;village;slots;skill_one;skill_one_points;skill_two;skill_two_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four;alt_material_one;alt_amount_one;alt_material_two;alt_amount_two;alt_material_three;alt_amount_three;alt_material_four;alt_amount_four
Steadfast Jewel 1;1;2;1;Faint;1;Paralysis;-1;Aquaglow Jewel;1;Bird Wyvern Fang;3;;;;;;;;;;;;
Standfast Jewel 1;-1;3;1;Faint;2;;;Sunspire Jewel;1;King's Frill;1;Arzuros Pelt;2;;;Bloodrun Jewel;1;Great Jaggi Hide+;2;;;;
Paralysis Jewel 1;1;2;1;Paralysis;1;Poison;-1;Aquaglow Jewel;1;Bnahabra Shell;2;;;;;;;;;;;;
Paralysis Jewel 2;2;3;2;Paralysis;3;Poison;-1;Sunspire Jewel;1;Gendrome Hide;2;Monster Fluid;2;;;Bloodrun Jewel;1;Gendrome Tail;1;;;;
Pep Jewel 1;2;4;1;Sleep;1;Snow/Mud Res;-1;Aquaglow Jewel;1;Nerusukyura Shell;2;;;;;;;;;;;;
Pep Jewel 2;2;4;2;Sleep;3;Snow/Mud Res;-1;Sunspire Jewel;1;Nerusukyura Horn;1;Warm Pelt;2;;;Bloodrun Jewel;1;Nerusukyura Claw+;1;;;;
Antidote Jewel 1;3;5;1;Poison;1;Faint;-1;Aquaglow Jewel;1;Ioprey Fang;2;;;;;;;;;;;;
Antidote Jewel 2;3;5;2;Poison;3;Faint;-1;Sunspire Jewel;1;Iodrome Hide;2;Screamer;2;;;Bloodrun Jewel;1;Toxin Sac;1;;;;
Def Lock Jewel 1;1;2;1;Defense Lock;2;;;Aquaglow Jewel;1;Adamant Seed;2;Catalyst;2;;;;;;;;;;
Alarm Jewel 1;1;1;1;Anti-Theft;2;;;Aquaglow Jewel;1;Felvine;3;;;;;;;;;;;;
Tracker Jewel 1;1;3;1;Snow/Mud Res;1;Sleep;-1;Aquaglow Jewel;1;Rhenoplos Shell;2;;;;;;;;;;;;
Trekker Jewel 1;2;4;1;Snow/Mud Res;2;;;Sunspire Jewel;1;Lagombi Plastron;1;Dragonite Ore;2;;;;;;;;;;
Footing Jewel 1;1;3;1;Tremor Resistence;1;Sleep;-1;Aquaglow Jewel;1;Slimy Oil;1;;;;;;;;;;;;
Tectonic Jewel 1;2;3;1;Tremor Resistence;2;;;Sunspire Jewel;1;Stern Skull;1;Gluehopper;2;;;;;;;;;;
Heat Res Jewel 1;1;1;1;Heat Res;2;;;Aquaglow Jewel;1;Ice Crystal;3;;;;;;;;;;;;
Cold Res Jewel 1;2;4;1;Cold Res;2;;;Aquaglow Jewel;1;Shark Scale;2;;;;;;;;;;;;
Earplug Jewel 1;2;4;1;Hearing;1;Protection;-1;Sunspire Jewel;1;Rathian Webbing;1;Lagombi Ear;2;;;Bloodrun Jewel;1;Tigrex Carapace;2;;;;
Earplug Jewel 3;8;-1;3;Hearing;4;Protection;-2;Lazurite Jewel;1;Chameleos Gem;1;Khezu Hide;1;;;;;;;;;;
Wind Res Jewel 1;3;5;1;Wind Res;1;Fate;-1;Sunspire Jewel;1;Zinogre Claw;1;Dragonite Ore;2;;;;;;;;;;
Wind Res Jewel 2;7;-1;2;Wind Res;3;Fate;-1;Bloodrun Jewel;1;Daora Webbing;1;Carbalite Ore;3;;;;;;;;;;
Attack Jewel 1;2;2;1;Attack;1;Defense;-1;Aquaglow Jewel;1;Jaggi Scale;2;Might Seed;1;;;;;;;;;;
Attack Jewel 2;2;4;2;Attack;3;Defense;-1;Sunspire Jewel;1;Fire Wyvern Claw;2;Demondrug;1;;;;;;;;;;
Attack Jewel 3;5;-1;3;Attack;5;Defense;-1;Bloodrun Jewel;1;Goa Magara Claw+;1;Mega Demondrug;2;;;;;;;;;;
Expert Jewel 1;1;2;1;Expert;1;Dragon Res;-1;Aquaglow Jewel;1;Sharpened Fang;2;Iron Ore;1;;;;;;;;;;
Expert Jewel 2;-1;5;2;Expert;3;Dragon Res;-1;Sunspire Jewel;1;Nargacuga Razor;1;Nerusukyura Claw;2;;;Bloodrun Jewel;1;Nerusukyura Horn+;2;;;;
Expert Jewel 3;7;-1;3;Expert;5;Dragon Res;-1;Lazurite Jewel;1;Akantor Spike;1;Garara Carapace;2;;;;;;;;;;
Disabler Jewel 1;2;3;1;Status;1;Elemental Attack;-1;Sunspire Jewel;1;Bnahabra Wing;3;Genprey Fang;3;;;Bloodrun Jewel;1;Bnahabra Carapace;2;Remobra Skin+;2;;
Disabler Jewel 2;5;-1;2;Status;3;Elemental Attack;-1;Bloodrun Jewel;1;Pale Khezu Steak;1;Monster Broth;2;;;;;;;;;;
Element Jewel 1;8;-1;1;Elemental Attack;1;Status;-1;Bloodrun Jewel;1;Alatreon Plate;3;;;;;;;;;;;;
Element Jewel 3;8;-1;3;Elemental Attack;4;Status;-2;Lazurite Jewel;1;Amadyura Claw;2;Zinogre Lightning Carapace;1;;;;;;;;;;
Blaze Jewel 1;2;4;1;Fire Attack;1;Water Attack;-1;Sunspire Jewel;1;Rathian Scale;2;;;;;;;;;;;;
Blaze Jewel 2;5;-1;2;Fire Attack;3;Water Attack;-1;Bloodrun Jewel;1;Inferno Sac;1;Volvidon Carapace;2;;;;;;;;;;
Stream Jewel 1;-1;3;1;Water Attack;1;Thunder Attack;-1;Sunspire Jewel;1;Ludroth Claw;1;;;;;;;;;;;;
Stream Jewel 2;4;-1;2;Water Attack;3;Thunder Attack;-1;Bloodrun Jewel;1;Generu Extract;1;Plesioth Scale;2;;;;;;;;;;
Bolt Jewel 1;2;4;1;Thunder Attack;1;Ice Attack;-1;Sunspire Jewel;1;Flabby Hide;1;Thunderbug;2;;;;;;;;;;
Bolt Jewel 2;5;-1;2;Thunder Attack;3;Ice Attack;-1;Bloodrun Jewel;1;Lightning Sac;1;Zinogre Carapace;1;;;;;;;;;;
