english;spanish;french;italian;german;japanese;chinese
Brave's Gloves;Guantes de Valiente;;;;ブレイブグラブ;勇气手套
Leather Gloves;Guantes de Cuero;;;;レザーグラブ;皮制手套
Chainmail Gloves;Guantes de Malla;;;;チェーングラブ;锁链手套
Hunter's Vambraces;Avambr. de Cazador;;;;ハンターアーム;猎人腕甲
Hunter's Guards;Guardabr. de Cazador;;;;ハンターガード;猎人护手
Bone Vambraces;Avambr. de Hueso;;;;ボーンアーム;骨制腕甲
Bone Guards;Guardabr. de Hueso;;;;ボーンガード;骨制护手
Alloy Vambraces;Avambr. de aleacion;;;;アロイアーム;合金腕甲
Alloy Guards;Guardabr. de Aleacion;;;;アロイガード;合金护手
Rhenoplos Vambraces;Avambr. de Rhenoplos;;;;リノプロアーム;草食龙腕甲
Rhenoplos Guards;Guardabr. de Rhenoplos;;;;リノプロガード;草食龙护手
Bnahabra Gloves;Guantes de Bnahabra;;;;ブナハグローブ;飞甲虫手套
Bnahabra Cuffs;Magas de Bnahabra;;;;ブナハカフス;飞甲虫长袖
Jaggi Vambraces;Avambr. de Jaggi;;;;ジャギィアーム;狗龙腕甲
Jaggi Guards;Guardabr. de Jaggi;;;;ジャギィガード;狗龙护手
Kunchuu Vambraces;Avambr. de Kunchuu;;;;クンチュウアーム;盾虫腕甲
Kunchuu Guards;Guardabr. de Kunchuu;;;;クンチュウガード;盾虫护手
Genprey Vambraces;Avambr. de Genprey;;;;ゲネポスアーム;黄速龙腕甲
Genprey Guards;Guardabr. de Genprey;;;;ゲネポスガード;黄速龙护手
Velociprey Vambraces;Avambr. de Velociprey;;;;ランポスアーム;蓝速龙腕甲
Velociprey Guards;Guardabr. de Velociprey;;;;ランポスガード;蓝速龙护手
Arzuros Vambraces;Avambr. de Arzuros;;;;アシラアーム;青熊兽腕甲
Arzuros Guards;Guardabr. de Arzuros;;;;アシラガード;青熊兽护手
High-Metal Vambraces;Avambr. De Metal de Calidad;;;;ハイメタアーム;矿石腕甲
High-Metal Guards;Guardabr. de Metal de Calidad;;;;ハイメタガード;矿石护手
Battle Vambraces;Avambr. de Batalla;;;;バトルアーム;战斗腕甲
Battle Guards;Guardabr. de Batalla;;;;バトルガード;战斗护手
Kecha Vambraces;Avambr. de Kecha;;;;ケチャアーム;奇猿狐腕甲
Kecha Guards;Guardabr. de Kecha;;;;ケチャガード;奇猿狐护手
Gypceros Vambraces;Avambr. de Gypceros;;;;ゲリョスアーム;毒怪鸟腕甲
Gypceros Guards;Guardabr. de Gypceros;;;;ゲリョスガード;毒怪鸟护手
Conga Vambraces;Avambr. de Conga;;;;コンガアーム;桃毛兽腕甲
Conga Guards;Guardabr. de Conga;;;;コンガガード;桃毛兽护手
Ludroth Vambraces;Avambr. de Ludroth;;;;ルドロスアーム;水兽腕甲
Ludroth Guards;Guardabr. de Ludroth;;;;ルドロスガード;水兽护手
Lagombi Vambraces;Avambr. de Lagombi;;;;ウルクアーム;白兔兽腕甲
Lagombi Guards;Guardabr. de Lagombi;;;;ウルクガード;白兔兽护手
Ioprey Vambraces;Avambr. de Ioprey;;;;イーオスアーム;红速龙腕甲
Ioprey Guards;Guardabr. de Ioprey;;;;イーオスガード;红速龙护手
Remobra Gloves;Guantes de Remobra;;;;ガブラスーツグラブ;翼蛇龙套手套
Remobra Hands;Manos de Remobra;;;;ガブラスーツハンド;翼蛇龙套之手
Tetsukabra Vambraces;Avambr. de Tetsukabra ;;;;カブラアーム;鬼蛙腕甲
Tetsukabra Guards;Guardabr. de Tetsukabra ;;;;カブラガード;鬼蛙护手
Kut-Ku Vambraces;Avambr. de Kut-Ku;;;;クックアーム;大怪鸟腕甲
Kut-Ku Guards;Guardabr. de Kut-Ku;;;;クックガード;大怪鸟护手
King Lobster Vambraces;Avambr. de Rey Langosta;;;;キングロブスタアーム;龙虾王腕甲
King Lobster Guards;Guardabr. de Rey Langosta;;;;キングロブスタガード;龙虾王护手
Barroth Vambraces;Avambr. de Barroth;;;;ボロスアーム;土砂龙腕甲
Barroth Guards;Guardabr. de Barroth;;;;ボロスガード;土砂龙护手
Ingot Vambraces;Avambr. de Lingote;;;;インゴットアーム;铸锭腕甲
Ingot Guards;Guardabr. de Lingote;;;;インゴットガード;铸锭护手
Basarios Vambraces;Avambr. de Basarios;;;;バサルアーム;岩龙腕甲
Basarios Guards;Guardabr. de Basarios;;;;バサルガード;岩龙护手
Guardian Vambraces;Avambr. de Guardian;;;;ガーディアンアーム;守护者腕甲
Guardian Guards;Guardabr. de Guardian;;;;ガーディアンガード;守护者护手
Helper Gloves;Guantes de Ayudante;;;;ヘルパーグラブ;护工装手套
