english;spanish;french;italian;german;japanese;chinese
Brave's Vest;Chaleco de Valiente;;;;ブレイブベスト;勇气内衣
Leather Vest;Chaleco de Cuero;;;;レザーベスト;皮制内衣
Chainmail Vest;Chaleco de Malla;;;;チェーンベスト;锁链内衣
Loc LacSuit;Traje de Loc Lac;;;;ロックラックスーツ;洛克拉克上衣
Hunter's Mail;Malla de Cazador;;;;ハンターメイル;猎人铠甲
Hunter's Vest;Chaleco de Cazador;;;;ハンターレジスト;猎人炼甲
Bone Mail;Malla de Hueso;;;;ボーンメイル;骨制铠甲
Bone Vest;Chaleco de Hueso;;;;ボーンレジスト;骨制炼甲
Alloy Mail;Malla de Aleacion;;;;アロイメイル;合金铠甲
Alloy Vest;Chaleco de Aleacion;;;;アロイレジスト;合金炼甲
Rhenoplos Mail;Malla de Rhenoplos;;;;リノプロメイル;草食龙铠甲
Rhenoplos Vest;Chaleco de Rhenoplos;;;;リノプロレジスト;草食龙炼甲
Bnahabra Suit;Traje de Bnahabra;;;;ブナハスーツ;飞甲虫上衣
Bnahabra Vest;Chaleco de Bnahabra;;;;ブナハベスト;飞甲虫内衣
Jaggi Mail;Malla de Jaggi;;;;ジャギィメイル;狗龙铠甲
Jaggi Vest;Chaleco de Jaggi;;;;ジャギィレジスト;狗龙炼甲
SlagtothCloak;Capa Slagtoth;;;;ズワロマント;垂皮龙披风
SlagtothCape;Cubierta Slagtoth;;;;ズワロケープ;垂皮龙大衣
Genprey Mail;Malla de Genprey;;;;ゲネポスメイル;黄速龙铠甲
Genprey Vest;Chaleco de Genprey;;;;ゲネポスレジスト;黄速龙炼甲
Velociprey Mail;Malla de Velociprey;;;;ランポスメイル;蓝速龙铠甲
Velociprey Vest;Chaleco de Velociprey;;;;ランポスレジスト;蓝速龙炼甲
Arzuros Mail;Malla de Arzuros;;;;アシラメイル;青熊兽铠甲
Arzuros Vest;Chaleco de Arzuros;;;;アシラレジスト;青熊兽炼甲
High-Metal Mail;Malla de Metal de Calidad;;;;ハイメタメイル;矿石铠甲
High-Metal Vest;Chaleco de Metal de Calidad;;;;ハイメタレジスト;矿石炼甲
Battle Mail;Malla de Batalla;;;;バトルメイル;战斗铠甲
Battle Vest;Chaleco de Batalla;;;;バトルレジスト;战斗炼甲
Kecha Mail;Malla de Kecha;;;;ケチャメイル;奇猿狐铠甲
Kecha Vest;Chaleco de Kecha;;;;ケチャレジスト;奇猿狐炼甲
Gypceros Mail;Malla de Gypceros;;;;ゲリョスメイル;毒怪鸟铠甲
Gypceros Vest;Chaleco de Gypceros;;;;ゲリョスレジスト;毒怪鸟炼甲
Conga Mail;Malla de Conga;;;;コンガメイル;桃毛兽铠甲
Conga Vest;Chaleco de Conga;;;;コンガレジスト;桃毛兽炼甲
Ludroth Mail;Malla de Ludroth;;;;ルドロスメイル;水兽铠甲
Ludroth Vest;Chaleco de Ludroth;;;;ルドロスレジスト;水兽炼甲
Lagombi Mail;Malla de Lagombi;;;;ウルクメイル;白兔兽铠甲
Lagombi Vest;Chaleco de Lagombi;;;;ウルクレジスト;白兔兽炼甲
Ioprey Mail;Malla de Ioprey;;;;イーオスメイル;红速龙铠甲
Ioprey Vest;Chaleco de Ioprey;;;;イーオスレジスト;红速龙炼甲
Remobra Body;Cuerpo de Remobra;;;;ガブラスーツボディ;翼蛇龙套之躯
Remobra Wear;Desgaste Remobra;;;;ガブラスーツウェア;翼蛇龙套上衣
Tetsukabra Mail;Malla de Tetsukabra ;;;;カブラメイル;鬼蛙铠甲
Tetsukabra Vest;Chaleco de Tetsukabra ;;;;カブラレジスト;鬼蛙炼甲
Kut-Ku Mail;Malla de Kut-Ku;;;;クックメイル;大怪鸟铠甲
Kut-Ku Vest;Chaleco de Kut-Ku;;;;クックレジスト;大怪鸟炼甲
King Lobster Shell;Concha de Rey Langosta;;;;キングロブスタシェル;龙虾王胸壳
King Lobster Skin;Piel de Rey Langosta;;;;キングロブスタスキン;龙虾王胸甲
Barroth Mail;Malla de Barroth;;;;ボロスメイル;土砂龙铠甲
Barroth Vest;Chaleco de Barroth;;;;ボロスレジスト;土砂龙炼甲
Ingot Mail;Malla de Lingote;;;;インゴットメイル;铸锭铠甲
Ingot Vest;Chaleco de Lingote;;;;インゴットレジスト;铸锭炼甲
Basarios Mail;Malla de Basarios;;;;バサルメイル;岩龙铠甲
Basarios Vest;Chaleco de Basarios;;;;バサルレジスト;岩龙炼甲
Guardian Suit;Traje de Guardian;;;;ガーディアンスーツ;守护者上衣
Guardian Vest;Chaleco de Guardian;;;;ガーディアンベスト;守护者内衣
Helper Suit;Traje de Ayudante;;;;ヘルパースーツ;护工装上衣
Helper Vest;Chaleco de Ayudante;;;;ヘルパーベスト;护工装内衣
Rouaga Petto;Torax de Aelucanth;;;;ロワーガペット;锹虫铠甲
Rouaga Pectus;Pleura de Aelucanth;;;;ロワーガペクトス;锹虫炼甲
Falmer Petto;Torax de Rhopessa;;;;ファルメルペット;蝴蝶铠甲
Falmer Pectus;Pleura de Rhopessa;;;;ファルメルペクトス;蝴蝶炼甲
Nightmare Toronko;Armazon Mosgharl ;;;;マギュルトロンコ;南瓜外衣
Nightmare Shtam;Coraza Mosgharl ;;;;マギュルシュタム;南瓜内衣
Nerusukyura Mail;Malla de Nerusukyura ;;;;スキュラメイル;影蜘蛛铠甲
Nerusukyura Vest;Chaleco de Nerusukyura ;;;;スキュラレジスト;影蜘蛛炼甲
Khezu Mail;Malla de Khezu;;;;フルフルメイル;电龙铠甲
Khezu Vest;Chaleco de Khezu;;;;フルフルレジスト;电龙炼甲
Rathian Mail;Malla de Rathian;;;;レイアメイル;雌火龙铠甲
Rathian Vest;Chaleco de Rathian;;;;レイアレジスト;雌火龙炼甲
Artian Mail;Malla de artesanas;;;;アーティアメイル;神秘铠甲
Artian Vest;Chaleco de artesanas;;;;アーティアレジスト;神秘炼甲
Zaboazagiru Mail;Malla de Zaboazagiru;;;;ザボアメイル;鬼鲛铠甲
Zaboazagiru Vest;Chaleco de Zaboazagiru;;;;ザボアレジスト;鬼鲛炼甲
Garara Mail;Malla de Garara;;;;ガララメイル;绞蛇龙铠甲
Garara Vest;Chaleco de Garara;;;;ガララレジスト;绞蛇龙炼甲
Plesioth Mail;Malla de Plesioth;;;;ガノスメイル;水龙铠甲
Plesioth Vest;Chaleco de Plesioth;;;;ガノスレジスト;水龙炼甲
Guild Bard Suit;Pecho. Bolero Bardo Gremio;;;;ギルドバードスーツ;工会精英上衣
Guild Bard Vest;Chaleco Bardo Gremio;;;;ギルドバードベスト;工会精英内衣
Scholar Suit;Traje de Escolar;;;;スカラースーツ;售货员上衣
Scholar Vest;Chaleco de Escolar;;;;スカラーベスト;售货员内衣
Zinogre Mail;Malla de Zinogre;;;;ジンオウメイル;雷狼龙铠甲
Zinogre Vest;Chaleco de Zinogre;;;;ジンオウレジスト;雷狼龙炼甲
Generu Mail;Malla de Generu;;;;セルタスメイル;重甲虫铠甲
Generu Vest;Chaleco de Generu;;;;セルタスレジスト;重甲虫炼甲
Nibelsnarf Mail;Malla de Nibelsnarf;;;;ハプルメイル;潜口龙铠甲
Nibelsnarf Vest;Chaleco de Nibelsnarf;;;;ハプルレジスト;潜口龙炼甲
Ceanataur Mail;Malla de Ceanataur;;;;ギザミメイル;镰蟹铠甲
Ceanataur Vest;Chaleco de Ceanataur ;;;;ギザミレジスト;镰蟹炼甲
Goa Mail;Malla de Gao;;;;ゴアメイル;黑蚀龙铠甲
Goa Vest;Chaleco de Gao;;;;ゴアレジスト;黑蚀龙炼甲
Tigrex Mail;Malla de Tigrex;;;;レックスメイル;轰龙铠甲
Tigrex Vest;Chaleco de Tigrex;;;;レックスレジスト;轰龙炼甲
