english;spanish;french;italian;german;japanese;chinese
Brave's Hood;Cubre Cabeza de Valiente;;;;ブレイブヘッド;勇气刃笠
Leather Hood;Cubre Cabeza de Cuero;;;;レザーヘッド;皮制刃笠
Chainmail Hood;Cubre Cabeza de Malla;;;;チェーンヘッド;锁链刃笠
Hunter's Helm;Casco de Cazador;;;;ハンターヘルム;猎人头盔
Hunter's Cap;Gorro de Cazador;;;;ハンターキャップ;猎人战帽
Bone Helm;Casco de Hueso;;;;ボーンヘルム;骨制头盔
Bone Cap;Gorro de Hueso;;;;ボーンキャップ;骨制战帽
Alloy Helm;Casco de Aleacion;;;;アロイヘルム;合金头盔
Alloy Cap;Gorro de Aleacion;;;;アロイキャップ;合金战帽
Rhenoplos Helm;Casco de Rhenoplos;;;;リノプロヘルム;草食龙头盔
Rhenoplos Cap;Gorro de Rhenoplos;;;;リノプロキャップ;草食龙战帽
Bnahabra Hat;Sobrero de Bnahabra;;;;ブナハハット;飞甲虫帽子
Bnahabra Cap;Gorro de Bnahabra ;;;;ブナハキャップ;飞甲虫战帽
Jaggi Helm;Casco de Jaggi;;;;ジャギィヘルム;狗龙头盔
Jaggi Cap;Gorro de Jaggi;;;;ジャギィキャップ;狗龙战帽
SlagtothHead;Capucha Slagtoth;;;;ズワロフード;垂皮龙头罩
SlagtothHood;Caperusa Slagtoth;;;;ズワロフッド;垂皮龙头帽
Genprey Helm;Casco de Genprey;;;;ゲネポスヘルム;黄速龙头盔
Genprey Cap;Gorro de Genprey;;;;ゲネポスキャップ;黄速龙战帽
Velociprey Helm;Casco de Velociprey;;;;ランポスヘルム;蓝速龙头盔
Velociprey Cap;Gorro de Velociprey;;;;ランポスキャップ;蓝速龙战帽
Arzuros Helm;Casco de Arzuros;;;;アシラヘルム;青熊兽头盔
Arzuros Cap;Gorro de Arzuros;;;;アシラキャップ;青熊兽战帽
High-Metal Helm;Casco Metal de Calidad;;;;ハイメタヘルム;矿石头盔
High-Metal Cap;Gorro de Metal de Calidad;;;;ハイメタキャップ;矿石战帽
Battle Helm;Casco de Batalla;;;;バトルヘルム;战斗头盔
Battle Cap;Gorro de Batalla;;;;バトルキャップ;战斗战帽
Kecha Helm;Casco de Kecha;;;;ケチャヘルム;奇猿狐头盔
Kecha Cap;Gorro de Kecha;;;;ケチャキャップ;奇猿狐战帽
Gypceros Helm;Casco de Gypceros;;;;ゲリョスヘルム;毒怪鸟头盔
Gypceros Cap;Gorro de Gypceros;;;;ゲリョスキャップ;毒怪鸟战帽
Conga Helm;Casco de Conga;;;;コンガヘルム;桃毛兽头盔
Conga Cap;Gorro de Conga;;;;コンガキャップ;桃毛兽战帽
Ludroth Helm;Casco de Ludroth;;;;ルドロスヘルム;水兽头盔
Ludroth Cap;Gorro de Ludroth;;;;ルドロスキャップ;水兽战帽
Lagombi Helm;Casco de Lagombi;;;;ウルクヘルム;白兔兽头盔
Lagombi Cap;Gorro de Lagombi;;;;ウルクキャップ;白兔兽战帽
Ioprey Helm;Casco de Ioprey;;;;イーオスヘルム;红速龙头盔
Ioprey Cap;Gorro de Ioprey;;;;イーオスキャップ;红速龙战帽
Remobra Hood;Cubre Cabeza de Remobra ;;;;ガブラスヘッド;翼蛇龙刃笠
Remobra Face;Cara de Remobra;;;;ガブラスフェイス;翼蛇龙脸
Tetsukabra Helm;Casco de Tetsukabra ;;;;カブラヘルム;鬼蛙头盔
Tetsukabra Cap;Gorro de Tetsukabra ;;;;カブラキャップ;鬼蛙战帽
Kut-Ku Helm;Casco de Kut-Ku;;;;クックヘルム;大怪鸟头盔
Kut-Ku Cap;Gorro de Kut-Ku;;;;クックキャップ;大怪鸟战帽
King Lobster Helm;Casco de Rey Langosta;;;;キングロブスタヘルム;龙虾王头盔
King Lobster Cap;Gorro de Rey Lanosta;;;;Ｋ・ロブスタキャップ;龙虾王战帽
Barroth Helm;Casco de Barroth;;;;ボロスヘルム;土砂龙头盔
Barroth Cap;Gorro de Barroth;;;;ボロスキャップ;土砂龙战帽
Ingot Helm;Casco de Lingote;;;;インゴットヘルム;铸锭头盔
Ingot Cap;Gorro de Lingote;;;;インゴットキャップ;铸锭战帽
Basarios Helm;Casco de Basarios;;;;バサルヘルム;岩龙头盔
Basarios Cap;Gorro de Basarios;;;;バサルキャップ;岩龙战帽
Guardian Helm;Casco de Guardian;;;;ガーディアンヘルム;守护者头盔
Guardian Mask;Mascar de Guardian;;;;ガーディアンマスク;守护者面具
Helper Head;Capucha Ayudante;;;;ヘルパーフード;护工装头罩
Helper Cap;Gorro de ayudante;;;;ヘルパーキャップ;护工装战帽
Rouaga Testa;Vertice de Aelucanth;;;;ロワーガテスタ;锹虫头盔
Rouaga Kabuto;Clipeo de Aelucanth;;;;ロワーガカプト;锹虫战帽
Falmer Testa;Vertice de Rhopessa;;;;ファルメルテスタ;蝴蝶头盔
Falmer Kabuto;Clipeo de Rhopessa;;;;ファルメルカプト;蝴蝶战帽
Nightmare Furore;Vizera Mosgharl;;;;マギュルフロール;南瓜帽
Nightmare Broome;Ala Mosgharl;;;;マギュルブルーメ;南瓜面罩
Nerusukyura Helm;Casco de Nerusukyura;;;;スキュラヘルム;影蜘蛛头盔
Nerusukyura Cap;Gorro de Nerusukyura;;;;スキュラキャップ;影蜘蛛战帽
Khezu Helm;Casco de Khezu;;;;フルフルヘルム;电龙头盔
Khezu Cap;Gorro de Khezu;;;;フルフルキャップ;电龙战帽
Rathian Helm;Casco de Rathian;;;;レイアヘルム;雌火龙头盔
Rathian Cap;Gorro de Rathian;;;;レイアキャップ;雌火龙战帽
Zaboazagiru Helm;Casco de Zaboazagiru;;;;ザボアヘルム;鬼鲛头盔
Zaboazagiru Cap;Gorro de Zaboazagiru;;;;ザボアキャップ;鬼鲛战帽
Garara Helm;Casco de Garara;;;;ガララヘルム;绞蛇龙头盔
Garara Cap;Gorro de Garara;;;;ガララキャップ;绞蛇龙战帽
Plesioth Helm;Casco de Plesioth;;;;ガノスヘルム;水龙头盔
Plesioth Cap;Gorro de Plesioth;;;;ガノスキャップ;水龙战帽
Guild Bard Lobos;Gorro. Pluma Bardo Gremio;;;;ギルドバードロポス;工会精英头盔
Guild Bard Hat;Sombrero Bardo Gremio;;;;ギルドバードハット;工会精英帽子
Scholar Head;Capucha Escolar;;;;スカラーフード;售货员头罩
Scholar Beret;Bouna de Escolar;;;;スカラーベレー;售货员贝雷帽
Zinogre Helm;Casco de Zinogre;;;;ジンオウヘルム;雷狼龙头盔
Zinogre Cap;Gorro de Zinogre;;;;ジンオウキャップ;雷狼龙战帽
Generu Helm;Casco de Generu;;;;セルタスヘルム;重甲虫头盔
Generu Cap;Gorro de Generu;;;;セルタスキャップ;重甲虫战帽
Nibelsnarf Helm;Casco de Nibelsnarf;;;;ハプルヘルム;潜口龙头盔
Nibelsnarf Cap;Gorro de Nibelsnarf;;;;ハプルキャップ;潜口龙战帽
Ceanataur Helm;Casco de Ceanataur;;;;ギザミヘルム;镰蟹头盔
Ceanataur Cap;Gorro de Ceanataur;;;;ギザミキャップ;镰蟹战帽
Goa Helm;Casco de Gao;;;;ゴアヘルム;黑蚀龙头盔
Goa Cap;Gorro de Gao;;;;ゴアキャップ;黑蚀龙战帽
Tigrex Helm;Casco de Tigrex;;;;レックスヘルム;轰龙头盔
Tigrex Cap;Gorro de Tigrex;;;;レックスキャップ;轰龙战帽
Brachydios Helm;Casco de Brachydios;;;;ブラキヘルム;碎龙头盔
Brachydios Cap;Gorro de Brachydios;;;;ブラキキャップ;碎龙战帽
Nargacuga Helm;Casco de Nargacuga;;;;ナルガヘルム;迅龙头盔
Nargacuga Cap;Gorro de Nargacuga;;;;ナルガキャップ;迅龙战帽
Gravios Helm;Casco de Gravios;;;;グラビドヘルム;铠龙头盔
Gravios Cap;Gorro de Gravios ;;;;グラビドキャップ;铠龙战帽
Rathalos Helm;Casco de Rathalos;;;;レウスヘルム;雄火龙头盔
Rathalos Cap;Gorro de Rathalos;;;;レウスキャップ;雄火龙战帽
Lavasioth Helm;Casco de Lavasioth;;;;ラヴァヘルム;溶岩龙头盔
Lavasioth Cap;Gorro de Lavasioth;;;;ラヴァキャップ;溶岩龙战帽
Diablos Helm;Casco de Diablos;;;;ディアブロヘルム;角龙头盔
Diablos Cap;Gorro de Diablos;;;;ディアブロキャップ;角龙战帽
Garuga Helm;Casco de Garuga;;;;ガルルガヘルム;黑狼鸟头盔
Garuga Cap;Gorro de Garuga;;;;ガルルガキャップ;黑狼鸟战帽
Uragaan Helm;Casco de Uragaan;;;;ガンキンヘルム;爆锤龙头盔
Uragaan Cap;Gorro de Uragaan;;;;ガンキンキャップ;爆锤龙战帽
Duramboros Helm;Casco de Duramboros;;;;ドボルヘルム;尾槌龙头盔
Duramboros Cap;Gorro de Duramboros;;;;ドボルキャップ;尾槌龙战帽
Arc Helm;Casco de Arco;;;;アークヘルム;弧光头盔
Arc Cap;Gorro de Arco;;;;アークキャップ;弧光战帽
Philia Helm;Casco de Philia;;;;フィリアヘルム;友爱头盔
Philia Cap;Gorro de Philia;;;;フィリアキャップ;友爱战帽
Zannyo Kabuto;Kabuto Zannyo;;;;残陽【兜】;残阳【面兜】
Shinonome Jingasa;Jingasa Shinonome ;;;;東雲【陣笠】;东云【阵笠】
Tokiwa Kabuto;Kabuto Tokiwa ;;;;常磐【兜】;常磐【面兜】
Yachiyo Kanmuri;Kanmuri Yachiyo ;;;;八千代【冠】;八千代【头冠】
Kirin Horn;Cuerno de Kirin;;;;キリンホーン;麒麟头笛
Kirin Crown;Cresta de Kirin;;;;キリンコルノ;麒麟头冠
Akatsuki Kabuto;Kabuto Akatsuki ;;;;暁丸【兜】;晓丸【面兜】
Akebono Eboshi;Eboshi Akebono ;;;;曙丸【烏帽子】;曙丸【乌帽子】
Rin Hachi;Hachi Rin ;;;;凛【鉢金】;凛【钵金】
Tsuya Hachi;Hachi Tsuya ;;;;艶【鉢金】;妖艳【钵金】
Gargwa Mask;Mascara de Gargwa;;;;ガーグァフェイク;丸鸟伪装
Jaggi Mask;Mascara de Jaggi;;;;ジャギィフェイク;狗龙伪装
Friendship Feathers;Pluma de Amistad;;;;友情の羽飾り;友情羽饰
Wyvernking Eyepatch;Rey Wyvern Tuerto;;;;竜王の隻眼;龙王双眼
Sgt. Frog Mask;Mascara de Sargento Frog;;;;ケロロフェイク;Keroro军曹伪装
Blue Star Lobos;Casco Estrella Azul;;;;ブルースターロポス;蓝星花头盔
