english;spanish;french;italian;german;japanese;chinese
Brave's Pants;Pantalones de Valiente;;;;ブレイブパンツ;勇气具足
Leather Pants;Pantalones de Cuero;;;;レザーパンツ;皮制具足
Chainmail Pants;Pantalones de Malla;;;;チェーンパンツ;锁链具足
Loc Lac Boots;Botas de Loc Lac ;;;;ロックラックブーツ;洛克拉克皮靴
Hunter's Greaves;Grebas de Cazador;;;;ハンターグリーヴ;猎人重靴
Hunter's Leggings;Calzas de Cazador;;;;ハンターレギンス;猎人轻靴
Bone Greaves;Grebas de Hueso;;;;ボーングリーヴ;骨制重靴
Bone Leggings;Calzas de Hueso;;;;ボーンレギンス;骨制轻靴
Alloy Greaves;Grebas de Aleacion;;;;アロイグリーヴ;合金重靴
Alloy Leggings;Calzas de Aleacion;;;;アロイレギンス;合金轻靴
Rhenoplos Greaves;Grebas de Rhenoplos;;;;リノプログリーヴ;草食龙重靴
Rhenoplos Leggings;Calzas de Rhenoplos;;;;リノプロレギンス;草食龙轻靴
Bnahabra Boots;Botas de Bnahabra;;;;ブナハブーツ;飞甲虫皮靴
Bnahabra Feet;Pantalones de Bnahabra;;;;ブナハフット;飞甲虫具足
Jaggi Greaves;Grebas de Jaggi;;;;ジャギィグリーヴ;狗龙重靴
Jaggi Leggings;Calzas de Jaggi;;;;ジャギィレギンス;狗龙轻靴
Genprey Greaves;Grebas de Genprey;;;;ゲネポスグリーヴ;黄速龙重靴
Genprey Leggings;Calzas de Genprey;;;;ゲネポスレギンス;黄速龙轻靴
Velociprey Greaves;Grebas de Velociprey;;;;ランポスグリーヴ;蓝速龙重靴
Velociprey Leggings;Calzas de Velociprey;;;;ランポスレギンス;蓝速龙轻靴
Arzuros Greaves;Grebas de Arzuros;;;;アシラグリーヴ;青熊兽重靴
Arzuros Leggings;Calzas de Arzuros;;;;アシラレギンス;青熊兽轻靴
High-Metal Greaves;Grebas de Metal de Calidad;;;;ハイメタグリーヴ;矿石重靴
High-Metal Leggings;Calzas de Metal de Calidad;;;;ハイメタレギンス;矿石轻靴
Battle Greaves;Grebas de Batalla;;;;バトルグリーヴ;战斗重靴
Battle Leggings;Calzas de Batalla;;;;バトルレギンス;战斗轻靴
Kecha Greaves;Grebas de Kecha;;;;ケチャグリーヴ;奇猿狐重靴
Kecha Leggings;Calzas de Kecha;;;;ケチャレギンス;奇猿狐轻靴
Gypceros Greaves;Grebas de Gypceros;;;;ゲリョスグリーヴ;毒怪鸟重靴
Gypceros Leggings;Calzas de Gypceros;;;;ゲリョスレギンス;毒怪鸟轻靴
Conga Greaves;Grebas de Conga;;;;コンガグリーヴ;桃毛兽重靴
Conga Leggings;Calzas de Conga;;;;コンガレギンス;桃毛兽轻靴
Ludroth Greaves;Grebas de Ludroth;;;;ルドロスグリーヴ;水兽重靴
Ludroth Leggings;Calzas de Ludroth;;;;ルドロスレギンス;水兽轻靴
