english;spanish;french;italian;german;japanese;chinese
Poison;Veneno;;;;毒;毒
Paralysis;Paralizis;;;;麻痺;麻痹
Sleep;Sueño;;;;睡眠;睡眠
Faint;Aturdimiento;;;;気絶;气绝
Snow/Mud Res;Barro/Nieve;;;;耐泥耐雪;耐泥耐雪
Defense Lock;Def. Solida;;;;対防御DOWN;对防御DOWN
Biology;Biologia;;;;細菌学;细菌学
Attack;Ataque;;;;攻撃;攻击
Defense;Defenza;;;;防御;防御
Health;Salud;;;;体力;体力
Rec Speed;Veloc. Recuperación;;;;回復速度;回复速度
Protection;Protección;;;;加護;加护
Sheathing;Envainar;;;;納刀;收刀
Fast Charge;Carga Rapida;;;;溜め短縮;蓄力缩短
Expert;Experto;;;;達人;达人
Tenderizer;Golpe;;;;痛撃;痛击
Destroyer;Destructor;;;;重撃;重击
KO;KO;;;;KO;KO
Stamina Drain;Agotar;;;;減気攻撃;减气攻击
Constitution;Constitucion;;;;体術;体术
Hearing;Oido;;;;聴覚保護;听觉保护
Wind Res;Res. Viento;;;;風圧;风压
Tremor Res;Res. Temblor;;;;耐震;耐震
Heat Res;Res. Calor;;;;耐暑;耐暑
Cold Res;Res. Frio;;;;耐寒;耐寒
Stamina;Resistencia;;;;スタミナ;耐力
Stamina Recovery;Recup. Resistencia;;;;気力回復;气力回复
Evasion;Evasión;;;;回避性能;回避性能
Evade Distance;Evasion Aum.;;;;回避距離;回避距離
Sense;Sentido;;;;気配;气息
Guard;Guardia;;;;ガード性能;防御性能
Guard Up;Guardia Aumentada;;;;ガード強化;防御强化
Status;Estado;;;;特殊攻撃;特殊攻击
Elemental Attack;Elemento;;;;属性攻撃;属性攻击
Fire Attack;Ataque Fuego;;;;火属性攻撃;火属性攻击
Water Attack;Ataque Agua;;;;水属性攻撃;水属性攻击
Thunder Attack;Ataque Trueno;;;;雷属性攻撃;雷属性攻击
Ice Attack;Ataque Hielo;;;;氷属性攻撃;冰属性攻击
Dragon Attack;Ataque Dragón;;;;龍属性攻撃;龙属性攻击
Fire Res;Res. Fuego;;;;火耐性;火耐性
Water Res;Res. Agua;;;;水耐性;水耐性
Thunder Res;Res. Trueno;;;;雷耐性;雷耐性
Ice Res;Res. Hielo;;;;氷耐性;冰耐性
Dragon Res;Res. Dragón;;;;龍耐性;龙耐性
Sharpness;Afilado;;;;斬れ味;锋利度
Handicraft;Artesano;;;;匠;匠
Sharpening Speed;Afilador;;;;研ぎ師;研磨师
Punishing Draw;Desenv. Castig.;;;;抜刀減気;拔刀减气
Critical Draw;Desenv. Crit.;;;;抜刀会心;拔刀会心
Fencing;Esgrima;;;;剣術;剑术
Reload Speed;Vel. Recarga;;;;装填速度;装填速度
Loading;Carga;;;;装填数;装填数
Rapid Fire;Fuego Rapido;;;;速射;速射
Recoil;Retroceso;;;;反動;后坐力
Precision;Presición;;;;精密射撃;精密射击
Normal Up;Disp. Normal Aum.;;;;通常弾強化;通常弹强化
Pierce Up;Disp. Perf. Aum.;;;;貫通弾強化;贯通弹强化
Pellet Up;Disp. Perd. Aum.;;;;散弾強化;散弹强化
Normal S+;Disp. Normal +;;;;通常弾追加;通常弹追加
Pierce S+;Disp. Perf. +;;;;貫通弾追加;贯通弹追加
Pellet S+;Disp. Perd. +;;;;散弾追加;散弹追加
Crag S+;Disp. Explos. +;;;;榴弾追加;榴弹追加
Clust S+;Disp. Grupo +;;;;拡散弾追加;扩散弹追加
Slicing S+;Disp. Cort. +;;;;斬裂弾追加;斩裂弹追加
Slime S+;Disp. Blast +;;;;爆破弾追加;爆破弹追加
Poison C+;Disp. Veneno +;;;;毒瓶追加;毒瓶追加
Paralysis C+;Disp. Paral. +;;;;麻痺瓶追加;麻痹瓶追加
Sleep C+;Disp. Sueño +;;;;睡眠瓶追加;睡眠瓶追加
Power C+;Rev. Poder +;;;;強撃瓶追加;强击瓶追加
C.Range C+;Rev. Rango +;;;;接撃瓶追加;接撃瓶追加
Exhaust C+;Rev. Fatiga +;;;;減気瓶追加;减气瓶追加
Slime C+;Rev. Blast +;;;;爆破瓶追加;爆破瓶追加
Maestro;Maestro;;;;笛;笛
Artillery;Artilleria;;;;砲術;炮术
Bomb Boost;Aum. Bombas;;;;爆弾強化;爆弹强化
Recovery Level;Niv. Recuperación;;;;回復量;回复量
Wide Range;Area Amplia;;;;広域;广域
Lasting Power;Duración;;;;効果持続;效果持续
Hunger;Hambre;;;;腹減り;饥饿
Gluttony;Glotoneria;;;;食いしん坊;大胃王
Eating;Comer;;;;食事;食事
Carnivore;Carnivoro;;;;肉食;肉食
Combo Rate;Éxito Combinacion;;;;調合成功率;调合成功率
Combo Plus;Combinacion +;;;;調合数;调合数
Gathering;Recogida;;;;採取;采集
Speed Gather;Recog. Rapida;;;;高速収集;高速收集
Whim;Capricho;;;;気まぐれ;反复无常
Honey;Miel;;;;ハチミツ;蜂蜜
Charmer;Amuletos;;;;護石王;护石王
Fate;Destino;;;;運気;运气
Carving;Carveo;;;;剥ぎ取り;剥取
Tranquilizer;Tranquilzador;;;;捕獲;捕获
Perception;Percepción;;;;観察眼;观察眼
Psychic;Psiquico;;;;千里眼;千里眼
Transporter;Transportador;;;;運搬;搬运
Ranger;Cazador;;;;狩人;狩人
Anti-Theft;antirrobo;;;;盗み無効;偷盗无效
Speed Setup;Trampa Rapida;;;;高速設置;高速设置
Flame Aura;Aura Flama;;;;燃鱗;燃鳞
Potential;Potencial;;;;底力;底力
Survivor;Sobreviviente;;;;逆境;逆境
Gloves Off;Seriedad;;;;本気;认真
Spirit;Espititu;;;;闘魂;斗魂
Unscathed;Intocable;;;;無傷;无伤
Free Element;Elemento Liberado;;;;属性解放;属性解放
Guts;Agallas;;;;根性;根性
Team Player;Batuta Otomo;;;;采配;采配
Team Leader;Orden de Mando;;;;号令;号令
Auto-Guard;Autoguardia;;;;自動防御;自动防御
Blight Res;Res. Plaga;;;;属性耐性;属性耐性
Status Res;Res. Estado;;;;状態耐性;状态耐性
Fury;Furia;;;;怒;怒
Edgemaster;Filo Maestro;;;;刀匠;刀匠
Steadyhand;Mano Firme;;;;射手;射手
Unshakable;Inquebrantable;;;;不動;不动
Single-Minded;Mente;;;;一心;一心
Firm Defence;Defenza Firme;;;;頑強;顽强
Greedy;Codicia;;;;強欲;强欲
Infection Res;Res. Locura;;;;狂撃耐性;狂击耐性
Precise Attack;Ataque Preciso;;;;剛撃;刚击
Commander;Comando Otomo;;;;指揮;指挥
Rider;Jinete;;;;乗り;骑乘
Martial Arts;Artes Marciales;;;;居合;居合
Acrobat;Acrobata;;;;回避術;回避术
Shielder;Escudero;;;;盾持;盾持
Finesse;Delicadeza;;;;潔癖;洁癖
Charm Collector;Colec. Amuletos;;;;護石収集;护石收集
Amplifier;Amplificador;;;;増幅;增幅
Torso Up;Torso Aumentado;;;;胴系統倍化;胴系統倍化
Negate Poison;Veneno Anulado;;;;毒無効;毒无效
Double Poison;Veneno Doblado;;;;毒倍加;毒倍加
Negate Paralysis;Paralisis Negada;;;;麻痺無効;麻痹无效
Double Paralysis;Paralisis Doblada;;;;麻痺倍加;麻痹倍加
Negate Sleep;Sueño Anulado;;;;睡眠無効;睡眠无效
Double Sleep;Sueño Doblado;;;;睡眠倍加;睡眠倍加
Halve Stun;Aturdim. a Mitad;;;;気絶確率半減;气绝概率减半
Negate Stun;Aturdim. Negado;;;;気絶無効;气绝无效
Double Stun;Aturdim. Doblado;;;;気絶倍加;气绝倍加
Negate Mud/Snow;Barro/Nieve Anulado;;;;泥＆雪無効;泥＆雪无效
Iron Skin;Piel de Hierro;;;;鉄面皮;铁面皮
Bio Student;Bio Estudiante;;;;細菌研究家;细菌研究家
Bio Master;Bio Maestro;;;;バイオドクター;生物博士
Attack Up (S);Ataque Aum. (Bajo);;;;攻撃力UP【小】;攻击力UP【小】
Attack Up (M);Ataque Aum. (Medio);;;;攻撃力UP【中】;攻击力UP【中】
Attack Up (L);Ataque Aum. (Alto);;;;攻撃力UP【大】;攻击力UP【大】
Attack Up (U);Ataque Aum. (Ultra);;;;攻撃力UP【超】;攻击力UP【超】
Attack Down (S);Ataque Dismin. (Bajo);;;;攻撃力DOWN【小】;攻击力DOWN【小】
Attack Down (M);Ataque Dismin. (Medio);;;;攻撃力DOWN【中】;攻击力DOWN【中】
Attack Down (L);Ataque Dismin. (Alto);;;;攻撃力DOWN【大】;攻击力DOWN【大】
Defense Up (S);Defensa Aum. (Bajo);;;;防御力UP【小】;防御力UP【小】
Defense Up (M);Defensa Aum. (Medio);;;;防御力UP【中】;防御力UP【中】
Defense Up (L);Defensa Aum. (Alto);;;;防御力UP【大】;防御力UP【大】
Defense Up (U);Defensa Aum. (Ultra);;;;防御力UP【超】;防御力UP【超】
Defense Down (S);Defensa Dismin. (Bajo);;;;防御力DOWN【小】;防御力DOWN【小】
Defense Down (M);Defensa Dismin. (Medio);;;;防御力DOWN【中】;防御力DOWN【中】
Defense Down (L);Defensa Dismin. (Alto);;;;防御力DOWN【大】;防御力DOWN【大】
Health +20;Salud +20;;;;体力+20;体力+20
Health +50;Salud +50;;;;体力+50;体力+50
Health -10;Salud -10;;;;体力-10;体力-10
Health -30;Salud -30;;;;体力-30;体力-30
Rec Speed +1;Vel. Recup +1;;;;回復速度+1;回復速度+1
Rec Speed +2;Vel. Recup +2;;;;回復速度+2;回復速度+2
Rec Speed -1;Vel. Recup -1;;;;回復速度-1;回復速度-1
Rec Speed -2;Vel. Recup -2;;;;回復速度-2;回復速度-2
Divine Protection;Proteccion Divina;;;;精霊の加護;精灵的加护
Demonic Protection;Proteccion Demoniaca;;;;悪霊の加護;恶灵的加护
Quick Sheath;Vaina Rápida;;;;納刀術;收刀术
Focus;Concentación;;;;集中;集中
Distraction;Distracción;;;;雑念;杂念
Critical Eye +1;Ojo Critico +1;;;;見切り+1;看破+1
Critical Eye +2;Ojo Critico +2;;;;見切り+2;看破+2
Critical Eye +3;Ojo Critico +3;;;;見切り+3;看破+3
Critical Master;Ojo Critico Maestro;;;;見切りマスター;看破大师
Critical Eye -1;Ojo Critico -1;;;;見切り-1;看破-1
Critical Eye -2;Ojo Critico -2;;;;見切り-2;看破-2
Critical Eye -3;Ojo Critico -3;;;;見切り-3;看破-3
Weakness Exploit;Aguijón;;;;弱点特効;弱点特效
Part Breaker;Destructor;;;;破壊王;破坏王
Knockout King;Rey del KO;;;;KO術;KO术
Stamina Thief;Robarresistencia;;;;スタミナ奪取;耐力夺取
Constitution +1;Constitución +1;;;;体術+1;体术+1
Constitution +2;Constitución +2;;;;体術+2;体术+2
Constitution -1;Constitución -1;;;;体術-1;体术-1
Constitution -2;Constitución -2;;;;体術-2;体术-2
Earplugs;Tapon de Oido;;;;耳栓;耳栓
HG Earplugs;Tapon de Oido Alta Cal.;;;;高級耳栓;高级耳栓
Windproof (Lo);Res. Viento +1;;;;風圧【小】無効;风圧【小】无效
Windproof (Hi);Res. Viento +2;;;;風圧【大】無効;风圧【大】无效
Tremor Resistence;Res. Temblor;;;;耐震;耐震
Heat Cancel;Anula el calor;;;;暑さ無効;暑气无效
Heat Surge;Aumentar calor;;;;暑さ倍加;暑气倍加
Cold Cancel;Anula el Frío;;;;寒さ無効;寒气无效
Cold Surge;Aumento de Frío;;;;寒さ倍加;寒气倍加
Marathon Runner;Corredor +1;;;;ランナー;飞人
Short Sprinter;Corredor -1;;;;鈍足;钝足
Stamina Recovery Up;Resis. Recup +1;;;;スタミナ急速回復;耐力急速回复
Stamina Recovery Down;Resis. Recup -1;;;;スタミナ回復遅延;耐力回復延迟
Evasion +1;Evasión +1;;;;回避性能+1;回避性能+1
