name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Brave's Pants;1;1;0;0;0;1;1;2;0;1;0;0;Health;-2;Rec Speed;2;Rider;4;;;;;Monster Bone S;1;;;;;;
Leather Pants;1;1;0;0;0;1;1;-1;0;1;0;0;Gathering;1;Whim;3;;;;;;;Warm Pelt;2;;;;;;
Chainmail Pants;1;1;1;0;0;1;4;2;-2;0;1;1;Health;2;Hunger;2;;;;;;;Iron Ore;2;Warm Pelt;1;;;;
Loc Lac Boots;1;2;2;0;0;1;5;2;1;0;-3;0;Heat Res;2;Transporter;5;;;;;;;Steel Egg;1;Monster Fluid;1;Jaggi Scale;3;;
Hunter's Greaves;1;1;0;0;1;1;6;0;-3;0;1;0;Combo Rate;1;Ranger;3;Poison;-2;;;;;Iron Ore;1;Earth Crystal;1;Monster Bone S;2;;
Hunter's Leggings;1;1;0;0;2;1;3;1;-2;1;2;1;Combo Rate;1;Ranger;3;Poison;-2;;;;;Iron Ore;1;Earth Crystal;1;Monster Bone S;2;;
Bone Greaves;1;3;1;0;1;1;7;1;-1;0;0;-2;KO;2;Maestro;4;;;;;;;Mystery Bone;2;Monster Bone M;1;Sharpened Fang;1;;
Bone Leggings;1;3;1;0;2;1;4;2;0;1;1;-1;KO;2;Maestro;4;;;;;;;Mystery Bone;2;Monster Bone M;1;Sharpened Fang;1;;
Alloy Greaves;1;1;0;0;1;1;8;-1;-2;0;1;-1;Torso Up;1;;;;;;;;;Machalite Ore;4;Earth Crystal;2;Iron Ore;2;;
Alloy Leggings;1;1;0;0;2;1;4;0;-1;1;2;0;Torso Up;1;;;;;;;;;Machalite Ore;4;Earth Crystal;2;Iron Ore;2;;
Rhenoplos Greaves;1;3;0;0;1;2;8;1;-1;1;-1;-1;KO;3;Faint;-1;Snow/Mud Res;3;;;;;Rhenoplos Shell;2;Monster Bone S;4;Iron Ore;2;;
Rhenoplos Leggings;1;3;0;0;2;2;4;2;0;2;0;0;KO;2;Faint;-1;Snow/Mud Res;3;;;;;Rhenoplos Shell;2;Monster Bone S;4;Iron Ore;2;;
