name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Brave's Belt;1;1;2;0;0;1;1;2;0;1;0;0;Health;-2;Rec Speed;3;Rider;1;;;;;Monster Bone S;1;Iron Ore;1;;;;
Leather Belt;1;1;0;0;0;1;1;-1;0;1;0;0;Gathering;3;Fate;-1;Health;2;Whim;1;;;Warm Pelt;1;Monster Bone S;1;;;;
Chainmail Belt;1;1;1;0;0;1;4;2;-2;0;1;1;Health;2;Hunger;4;;;;;;;Iron Ore;1;Warm Pelt;2;;;;
Loc Lac Coil;1;2;2;0;0;1;5;2;1;0;-3;0;Heat Res;3;Transporter;4;;;;;;;Steel Egg;1;Altaroth Jaw;1;Sharpened Fang;3;;
Hunter's Faulds;1;1;1;0;1;1;6;0;-3;0;1;0;Combo Rate;2;Ranger;1;Poison;-1;;;;;Machalite Ore;2;Iron Ore;1;Gluehopper;1;;
Hunter's Coat;1;1;1;0;2;1;3;1;-2;1;2;1;Combo Rate;2;Ranger;1;Poison;-1;;;;;Machalite Ore;2;Iron Ore;1;Gluehopper;1;;
Bone Faulds;1;2;1;0;1;1;7;1;-1;0;0;-2;KO;2;Maestro;3;;;;;;;Mystery Bone;2;Monster Bone S;2;Sharpened Fang;2;;
Bone Coat;1;2;1;0;2;1;4;2;0;1;1;-1;KO;2;Maestro;3;;;;;;;Mystery Bone;2;Monster Bone S;2;Sharpened Fang;2;;
Alloy Coil;1;1;0;0;1;1;8;-1;-2;0;1;-1;Defense;4;Gathering;-1;Wind Res;1;;;;;Machalite Ore;2;Monster Bone S;2;Iron Ore;3;;
Alloy Coat;1;1;0;0;2;1;4;0;-1;1;2;0;Gathering;-2;Pellet Up;3;Pellet S+;2;;;;;Machalite Ore;2;Monster Bone S;2;Iron Ore;3;;
Rhenoplos Coil;1;3;1;0;1;2;8;1;-1;1;-1;-1;KO;2;Faint;-1;Snow/Mud Res;3;;;;;Rhenoplos Shell;2;Rhenoplos Scalp;1;Earth Crystal;2;;
