name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Leather Gloves;1;1;1;0;0;1;1;-1;0;1;0;0;Gathering;1;Whim;1;;;;;;;Warm Pelt;2;;;;;;
Derring Gloves;1;1;0;0;0;1;1;2;0;1;0;0;Gathering;3;Fate;2;Health;-2;Mounting;2;;;Monster Bone S;1;;;;;;
Chainmail Gloves;1;1;1;0;0;1;4;2;-2;0;1;1;Health;1;Hunger;2;;;;;;;Iron Ore;1;Whetstone;2;;;;
Hunter's Vambraces;1;1;1;0;1;1;6;0;-3;0;1;0;Combo Rate;1;Ranger;3;Poison;-1;;;;;Earth Crystal;1;Jaggi Scale;2;Ivy;1;;
Hunter's Guards;1;1;1;0;2;1;3;1;-2;1;2;1;Combo Rate;1;Ranger;3;Poison;-1;;;;;Earth Crystal;1;Jaggi Scale;2;Ivy;1;;
Bone Vambraces;1;2;1;0;1;1;7;1;-1;0;0;-2;KO;3;Maestro;1;;;;;;;Mystery Bone;2;Monster Bone S;2;Monster Fluid;2;;
Bone Guards;1;2;1;0;2;1;4;2;0;1;1;-1;KO;3;Maestro;1;;;;;;;Mystery Bone;2;Monster Bone S;2;Monster Fluid;2;;
Alloy Vambraces;1;1;1;0;1;1;8;-1;-2;0;1;-1;Defense;2;Gathering;-1;Wind Res;1;;;;;Machalite Ore;2;Earth Crystal;2;Iron Ore;4;;
Alloy Guards;1;1;1;0;2;1;4;0;-1;1;2;0;Gathering;-1;Pellet Up;1;Pellet S+;2;;;;;Machalite Ore;2;Earth Crystal;2;Iron Ore;4;;
Konchu Vambraces;1;2;1;0;1;2;12;2;2;2;2;2;Defense;6;ThunderRes;-2;;;;;;;Konchu Shell;5;Sharp Fang;3;Iron Ore;2;Glueglopper;1
Konchu Guards;1;2;1;0;2;2;6;3;3;3;3;3;Defense;6;ThunderRes;-2;;;;;;;Konchu Shell;5;Sharp Fang;3;Iron Ore;2;Glueglopper;1
Bnahabra Gloves;1;2;0;0;1;2;10;-4;2;2;-1;-1;Attack;-2;Status;2;Sheathing;3;Paralysis;1;;;Bnahabra Wing;3;Bnahabra Shell;2;Altaroth Stomach;2;Flashbug;2
Bnahabra Sleeves;1;2;0;0;2;2;5;-3;3;3;0;0;Attack;-2;Status;2;Sheathing;3;Paralysis;1;;;Bnahabra Wing;3;Bnahabra Shell;2;Altaroth Stomach;2;Flashbug;2
