english;spanish;french;italian;german;japanese;chinese
Leather Gloves;Guantes de cuero;Gants en cuir;Guanti di cuoio;Leder-Handschuhe;レザーグラブ;
Derring Gloves;Guantes valerosos;Gants de bravoure;Guanti arditi;Wagemut-Handschuhe;ブレイブグラブ;
Chainmail Gloves;Guantes de malla;Gants en maille;Guanti di cotta;Ketten-Handschuhe;チェーングラブ;
Hunter's Vambraces;Brazales de cazador;Avt-bras de chasseur;Parabr. cacciatore;Jäger-Armschienen;ハンターアーム;
Hunter's Guards;Guardabrazos cazador;Gardes de chasseur;Protez. cacciatore;Jäger-Armschutz;ハンターガード;
Bone Vambraces;Brazales de hueso;Avant-bras d'os;Parabraccia d'osso;Knochen-Armschienen;ボーンアーム;
Bone Guards;Guardabrazos hueso;Gardes d'os;Protezioni d'osso;Knochen-Armschutz;ボーンガード;
Alloy Vambraces;Brazales de aleación;Avant-bras alliage;Parabraccia in lega;LegierungsArmschinen;アロイアーム;
Alloy Guards;Guardabr. aleación;Gardes en alliage;Protezioni in lega;Legierungs-Armschutz;アロイガード;
Konchu Vambraces;Brazales de Konchu;Avant-bras Konchu;Parabraccia Konchu;Konchu-Armschienen;クンチュウアーム;
Konchu Guards;Guardabr. de Konchu;Gardes Konchu;Protezioni Konchu;Konchu-Armschutz;クンチュウガード;
Bnahabra Gloves;Guantes de Bnahabra;Gants Bnahabra;Guanti Bnahabra;Bnahabra-Handschuhe;ブナハグローブ;
Bnahabra Sleeves;Mangas de Bnahabra;Manches Bnahabra;Maniche Bnahabra;Bnahabra-Ärmel;ブナハカフス;
Rhenoplos Vambraces;Brazales Rhenoplos;Avant-bras Rhenoplos;Parabr. Rhenoplos;RhenoplosArmschienen;リノプロアーム;
Rhenoplos Guards;Guardabr. Rhenoplos;Gardes Rhenoplos;Protez. Rhenoplos;Rhenoplos-Armschutz;リノプロガード;
Remobra Gloves;Guantes de Remobra;Gants Remobra;Guanti Remobra;Remobra-Handschuhe;ガブラスーツグラブ;
Remobra Hands;Manos de Remobra;Mains Remobra;Mani Remobra;Remobra-Hände;ガブラスーツハンド;
Jaggi Vambraces;Brazales de Jaggi;Avant-bras Jaggi;Parabraccia Jaggi;Jaggi-Armschienen;ジャギィアーム;
Jaggi Guards;Guardabrazos Jaggi;Gardes Jaggi;Protezioni Jaggi;Jaggi-Armschutz;ジャギィガード;
Genprey Vambraces;Brazales de Genprey;Avant-bras Genprey;Parabraccia Genprey;Genprey-Armschienen;ゲネポスアーム;
Genprey Guards;Guardabrazos Genprey;Gardes Genprey;Protezioni Genprey;Genprey-Armschutz;ゲネポスガード;
Ioprey Vambraces;Brazales de Ioprey;Avant-bras Ioprey;Parabraccia Ioprey;Ioprey-Armschienen;イーオスアーム;
Ioprey Guards;Guardabrazos Ioprey;Gardes Ioprey;Protezioni Ioprey;Ioprey-Armschutz;イーオスガード;
Lagombi Vambraces;Brazales Lagombi;Avant-bras Lagombi;Parabraccia Lagombi;Lagombi-Armschienen;ウルクアーム;
Lagombi Guards;Guardabrazos Lagombi;Gardes Lagombi;Protezioni Lagombi;Lagombi-Armschutz;ウルクガード;
Kecha Vambraces;Brazales de Kecha;Avant-bras Kecha;Parabr. Kecha Wacha;KechaWachaArmschinen;ケチャアーム;
Kecha Guards;Guardabrazos Kecha;Gardes Kecha;Protez. Kecha Wacha;KechaWachaArmschutz;ケチャガード;
Conga Vambraces;Brazales de Conga;Avant-bras Conga;Parabraccia Conga;Conga-Armschienen;コンガアーム;
Conga Guards;Guardabrazos Conga;Gardes Conga;Protezioni Conga;Conga-Armschutz;コンガガード;
Gypceros Vambraces;Brazales de Gypceros;Avant-bras Gypceros;Parabraccia Gypceros;Gypceros-Armschienen;ゲリョスアーム;
Gypceros Guards;Guardabr. Gypceros;Gardes Gypceros;Protezioni Gypceros;Gypceros-Armschutz;ゲリョスガード;
