english;spanish;french;italian;german;japanese;chinese
Poison;Veneno;Poison;Veleno;Gift;毒;
Paralysis;Parálisis;Paralysie;Paralisi;Lähmung;麻痺;
Sleep;Sueño;Sommeil;Sonno;Schlaf;睡眠;
Stun;Aturdir;Volonté;Stordim.;Betäuben;気絶;
Mud/Snow;Barro/Nieve;Alpiniste;Fango/neve;Schl/Schn.;耐泥耐雪;
Def Lock;Piel dura;Assurance;Difesa OK;AbwSperre;対防御DOWN;
Biology;Biólogo;Biologie;Biologia;Biologie;細菌学;
Attack;Ataque;Attaque;Attacco;Angriff;攻撃;
Defense;Defensa;Défense;Difesa;Verteidig.;防御;
Health;Salud;Vie;Vita;Gesundheit;体力;
Rec Speed;Recuperac.;Récupérer;Recupero;ErholGschw;回復速度;
Protection;Protección;Protection;Protezione;Schutz;加護;
Sheathing;Vaina veloz;Rengainage;Rinfodero;Wegstecken;納刀;
FastCharge;Carga veloz;Charge;Carica;Schn. lad.;溜め短縮;
Expert;Curtido;Expert;Affinità;Experte;達人;
Tenderizer;Maza;Supplice;Cecchino;Klopfer;痛撃;
Destroyer;Destructor;Destruction;Spaccone;Zerstörer;重撃;
KO;Boxeador;KO;KO;Knock-out;KO;
Stam Drain;Robarresis.;Fatigue;Sfinitore;Ausd.Entz.;減気攻撃;
Constitutn;Constitución;Athlète;Atleta;Konstitutn;体術;
Hearing;Prot. oído;Ouïe;Udito;Gehör;聴覚保護;
Wind Res;Res. viento;Vent;Vento;Windabwehr;風圧;
Tremor Res;Res. temblor;Anti-séisme;Antisismico;Bebensicher;耐震;
Heat Res;Res. calor;Chaleur;Calore;Hitzeabw.;耐暑;
Cold Res;Res. frío;Froid;Freddo;Kälteabw.;耐寒;
Stamina;Resistencia (Corredor);Stamina;Resistenza;Ausdauer;スタミナ;
Stam Recov;Estad. forma;Vigueur;Resistente;AusdErholg;気力回復;
Evasion;Evasión;Évasion;Schivata;Ausweichen;回避性能;
Evade Dist;Dis. evasión;Esquive;Schivatore;Asweichdst;回避距離;
Sense;Sentido;Ninja;Presenza;Spürsinn;気配;
