english;spanish;french;italian;german;japanese;chinese
Leather Belt;Cinturón de cuero;Ceinture en cuir;Cintura di cuoio;Leder-Gürtel;レザーベルト;
Derring Belt;Cinturón valeroso;Ceinture de bravoure;Cintura ardita;Wagemut-Gürtel;ブレイブベルト;
Chainmail Belt;Cinturón de malla;Ceinture en maille;Cintura di cotta;Ketten-Gürtel;チェーンベルト;
Hunter's Faulds;Muslera de cazador;Tassette de chasseur;Falda cacciatore;Jäger-Beinzeug;ハンターフォールド;
Hunter's Coat;Cota de cazador;Taille de chasseur;Fiancale cacciatore;Jäger-Waffenrock;ハンターコート;
Bone Faulds;Muslera de hueso;Tassette d'os;Falda d'osso;Knochen-Beinzeug;ボーンフォールド;
Bone Coat;Cota de hueso;Taille d'os;Fiancale d'osso;Knochen-Waffenrock;ボーンコート;
Alloy Coil;Faja de aleación;Boucle en alliage;Spira in lega;Legierungs-Hüftring;アロイコイル;
Alloy Coat;Cota de aleación;Taille en alliage;Fiancale in lega;LegierungsWaffenrock;アロイコート;
Loc Lac Kilt;Falda de Loc Lac;Kilt de Loc Lac;Kilt Loc Lac;Loc-Lac-Kilt;ロックラックコイル;
Light Belt;Cinturón ligero;Ceinture légère;Cintura leggera;Leichter Gürtel;スキンライトベルト;
Iron Belt;Cinturón de hierro;Ceinture de fer;Cintura di ferro;Eisen-Gürtel;アイアンベルト;
Bnahabra Coil;Faja de Bnahabra;Boucle Bnahabra;Spira Bnahabra;Bnahabra-Hüftring;ブナハコイル;
Bnahabra Coat;Cota de Bnahabra;Taille Bnahabra;Fiancale Bnahabra;Bnahabra-Waffenrock;ブナハコート;
Rhenoplos Coil;Faja de Rhenoplos;Boucle Rhenoplos;Spira Rhenoplos;Rhenoplos-Hüftring;リノプロコイル;
Rhenoplos Coat;Cota de Rhenoplos;Taille Rhenoplos;Fiancale Rhenoplos;Rhenoplos-Waffenrock;リノプロコート;
Remobra Belt;Cinturón de Remobra;Ceinture Remobra;Cintura Remobra;Remobra-Gürtel;ガブラスーツベルト;
Remobra Band;Banda de Remobra;Pochette Remobra;Fascia Remobra;Remobra-Band;ガブラスーツバンド;
Jaggi Faulds;Muslera de Jaggi;Tassette Jaggi;Falda Jaggi;Jaggi-Beinzeug;ジャギィフォールド;
Jaggi Coat;Cota de Jaggi;Taille Jaggi;Fiancale Jaggi;Jaggi-Waffenrock;ジャギィコート;
Genprey Tassets;Muslera de Genprey;Tassette Genprey;Falda Genprey;Genprey-Beinzeug;ゲネポスフォールド;
