english;spanish;french;italian;german;japanese;chinese
Steadfast Jwl 1;Joya firme 1;Joyau Volonté 1;G stordim. 1;FelsenfestJwl1;耐絶珠【１】;
Standfast Jwl 1;Joya rotunda 1;J Force d'esprit 1;G stordim. 1+;StandfestJwl1;制絶珠【１】;
Paralysis Jwl 1;Joya inmóvil 1;Joyau Paraly 1;G paralisi 1;Lähm-Juwel 1;耐痺珠【１】;
Paralysis Jwl 2;Joya inmóvil 2;Joyau Paraly 2;G paralisi 2;Lähm-Juwel 2;耐痺珠【２】;
Pep Jewel 1;Joya sueño 1;Joyau Sommeil 1;G sonno 1;Pepp-Juwel 1;耐眠珠【１】;
Pep Jewel 2;Joya sueño 2;Joyau Sommeil 2;G sonno 2;Pepp-Juwel 2;耐眠珠【２】;
Antidote Jewel 1;Joya antidoto 1;Joyau Poison 1;G veleno 1;GegengiftJwl1;耐毒珠【１】;
Antidote Jewel 2;Joya antidoto 2;Joyau Poison 2;G veleno 2;GegengiftJwl2;耐毒珠【２】;
Def Lock Jewel 1;Joya bloqueo 1;Joyau Assurance 1;G difesa OK 1;AbwhrsperJwl1;耐防珠【１】;
Alarm Jewel 1;Joya alarma 1;Joyau Antivol 1;G anti-ladro 1;Alarm-Juwel 1;防盗珠【１】;
Tracker Jewel 1;Joya rastreo 1;Joyau Alpiniste 1;G fango/ne. 1;AufspürJuwel1;耐粘珠【１】;
Trekker Jewel 1;Joya vigía 1;Joyau Scout 1;G fango/ne. 1+;TrekkerJwl1;抗粘珠【１】;
Staunch Jewel 1;Joya torniq. 1;Joyau Hémorragie 1;G emorragia 1;Stillung-Juwel 1;抗傷珠【１】;
Clean Jewel 1;Joya limpia 1;Joyau Anti-collant 1;G anticatrame 1;Reinigung-Juwel 1;抗着珠【１】;
Sane Jewel 1;Joya cordura 1;Joyau Anti-furie 1;G antifrenesia 1;Vernunft-Juwel 1;抗狂珠【１】;
Sane Jewel 3;Joya cordura 3;Joyau Anti-furie 3;G antifrenesia 3;Vernunft-Juwel 3;抗狂珠【３】;
Footing Jewel 1;Joya ancla 1;Joyau Séisme 1;G antisism. 1;FundamentJwl1;耐震珠【１】;
Tectonic Jewel 1;Joya sísmica 1;Joyau Sismique 1;G antisism. 1+;TektonikJuwel1;抗震珠【１】;
Heat Res Jewel 1;J. res. calor 1;Joyau Chaleur 1;G calore 1;HitzeabwehrJwl1;耐暑珠【１】;
Cold Res Jewel 1;J. res. frío 1;Joyau Froid 1;G freddo 1;KälteabwehrJwl1;耐寒珠【１】;
Earplug Jewel 1;Joya tapones 1;Joyau Ouïe 1;G udito 1;OhrstöpselJwl1;防音珠【１】;
Earplug Jewel 3;Joya tapones 3;Joyau Ouïe 3;G udito 3;OhrstöpselJwl3;防音珠【３】;
Wind Res Jewel 1;J. res. viento 1;Joyau Vent 1;G vento 1;WindabwehrJwl1;防風珠【１】;
Wind Res Jewel 2;J. res. viento 2;Joyau Vent 2;G vento 2;WindabwehrJwl2;防風珠【２】;
Attack Jewel 1;Joya ataque 1;Joyau Attaque 1;G attacco 1;Angriff-Juwel 1;攻撃珠【１】;
Attack Jewel 2;Joya ataque 2;Joyau Attaque 2;G attacco 2;Angriff-Juwel 2;攻撃珠【２】;
Attack Jewel 3;Joya ataque 3;Joyau Attaque 3;G attacco 3;Angriff-Juwel 3;攻撃珠【３】;
Expert Jewel 1;Joya experto 1;Joyau Expert 1;G affinità 1;ExpertenJuwel1;達人珠【１】;
Expert Jewel 2;Joya experto 2;Joyau Expert 2;G affinità 2;ExpertenJuwel2;達人珠【２】;
Expert Jewel 3;Joya experto 3;Joyau Expert 3;G affinità 3;ExpertenJuwel3;達人珠【３】;
Disabler Jewel 1;Joya estado 1;Joyau Affliction 1;G att. status 1;AbschaltJuwel1;特攻珠【１】;
Disabler Jewel 2;Joya estado 2;Joyau Affliction 2;G att. status 2;AbschaltJuwel2;特攻珠【２】;
Element Jewel 1;Joya elemento 1;Joyau Élémental 1;G att. elem. 1;Element-Juwel 1;属攻珠【１】;
Element Jewel 3;Joya elemento 3;Joyau Élémental 3;G att. elem. 3;Element-Juwel 3;属攻珠【３】;
Blaze Jewel 1;Joya fuego 1;Joyau Feu 1;G att. fuoco 1;Lohe-Juwel 1;火炎珠【１】;
Blaze Jewel 2;Joya fuego 2;Joyau Feu 2;G att. fuoco 2;Lohe-Juwel 2;火炎珠【２】;
Stream Jewel 1;Joya agua 1;Joyau Eau 1;G att. acqua 1;Fluss-Juwel 1;流水珠【１】;
Stream Jewel 2;Joya agua 2;Joyau Eau 2;G att. acqua 2;Fluss-Juwel 2;流水珠【２】;
Bolt Jewel 1;Joya rayo 1;Joyau Foudre 1;G att. tuono 1;Blitz-Juwel 1;雷光珠【１】;
Bolt Jewel 2;Joya rayo 2;Joyau Foudre 2;G att. tuono 2;Blitz-Juwel 2;雷光珠【２】;
Frost Jewel 1;Joya hielo 1;Joyau Glace 1;G att. ghiac. 1;Frost-Juwel 1;氷結珠【１】;
Frost Jewel 2;Joya hielo 2;Joyau Glace 2;G att. ghiac. 2;Frost-Juwel 2;氷結珠【２】;
Dragon Jewel 1;Joya draco 1;Joyau Dragon 1;G att. drago 1;DrachenJuwel1;破龍珠【１】;
Dragon Jewel 2;Joya draco 2;Joyau Dragon 2;G att. drago 2;DrachenJuwel2;破龍珠【２】;
Tenderizer Jwl 1;Joya maza 1;Joyau Supplice 1;G cecchino 1;Klopfer-Juwel 1;痛撃珠【１】;
Tenderizer Jwl 3;Joya maza 3;Joyau Supplice 3;G cecchino 3;Klopfer-Juwel 3;痛撃珠【３】;
Destroyer Jwl 1;Joya destr. 1;Joyau Destruc. 1;G spaccone 1;ZerstörerJwl1;重撃珠【１】;
Destroyer Jwl 3;Joya destr. 3;Joyau Destruc. 3;G spaccone 3;ZerstörerJwl3;重撃珠【３】;
CritElementJwl 1;J. crit. elem. 1;Joy Chamanisme 1;G critico elem. 1;Krit.ElementJwl1;属会珠【１】;
CritElementJwl 2;J. crit. elem. 2;Joy Chamanisme 2;G critico elem. 2;Krit.ElementJwl2;属会珠【２】;
Crit Status Jwl 1;J. crt. estado 1;Joy Châtiment 1;G critico status 1;Krit.Status-Jwl1;特会珠【１】;
Crit Status Jwl 2;J. crt. estado 2;Joy Châtiment 2;G critico status 2;Krit.Status-Jwl2;特会珠【２】;
Capacity Jewel 2;Joya carga 2 (Solo artillero);Joyau Armurier 2;G cartucc. 2;KapazitätJuwel2;装填珠【２】;
Capacity Jewel 3;Joya carga 3 (Solo artillero);Joyau Armurier 3;G cartucc. 3;KapazitätJuwel3;装填珠【３】;
Laden Jewel 3;Joya cargada 3 (Solo artillero);Joyau Balistique 3;G cartucciera 3;BeladenesJuwel3;増填珠【３】;
Charger Jewel 1;Joya carga 1;Joyau Charge 1;G carica 1;SchnellladJwl1;短縮珠【１】;
Charger Jewel 3;Joya carga 3;Joyau Charge 3;G carica 3;SchnellladJwl3;短縮珠【３】;
Throttle Jewel 1;Joya poder 1;Joyau Puiss. 1;G rinforzo 1;Vollgas-Juwel 1;全開珠【１】;
Throttle Jewel 2;Joya poder 2;Joyau Puiss. 2;G rinforzo 2;Vollgas-Juwel 2;全開珠【２】;
KO Jewel 1;Joya boxeo 1;Joyau KO 1;G KO 1;KnockOutJuwel1;ＫＯ珠【１】;
KO Jewel 2;Joya boxeo 2;Joyau KO 2;G KO 2;KnockOutJuwel2;ＫＯ珠【２】;
Drain Jewel 1;Joya débil 1;Joyau Fatigue 1;G sfinitore 1;Entzug-Juwel 1;奪気珠【１】;
Drain Jewel 2;Joya débil 2;Joyau Fatigue 2;G sfinitore 2;Entzug-Juwel 2;奪気珠【２】;
Potential Jwl 1;Joya potencia 1;Joyau Potentiel 1;G potenziale 1;PotenzialJwl1;底力珠【１】;
Potential Jwl 2;Joya potencia 2;Joyau Potentiel 2;G potenziale 2;PotenzialJwl2;底力珠【２】;
Fortitude Jwl 1;Joya superv. 1;Joyau Survie 1;G superstite 1;Kraft-Juwel 1;逆境珠【１】;
Fortitude Jwl 2;Joya superv. 2;Joyau Survie 2;G superstite 2;Kraft-Juwel 2;逆境珠【２】;
Bombardier Jwl 1;Joya bomba 1;Joyau Bombe 1;G bombarolo 1;BombardierJwl1;爆師珠【１】;
Sonorous Jewel 1;Joya músico 1;Joyau Musique 1;G maestro 1;Klang-Juwel 1;鼓笛珠【１】;
Artillery Jwl 1;Joya artillera 1;Joyau Artillerie 1;G artigliere 1;ArtillerieJwl1;砲術珠【１】;
Defense Jewel 1;Joya defensa 1;Joyau Défense 1;G difesa 1;VerteidigngJwl1;防御珠【１】;
Defense Jewel 2;Joya defensa 2;Joyau Défense 2;G difesa 2;VerteidigngJwl2;防御珠【２】;
Defense Jewel 3;Joya defensa 3;Joyau Défense 3;G difesa 3;Verteidigung-Jwl3;防御珠【３】;
Resistor Jewel 1;Joya resist. 1;Joyau Fléau 1;G res. elem. 1;WiderstandJwl1;属耐珠【１】;
Resistor Jewel 3;Joya resist. 3;Joyau Fléau 3;G res. elem. 3;WiderstandJwl3;属耐珠【３】;
Fire Res Jewel 1;J. res. fuego 1;Joyau Ignifuge 1;G ignifugo 1;FeuerabwrJwl1;耐火珠【１】;
Nul-Fire Jewel 1;J. antifuego 1;Joyau Anti-feu 1;G ignifugo 1+;0-Feuer-Jwl1;制火珠【１】;
Water Res Jwl 1;J. res. agua 1;Joyau Étanche 1;G acquatico 1;WasserabwJwl1;耐水珠【１】;
Nul-Water Jwl 1;J. antiagua 1;Joyau Anti-eau 1;G acquatico 1+;0-WasserJwl1;制水珠【１】;
ThunderRes Jwl 1;J. res. rayo 1;Joyau Isolant 1;G isolante 1;DonnerabwJwl1;耐雷珠【１】;
