name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Leather Belt;1;1;0;0;0;1;1;-1;0;1;0;0;Gathering;3;Fate;-1;Health;2;Whim;1;;;Warm Pelt;1;Monster Bone S;1;;;;
Derring Belt;1;1;2;0;0;1;1;2;0;1;0;0;Health;-2;Rec Speed;3;Mounting;1;;;;;Monster Bone S;1;Iron Ore;1;;;;
Chainmail Belt;1;1;1;0;0;1;4;2;-2;0;1;1;Health;2;Hunger;4;;;;;;;Iron Ore;1;Warm Pelt;2;;;;
Hunter's Faulds;1;1;1;0;1;1;6;0;-3;0;1;0;Combo Rate;2;Ranger;1;Poison;-1;;;;;Machalite Ore;2;Iron Ore;1;Glueglopper;1;;
Hunter's Coat;1;1;1;0;2;1;3;1;-2;1;2;1;Combo Rate;2;Ranger;1;Poison;-1;;;;;Machalite Ore;2;Iron Ore;1;Glueglopper;1;;
Bone Faulds;1;2;1;0;1;1;7;1;-1;0;0;-2;KO;2;Maestro;3;;;;;;;Mystery Bone;2;Monster Bone S;2;Sharp Fang;2;;
Bone Coat;1;2;1;0;2;1;4;2;0;1;1;-1;KO;2;Maestro;3;;;;;;;Mystery Bone;2;Monster Bone S;2;Sharp Fang;2;;
Alloy Coil;1;1;0;0;1;1;8;-1;-2;0;1;-1;Defense;4;Gathering;-1;Wind Res;1;;;;;Machalite Ore;2;Monster Bone S;2;Iron Ore;3;;
Alloy Coat;1;1;0;0;2;1;4;0;-1;1;2;0;Gathering;-2;Pellet Up;3;Pellet S+;2;;;;;Machalite Ore;2;Monster Bone S;2;Iron Ore;3;;
Loc Lac Kilt;1;2;2;0;0;1;5;2;1;0;-3;0;Heat Res;3;Transportr;4;;;;;;;Steel Egg;1;Altaroth Jaw;1;Sharp Fang;3;;
Light Belt;2;3;1;0;0;1;5;-2;2;-2;2;2;Gathering;4;Transportr;5;;;;;;;Slagtoth Hide;5;Altaroth Stomach;3;Paddock Oil;3;;
Iron Belt;2;4;1;0;0;1;8;4;-6;0;-4;-2;Speed Gatherer;10;;;;;;;;;Dragonite Ore;2;Warm Pelt;3;Konchu Shell;5;;
Bnahabra Coil;1;2;0;0;1;2;10;-4;2;2;-1;-1;Attack;-1;Status;1;Sheathing;2;Paralysis;4;;;Bnahabra Wing;3;Bnahabra Shell;2;Monster Fluid;1;Flashbug;2
Bnahabra Coat;1;2;0;0;2;2;5;-3;3;3;0;0;Attack;-1;Status;1;Sheathing;1;Paralysis;4;;;Bnahabra Wing;3;Bnahabra Shell;2;Monster Fluid;1;Flashbug;2
Rhenoplos Coil;1;3;1;0;1;2;8;1;-1;1;-1;-1;KO;2;Stun;-1;Mud/Snow;3;;;;;Rhenoplos Shell;2;Rhenoplos Scalp;1;Earth Crystal;2;;
Rhenoplos Coat;1;3;1;0;2;2;4;2;0;2;0;0;KO;3;Stun;-1;Mud/Snow;2;;;;;Rhenoplos Shell;2;Rhenoplos Scalp;1;Earth Crystal;2;;
Remobra Belt;3;-1;0;0;1;2;15;1;2;-3;-2;1;Torso Up;1;;;;;;;;;Remobra Hide;4;Monster Bone+;1;Monster Fluid;3;Vermin Coin;1
Remobra Band;3;-1;0;0;2;2;8;2;3;-2;-1;2;Torso Up;1;;;;;;;;;Remobra Hide;4;Monster Bone+;1;Monster Fluid;3;Vermin Coin;1
Jaggi Faulds;1;2;0;0;1;2;10;-2;0;1;0;0;Sharpener;2;LastingPwr;-1;Stun;3;;;;;G.Jaggi Hide;2;King's Frill;1;Jaggi Hide;3;Earth Crystal;1
Jaggi Coat;1;2;0;0;2;2;5;-1;1;2;1;1;Reload Spd;2;LastingPwr;-1;Stun;2;;;;;G.Jaggi Hide;2;King's Frill;1;Jaggi Hide;3;Earth Crystal;1
Genprey Tassets;1;3;1;0;1;2;12;1;-2;2;1;-3;Rec Speed;-2;Paralysis;5;;;;;;;Genprey Hide;4;Genprey Scale;3;Iron Ore;2;;
Genprey Coat;1;3;1;0;2;2;6;2;-1;3;2;-2;Rec Speed;-2;Paralysis;5;;;;;;;Genprey Hide;4;Genprey Scale;3;Iron Ore;2;;
Ioprey Tassets;3;5;1;0;1;2;15;0;-3;2;-3;2;Status;1;Poison;5;Stun;-2;;;;;Iodrome Hide;2;Monster Bone M;3;Ioprey Scale;2;Machalite Ore;3
Ioprey Coat;3;5;2;0;2;2;8;1;-2;3;-2;3;Status;1;Poison;4;Stun;-2;;;;;Iodrome Hide;2;Monster Bone M;3;Ioprey Scale;2;Machalite Ore;3
Lagombi Faulds;2;4;1;0;1;2;15;-2;-1;2;2;2;Evade Dist;2;Heat Res;-1;Cold Res;2;;;;;Lagombi Pelt;3;Lagombi Iceclaw;1;Jumbo Bone;2;Killer Beetle;3
Lagombi Coat;2;4;1;0;2;2;8;-1;0;3;3;3;Evade Dist;2;Heat Res;-1;Cold Res;2;;;;;Lagombi Pelt;3;Lagombi Iceclaw;1;Jumbo Bone;2;Killer Beetle;3
Kecha Faulds;1;3;1;0;1;2;14;-3;-2;2;2;0;Fate;-2;Water Atk;2;Whim;2;;;;;Kecha Longbone;2;Kecha Ear;1;Monster Bone S;2;Ivy;3
Kecha Coat;1;3;1;0;2;2;7;-2;-1;3;3;1;Fate;-2;Water Atk;2;Whim;2;;;;;Kecha Longbone;2;Kecha Ear;1;Monster Bone S;2;Ivy;3
Conga Tassets;2;4;1;0;1;2;14;-3;1;2;1;-1;Biology;1;Gluttony;2;Hunger;-2;;;;;Congalala Fang;3;Congalala Pelt;3;Seltas Shell;1;Jumbo Bone;2
Conga Coat;2;4;1;0;2;2;7;-2;2;3;2;0;Biology;1;Gluttony;2;Hunger;-2;;;;;Congalala Fang;3;Congalala Pelt;3;Seltas Shell;1;Jumbo Bone;2
Gypceros Tassets;1;3;1;0;1;2;14;-4;2;0;1;-2;Stamina;1;Hunger;-2;Poison;2;;;;;Poison Sac;1;Earth Crystal;2;Rubbery Hide;2;;
Gypceros Coat;1;3;1;0;2;2;7;-3;3;1;2;-1;Stamina;1;Hunger;-2;Poison;2;;;;;Poison Sac;1;Earth Crystal;2;Rubbery Hide;2;;
Tetsucabra Faulds;1;3;0;0;1;2;16;2;-2;1;-3;0;Defense;4;Gathering;-1;Health;1;Sharpener;1;;;Tetsucabra Scale;3;Rhenoplos Scalp;2;Jumbo Bone;3;Mystery Bone;4
Tetsucabra Coat;1;3;0;0;2;2;8;3;-1;2;-2;1;Reload Spd;1;Defense;4;Gathering;-1;Health;1;;;Tetsucabra Scale;3;Rhenoplos Scalp;2;Jumbo Bone;3;Mystery Bone;4
Nerscylla Faulds;2;4;1;0;1;2;19;-2;-2;2;2;1;Perception;1;Hunger;-2;SpeedSetup;2;Sleep;2;;;Nerscylla Chelicera;2;Nerscylla Claw;1;Nerscylla Shell;1;Monster Bone M;3
Nerscylla Coat;2;4;1;0;2;2;9;-1;-1;3;3;2;Perception;1;Hunger;-2;SpeedSetup;2;Sleep;2;;;Nerscylla Chelicera;2;Nerscylla Claw;1;Nerscylla Shell;1;Monster Bone M;3
Zamtrios Faulds;2;4;2;0;1;2;20;-2;-3;0;2;2;Ice Atk;2;Carnivore;1;Hunger;-2;;;;;Zamtrios Fin;1;Zamtrios Scale;2;Zamtrios Sawtooth;1;Zamtrios Tailblade;1
Zamtrios Coat;2;4;2;0;2;2;10;-1;-2;1;3;3;Ice Atk;2;Carnivore;2;Hunger;-2;;;;;Zamtrios Fin;1;Zamtrios Scale;2;Zamtrios Sawtooth;1;Zamtrios Tailblade;1
Najarala Faulds;2;4;1;0;1;2;20;1;0;1;-2;-4;Tranquilzr;2;Hearing;1;Whim;-2;Paralysis;2;;;Najarala Shell;5;Najarala Fang;4;Najarala Hide;2;Monster Bone L;1
Najarala Coat;2;4;1;0;2;2;10;2;1;2;-1;-3;Tranquilzr;2;Hearing;1;Whim;-2;Paralysis;2;;;Najarala Shell;5;Najarala Fang;4;Najarala Hide;2;Monster Bone L;1
Khezu Tassets;2;4;2;0;1;2;19;-4;1;1;1;2;ThunderAtk;3;Rec Level;2;Stun;-1;;;;;Flabby Hide;2;Iron Ore;8;Rubbery Hide;1;;
Khezu Coat;2;4;2;0;2;2;10;-3;2;2;2;3;ThunderAtk;3;Rec Level;2;Stun;-1;;;;;Flabby Hide;2;Iron Ore;8;Rubbery Hide;1;;
Rathian Faulds;2;4;2;0;1;2;19;2;-2;-3;0;0;Health;2;Fire Atk;2;Rec Speed;-2;;;;;Rathian Webbing;2;Rathian Plate;1;Flame Sac;2;Machalite Ore;5
Rathian Coat;2;4;2;0;2;2;10;3;-1;-2;1;1;Health;2;Fire Atk;2;Rec Speed;-2;;;;;Rathian Webbing;2;Rathian Plate;1;Flame Sac;2;Machalite Ore;5
Velociprey Tassets;1;2;2;0;1;2;13;0;0;2;0;-4;Attack;2;Stun;3;;;;;;;Velocidrome Hide;2;Screamer Sac;2;Velociprey Hide;3;Earth Crystal;2
Velociprey Coat;1;2;2;0;2;2;7;1;1;3;1;-3;Attack;2;Stun;3;;;;;;;Velocidrome Hide;2;Screamer Sac;2;Velociprey Hide;3;Earth Crystal;2
Kut-Ku Tassets;1;3;2;0;1;2;16;2;-2;2;-1;-3;Attack;1;Hearing;-2;Stamina;3;;;;;Kut-Ku Scale;2;Kut-Ku Shell;3;Monster Bone M;1;;
Kut-Ku Coat;1;3;2;0;2;2;8;3;-1;3;0;-2;Attack;1;Hearing;-2;Stamina;3;;;;;Kut-Ku Scale;2;Kut-Ku Shell;3;Monster Bone M;1;;
Basarios Tassets;2;3;2;0;1;2;18;0;1;-3;-2;1;Heat Res;2;Sleep;1;;;;;;;Basarios Shell;4;Machalite Ore;7;Iron Ore;6;Genprey Hide;3
Basarios Coat;2;3;2;0;2;2;9;1;2;-2;-1;2;Heat Res;2;Sleep;1;;;;;;;Basarios Shell;4;Machalite Ore;7;Iron Ore;6;Genprey Hide;3
Arzuros Faulds;-1;3;1;0;1;2;13;-2;0;1;1;-1;Speed Gatherer;2;Gluttony;1;Hunger;-2;Honey;4;;;Arzuros Pelt;2;Arzuros Shell;1;Glueglopper;2;;
