"Name","Price","Material 1","Amount","Material 2","Amount","Material 3","Amount","Material 4","Amount","Defense","Fire Res","Thunder Res","Dragon Res","Water Res","Ice Res","Gender","Hunter Type","Rarity","HR","Elder*","Slots","Skill 1","Skill Point","Skill 2","Skill Point","Skill 3","Skill Point","Skill 4","Skill Point","Skill 5","Skill Point"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leather Vambraces","150z","Sm Monster Bone",1,"Kelbi Hide",1,,,,,1,2,0,0,0,150,"Male/Female","Blade/Gunner",1,1,1,"---","Throw",5,"Whim",2,"Backpackng",4,,,,
"Chain Vambraces","300z","Iron Ore",2,"Sm Monster Bone",3,,,,,2,2,-2,0,2,300,"Male/Female","Blade/Gunner",1,1,1,"---","Gathering",2,"Alchemy",4,"Defense",5,,,,
"Hunter's Vambraces","450z","Iron Ore",2,"Bullfango Pelt",1,"Ivy",2,,,4,0,-4,0,0,450,"Male/Female","Blade",1,1,1,"---","Fishing",4,"WideEffect",2,"Backpackng",3,"Hunger",-2,,
"Hunter's Guards","450z","Iron Ore",2,"Bullfango Pelt",1,"Ivy",2,,,3,2,-2,0,2,450,"Male/Female","Gunner",1,1,1,"---","Fishing",4,"WideEffect",2,"Backpackng",3,"Hunger",-2,,
"Velociprey Vambraces","750z","Velociprey Scale",1,"Iron Ore",1,"Kut-Ku Scale",1,,,8,1,1,-1,1,750,"Male/Female","Blade",2,1,1,"---","Faint",5,"Health",6,,,,,,
"Velociprey Guards","750z","Velociprey Scale",1,"Iron Ore",1,"Kut-Ku Scale",1,,,4,3,3,0,3,750,"Male/Female","Gunner",2,1,1,"---","Faint",5,"Health",6,,,,,,
"Genprey Vambraces","1350z","Genprey Fang",5,"Genprey Scale",4,"Iron Ore",2,"Kut-Ku Scale",1,11,2,3,-1,-2,1350,"Male/Female","Blade",2,1,1,"---","Paralysis",5,"ThunderRes",4,"Water Res",-2,,,,
"Genprey Guards","1350z","Genprey Fang",5,"Genprey Scale",4,"Iron Ore",2,"Kut-Ku Scale",1,6,4,5,0,0,1350,"Male/Female","Gunner",2,1,1,"---","Paralysis",5,"ThunderRes",4,"Water Res",-2,,,,
"Ioprey Vambraces","1950z","Ioprey Fang",5,"Ioprey Scale",5,"Monster Fluid",2,"Disk Stone",1,13,3,-2,-1,2,1950,"Male/Female","Blade",2,1,1,"---","Poison",5,"ThunderRes",2,"Paralysis",2,"Water Res",-2,,
"Ioprey Guards","1950z","Ioprey Fang",5,"Ioprey Scale",5,"Monster Fluid",2,"Iron Ore",1,7,5,0,0,4,1950,"Male/Female","Gunner",2,1,1,"---","Poison",5,"ThunderRes",2,"Paralysis",2,"Water Res",-2,,
"Rathian Vambraces","3350z","Rathian Scale",3,"Rathian Shell",3,"Machalite Ore",2,"Lg Monster Bone",1,16,2,-2,-4,0,3350,"Male/Female","Blade",3,1,1,"---","Health",5,"Fate",2,"Worry",-4,,,,
