"Name","Price","Material 1","Amount","Material 2","Amount","Material 3","Amount","Material 4","Amount","Defense","Fire Res","Thunder Res","Dragon Res","Water Res","Ice Res","Gender","Hunter Type","Rarity","HR","Elder*","Slots","Skill 1","Skill Point","Skill 2","Skill Point","Skill 3","Skill Point","Skill 4","Skill Point","Skill 5","Skill Point"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leather Helm","150z","Kelbi Hide",1,,,,,,,1,2,0,0,0,150,"Male/Female","Blade/Gunner",1,1,1,"---","Throw",9,"Whim",1,"PsychicVis",5,,,,
"Chain Helm","300z","Iron Ore",2,"Sm Monster Bone",2,,,,,2,2,-2,0,2,300,"Male/Female","Blade/Gunner",1,1,1,"---","Gathering",5,"PsychicVis",4,,,,,,
"Hunter's Helm","450z","Iron Ore",2,"Bullfango Pelt",1,"Kelbi Hide",2,,,4,0,-4,0,0,450,"Male/Female","Blade/Gunner",1,1,1,"---","Fishing",4,"Health",2,"Defense",2,"Alchemy",2,,
"Hunter's Cap","450z","Iron Ore",2,"Bullfango Pelt",1,"Kelbi Hide",2,,,3,2,-2,0,2,450,"Male/Female","Blade/Gunner",1,1,1,"---","Fishing",7,"Health",2,"Defense",2,"Alchemy",2,,
"Velociprey Helm","750z","Velociprey Scale",2,"Earth Crystal",1,"Kelbi Hide",1,,,8,1,1,-1,1,750,"Male/Female","Blade/Gunner",2,1,1,"---","Faint",5,"PsychicVis",2,"Worry",-2,"Poison",-2,,
"Velociprey Cap","750z","Velociprey Scale",2,"Earth Crystal",1,"Kelbi Hide",1,,,4,3,3,0,3,750,"Male/Female","Blade/Gunner",2,1,1,"---","Faint",9,"PsychicVis",2,"Worry",-2,"Poison",-2,,
"Genprey Helm","1350z","Genprey Scale",4,"Iron Ore",4,"Sm Monster Bone",2,,,11,2,3,-1,-2,1350,"Male/Female","Blade/Gunner",2,1,1,"---","Paralysis",5,"PsychicVis",4,,,,,,
"Genprey Cap","1350z","Genprey Scale",4,"Iron Ore",4,"Sm Monster Bone",2,,,6,4,5,0,0,1350,"Male/Female","Blade/Gunner",2,1,1,"---","Paralysis",9,"PsychicVis",4,,,,,,
"Ioprey Helm","1950z","Ioprey Scale",6,"Iron Ore",3,"Small Bone Husk",5,,,13,3,-2,-1,2,1950,"Male/Female","Blade/Gunner",2,1,1,"---","Poison",5,"PsychicVis",4,,,,,,
"Ioprey Cap","1950z","Ioprey Scale",6,"Iron Ore",3,"Small Bone Husk",5,,,7,5,0,0,4,1950,"Male/Female","Blade/Gunner",2,1,1,"---","Poison",9,"PsychicVis",4,,,,,,
"Rathian Helm","3350z","Rathian Scale",3,"Rathian Shell",2,"Machalite Ore",3,"Iron Ore",5,16,2,-2,-4,0,3350,"Male/Female","Blade/Gunner",3,1,1,"---","Health",5,"PsychicVis",2,"Worry",-4,,,,
"Rathian Cap","3350z","Rathian Scale",3,"Rathian Shell",2,"Machalite Ore",3,"Iron Ore",5,8,4,0,-2,2,3350,"Male/Female","Blade/Gunner",3,1,1,"---","Health",5,"PsychicVis",5,"Worry",-4,,,,
"Cephalos Helm","2350z","Cephalos Fin",1,"Cephalos Scale",2,"Machalite Ore",3,,,14,-3,-4,0,2,2350,"Male/Female","Blade/Gunner",3,1,1,"---","Heat Res",5,"PsychicVis",2,"Worry",-2,"Poison",-2,,
"Cephalos Cap","2350z","Cephalos Fin",1,"Cephalos Scale",2,"Machalite Ore",3,,,8,-1,-2,1,5,2350,"Male/Female","Blade/Gunner",3,1,1,"---","Heat Res",5,"PsychicVis",2,"Worry",-2,"Poison",-2,,
