"Name","Price","Material 1","Amount","Material 2","Amount","Material 3","Amount","Material 4","Amount","Defense","Fire Res","Thunder Res","Dragon Res","Water Res","Ice Res","Gender","Hunter Type","Rarity","HR","Elder*","Slots","Skill 1","Skill Point","Skill 2","Skill Point","Skill 3","Skill Point","Skill 4","Skill Point","Skill 5","Skill Point"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Pants","150z","Kelbi Hide",1,"Sm Monster Bone",1,,,,,1,2,0,0,0,150,"Male/Female","Blade/Gunner",1,1,1,"---","Throw",5,"Whim",2,"Health",2,"Defense",2,,
"(Torso Inc) Blue Pants","300z","Iron Ore",2,"Kelbi Hide",3,,,,,2,2,-2,0,2,300,"Male/Female","Blade/Gunner",1,1,1,"---","Torso Inc",,,,,,,,,
"Hunter's Greaves","450z","Iron Ore",3,"Bullfango Pelt",1,"Earth Crystal",1,,,4,0,-4,0,0,450,"Male/Female","Blade",1,1,1,"---","Fishing",4,"Health",2,"Defense",2,"PsychicVis",3,,
"Hunter's Leggings","450z","Iron Ore",3,"Bullfango Pelt",1,"Earth Crystal",1,,,3,2,-2,0,2,450,"Male/Female","Gunner",1,1,1,"---","Fishing",4,"Health",2,"Defense",2,"PsychicVis",3,,
"Velociprey Greaves","750z","Velociprey Scale",2,"Iron Ore",3,,,,,8,1,1,-1,1,750,"Male/Female","Blade",2,1,1,"---","Faint",5,"PsychicVis",2,"Worry",-2,"Poison",-2,,
"Velociprey Leggings","750z","Velociprey Scale",2,"Iron Ore",3,,,,,4,3,3,0,3,750,"Male/Female","Gunner",2,1,1,"---","Faint",5,"PsychicVis",2,"Worry",-2,"Poison",-2,,
"Genprey Greaves","1350z","Genprey Scale",4,"Iron Ore",3,"Disk Stone",2,,,11,2,3,-1,-2,1350,"Male/Female","Blade",2,1,1,"---","Paralysis",5,"PsychicVis",2,"Worry",-2,"Poison",-2,,
"Genprey Leggings","1350z","Genprey Scale",4,"Iron Ore",3,"Disk Stone",2,,,6,4,5,0,0,1350,"Male/Female","Gunner",2,1,1,"---","Paralysis",5,"PsychicVis",2,"Worry",-2,"Poison",-2,,
"Ioprey Greaves","1950z","Ioprey Scale",3,"Iron Ore",6,"Earth Crystal",3,"Sm Monster Bone",5,13,3,-2,-1,2,1950,"Male/Female","Blade",2,1,1,"---","Poison",5,"ThunderRes",2,"Paralysis",2,"Water Res",-2,,
