"Name","Price","Material 1","Amount","Material 2","Amount","Material 3","Amount","Material 4","Amount","Defense","Fire Res","Thunder Res","Dragon Res","Water Res","Ice Res","Gender","Hunter Type","Rarity","HR","Elder*","Slots","Skill 1","Skill Point","Skill 2","Skill Point","Skill 3","Skill Point","Skill 4","Skill Point","Skill 5","Skill Point"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leather Belt","150z","Sm Monster Bone",2,"Kelbi Hide",1,,,,,1,2,0,0,0,150,"Male/Female","Blade/Gunner",1,1,1,"---","Throw",5,"Whim",2,"Alchemy",3,"PsychicVis",1,,
"Chain Belt","300z","Iron Ore",2,"Kelbi Hide",2,,,,,2,2,-2,0,2,300,"Male/Female","Blade/Gunner",1,1,1,"---","Gathering",2,"Health",4,"PsychicVis",5,,,,
"Hunter's Tasset","450z","Iron Ore",1,"Bullfango Pelt",3,,,,,4,0,-4,0,0,450,"Male/Female","Blade",1,1,1,"---","Fishing",4,"Health",2,"Defense",2,"PsychicVis",3,,
"Hunter's Coat","450z","Iron Ore",1,"Bullfango Pelt",3,,,,,3,2,-2,0,2,450,"Male/Female","Gunner",1,1,1,"---","Fishing",4,"Health",2,"Defense",2,"PsychicVis",3,,
"(Torso Inc) Velociprey Tasset","750z","Velociprey Hide",3,"Velociprey Scale",2,"Iron Ore",2,,,8,1,1,-1,1,750,"Male/Female","Blade",2,1,1,"---","Torso Inc",,,,,,,,,
"(Torso Inc) Velociprey Coat","750z","Velociprey Hide",3,"Velociprey Scale",2,"Iron Ore",2,,,4,3,3,0,3,750,"Male/Female","Gunner",2,1,1,"---","Torso Inc",,,,,,,,,
"Genprey Tasset","1350z","Genprey Hide",4,"Genprey Scale",3,"Iron Ore",2,"Bullfango Pelt",2,11,2,3,-1,-2,1350,"Male/Female","Blade",2,1,1,"---","Paralysis",3,"MixSucRate",2,"PsychicVis",2,"Worry",-2,"Poison",-2
"Genprey Coat","1350z","Genprey Hide",4,"Genprey Scale",3,"Iron Ore",2,"Bullfango Pelt",2,6,4,5,0,0,1350,"Male/Female","Gunner",2,1,1,"---","Paralysis",3,"MixSucRate",2,"PsychicVis",2,"Worry",-2,"Poison",-2
"Ioprey Tasset","1950z","Ioprey Hide",2,"Ioprey Scale",6,"Med Monster Bone",3,"Disk Stone",1,13,3,-2,-1,2,1950,"Male/Female","Blade",2,1,1,"---","Poison",3,"ThunderRes",2,"PsychicVis",2,"Health",2,"Water Res",-2
"Ioprey Coat","1950z","Ioprey Hide",2,"Ioprey Scale",6,"Med Monster Bone",3,"Iron Ore",1,7,5,0,0,4,1950,"Male/Female","Gunner",2,1,1,"---","Poison",3,"ThunderRes",2,"PsychicVis",2,"Health",2,"Water Res",-2
"Rathian Tasset","3350z","Rathian Scale",2,"Rathian Shell",4,"Machalite Ore",2,"Earth Crystal",4,16,2,-2,-4,0,3350,"Male/Female","Blade/Gunner",3,1,1,"---","Health",5,"PsychicVis",2,"Poison",-2,"Worry",-2,,
"Rathian Coat","3350z","Rathian Scale",2,"Rathian Shell",4,"Machalite Ore",2,"Earth Crystal",4,8,4,0,-2,2,3350,"Male/Female","Gunner",3,1,1,"---","Health",5,"PsychicVis",2,"Poison",-2,"Worry",-2,,
