name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Leather Armor;1;1;0;0;0;1;1;2;0;0;0;150;Throw;5;Whim;1;All Res Up;5;;;;;Kelbi Hide;1;;;;;;
Chain Mail;1;1;0;0;0;1;2;2;-2;0;2;300;Gathering;2;Health;5;Defense;4;;;;;Iron Ore;3;Kelbi Hide;1;;;;
Hunter's Vest;1;1;0;0;1;1;4;0;-4;0;0;450;Fishing;4;Map;7;;;;;;;Iron Ore;3;Bullfango Pelt;1;Disk Stone;1;;
Hunter's Vest;1;1;0;0;2;1;3;2;-2;0;2;450;Fishing;4;Map;7;;;;;;;Iron Ore;3;Bullfango Pelt;1;Disk Stone;1;;
Velociprey Mail;1;1;0;0;1;2;8;1;1;-1;1;750;Faint;5;PsychicVis;2;Worry;-2;Poison;-2;;;Velociprey Hide;1;Velociprey Scale;3;Iron Ore;2;Kelbi Hide;1
Velociprey Vest;1;1;0;0;0;2;4;3;3;0;3;750;Faint;5;PsychicVis;2;Worry;-2;Poison;-2;;;Velociprey Hide;1;Velociprey Scale;3;Iron Ore;2;Kelbi Hide;1
Genprey Mail;1;1;0;0;1;2;11;2;3;-1;-2;1350;Paralysis;5;ThunderRes;5;Water Res;-1;;;;;Genprey Hide;3;Genprey Scale;4;Iron Ore;3;Bullfango Pelt;2
Genprey Vest;1;1;0;0;0;2;6;4;5;0;0;1350;Paralysis;5;ThunderRes;5;Water Res;-1;;;;;Genprey Hide;3;Genprey Scale;4;Iron Ore;3;Bullfango Pelt;2
Ioprey Mail;1;1;0;0;1;2;13;3;-2;-1;2;1950;Poison;5;ThunderRes;2;Paralysis;2;Water Res;-2;;;Poison Sac;1;Ioprey Scale;6;Ioprey Hide;1;Disk Stone;6
Ioprey Vest;1;1;0;0;0;2;7;5;0;0;4;1950;Poison;5;ThunderRes;2;Paralysis;2;Water Res;-2;;;Poison Sac;1;Ioprey Scale;6;Ioprey Hide;1;Iron Ore;6
Rathian Mail;1;1;0;0;1;3;16;2;-2;-4;0;3350;Health;3;Fire Res;2;Water Res;-2;ThunderRes;-2;Worry;-2;Rathian Scale;4;Rathian Shell;2;Machalite Ore;3;Monster Fluid;1
Rathian Vest;1;1;0;0;2;3;8;4;0;-2;2;3350;Health;3;Fire Res;2;Water Res;-2;ThunderRes;-2;Worry;-2;Rathian Scale;4;Rathian Shell;2;Machalite Ore;3;Monster Fluid;1
