name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Leather Vambraces;1;1;0;0;0;1;1;2;0;0;0;150;Throw;5;Whim;2;Backpackng;4;;;;;Sm Monster Bone;1;Kelbi Hide;1;;;;
Chain Vambraces;1;1;0;0;0;1;2;2;-2;0;2;300;Gathering;2;Alchemy;4;Defense;5;;;;;Iron Ore;2;Sm Monster Bone;3;;;;
Hunter's Vambraces;1;1;0;0;1;1;4;0;-4;0;0;450;Fishing;4;WideEffect;2;Backpackng;3;Hunger;-2;;;Iron Ore;2;Bullfango Pelt;1;Ivy;2;;
Hunter's Guards;1;1;0;0;2;1;3;2;-2;0;2;450;Fishing;4;WideEffect;2;Backpackng;3;Hunger;-2;;;Iron Ore;2;Bullfango Pelt;1;Ivy;2;;
Velociprey Vambraces;1;1;0;0;1;2;8;1;1;-1;1;750;Faint;5;Health;6;;;;;;;Velociprey Scale;1;Iron Ore;1;Kut-Ku Scale;1;;
Velociprey Guards;1;1;0;0;2;2;4;3;3;0;3;750;Faint;5;Health;6;;;;;;;Velociprey Scale;1;Iron Ore;1;Kut-Ku Scale;1;;
Genprey Vambraces;1;1;0;0;1;2;11;2;3;-1;-2;1350;Paralysis;5;ThunderRes;4;Water Res;-2;;;;;Genprey Fang;5;Genprey Scale;4;Iron Ore;2;Kut-Ku Scale;1
Genprey Guards;1;1;0;0;2;2;6;4;5;0;0;1350;Paralysis;5;ThunderRes;4;Water Res;-2;;;;;Genprey Fang;5;Genprey Scale;4;Iron Ore;2;Kut-Ku Scale;1
Ioprey Vambraces;1;1;0;0;1;2;13;3;-2;-1;2;1950;Poison;5;ThunderRes;2;Paralysis;2;Water Res;-2;;;Ioprey Fang;5;Ioprey Scale;5;Monster Fluid;2;Disk Stone;1
Ioprey Guards;1;1;0;0;2;2;7;5;0;0;4;1950;Poison;5;ThunderRes;2;Paralysis;2;Water Res;-2;;;Ioprey Fang;5;Ioprey Scale;5;Monster Fluid;2;Iron Ore;1
Rathian Vambraces;1;1;0;0;1;3;16;2;-2;-4;0;3350;Health;5;Fate;2;Worry;-4;;;;;Rathian Scale;3;Rathian Shell;3;Machalite Ore;2;Lg Monster Bone;1
Rathian Guards;1;1;0;0;2;3;8;4;0;-2;2;3350;Health;5;Fate;2;Worry;-4;;;;;Rathian Scale;3;Rathian Shell;3;Machalite Ore;2;Lg Monster Bone;1
Cephalos Vambraces;1;1;0;0;1;3;14;-3;-4;0;2;2350;Heat Res;5;PsychicVis;2;Worry;-2;Poison;-2;;;Cephalos Scale;3;Cephalos Fin;1;Disk Stone;6;Monster Fluid;1
Cephalos Guards;1;1;0;0;2;3;8;-1;-2;1;5;2350;Heat Res;5;PsychicVis;2;Worry;-2;Poison;-2;;;Cephalos Scale;3;Cephalos Fin;1;Disk Stone;6;Monster Fluid;1
Kut-Ku Vambraces;1;1;0;0;1;3;12;2;0;-1;-2;1650;Attack;4;Fire Res;2;Health;2;Water Res;-3;;;Kut-Ku Scale;3;Kut-Ku Shell;2;Kut-Ku Webbing;2;;
Kut-Ku Guards;1;1;0;0;2;3;6;5;3;0;1;1650;Attack;4;Fire Res;2;Health;2;Water Res;-3;;;Kut-Ku Scale;3;Kut-Ku Shell;2;Kut-Ku Webbing;2;;
Battle Vambraces;1;1;0;0;1;2;8;2;-2;0;-2;750;Guard;3;Health;2;Defense;2;;;;;Kut-Ku Scale;2;Iron Ore;3;Earth Crystal;2;Whetstone;2
Battle Guards;1;1;0;0;2;2;5;4;0;2;0;750;Load;3;;;;;;;;;Kut-Ku Scale;2;Iron Ore;3;Huskberry;10;Small Bone Husk;3
Monoblos Vambraces;1;1;0;0;1;3;18;2;-2;-1;-1;4950;Attack;5;Paralysis;3;Hunger;-3;;;;;Crimson Horn;1;Monoblos Spine;1;Monoblos Shell;2;Machalite Ore;4
Monoblos Guards;1;1;0;0;2;3;9;4;0;0;2;4950;Attack;5;Paralysis;3;Hunger;-3;;;;;Crimson Horn;1;Monoblos Spine;1;Monoblos Shell;2;Machalite Ore;4
Bone Vambraces;1;1;0;0;1;2;7;2;-2;-2;2;650;StealNoEff;5;Hunger;2;PsychicVis;2;Worry;-2;;;Sm Monster Bone;5;Bullfango Pelt;1;Kelbi Hide;2;Velociprey Scale;1
Bone Guards;1;1;0;0;2;2;4;5;0;0;5;650;StealNoEff;5;Hunger;2;PsychicVis;2;Worry;-2;;;Sm Monster Bone;5;Bullfango Pelt;1;Kelbi Hide;2;Velociprey Scale;1
Gypceros Vambraces;1;1;0;0;1;3;14;-4;4;0;1;2350;Wide Cntr;3;Health;2;Paralysis;2;ThunderRes;2;Water Res;-2;Rubbery Hide;3;Antiseptic Stone;2;Machalite Ore;2;;
Gypceros Guards;1;1;0;0;2;3;7;-1;6;0;4;2350;Wide Cntr;3;Health;2;Paralysis;2;ThunderRes;2;Water Res;-2;Rubbery Hide;3;Antiseptic Stone;2;Machalite Ore;2;;
Rathalos Vambraces;1;1;0;0;1;3;17;2;2;-4;-1;4150;Attack;3;Fire Res;2;Rec Speed;2;Worry;-2;Dragon Res;-2;Rathalos Shell;2;Rathalos Scale;5;Rathalos Webbing;1;Machalite Ore;2
Rathalos Guards;1;1;0;0;2;3;9;4;5;-2;2;4150;Attack;3;Fire Res;2;Rec Speed;2;Worry;-2;Dragon Res;-2;Rathalos Tail;1;Rathalos Scale;2;Rathalos Webbing;1;Machalite Ore;2
Gravios Vambraces+;1;1;0;0;1;4;30;2;2;-2;-2;23250;Health;2;Heat Res;3;Cold Res;3;PsychicVis;1;Faint;-2;Gravios Carapace;2;Gravios Shell;4;Lg Monster Bone;5;Dragonite Ore;3
Gravios Guards+;1;1;0;0;2;4;15;4;3;0;1;23250;Health;2;Heat Res;3;Cold Res;3;PsychicVis;1;Faint;-2;Gravios Carapace;2;Gravios Shell;4;Lg Monster Bone;5;Dragonite Ore;3
Hi-Metal Vambraces+;1;1;0;0;1;4;20;-2;3;0;-2;7750;Health;3;MixSucRate;4;ThunderRes;2;Water Res;-2;;;Dragonite Ore;8;Machalite Ore;15;Monster Bone+;1;Thunderbug;2
Hi-Metal Guards+;1;1;0;0;0;4;13;0;5;0;0;7750;Health;3;MixSucRate;4;ThunderRes;2;Water Res;-2;;;Dragonite Ore;8;Machalite Ore;15;Monster Bone+;1;Thunderbug;2
Diablo Vambraces+;1;1;0;0;1;4;28;3;1;0;-1;19750;WindPress;5;Attack;2;Hunger;-4;;;;;Diablos Spine;3;Majestic Horn;1;Diablos Shell;4;Gendrome Hide;2
Diablo Guards+;1;1;0;0;2;4;15;5;4;0;2;19750;WindPress;5;Attack;2;Hunger;-4;;;;;Diablos Spine;3;Majestic Horn;1;Diablos Shell;4;Gendrome Hide;2
Auroros Gauntlets;1;1;0;1;1;5;22;-2;0;-4;2;16125;Rec Speed;2;Guard;3;Fire Res;3;;;;;Lao-Shan's Spine;1;Lao-Shan's Scale;5;Rathalos Wing;1;Commendation;1
Genesis Gauntlets;1;1;0;1;2;5;11;1;2;-2;3;16125;Rec Speed;2;Load;3;Fire Res;3;;;;;Lao-Shan's Spine;1;Lao-Shan's Scale;5;Rathalos Wing;1;Commendation;1
Borealis Gauntlets;1;1;0;2;1;5;22;-2;0;-4;2;16125;Rec Speed;2;Guard;3;Fire Res;3;;;;;Lao-Shan's Spine;1;Lao-Shan's Scale;5;Rathalos Wing;1;Commendation;1
Glyph Gauntlets;1;1;0;2;2;5;11;1;2;-2;3;16125;Rec Speed;2;Load;3;Fire Res;3;;;;;Lao-Shan's Spine;1;Lao-Shan's Scale;5;Rathalos Wing;1;Commendation;1
