name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Leather Helm;1;1;0;0;0;1;1;2;0;0;0;150;Throw;9;Whim;1;PsychicVis;5;;;;;Kelbi Hide;1;;;;;;
Chain Helm;1;1;0;0;0;1;2;2;-2;0;2;300;Gathering;5;PsychicVis;4;;;;;;;Iron Ore;2;Sm Monster Bone;2;;;;
Hunter's Helm;1;1;0;0;0;1;4;0;-4;0;0;450;Fishing;4;Health;2;Defense;2;Alchemy;2;;;Iron Ore;2;Bullfango Pelt;1;Kelbi Hide;2;;
Hunter's Cap;1;1;0;0;0;1;3;2;-2;0;2;450;Fishing;7;Health;2;Defense;2;Alchemy;2;;;Iron Ore;2;Bullfango Pelt;1;Kelbi Hide;2;;
Velociprey Helm;1;1;0;0;0;2;8;1;1;-1;1;750;Faint;5;PsychicVis;2;Worry;-2;Poison;-2;;;Velociprey Scale;2;Earth Crystal;1;Kelbi Hide;1;;
Velociprey Cap;1;1;0;0;0;2;4;3;3;0;3;750;Faint;9;PsychicVis;2;Worry;-2;Poison;-2;;;Velociprey Scale;2;Earth Crystal;1;Kelbi Hide;1;;
Genprey Helm;1;1;0;0;0;2;11;2;3;-1;-2;1350;Paralysis;5;PsychicVis;4;;;;;;;Genprey Scale;4;Iron Ore;4;Sm Monster Bone;2;;
Genprey Cap;1;1;0;0;0;2;6;4;5;0;0;1350;Paralysis;9;PsychicVis;4;;;;;;;Genprey Scale;4;Iron Ore;4;Sm Monster Bone;2;;
Ioprey Helm;1;1;0;0;0;2;13;3;-2;-1;2;1950;Poison;5;PsychicVis;4;;;;;;;Ioprey Scale;6;Iron Ore;3;Small Bone Husk;5;;
Ioprey Cap;1;1;0;0;0;2;7;5;0;0;4;1950;Poison;9;PsychicVis;4;;;;;;;Ioprey Scale;6;Iron Ore;3;Small Bone Husk;5;;
Rathian Helm;1;1;0;0;0;3;16;2;-2;-4;0;3350;Health;5;PsychicVis;2;Worry;-4;;;;;Rathian Scale;3;Rathian Shell;2;Machalite Ore;3;Iron Ore;5
Rathian Cap;1;1;0;0;0;3;8;4;0;-2;2;3350;Health;5;PsychicVis;5;Worry;-4;;;;;Rathian Scale;3;Rathian Shell;2;Machalite Ore;3;Iron Ore;5
Cephalos Helm;1;1;0;0;0;3;14;-3;-4;0;2;2350;Heat Res;5;PsychicVis;2;Worry;-2;Poison;-2;;;Cephalos Fin;1;Cephalos Scale;2;Machalite Ore;3;;
Cephalos Cap;1;1;0;0;0;3;8;-1;-2;1;5;2350;Heat Res;5;PsychicVis;2;Worry;-2;Poison;-2;;;Cephalos Fin;1;Cephalos Scale;2;Machalite Ore;3;;
Battle Helm;1;1;0;0;0;2;8;2;-2;0;-2;750;Guard;4;Health;2;Defense;2;;;;;Disk Stone;2;Iron Ore;5;Earth Crystal;2;Whetstone;2
Battle Cap;1;1;0;0;0;2;5;4;0;2;0;750;Load;2;;;;;;;;;Disk Stone;2;Iron Ore;5;Huskberry;10;Small Bone Husk;2
Monoblos Helm;1;1;0;0;0;3;18;2;-2;-1;-1;4950;Attack;5;Paralysis;2;Hunger;-4;;;;;Crimson Horn;1;Monoblos Shell;2;Machalite Ore;5;Ioprey Hide;5
Monoblos Cap;1;1;0;0;0;3;9;4;0;0;2;4950;Attack;5;Paralysis;4;Fate;2;Hunger;-4;;;Crimson Horn;1;Monoblos Shell;2;Machalite Ore;5;Ioprey Hide;5
Bone Helm;1;1;0;0;0;2;7;2;-2;-2;2;650;StealNoEff;5;Hunger;2;Backpackng;2;Worry;-2;;;Unknown Skull;1;Bullfango Pelt;1;Kut-Ku Scale;1;;
Bone Cap;1;1;0;0;0;2;4;5;0;0;5;650;StealNoEff;9;Hunger;2;Worry;-4;;;;;Unknown Skull;1;Bullfango Pelt;1;Kut-Ku Scale;1;;
Gypceros Helm;1;1;0;0;0;3;14;-4;4;0;1;2350;Wide Cntr;5;Health;4;Wide Rec;1;Fate;-1;;;Rubbery Hide;2;Antiseptic Stone;2;Genprey Hide;5;Earth Crystal;5
Gypceros Cap;1;1;0;0;0;3;7;-1;6;0;4;2350;Wide Cntr;9;Health;4;Wide Rec;1;Fate;-1;;;Rubbery Hide;2;Antiseptic Stone;2;Genprey Hide;5;Earth Crystal;5
Rathalos Helm;1;1;0;0;0;3;17;2;2;-4;-1;4150;Attack;5;Fire Res;2;Worry;-2;Dragon Res;-2;;;Rathalos Wing;1;Rathalos Scale;3;Machalite Ore;3;;
Rathalos Cap;1;1;0;0;0;3;9;4;5;-2;2;4150;Attack;5;Fire Res;2;PsychicVis;3;Worry;-2;Dragon Res;-2;Rathalos Wing;1;Rathalos Scale;3;Machalite Ore;3;;
Gravios Helm+;1;1;0;0;0;4;30;2;2;-2;-2;23250;Health;2;Heat Res;3;Hunger;-2;Faint;-4;;;Gravios Carapace;1;Gravios Head;1;Lg Monster Bone;3;Ioprey Hide;5
Gravios Cap+;1;1;0;0;0;4;15;4;3;0;1;23250;Health;2;Heat Res;3;PsychicVis;5;Hunger;-2;;;Gravios Carapace;1;Gravios Head;1;Lg Monster Bone;3;Ioprey Hide;5
Hi-Metal Helm+;1;1;0;0;0;4;20;-2;3;0;-2;7750;Health;4;ThunderRes;3;Paralysis;2;Water Res;-2;;;Nova Crystal;1;Dragonite Ore;8;Machalite Ore;10;Monster Bone+;1
Hi-Metal Cap+;1;1;0;0;0;4;13;0;5;0;0;7750;Health;4;NormalS Up;4;ThunderRes;3;Paralysis;2;Water Res;-2;Nova Crystal;1;Dragonite Ore;8;Machalite Ore;10;Monster Bone+;1
Diablo Helm+;1;1;0;0;0;4;28;3;1;0;-1;19750;WindPress;5;Attack;2;Hunger;-4;;;;;Diablos Spine;3;Majestic Horn;1;Diablos Shell;4;Gendrome Hide;2
