name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Green Pants;1;1;0;0;0;1;1;2;0;0;0;150;Throw;5;Whim;2;Health;2;Defense;2;;;Kelbi Hide;1;Sm Monster Bone;1;;;;
(Torso Inc) Blue Pants;1;1;0;0;0;1;2;2;-2;0;2;300;Torso Inc;;;;;;;;;;Iron Ore;2;Kelbi Hide;3;;;;
Hunter's Greaves;1;1;0;0;1;1;4;0;-4;0;0;450;Fishing;4;Health;2;Defense;2;PsychicVis;3;;;Iron Ore;3;Bullfango Pelt;1;Earth Crystal;1;;
Hunter's Leggings;1;1;0;0;2;1;3;2;-2;0;2;450;Fishing;4;Health;2;Defense;2;PsychicVis;3;;;Iron Ore;3;Bullfango Pelt;1;Earth Crystal;1;;
Velociprey Greaves;1;1;0;0;1;2;8;1;1;-1;1;750;Faint;5;PsychicVis;2;Worry;-2;Poison;-2;;;Velociprey Scale;2;Iron Ore;3;;;;
Velociprey Leggings;1;1;0;0;2;2;4;3;3;0;3;750;Faint;5;PsychicVis;2;Worry;-2;Poison;-2;;;Velociprey Scale;2;Iron Ore;3;;;;
Genprey Greaves;1;1;0;0;1;2;11;2;3;-1;-2;1350;Paralysis;5;PsychicVis;2;Worry;-2;Poison;-2;;;Genprey Scale;4;Iron Ore;3;Disk Stone;2;;
Genprey Leggings;1;1;0;0;2;2;6;4;5;0;0;1350;Paralysis;5;PsychicVis;2;Worry;-2;Poison;-2;;;Genprey Scale;4;Iron Ore;3;Disk Stone;2;;
Ioprey Greaves;1;1;0;0;1;2;13;3;-2;-1;2;1950;Poison;5;ThunderRes;2;Paralysis;2;Water Res;-2;;;Ioprey Scale;3;Iron Ore;6;Earth Crystal;3;Sm Monster Bone;5
Ioprey Leggings;1;1;0;0;2;2;7;5;0;0;4;1950;Poison;5;ThunderRes;2;Paralysis;2;Water Res;-2;;;Ioprey Scale;3;Iron Ore;6;Earth Crystal;3;Sm Monster Bone;5
Rathian Greaves;1;1;0;0;1;3;16;2;-2;-4;0;3350;Health;3;Fire Res;2;Water Res;-2;ThunderRes;-2;Worry;-2;Rathian Scale;3;Rathian Shell;3;Machalite Ore;3;Iron Ore;8
Rathian Leggings;1;1;0;0;2;3;8;4;0;-2;2;3350;Health;3;Fire Res;2;Water Res;-2;ThunderRes;-2;Worry;-2;Rathian Scale;3;Rathian Shell;3;Machalite Ore;3;Iron Ore;8
(Torso Inc) Cephalos Greaves;1;1;0;0;1;3;14;-3;-4;0;2;2350;Torso Inc;;;;;;;;;;Cephalos Fin;1;Cephalos Scale;4;Piscine Fang;3;Machalite Ore;2
(Torso Inc) Cephalos Leggings;1;1;0;0;2;3;8;-1;-2;1;5;2350;Torso Inc;;;;;;;;;;Cephalos Fin;1;Cephalos Scale;4;Piscine Fang;3;Machalite Ore;2
Battle Greaves;1;1;0;0;1;2;8;2;-2;0;-2;750;Guard;2;Health;2;Defense;2;Backpackng;3;;;Kut-Ku Scale;2;Iron Ore;3;Earth Crystal;3;Whetstone;5
Battle Leggings;1;1;0;0;2;2;5;4;0;2;0;750;Load;3;Backpackng;3;;;;;;;Kut-Ku Scale;2;Bullfango Pelt;3;Huskberry;20;Small Bone Husk;5
