name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Leather Belt;1;1;0;0;0;1;1;2;0;0;0;150;Throw;5;Whim;2;Alchemy;3;PsychicVis;1;;;Sm Monster Bone;2;Kelbi Hide;1;;;;
Chain Belt;1;1;0;0;0;1;2;2;-2;0;2;300;Gathering;2;Health;4;PsychicVis;5;;;;;Iron Ore;2;Kelbi Hide;2;;;;
Hunter's Tasset;1;1;0;0;1;1;4;0;-4;0;0;450;Fishing;4;Health;2;Defense;2;PsychicVis;3;;;Iron Ore;1;Bullfango Pelt;3;;;;
Hunter's Coat;1;1;0;0;2;1;3;2;-2;0;2;450;Fishing;4;Health;2;Defense;2;PsychicVis;3;;;Iron Ore;1;Bullfango Pelt;3;;;;
(Torso Inc) Velociprey Tasset;1;1;0;0;1;2;8;1;1;-1;1;750;Torso Inc;;;;;;;;;;Velociprey Hide;3;Velociprey Scale;2;Iron Ore;2;;
(Torso Inc) Velociprey Coat;1;1;0;0;2;2;4;3;3;0;3;750;Torso Inc;;;;;;;;;;Velociprey Hide;3;Velociprey Scale;2;Iron Ore;2;;
Genprey Tasset;1;1;0;0;1;2;11;2;3;-1;-2;1350;Paralysis;3;MixSucRate;2;PsychicVis;2;Worry;-2;Poison;-2;Genprey Hide;4;Genprey Scale;3;Iron Ore;2;Bullfango Pelt;2
Genprey Coat;1;1;0;0;2;2;6;4;5;0;0;1350;Paralysis;3;MixSucRate;2;PsychicVis;2;Worry;-2;Poison;-2;Genprey Hide;4;Genprey Scale;3;Iron Ore;2;Bullfango Pelt;2
Ioprey Tasset;1;1;0;0;1;2;13;3;-2;-1;2;1950;Poison;3;ThunderRes;2;PsychicVis;2;Health;2;Water Res;-2;Ioprey Hide;2;Ioprey Scale;6;Med Monster Bone;3;Disk Stone;1
Ioprey Coat;1;1;0;0;2;2;7;5;0;0;4;1950;Poison;3;ThunderRes;2;PsychicVis;2;Health;2;Water Res;-2;Ioprey Hide;2;Ioprey Scale;6;Med Monster Bone;3;Iron Ore;1
Rathian Tasset;1;1;0;0;0;3;16;2;-2;-4;0;3350;Health;5;PsychicVis;2;Poison;-2;Worry;-2;;;Rathian Scale;2;Rathian Shell;4;Machalite Ore;2;Earth Crystal;4
Rathian Coat;1;1;0;0;2;3;8;4;0;-2;2;3350;Health;5;PsychicVis;2;Poison;-2;Worry;-2;;;Rathian Scale;2;Rathian Shell;4;Machalite Ore;2;Earth Crystal;4
Cephalos Tasset;1;1;0;0;1;3;14;-3;-4;0;2;2350;Heat Res;5;Recovery;2;PsychicVis;2;Faint;-2;;;Cephalos Scale;5;Cephalos Fin;1;Med Monster Bone;2;Burst Arrowana;5
Cephalos Coat;1;1;0;0;2;3;8;-1;-2;1;5;2350;Heat Res;5;Recovery;2;PsychicVis;2;Faint;-2;;;Cephalos Scale;5;Cephalos Fin;1;Med Monster Bone;2;Burst Arrowana;5
Kut-Ku Tasset;1;1;0;0;1;3;12;2;0;-1;-2;1650;Attack;4;Fire Res;2;Health;2;Water Res;-3;;;Kut-Ku Scale;2;Kut-Ku Shell;3;Med Monster Bone;1;;
Kut-Ku Coat;1;1;0;0;2;3;6;5;3;0;1;1650;Attack;4;Fire Res;2;Health;2;Water Res;-3;;;Kut-Ku Scale;2;Kut-Ku Shell;3;Med Monster Bone;1;;
Battle Tasset;1;1;0;0;1;2;8;2;-2;0;-2;750;Guard;2;Map;3;Backpackng;4;;;;;Kut-Ku Scale;3;Kelbi Hide;2;Earth Crystal;2;Whetstone;2
Battle Coat;1;1;0;0;2;2;5;4;0;2;0;750;Load;3;Map;3;Backpackng;4;;;;;Kut-Ku Scale;3;Kelbi Hide;2;Iron Ore;3;Small Bone Husk;3
