key;value
";Arm-guards:";";Arm-guards:"
Mafumofu Mittens;Mafumofu Mittens
Leather Vambraces;Leather Vambraces
Chain Vambraces;Chain Vambraces
Hunter Vambraces;Hunter's Vambraces
Hunter Guards;Hunter's Guards
Bone Vambraces;Bone Vambraces
Bone Guards;Bone Guards
Giaprey Vambraces;Giaprey Vambraces
Giaprey Guards;Giaprey Guards
Battle Vambraces;Battle Vambraces
Battle Guards;Battle Guards
Velociprey Braces;Velociprey Braces
Velociprey Guards;Velociprey Guards
Vespoid Vambraces;Vespoid Vambraces
Vespoid Guards;Vespoid Guards
Hi-Metal Vambraces;Hi-Metal Vambraces
Hi-Metal Guards;Hi-Metal Guards
Hornet Vambraces;Hornet Vambraces
Hornet Guards;Hornet Guards
Genprey Vambraces;Genprey Vambraces
Genprey Guards;Genprey Guards
Steel Vambraces;Steel Vambraces
Ioprey Vambraces;Ioprey Vambraces
Ioprey Guards;Ioprey Guards
Kut-Ku Vambraces;Kut-Ku Vambraces
Kut-Ku Guards;Kut-Ku Guards
Cephalos Vambraces;Cephalos Vambraces
Cephalos Guards;Cephalos Guards
Conga Vambraces;Conga Vambraces
Conga Guards;Conga Guards
Gypceros Vambraces;Gypceros Vambraces
Gypceros Guards;Gypceros Guards
Khezu Vambraces;Khezu Vambraces
Khezu Guards;Khezu Guards
Hermitaur Vambraces;Hermitaur Braces
Hermitaur Guards;Hermitaur Guards
Plesioth Vambraces;Plesioth Vambraces
Plesioth Guards;Plesioth Guards
Lobster Vambraces;Lobster Vambraces
Lobster Guards;Lobster Guards
Kut-Ku Vambraces D;Kut-Ku Vambraces D
Kut-Ku Guards D;Kut-Ku Guards D
Gypceros Vambraces D;Gypceros Vambraces D
Gypceros Guards D;Gypceros Guards D
Khezu Vambraces D;Khezu Vambraces D
Khezu Guards D;Khezu Guards D
Plesioth Vambraces D;Plesioth Vambraces D
Plesioth Guards D;Plesioth Guards D
Basarios Vambraces;Basarios Vambraces
Basarios Guards;Basarios Guards
Monoblos Vambraces;Monoblos Vambraces
Monoblos Guards;Monoblos Guards
Garuga Vambraces;Garuga Vambraces
Garuga Guards;Garuga Guards
Blango Vambraces;Blango Vambraces
Blango Guards;Blango Guards
Ceanataur Vambraces;Ceanataur Braces
Ceanataur Guards;Ceanataur Guards
Rathian Vambraces;Rathian Vambraces
Rathian Guards;Rathian Guards
Tigrex Vambraces;Tigrex Vambraces
Tigrex Guards;Tigrex Guards
Rathalos Vambraces;Rathalos Vambraces
Rathalos Guards;Rathalos Guards
Diablo Vambraces;Diablo Vambraces
Diablo Guards;Diablo Guards
Gravios Vambraces;Gravios Vambraces
Gravios Guards;Gravios Guards
Diablo Vambraces D;Diablo Vambraces D
Diablo Guards D;Diablo Guards D
Gravios Vambraces D;Gravios Vambraces D
Gravios Guards D;Gravios Guards D
Mosswine Gloves;Mosswine Gloves
Giaprey Gloves;Giaprey Gloves
Velociprey Gloves;Velociprey Gloves
Genprey Gloves;Genprey Gloves
Black Belt Vambraces;Black Belt Vambraces
Shinobi Kote (Sun);Shinobi Kote (Sun)
Shinobi Kote (Moon);Shinobi Kote (Moon)
Guild Knight Gloves;Guild Knight Gloves
Guild Knight Sleeves;Guild Knight Sleeves
Guardian Vambraces;Guardian Vambraces
Guardian Guards;Guardian Guards
Maiden's Sleeves;Maiden's Sleeves
Personal Sleeves;Personal Sleeves
Helper Sleeves;Helper Sleeves
Healer Sleeves;Healer Sleeves
Ioprey Gloves;Ioprey Gloves
Remobra Hands;Remobra Hands
Melahoa Branch;Melahoa Branch
Melahoa Petal;Melahoa Petal
Makluva Sleeves;Makluva Sleeves
Makluva Sucker;Makluva Sucker
Hypnoc Vambraces;Hypno Vambraces
Hypnoc Guards;Hypno Guards
Obituary Mano;Obituary Mano
Obituary Brasso;Obituary Brasso
Butterfly Mano;Butterfly Mano
Butterfly Brasso;Butterfly Brasso
Black Claw;Black Claw
Black Fist;Black Fist
Death Stench Grip;Death Stench Grip
Death Stench Grasp;Death Stench Grasp
Volganos Vambraces;Lava Vambraces
Volganos Guards;Lava Guards
Mizuha Sleeves;Mizuha Sleeves
