key;value
";Plates:";";Plates:"
Mafumofu Jacket;Mafumofu Jacket
Leather Armor;Leather Armor
Chain Mail;Chain Mail
Hunter's Mail;Hunter's Mail
Hunter's Vest;Hunter's Vest
Bone Mail;Bone Mail
Bone Vest;Bone Vest
Giaprey Mail;Giaprey Mail
Giaprey Vest;Giaprey Vest
Battle Mail;Battle Mail
Battle Vest;Battle Vest
Velociprey Mail;Velociprey Mail
Velociprey Vest;Velociprey Vest
Vespoid Mail;Vespoid Mail
Vespoid Vest;Vespoid Vest
Hi-Metal Mail;Hi-Metal Mail
Hi-Metal Vest;Hi-Metal Vest
Hornet Mail;Hornet Mail
Hornet Vest;Hornet Vest
Genprey Mail;Genprey Mail
Genprey Vest;Genprey Vest
Steel Mail;Steel Mail
Ioprey Mail;Ioprey Mail
Ioprey Vest;Ioprey Vest
Kut-Ku Mail;Kut-Ku Mail
Kut-Ku Vest;Kut-Ku Vest
Cephalos Mail;Cephalos Mail
Cephalos Vest;Cephalos Vest
Conga Mail;Conga Mail
Conga Vest;Conga Vest
Gypceros Mail;Gypceros Mail
Gypceros Vest;Gypceros Vest
Khezu Mail;Khezu Mail
Khezu Vest;Khezu Vest
Hermitaur Mail;Hermitaur Mail
Hermitaur Vest;Hermitaur Vest
Plesioth Mail;Plesioth Mail
Plesioth Vest;Plesioth Vest
Lobster Mail;Lobster Mail
Lobster Vest;Lobster Vest
Kut-Ku Mail D;Kut-Ku Mail D
Kut-Ku Vest D;Kut-Ku Vest D
Gypceros Mail D;Gypceros Mail D
Gypceros Vest D;Gypceros Vest D
Khezu Mail D;Khezu Mail D
Khezu Vest D;Khezu Vest D
Plesioth Mail D;Plesioth Mail D
Plesioth Vest D;Plesioth Vest D
Basarios Mail;Basarios Mail
Basarios Vest;Basarios Vest
Monoblos Mail;Monoblos Mail
Monoblos Vest;Monoblos Vest
Yian Garuga Mail;Yian Garuga Mail
Yian Garuga Vest;Yian Garuga Vest
Blango Mail;Blango Mail
Blango Vest;Blango Vest
Ceanataur Mail;Ceanataur Mail
Ceanataur Vest;Ceanataur Vest
Rathian Mail;Rathian Mail
Rathian Vest;Rathian Vest
Tigrex Mail;Tigrex Mail
Tigrex Vest;Tigrex Vest
Rathalos Mail;Rathalos Mail
Rathalos Vest;Rathalos Vest
Diablo Mail;Diablo Mail
Diablo Vest;Diablo Vest
Gravios Mail;Gravios Mail
Gravios Vest;Gravios Vest
Diablo Mail D;Diablo Mail D
Diablo Vest D;Diablo Vest D
Gravios Mail D;Gravios Mail D
Gravios Vest D;Gravios Vest D
Moss Breastplate;Moss Breastplate
Giaprey Body;Giaprey Body
Velociprey Body;Velociprey Body
Famitsu T-Shirt;(dummy)Famitsu T-Shirt
Hunter Soul T-Shirt;Hunting Soul T-Shirt
Bistro Jacket;Bistro Jacket
Genprey Body;Genprey Body
Black Belt Mail;Black Belt Mail
Shinobi Suit (Sun);Shinobi Suit (Sun)
Shinobi Suit (Moon);Shinobi Suit (Moon)
Guild Knight Suit;Guild Knight Suit
Guild Knight Vest;Guild Knight Vest
Guardian Suit;Guardian Suit
Guardian Vest;Guardian Vest
Maiden's Vest;Maiden's Vest
Personal Vest;Personal Vest
Helper Vest;Helper Vest
Healer Vest;Healer Vest
Ioprey Body;Ioprey Body
Remobra Suit;Remobra Suit
MelahoaFlowerJacket;MelahoaFlowerJacket
Melahoa Stalk;Melahoa Stalk
Makluva Cover;Makluva Cover
Makluva Scale;Makluva Scale
Hypnoc Mail;Hypno Mail
Hypnoc Vest;Hypno Vest
Obituary Petto;Obituary Petto
Obituary Pectus;Obituary Pectus
Butterfly Petto;Butterfly Petto
Butterfly Pectus;Butterfly Pectus
Black Hide;Black Hide
Black Skin;Black Skin
Death Stench Muscle;Death Stench Muscle
Death Stench Heart;Death Stench Heart
Volganos Mail;Lava Mail
Volganos Vest;Lava Vest
Mizuha Guards;Mizuha Guards
Extravagant Camise;Extravagant Camise
Kushala Cista;Kushala Cista
Kushala Vise;Kushala Vise
Kirin Jacket;Kirin Jacket
Kirin Cape;Kirin Cape
GuardianSpritRaiment;GuardianSpritRaiment
Carnage Raiment;Carnage Raiment
Auroros Torso;Auroros Torso
Genesis Torso;Genesis Torso
Borealis Chest;Borealis Chest
Glyph Chest;Glyph Chest
Empress Mail;Empress Mail
Empress Vest;Empress Vest
Indra Vest;Indra Vest
Steadfast Vest;Steadfast Vest
Kaiser Mail;Kaiser Mail
Kaiser Vest;Kaiser Vest
Red Lobster Mail;(dummy)Red Lobster Mail
Red Lobster Vest;(dummy)Red Lobster Vest
Monodevil Mail;Monodevil Mail
Monodevil Vest;Monodevil Vest
Rathian Heart Mail;Rathian Heart Mail
Rathian Heart Vest;Rathian Heart Vest
Rathalos Soul Mail;Rathalos Soul Mail
Rathalos Soul Vest;Rathalos Soul Vest
Mafumofu Jacket S;Mafumofu Jacket S
Leather Armor S;Leather Armor S
Chain Mail S;Chain Mail S
Hunter's Mail S;Hunter's Mail S
Hunter's Vest S;Hunter's Vest S
Bone Mail S;Bone Mail S
Bone Vest S;Bone Vest S
Battle Mail S;Battle Mail S
Battle Vest S;Battle Vest S
Velociprey Mail S;Velociprey Mail S
Velociprey Vest S;Velociprey Vest S
Vespoid Mail S;Vespoid Mail S
Vespoid Vest S;Vespoid Vest S
Hi-Metal Mail S;Hi-Metal Mail S
Hi-Metal Vest S;Hi-Metal Vest S
Steel Mail S;Steel Mail S
Hornet Mail S;Hornet Mail S
Hornet Vest S;Hornet Vest S
Genprey Mail S;Genprey Mail S
Genprey Vest S;Genprey Vest S
Ioprey Mail S;Ioprey Mail S
Ioprey Vest S;Ioprey Vest S
Kut-Ku Mail S;Kut-Ku Mail S
Kut-Ku Vest S;Kut-Ku Vest S
Cephalos Mail S;Cephalos Mail S
Cephalos Vest S;Cephalos Vest S
Conga Mail S;Conga Mail S
Conga Vest S;Conga Vest S
Gypceros Mail S;Gypceros Mail S
