key;value
 Anteka Pelt;Anteka Pelt
Disk Stone;Disk Stone
Iron Ore;Iron Ore
Sm Monster Bone;Sm Monster Bone
Bullfango Pelt;Bullfango Pelt
Kelbi Hide;Kelbi Hide
Machalite Ore;Machalite Ore
Kut-Ku Scale;Kut-Ku Scale
Velociprey Fang;Velociprey Fang
Unknown Skull;Unknown Skull
Blango Pelt;Blango Pelt
Giaprey Scale;Giaprey Scale
Anteka Antlers;Anteka Antlers
Earth Crystal;Earth Crystal
Whetstone;Whetstone
Huskberry;Huskberry
Sm Bone Husk;Sm Bone Husk
Velociprey Scale;Velociprey Scale
Velociprey Hide;Velociprey Hide
Carpenterbug;Carpenterbug
Vespoid Wing;Vespoid Wing
Vespoid Shell;Vespoid Shell
Lightcrystal;Lightcrystal
Hornetaur Head;Hornetaur Head
Hornetaur Shell;Hornetaur Shell
Vibrant Pelt;Vibrant Pelt
Monster Fluid;Monster Fluid
Gendrome Hide;Gendrome Hide
Genprey Scale;Genprey Scale
Ioprey Scale;Ioprey Scale
Ioprey Hide;Ioprey Hide
Kut-Ku Ear;Kut-Ku Ear
Kut-Ku Shell;Kut-Ku Shell
Kut-Ku Webbing;Kut-Ku Webbing
Cephalos Fin;Cephalos Fin
Cephalos Scale;Cephalos Scale
Congalala Pelt;Congalala Pelt
Sharp Claw;Sharp Claw
Rubbery Hide;Rubbery Hide
Antiseptic Stone;Antiseptic Stone
Genprey Hide;Genprey Hide
Pale Bone;Pale Bone
Flabby Hide;Flabby Hide
Hermitaur Claw;Hermitaur Claw
Hermitaur Shell;Hermitaur Shell
Plesioth Scale;Plesioth Scale
Bomb Arrowana;Bomb Arrowana
Sm Lobstershell;Sm Lobstershell
Plesioth Fin;Plesioth Fin
Blue Kut-Ku Shl;Blue Kut-Ku Shl
Pur Rubbery Hide;Pur Rubbery Hide
Alluring Hide;Alluring Hide
Grn Plesioth Scl;Grn Plesioth Scl
Grn Plesioth Fin;Grn Plesioth Fin
Basarios Shell;Basarios Shell
Knife Mackerel;Knife Mackerel
Monoblos Shell;Monoblos Shell
Blood Red Horn;Blood Red Horn
Garuga Ear;Garuga Ear
Sharpened Beak;Sharpened Beak
Garuga Shell;Garuga Shell
Garuga Mane;Garuga Mane
Blangonga Whiskr;Blangonga Whiskr
Blangonga Pelt;Blangonga Pelt
Lg Monster Bone;Lg Monster Bone
Velocidrome Hide;Velocidrome Hide
Ceanataur Claw;Ceanataur Claw
Ceanataur Shell;Ceanataur Shell
Sm Ceanataur Shl;Sm Ceanataur Shl
Killer Beetle;Killer Beetle
Rathian Scale;Rathian Scale
Rathian Shell;Rathian Shell
Tigrex Skull Shl;Tigrex Skull Shl
Tigrex Scale;Tigrex Scale
Tigrex Shell;Tigrex Shell
Rathalos Wing;Rathalos Wing
Rathalos Scale;Rathalos Scale
Dragonite Ore;Dragonite Ore
Twisted Horn;Twisted Horn
Diablos Shell;Diablos Shell
Monster Bone+;Monster Bone+
Gravios Shell;Gravios Shell
Gravios Skl Shl;Gravios Skl Shl
TwstBlkBlosHorn;TwstBlkBlosHrn
Black Blos Shell;Black Blos Shell
Blk Gravios Shl;Blk Gravios Shl
Blk Gravios Skl;Blk Gravios Skl
Chaoshroom;Chaos Mushroom
Parashroom;Parashroom
FlynMealPassReg;FlynMealPassReg
Godbug;Godbug
Mosswine Hide;Mosswine Hide
Pawprint Stamp;Pawprint Stamp
Bullfango Head;Bullfango Head
Bulldrome Hide;Bulldrome Hide
Giant Bone;Giant Bone
Giadrome Skull;Giadrome Skull
Giaprey Hide;Giaprey Hide
Kut-Ku Coin;Kut-Ku Coin
Velocidrome Head;Velocidrome Head
Congalala Coin;Congalala Coin
Flame Sac;Flame Sac
Electro Sac;Electro Sac
Power Juice;Power Juice
Black Pearl;Black Pearl
Basarios Wing;Basarios Wing
Hornetaur Wing;Hornetaur Wing
Pokke Ticket;Pokke Ticket
Ice Crystal;Ice Crystal
Lifecrystals;Lifecrystals
Commendation G;Commendation G
Felyne Fur Ruby;Felyne Fur Ruby
Emperor Locust;Emperor Cricket
FlynMealPassPlus;FlynMealPassPlus
Fire Stone;Firestone
Gourmet Fish;Gourmet Fish
Gendrome Skull;Gendrome Skull
Wyvern Fang;Wyvern Fang
Khezu Coin;Khezu Coin
Yian Garuga Coin;Yian Garuga Coin
Blackbelt Ticket;Blackbelt Ticket
Shogun Coin;Shogun Coin
Gaoren Spine;Gaoren Spine
Commendation;Commendation
Dosbiscus;Dosbiscus
Tigrex Coin;Tigrex Coin
Diablos Coin;Diablos Coin
Iodrome Skull;Iodrome Skull
Daimyo Coin;Daimyo Coin
Remobra Skull;Remobra Skull
FireWyvern Fluid;FireWyvern Fluid
Sunset Herb;Sunset Herb
Cactus Flower;Cactus Flower
Springnight Carp;Springnight Carp
Pin Tuna;Pin Tuna
Book of Combos 1;Book of Combos 1
Hypnoc Ticket;Hypno Ticket
Hypnoc Feather+;OrangeHypnoPelt+
HypncFangedBeak;Hypno Fang
Sleepyfish;Sleepyfish
Hypnoc StrngClaw;Top-GrdHypnoClaw
Sleep Herb;Sleep Herb
Great Hornfly;Great Hornfly
Hercudrome;Hercudrome
Thunderbug;Thunderbug
Dark Stone;Dark Stone
Dark Piece;Dark Piece
Ancient Potion;Ancient Potion
Sinister Cloth;Sinister Cloth
Striped Skin;Striped Skin
Blos Fang;Blos Fang
Elder Drgn Bone;Eldr Dragon Bone
Lava Ticket;Lavasioth Ticket
Volganos Thk Scl;ThckLavasiothScl
Volganos Fin+;SpecLavasioFin+
Chameleos Hide;Chameleos Hide
ChameleosWebbing;ChameleosWebbing
Rathian Plate;Rathian Plate
Daora Horn;Daora Horn
Daora Shell;Daora Shell
Kirin Hide;Kirin Hide
Kirin Horn;Kirin Horn
Kirin Mane;Kirin Mane
Dragonmoss;Dragonmoss
Dragonwood;Dragonwood
Rathalos Plate;Rathalos Plate
Lao-Shan's Scale;Lao-Shan's Scale
Lao-Shan's Horn;Lao-Shan's Horn
Majestic Horn;Majestic Horn
Lunastra Mane;Lunastra Mane
Fire Drgn Wbng;Fire Drgn Webbng
ElderDragonBlood;ElderDragonBlood
Gaoren Shell;Gaoren Shell
Teostra Horn;Teostra Horn
Fire Dragon Scl;Fire Dragon Scl
King Lobster Shl;(dummy)King Lobster Shl
Famitsu Ticket;(dummy)Famitsu Ticket
Wht Monoblos Hrn;Wht Monoblos Hrn
Wht Monoblos Spn;Wht Monoblos Spn
Wht Monoblos Shl;Wht Monoblos Shl
Pnk Rathian Shl;Pnk Rathian Shl
Pnk Rathian Scl;Pnk Rathian Scl
Rathian Spike;Rathian Spike
Azur Rathlos Wng;Azur Rthlos Wing
Azr Rathlos Scl;Azure Rthlos Scl
Azre Rathlos Shl;Azure Rthlos Shl
High Quality Pelt;High Qualty Pelt
Blango Pelt+;Blango Pelt+
Rainbow Insect;Rainbow Insect
Bulldrome Hide+;Bulldrome Hide+
Carbalite Ore;Carbalite Ore
King Scarab;King Scarab
Master's Skull;Master's Skull
Stout Bone;Stout Bone
Velociprey Scl+;Velociprey Scle+
Velociprey Hide+;Velociprey Hide+
Vespoid InnrWng;Vespoid InnrWng
Vespoid Carapace;Vespoid Carapace
Monster Broth;Monster Broth
Nova Crystal;Novacrystal
DaoraDragonScale;DaoraDragonScale
HornetaurInnrWng;HornetaurInnrWng
Hornetaur Carpce;Hornetaur Crapce
Genprey Scale+;Genprey Scale+
Genprey Hide+;Genprey Hide+
Paralysis Sac;Paralysis Sac
Ioprey Scale+;Ioprey Scale+
Ioprey Hide+;Ioprey Hide+
Toxin Sac;Toxin Sac
Long Kut-Ku Ear;Long Kut-Ku Ear
Kut-Ku Carapace;Kut-Ku Carapace
Conga Pelt+;Conga Pelt+
Cephalos Scale+;Cephalos Scale+
Cephalos Fin+;Cephalos Fin+
Congalala Pelt+;Congalala Pelt+
Congalala Claw+;Congalala Claw+
Rubbery Hide+;Rubbery Hide+
Gypceros Head;Gypceros Head
Gendrome Tail;Gendrome Tail
Khezu Hide - Tan;Khezu Hide - Tan
Hrd Monster Bone;Hrd Monster Bone
Hermitaur Claw+;Hermitaur Claw+
Hermitaur Carpce;Hermitaur Carpce
Wyvern Skull Shl;Wyvern Skull Shl
Hypnoc Feather;OrangeHypnoPelt
Rainbow Down;RainbowTailFeath
Hypnoc Beak;Hypno Beak
Basarios Tears;Basarios Tears
Basarios Carpace;Basarios Carpace
Kut-Ku Scale+;Kut-Ku Scale+
Blue Kut-Ku Scl+;Blue Kut-Ku Scl+
Plesioth Scale+;Plesioth Scale+
Plesioth Fin+;Plesioth Fin+
Monoblos Thrcic;MonoblosThoracic
Majestic Red Hrn;Top-GrdRedHorn
Monoblos Carpce;MonoblosCarapace
Firecell Stone;Firecell Stone
Garuga Devil Ear;Long Garuga Ear
Sharpened Beak+;Rejuvenated Beak
Garuga Carapace;Garuga Carapace
Blangonga Pelt+;Blangonga Pelt+
Blangonga Fang+;Blangonga Fang+
Brute Bone;Brute Bone
Ceanataur Carpce;Ceanataur Carpce
Ceanataur Claw+;Ceanataur Claw+
Rathian Scale+;Rathian Scale+
Rathian Carapace;Rathian Carapace
Naruga Spike;Narga Tail Spike
Naruga Scale+;Narga Scale+
Naruga Marrow;Narga Brain Stem
Tigrex Claw+;Tigrex Claw+
Tigrex Fang+;Tigrex Fang+
Rathalos Ruby;Rathalos Ruby
Rathalos Scale+;Rathalos Scale+
Diablos Carapace;Diablos Carapace
Rare Scarab;Rare Scarab
Gravios Carapace;Gravios Carapace
Giaprey Hide+;Giaprey Hide+
Rainbow Ore;Rainbow Ore
Giaprey Scale+;Giaprey Scale+
Blue Kut-Ku Cpc;Blue Kut-Ku Cpc
Coral Cphlos Scl;Coral Cphlos Scl
Coral Cphlos Fin;Coral Cphlos Fin
Pur GypcerosWng;Pur Gypceros Wng
Alluring Webbing;Alluring Webbing
Pale Khezu Steak;Pale Khezu Steak
Small Goldenfish;Small Goldenfish
Grn Plsioth Scl+;Grn Plsioth Scl+
Grn Plsioth Fin+;Grn Plsioth Fin+
Black Blos Cpc;Black Blos Cpc
Blk Gravios Cpc;Blk Gravios Cpc
Expert Ticket;Expert Ticket
Kirin Coin;Kirin Coin
Fire Coin;Fire Coin
Fatalis Webbing;Fatalis Webbing
Fire Dragon Pwdr;Fire Dragon Pwdr
Daora Carapace;Daora Carapace
One-HornedTicket;(dummy)One-HornedTicket
