key;value
";Decorations:";";Decorations:"
Attack Jewel;Attack Jewel
Fierce Jewel;Fierce Jewel
Merciless Jewel;Strongest Jewel
Defense Jewel;Defense Jewel
Turtle Jewel;Turtle Jewel
Steadfast Jewel;Steadfast Jewel
Anti-Faint Jewel;Anti-Faint Jewel
Vigilance Jewel;Steadfast Jewel+
Paralysis Jewel;Paralysis Jewel
AntiParalyzJewel;AntiParalyzJewel
Petrification Jewel;Paralysis Jewel+
Pep Jewel;Pep Jewel
Jolt Jewel;Jolt Jewel
Antidote Jewel;Antidote Jewel
Antivenin Jewel;Antivenin Jewel
Anti-Toxin Jewel;Antidote Jewel+
Retroviral Jewel;Retroviral Jewel
Antiviral Jewel;Antiviral Jewel
Tireless Jewel;Tireless Jewel
Anchor Jewel;Anchor Jewel
Tectonic Jewel;Tectonic Jewel
Snowblower Jewel;Snowblower Jewel
Snowplow Jewel;Snowplow Jewel
Defroster Jewel;SnowblowerJewel+
Tip Toe Jewel;Tip Toe Jewel
Ninja Jewel;Ninja Jewel
Strength Jewel;Strength Jewel
Artisan Jewel;Artisan Jewel
Master Jewel;Master Jewel
Fencer Jewel;Fencer Jewel
Swordsman Jewel;Swordsman Jewel
Razor Jewel;Razor Jewel
Cutter Jewel;Cutter Jewel
Draw Jewel;Sword Draw Jewel
Unsheathe Jewel;UnsheathingJewel
QuickCharge Jewel;ShortChargeJewel
SpeedCharge Jewel;RapidChargeJewel
Expert Jewel;Expert Jewel
Celebrity Jewel;Celebrity Jewel
Hermit Jewel;Hermit Jewel
Grinder Jewel;Grinder Jewel
Stone Wall Jewel;Stone Wall Jewel
Iron Curtain Jewel;IronCurtainJewel
Hard Wall Jewel;Hard Wall Jewel
Rigid Wall Jewel;Wall Jewel
StrongWall Jewel;StrongWall Jewel
HvnlyShieldJewel;HvnlyShieldJewel
Hardball Jewel;Hardball Jewel
Early Bird Jewel;Early Bird Jewel
High Speed Jewel;High Speed Jewel
SpeedFire Jewel;Cont. Fire Jewel
Barrage Jewel;Barrage Jewel
Recoilless Jewel;Recoilless Jewel
Shockless Jewel;Shockless Jewel
StrongShot Jewel;StrongShot Jewel
MightyShot Jewel;StrongShotJewel+
Pierce Jewel;Pierce Jewel
