key;value
";Headgear:";";Headgear:"
Mafumofu Hood;Mafumofu Hood
Leather Helm;Leather Helm
Chain Helm;Chain Helm
Hunter's Helm;Hunter's Helm
Hunter's Cap;Hunter's Cap
Protection Piercing;Protection Piercing
Bone Helm;Bone Helm
Bone Cap;Bone Cap
Giaprey Helm;Giaprey Helm
Giaprey Cap;Giaprey Cap
Battle Helm;Battle Helm
Battle Cap;Battle Cap
Velociprey Helm;Velociprey Helm
Velociprey Cap;Velociprey Cap
Vespoid Helm;Vespoid Helm
Vespoid Cap;Vespoid Cap
Hi-Metal Helm;Hi-Metal Helm
Hi-Metal Cap;Hi-Metal Cap
Hornetaur Helm;Hornet Helm
Hornetaur Cap;Hornet Cap
Genprey Helm;Genprey Helm
Genprey Cap;Genprey Cap
Ioprey Helm;Ioprey Helm
Ioprey Cap;Ioprey Cap
Kut-Ku Helm;Kut-Ku Helm
Kut-Ku Cap;Kut-Ku Cap
Cephalos Helm;Cephalos Helm
Cephalos Cap;Cephalos Cap
Conga Helm;Conga Helm
Conga Cap;Conga Cap
Gypceros Helm;Gypceros Helm
Gypceros Cap;Gypceros Cap
Khezu Helm;Khezu Helm
Khezu Cap;Khezu Cap
Hermitaur Helm;Hermitaur Helm
Hermitaur Cap;Hermitaur Cap
Plesioth Helm;Plesioth Helm
Plesioth Cap;Plesioth Cap
Lobster Helm;Lobster Helm
Lobster Cap;Lobster Cap
Kut-Ku Helm D;Kut-Ku Helm D
Kut-Ku Cap D;Kut-Ku Cap D
Gypceros Helm D;Gypceros Helm D
Gypceros Cap D;Gypceros Cap D
Khezu Helm D;Khezu Helm D
Khezu Cap D;Khezu Cap D
Plesioth Helm D;Plesioth Helm D
Plesioth Cap D;Plesioth Cap D
Basarios Helm;Basarios Helm
Basarios Cap;Basarios Cap
Monoblos Helm;Monoblos Helm
Monoblos Cap;Monoblos Cap
Yian Garuga Helm;Yian Garuga Helm
Yian Garuga Cap;Yian Garuga Cap
Blango Helm;Blango Helm
Blango Cap;Blango Cap
Ceanataur Helm;Ceanataur Helm
Ceanataur Cap;Ceanataur Cap
Rathian Helm;Rathian Helm
Rathian Cap;Rathian Cap
Tigrex Helm;Tigrex Helm
Tigrex Cap;Tigrex Cap
Rathalos Helm;Rathalos Helm
Rathalos Cap;Rathalos Cap
Diablo Helm;Diablo Helm
Diablo Cap;Diablo Cap
Gravios Helm;Gravios Helm
Gravios Cap;Gravios Cap
Diablo Helm D;Diablo Helm D
Diablo Cap D;Diablo Cap D
Gravios Helm D;Gravios Helm D
Gravios Cap D;Gravios Cap D
Chaos Shroom;Chaoshroom
Mosswine Mask;Mosswine Mask
Felyne Mask;Felyne Mask
Bullfango Mask;Bullfango Mask
Giaprey Mask;Giaprey Mask
Velociprey Mask;Velociprey Mask
Red Piercing;Red Piercing
Blue Piercing;Blue Piercing
Yellow Piercing;Yellow Piercing
Black Piercing;Black Piercing
White Piercing;White Piercing
Felyne Piercing;Comrade Piercing
Garuga Mask;Garuga Mask
Bistro Cap;Bistro Cap
Genprey Mask;Genprey Mask
Black Belt Helm;Black Belt Helm
Shinobi Mask (Sun);Shinobi Mask (Sun)
Shinobi Mask (Moon);Shinobi Mask (Moon)
Guild Knight Feather;Guild Knight Feather
Guild Knight Mask;Guild Knight Mask
Guardian Helm;Guardian Helm
Guardian Mask;Guardian Mask
Maiden's Hat;Maiden's Hat
Designer Glasses;Designer Glasses
Helper Hood;Helper Hood
Healer Glasses;Healer Glasses
Ioprey Mask;Ioprey Mask
Remobra Face;Remobra Face
Melahoa Flower Hat;Melahoa Flower Hat
Melahoa Bloom;Melahoa Bloom
Makluva Hood;Makluva Hood
Makluva Gills;Makluva Gills
Hypnoc Helm;Hypno Helm
Hypnoc Cap;Hypno Cap
Obituary Testa;Obituary Testa
Obituary Caput;Obituary Caput
Butterfly Testa;Butterfly Testa
Butterfly Caput;Butterfly Caput
Black Head;Black Head
Black Face;Black Face
Death Stench Brain;Death Stench Brain
Death Stench Soul;Death Stench Soul
Volganos Helm;Lava Helm
Volganos Cap;Lava Cap
Mizuha Cap;Mizuha Cap
Extravagant Cap;Extravagant Cap
Kushala Glare;Kushala Glare
Kushala Snarl;Kushala Snarl
Kirin Horn;Kirin Horn
Kirin Crest;Kirin Crest
Guardian Spirit Mask;Guardian Spirit Mask
Carnage Mask;Carnage Mask
Auroros Helm;Auroros Helm
Genesis Headpiece;Genesis Headpiece
Borealis Crown;Borealis Crown
Glyph Crown;Glyph Crown
Empress Crown;Empress Crown
Empress Mask;Empress Mask
Indra Helm;Indra Helm
Steadfast Helm;Steadfast Helm
Kaiser Crown;Kaiser Crown
Kaiser Mask;Kaiser Mask
Red Lobster Helm;(dummy)Red Lobster Helm
Red Lobster Cap;(dummy)Red Lobster Cap
Monodevil Helm;Monodevil Helm
Monodevil Cap;Monodevil Cap
Rathian Heart Helm;Rathian Heart Helm
Rathian Heart Cap;Rathian Heart Cap
Rathalos Soul Helm;Rathalos Soul Helm
Rathalos Soul Cap;Rathalos Soul Cap
Mafumofu Hood S;Mafumofu Hood S
Leather Helm S;Leather Helm S
Chain Helm S;Chain Helm S
Hunter's Helm S;Hunter's Helm S
Hunter's Cap S;Hunter's Cap S
Bone Helm S;Bone Helm S
Bone Cap S;Bone Cap S
Battle Helm S;Battle Helm S
Battle Cap S;Battle Cap S
Velociprey Helm S;Velociprey Helm S
Velociprey Cap S;Velociprey Cap S
Vespoid Helm S;Vespoid Helm S
Vespoid Cap S;Vespoid Cap S
Hi-Metal Helm S;Hi-Metal Helm S
Hi-Metal Cap S;Hi-Metal Cap S
Hornetaur Helm S;Hornet Helm S
Hornetaur Cap S;Hornet Cap S
Genprey Helm S;Genprey Helm S
Genprey Cap S;Genprey Cap S
Ioprey Helm S;Ioprey Helm S
Ioprey Cap S;Ioprey Cap S
Kut-Ku Helm S;Kut-Ku Helm S
Kut-Ku Cap S;Kut-Ku Cap S
Cephalos Helm S;Cephalos Helm S
Cephalos Cap S;Cephalos Cap S
Conga Helm S;Conga Helm S
Conga Cap S;Conga Cap S
Gypceros Helm S;Gypceros Helm S
Gypceros Cap S;Gypceros Cap S
Khezu Helm S;Khezu Helm S
Khezu Cap S;Khezu Cap S
Hermitaur Helm S;Hermitaur Helm S
Hermitaur Cap S;Hermitaur Cap S
Hypnoc Helm S;Hypno Helm S
Hypnoc Cap S;Hypno Cap S
Basarios Helm S;Basarios Helm S
Basarios Cap S;Basarios Cap S
Plesioth Helm S;Plesioth Helm S
Plesioth Cap S;Plesioth Cap S
Monoblos Helm S;Monoblos Helm S
Monoblos Cap S;Monoblos Cap S
Garuga Helm S;Garuga Helm S
Garuga Cap S;Garuga Cap S
Blango Helm S;Blango Helm S
Blango Cap S;Blango Cap S
Ceanataur Helm S;Ceanataur Helm S
Ceanataur Cap S;Ceanataur Cap S
Rathian Helm S;Rathian Helm S
Rathian Cap S;Rathian Cap S
Naruga Helm S;Narga Helm S
Naruga Cap S;Narga Cap S
Tigrex Helm S;Tigrex Helm S
Tigrex Cap S;Tigrex Cap S
Rathalos Helm S;Rathalos Helm S
Rathalos Cap S;Rathalos Cap S
Diablo Helm S;Diablo Helm S
Diablo Cap S;Diablo Cap S
Gravios Helm S;Gravios Helm S
Gravios Cap S;Gravios Cap S
Leather Helm U;Leather Helm U
Chain Helm U;Chain Helm U
Hunter's Helm U;Hunter's Helm U
Hunter's Cap U;Hunter's Cap U
Bone Helm U;Bone Helm U
Bone Cap U;Bone Cap U
Battle Helm U;Battle Helm U
Battle Cap U;Battle Cap U
Giaprey Helm U;Giaprey Helm U
Giaprey Cap U;Giaprey Cap U
Vespoid Helm U;Vespoid Helm U
Vespoid Cap U;Vespoid Cap U
Hi-Metal Helm U;Hi-Metal Helm U
Hi-Metal Cap U;Hi-Metal Cap U
Hornetaur Helm U;Hornet Helm U
Hornetaur Cap U;Hornet Cap U
Genprey Helm U;Genprey Helm U
Genprey Cap U;Genprey Cap U
Ioprey Helm U;Ioprey Helm U
Ioprey Cap U;Ioprey Cap U
Kut-Ku Helm U;Kut-Ku Helm U
Kut-Ku Cap U;Kut-Ku Cap U
Cephalos Helm U;Cephalos Helm U
Cephalos Cap U;Cephalos Cap U
Conga Helm U;Conga Helm U
Conga Cap U;Conga Cap U
Gypceros Helm U;Gypceros Helm U
Gypceros Cap U;Gypceros Cap U
Khezu Helm U;Khezu Helm U
Khezu Cap U;Khezu Cap U
Hermitaur Helm U;Hermitaur Helm U
Hermitaur Cap U;Hermitaur Cap U
Basarios Helm U;Basarios Helm U
Basarios Cap U;Basarios Cap U
Plesioth Helm U;Plesioth Helm U
Plesioth Cap U;Plesioth Cap U
Blango Helm U;Blango Helm U
Blango Cap U;Blango Cap U
Ceanataur Helm U;Ceanataur Helm U
Ceanataur Cap U;Ceanataur Cap U
Diablo Helm U;Diablo Helm U
Diablo Cap U;Diablo Cap U
Gravios Helm U;Gravios Helm U
Gravios Cap U;Gravios Cap U
Skull Face;Skull Face
Black Belt Helm S;Black Belt Helm S
Shinobi Mask (Heaven);Shinobi Mask(Heaven)
Shinobi Mask (Earth);Shinobi Mask (Earth)
RdGuildGuardTricorne;RdGuildGuardTricorne
Red Guild Guard Mask;Red Guild Guard Mask
BlGuildGuardTricorne;BlGuildGuardTricorne
Blue GuildGuard Mask;Blue GuildGuard Mask
Red Guild Guard Hat;Red Guild Guard Hat
RedGuildGuardPiercng;RedGuildGuardPiercng
Blue Guild Guard Hat;Blue Guild Guard Hat
BluGuildGuardPiercng;BluGuildGuardPiercng
Devil Blos Helm;(dummy)Devil Blos Helm
Devil Blos Cap;(dummy)Devil Blos Cap
Jolly Roger Hat;(dummy)Jolly Roger Hat
Jolly Roger Cap;(dummy)Jolly Roger Cap
Golden Hair Tie;Golden Hair Tie
Puppet Master Mask;Puppet Master Mask
Obituary Testa S;Obituary Testa S
Obituary Caput S;Obituary Caput S
Butterfly Testa S;Butterfly Testa S
Butterfly Caput S;Butterfly Caput S
Death Stench Brain S;Death Stench Brain S
Death Stench Soul S;Death Stench Soul S
Supreme Mizuha Cap;Supreme Mizuha Cap
SuprmeExtravagantCap;SuprmeExtravagantCap
Kushala Glare S;Kushala Glare S
Kushala Snarl S;Kushala Snarl S
Kirin Horn S;Kirin Horn S
Kirin Crest S;Kirin Crest S
Auroros Helm Haku;Auroros Helm Haku
GenesisHeadpieceHaku;GenesisHeadpieceHaku
Borealis Crown Haku;Borealis Crown Haku
Glyph Crown Haku;Glyph Crown Haku
Ultimate Indra Helm;Ultimate Indra Helm
SupremeSteadfastHelm;SupremeSteadfastHelm
Kaiser Crown S;Kaiser Crown S
Kaiser Mask S;Kaiser Mask S
Dragon Head S;Dragonhead S
Dragon Face S;Dragonface S
Dark Akantor Mask;Dark Akantor Mask
Dark Akantor Fangs;Dark Akantor Fangs
Bistro Cap U;Bistro Cap U
Shinobi Mask (Sky);Shinobi Mask (Sky)
Shinobi Mask (Sea);Shinobi Mask (Sea)
Guardian Helm U;Guardian Helm U
Guardian Mask U;Guardian Mask U
Helper Hood U;Helper Hood U
Healer Beret U;Healer Beret U
Melahoa Flower Hat U;Melahoa Flower Hat U
Melahoa Bloom U;Melahoa Bloom U
Makluva Hood U;Makluva Hood U
Makluva Gills U;Makluva Gills U
Monodevil Helm U;Monodevil Helm U
Monodevil Cap U;Monodevil Cap U
Rathian Heart Helm U;Rathian Heart Helm U
Rathian Heart Cap U;Rathian Heart Cap U
Rathalos Soul Helm U;Rathalos Soul Helm U
Rathalos Soul Cap U;Rathalos Soul Cap U
Golden Moon Helm;Golden Moon Helm
Golden Moon Cap;Golden Moon Cap
Silver Sol Helm;Silver Sol Helm
Silver Sol Cap;Silver Sol Cap
Auroros Helm Ten;Auroros Helm Ten
Genesis Headpiece Ten;Genesis HeadpieceTen
Borealis Crown Ten;Borealis Crown Ten
Glyph Crown Ten;Glyph Crown Ten
Fatalis Head;Fatalis Head
Fatalis Face;Fatalis Face
White Fatalis Head;White Fatalis Head
White Fatalis Face;White Fatalis Face
Kut-Ku Helm X;Kut-Ku Helm X
Kut-Ku Cap X;Kut-Ku Cap X
Conga Helm X;Conga Helm X
Conga Cap X;Conga Cap X
Gypceros Helm X;Gypceros Helm X
Gypceros Cap X;Gypceros Cap X
Khezu Helm X;Khezu Helm X
Khezu Cap X;Khezu Cap X
Hermitaur Helm X;Hermitaur Helm X
Hermitaur Cap X;Hermitaur Cap X
Hypnoc Helm X;Hypno Helm X
Hypnoc Cap X;Hypno Cap X
Basarios Helm X;Basarios Helm X
Basarios Cap X;Basarios Cap X
Plesioth Helm X;Plesioth Helm X
Plesioth Cap X;Plesioth Cap X
Monoblos Helm X;Monoblos Helm X
Monoblos Cap X;Monoblos Cap X
Yian Garuga Helm X;Garuga Helm X
Yian Garuga Cap X;Garuga Cap X
Blango Helm X;Blango Helm X
Blango Cap X;Blango Cap X
Ceanataur Helm X;Ceanataur Helm X
Ceanataur Cap X;Ceanataur Cap X
Rathian Helm X;Rathian Helm X
Rathian Cap X;Rathian Cap X
Naruga Helm X;Narga Helm X
Naruga Cap X;Narga Cap X
Volganos Helm X;Lava Helm X
Volganos Cap X;Lava Cap X
Tigrex Helm X;Tigrex Helm X
Tigrex Cap X;Tigrex Cap X
Rathalos Helm X;Rathalos Helm X
Rathalos Cap X;Rathalos Cap X
Diablo Helm X;Diablo Helm X
Diablo Cap X;Diablo Cap X
Gravios Helm X;Gravios Helm X
Gravios Cap X;Gravios Cap X
Kut-Ku Helm Z;Kut-Ku Helm Z
Kut-Ku Cap Z;Kut-Ku Cap Z
Conga Helm Z;Conga Helm Z
Conga Cap Z;Conga Cap Z
Gypceros Helm Z;Gypceros Helm Z
Gypceros Cap Z;Gypceros Cap Z
Khezu Helm Z;Khezu Helm Z
Khezu Cap Z;Khezu Cap Z
Hermitaur Helm Z;Hermitaur Helm Z
Hermitaur Cap Z;Hermitaur Cap Z
Plesioth Helm Z;Plesioth Helm Z
Plesioth Cap Z;Plesioth Cap Z
Blango Helm Z;Blango Helm Z
Blango Cap Z;Blango Cap Z
Ceanataur Helm Z;Ceanataur Helm Z
Ceanataur Cap Z;Ceanataur Cap Z
Diablo Helm Z;Diablo Helm Z
Diablo Cap Z;Diablo Cap Z
Gravios Helm Z;Gravios Helm Z
Gravios Cap Z;Gravios Cap Z
Crystal Piercing;Chakra Piercing
True Golden Hair Tie;Golden Hair Tie Shin
TruePuppetMasterMask;PuppetMasterMaskShin
Black Belt Helm X;Black Belt Helm X
Black Belt Cap X;Black Belt Cap X
Obituary Testa X;Obituary Testa X
Obituary Caput X;Obituary Caput X
Butterfly Testa X;Butterfly Testa X
Butterfly Caput X;Butterfly Caput X
True Mizuha Cap;Mizuha Cap Shin
True Extravagant Cap;Extravagant Cap Shin
Kushala Glare X;Kushala Glare X
Kusha Snarl X;Kushala Snarl X
Kirin Horn X;Kirin Horn X
Kirin Crest X;Kirin Crest X
Empress Crown X;Empress Crown X
Empress Mask X;Empress Mask X
True Indra Helm;Indra Helm Shin
True Steadfast Helm;Steadfast Helm Shin
Kaiser Crown X;Kaiser Crown X
Kaiser Mask X;Kaiser Mask X
TrueGuardianSpritMask;GuardianSprtMaskShin
True Carnage Mask;Carnage Mask Shin
Dragon Head X;Dragonhead X
Dragon Face X;Dragonface X
Ucamulbas Mask;Dark Ukanlos Mask
Ucamulbas Fangs;Dark Ukanlos Fangs
Melahoa Flower Hat Z;Melahoa Flower Hat Z
Melahoa Bloom Z;Melahoa Bloom Z
Makluva Hood Z;Makluva Hood Z
Makluva Gills Z;Makluva Gills Z
Rathian Heart Helm Z;Rathian Heart Helm Z
Rathian Heart Cap Z;Rathian Heart Cap Z
Rathalos Soul Helm Z;Rathalos Soul Helm Z
Rathalos Soul Cap Z;Rathalos Soul Cap Z
Golden Moon Helm Z;Golden Moon Helm Z
Golden Moon Cap Z;Golden Moon Cap Z
Silver Sol Helm Z;Silver Sol Helm Z
Silver Sol Cap Z;Silver Sol Cap Z
Auroros Helm Kyoku;Auroros Helm Goku
GenesisHeadpieceKyoku;GenesisHeadpieceGoku
Borealis Crown Kyoku;Borealis Crown Goku
Glyph Crown Kyoku;Glyph Crown Goku
Fatalis Head Z;Fatalis Head Z
Fatalis Face Z;Fatalis Face Z
White Fatalis Head Z;White Fatalis Head Z
White Fatalis Face Z;White Fatalis Face Z
Aspire Piercing;Ambitious Piercing
Sword Saint Piercing;Sword Saint Piercing
Eagle Eye Piercing;Hawkeye Piercing
Barrage Piercing;Barrage Piercing
