key;value
";Leg-guards:";";Leg-guards:"
Mafumofu Boots;Mafumofu Boots
Green Pants;Green Pants
Blue Pants;Blue Pants
Hunter Greaves;Hunter's Greaves
Hunter Leggings;Hunter's Leggings
Bone Greaves;Bone Greaves
Bone Leggings;Bone Leggings
Giaprey Greaves;Giaprey Greaves
Giaprey Leggings;Giaprey Leggings
Battle Greaves;Battle Greaves
Battle Leggings;Battle Leggings
Silver Metal Boots;Silver Metal Boots
Dark Metal Boots;Dark Metal Boots
Velociprey Greaves;Velociprey Greaves
Velociprey Leggings;Velociprey Leggings
Vespoid Greaves;Vespoid Greaves
Vespoid Leggings;Vespoid Leggings
Hi-Metal Greaves;Hi-Metal Greaves
Hi-Metal Leggings;Hi-Metal Leggings
Hornet Greaves;Hornet Greaves
Hornet Leggings;Hornet Leggings
Genprey Greaves;Genprey Greaves
Genprey Leggings;Genprey Leggings
Chrome Metal Boots;Chrome Metal Boots
Ioprey Greaves;Ioprey Greaves
Ioprey Leggings;Ioprey Leggings
Kut-Ku Greaves;Kut-Ku Greaves
Kut-Ku Leggings;Kut-Ku Leggings
Cephalos Greaves;Cephalos Greaves
Cephalos Leggings;Cephalos Leggings
Conga Greaves;Conga Greaves
Conga Leggings;Conga Leggings
Gypceros Greaves;Gypceros Greaves
Gypceros Leggings;Gypceros Leggings
Khezu Greaves;Khezu Greaves
Khezu Leggings;Khezu Leggings
Hermitaur Greaves;Hermitaur Greaves
Hermitaur Leggings;Hermitaur Leggings
Plesioth Greaves;Plesioth Greaves
Plesioth Leggings;Plesioth Leggings
Lobster Greaves;Lobster Greaves
Lobster Leggings;Lobster Leggings
Kut-Ku Greaves D;Kut-Ku Greaves D
Kut-Ku Leggings D;Kut-Ku Leggings D
Gypceros Greaves D;Gypceros Greaves D
Gypceros Leggings D;Gypceros Leggings D
Khezu Greaves D;Khezu Greaves D
Khezu Leggings D;Khezu Leggings D
Plesioth Greaves D;Plesioth Greaves D
Plesioth Leggings D;Plesioth Leggings D
