key;value
";Waist-pieces:";";Waist-pieces:"
Mafumofu Coat;Mafumofu Coat
Light Belt;Light Belt
Leather Belt;Leather Belt
Iron Belt;Iron Belt
Chain Belt;Chain Belt
Hunter Tasset;Hunter's Tasset
Hunter Coat;Hunter's Coat
Bone Tasset;Bone Tasset
Bone Coat;Bone Coat
Giaprey Tasset;Giaprey Tasset
Giaprey Coat;Giaprey Coat
Battle Tasset;Battle Tasset
Battle Coat;Battle Coat
Hide Belt;Hide Belt
Velociprey Tasset;Velociprey Tasset
Velociprey Coat;Velociprey Coat
Vespoid Tasset;Vespoid Tasset
Vespoid Coat;Vespoid Coat
Hi-Metal Tasset;Hi-Metal Tasset
Hi-Metal Coat;Hi-Metal Coat
Hornet Tasset;Hornet Tasset
Hornet Coat;Hornet Coat
Genprey Tasset;Genprey Tasset
Genprey Coat;Genprey Coat
Chrome Metal Coat;Chrome Metal Coat
Steel Belt;Steel Belt
Ioprey Tasset;Ioprey Tasset
Ioprey Coat;Ioprey Coat
Kut-Ku Tasset;Kut-Ku Tasset
Kut-Ku Coat;Kut-Ku Coat
Cephalos Tasset;Cephalos Tasset
Cephalos Coat;Cephalos Coat
Conga Tasset;Conga Tasset
Conga Coat;Conga Coat
Gypceros Tasset;Gypceros Tasset
Gypceros Coat;Gypceros Coat
Khezu Tasset;Khezu Tasset
Khezu Coat;Khezu Coat
Hermitaur Tasset;Hermitaur Tasset
Hermitaur Coat;Hermitaur Coat
Lobster Coil;Lobster Coil
Lobster Coat;Lobster Coat
Kut-Ku Tasset D;Kut-Ku Tasset D
Kut-Ku Coat D;Kut-Ku Coat D
Gypceros Tasset D;Gypceros Tasset D
Gypceros Coat D;Gypceros Coat D
Khezu Tasset D;Khezu Tasset D
Khezu Coat D;Khezu Coat D
Basarios Tasset;Basarios Tasset
Basarios Coat;Basarios Coat
Monoblos Coil;Monoblos Coil
Monoblos Coat;Monoblos Coat
Garuga Tasset;Garuga Tasset
Garuga Coat;Garuga Coat
Blango Tasset;Blango Tasset
Blango Coat;Blango Coat
Ceanataur Tasset;Ceanataur Tasset
Ceanataur Coat;Ceanataur Coat
Rathian Tasset;Rathian Tasset
Rathian Coat;Rathian Coat
Tigrex Tasset;Tigrex Tasset
Tigrex Coat;Tigrex Coat
Rathalos Tasset;Rathalos Tasset
Rathalos Coat;Rathalos Coat
Diablo Coil;Diablo Coil
Diablo Coat;Diablo Coat
Gravios Tasset;Gravios Tasset
Gravios Coat;Gravios Coat
Diablo Coil D;Diablo Coil D
Diablo Coat D;Diablo Coat D
Gravios Tasset D;Gravios Tasset D
Gravios Coat D;Gravios Coat D
Mosswine Hip;Mosswine Hip
Bistro Apron;Bistro Apron
Black Belt Tasset;Black Belt Tasset
Shinobi Belt (Sun);Shinobi Belt (Sun)
Shinobi Belt (Moon);Shinobi Belt (Moon)
Guild Knight Kilt;Guild Knight Coat
Guild Knight Coat;Guild Knight Kilt
Guardian Coil;Guardian Coil
Guardian Coat;Guardian Coat
Maiden's Skirt;Maiden's Skirt
Personal Frills;Personal Frills
Helper Skirt;Helper Skirt
Healer Frills;Healer Frills
Remobra Belt;Remobra Belt
Melahoa Skirt;Melahoa Skirt
Melahoa Trunk;Melahoa Trunk
Makluva Coat;Makluva Coat
Makluva Fin;Makluva Fin
Hypnoc Tasset;Hypno Tasset
Hypnoc Coat;Hypno Coat
Obituary Anka;Obituary Anca
Obituary Cocusa;Obituary Cocusa
Butterfly Anka;Butterfly Anca
Butterfly Cocusa;Butterfly Cocusa
Black Spine;Black Spine
Black Scale;Black Scale
Death Stench Bowels;Death Stench Bowels
Death Stench Belly;Death Stench Belly
Volganos Tasset;Lava Tasset
Volganos Coat;Lava Coat
Mizuha Sash;Mizuha Sash
Extravagant Coat;Extravagant Coat
Kushala Cocoon;Kushala Cocoon
Kushala Wind Wrap;Kushala Wind Wrap
Kirin Hoop;Kirin Hoop
Kirin Shorts;Kirin Shorts
Guardian Spirit Coil;Guardian Spirit Coil
Carnage Wrap;Carnage Wrap
Auroros Tasset;Auroros Tasset
Genesis Tasset;Genesis Tasset
Borealis Tasset;Borealis Tasset
Glyph Tasset;Glyph Tasset
Red Borealis Tasset;Red Borealis Tasset
Red Glyph Tasset;Red Glyph Tasset
Empress Tasset;Empress Tasset
Empress Coat;Empress Coat
Indra Wrap;Indra Wrap
Steadfast Coat;Steadfast Coat
Kaiser Tasset;Kaiser Tasset
Kaiser Coat;Kaiser Coat
Red Lobster Tasset;(dummy)Red Lobster Tasset
Red Lobster Coat;(dummy)Red Lobster Coat
Monodevil Coil;Monodevil Coil
Monodevil Coat;Monodevil Coat
Rathian Heart Coil;Rathian Heart Coil
Rathian Heart Coat;Rathian Heart Coat
Rathalos Soul Coil;Rathalos Soul Coil
Rathalos Soul Coat;Rathalos Soul Coat
Mafumofu Coat S;Mafumofu Coat S
Leather Belt S;Leather Belt S
Chain Belt S;Chain Belt S
Hunter Tasset S;Hunter's Tasset S
Hunter Coat S;Hunter's Coat S
Bone Tasset S;Bone Tasset S
Bone Coat S;Bone Coat S
Battle Tasset S;Battle Tasset S
Battle Coat S;Battle Coat S
Velociprey Tasset S;Velociprey Tasset S
Velociprey Coat S;Velociprey Coat S
Vespoid Tasset S;Vespoid Tasset S
Vespoid Coat S;Vespoid Coat S
Hi-Metal Tasset S;Hi-Metal Tasset S
Hi-Metal Coat S;Hi-Metal Coat S
Steel Belt S;Steel Belt S
Hornet Tasset S;Hornet Tasset S
Hornet Coat S;Hornet Coat S
Genprey Tasset S;Genprey Tasset S
Genprey Coat S;Genprey Coat S
Ioprey Tasset S;Ioprey Tasset S
Ioprey Coat S;Ioprey Coat S
Kut-Ku Tasset S;Kut-Ku Tasset S
Kut-Ku Coat S;Kut-Ku Coat S
Cephalos Tasset S;Cephalos Tasset S
Cephalos Coat S;Cephalos Coat S
Conga Tasset S;Conga Tasset S
Conga Coat S;Conga Coat S
Gypceros Tasset S;Gypceros Tasset S
Gypceros Coat S;Gypceros Coat S
Khezu Tasset S;Khezu Tasset S
Khezu Coat S;Khezu Coat S
Hermitaur Tasset S;Hermitaur Tasset S
Hermitaur Coat S;Hermitaur Coat S
Hypnoc Tasset S;Hypno Tasset S
Hypnoc Coat S;Hypno Coat S
Basarios Tasset S;Basarios Tasset S
Basarios Coat S;Basarios Coat S
Plesioth Tasset S;Plesioth Tasset S
Plesioth Coat S;Plesioth Coat S
Monoblos Coil S;Monoblos Coil S
Monoblos Coat S;Monoblos Coat S
Garuga Tasset S;Garuga Tasset S
Garuga Coat S;Garuga Coat S
Blango Tasset S;Blango Tasset S
Blango Coat S;Blango Coat S
Ceanataur Tasset S;Ceanataur Tasset S
Ceanataur Coat S;Ceanataur Coat S
Rathian Tasset S;Rathian Tasset S
Rathian Coat S;Rathian Coat S
Naruga Tasset S;Narga Tasset S
Naruga Coat S;Narga Coat S
Tigrex Tasset S;Tigrex Tasset S
Tigrex Coat S;Tigrex Coat S
Rathalos Tasset S;Rathalos Tasset S
Rathalos Coat S;Rathalos Coat S
Diablo Coil S;Diablo Coil S
Diablo Coat S;Diablo Coat S
Gravios Tasset S;Gravios Tasset S
Gravios Coat S;Gravios Coat S
Leather Belt U;Leather Belt U
Chain Belt U;Chain Belt U
Hunter Tasset U;Hunter's Tasset U
Hunter Coat U;Hunter's Coat U
Bone Tasset U;Bone Tasset U
Bone Coat U;Bone Coat U
Battle Tasset U;Battle Tasset U
Battle Coat U;Battle Coat U
Giaprey Tasset U;Giaprey Tasset U
Giaprey Coat U;Giaprey Coat U
Vespoid Tasset U;Vespoid Tasset U
Vespoid Coat U;Vespoid Coat U
Hi-Metal Tasset U;Hi-Metal Tasset U
Hi-Metal Coat U;Hi-Metal Coat U
Steel Belt U;Steel Belt U
Hornet Tasset U;Hornet Tasset U
Hornet Coat U;Hornet Coat U
Genprey Tasset U;Genprey Tasset U
Genprey Coat U;Genprey Coat U
Ioprey Tasset U;Ioprey Tasset U
Ioprey Coat U;Ioprey Coat U
Kut-Ku Tasset U;Kut-Ku Tasset U
Kut-Ku Coat U;Kut-Ku Coat U
Cephalos Tasset U;Cephalos Tasset U
Cephalos Coat U;Cephalos Coat U
Conga Tasset U;Conga Tasset U
Conga Coat U;Conga Coat U
Gypceros Tasset U;Gypceros Tasset U
Gypceros Coat U;Gypceros Coat U
Khezu Tasset U;Khezu Tasset U
Khezu Coat U;Khezu Coat U
Hermitaur Tasset U;Hermitaur Tasset U
Hermitaur Coat U;Hermitaur Coat U
Basarios Tasset U;Basarios Tasset U
Basarios Coat U;Basarios Coat U
Blango Tasset U;Blango Tasset U
Blango Coat U;Blango Coat U
Ceanataur Tasset U;Ceanataur Tasset U
Ceanataur Coat U;Ceanataur Coat U
Diablo Coil U;Diablo Coil U
Diablo Coat U;Diablo Coat U
Gravios Tasset U;Gravios Tasset U
Gravios Coat U;Gravios Coat U
Black Belt Tasset S;Black Belt Tasset S
Shinobi Belt(Heaven);Shinobi Belt(Heaven)
Shinobi Belt (Earth);Shinobi Belt (Earth)
Red Guild Guard Coil;Red Guild Guard Coil
Red Guild Guard Coat;Red Guild Guard Coat
