name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Mafumofu Mittens;1;1;1;0;0;1;1;0;0;0;0;3;Snow Res;1;Protection;2;Heat Res;-2;Cold Res;4;;;Anteka Pelt;1;;;;;;
Leather Vambraces;1;1;1;0;0;1;2;2;0;0;0;0;Throw;2;Backpackng;2;Gathering;3;Alchemy;2;;;Sm Monster Bone;1;Anteka Pelt;1;;;;
Chain Vambraces;1;1;1;0;0;1;4;2;-2;0;2;1;Paralysis;-1;Health;2;Hunger;2;Map;2;Whim;2;Iron Ore;2;Sm Monster Bone;3;;;;
Hunter Vambraces;1;1;1;0;1;1;8;0;-4;0;0;0;Faint;-1;Health;3;PsychicVis;3;Carving;2;;;Iron Ore;2;Bullfango Pelt;1;Ivy;2;;
Hunter Guards;1;1;1;0;2;1;6;2;-2;0;2;2;Faint;-1;PsychicVis;3;Precision;3;Carving;2;;;Iron Ore;2;Bullfango Pelt;1;Ivy;2;;
Bone Vambraces;1;1;1;0;1;2;14;2;-2;-2;2;-2;Gluttony;3;Anti-Theft;2;Map;-1;PsychicVis;1;Horn;2;Sm Monster Bone;5;Anteka Pelt;2;Giaprey Scale;1;;
Bone Guards;1;1;1;0;2;2;8;5;0;0;5;-1;Gluttony;3;Anti-Theft;2;Map;-1;PsychicVis;1;BBQ;2;Sm Monster Bone;5;Anteka Pelt;2;Giaprey Scale;1;;
Giaprey Vambraces;1;1;1;0;1;2;16;0;1;-1;1;3;Snow Res;3;Fire Res;-2;Ice Res;2;PsychicVis;2;;;Giaprey Scale;2;Iron Ore;5;Anteka Pelt;1;;
Giaprey Guards;1;1;1;0;2;2;8;1;3;0;3;4;Snow Res;3;PelletSAdd;2;Fire Res;-2;PsychicVis;2;;;Giaprey Scale;2;Iron Ore;5;Anteka Pelt;1;;
Battle Vambraces;1;1;1;0;1;2;16;2;-2;0;-2;-1;SwdShrpner;2;Guard;2;Hunger;-1;Attack;2;PsychicVis;2;Kelbi Hide;1;Iron Ore;3;Earth Crystal;2;Whetstone;2
Battle Guards;1;1;1;0;2;2;10;4;0;2;0;0;Load;2;NormalS Up;2;Hunger;-1;Attack;2;PsychicVis;2;Kelbi Hide;1;Iron Ore;3;Huskberry;10;Sm Bone Husk;3
Velociprey Braces;1;2;1;0;1;2;20;1;1;-1;1;0;Paralysis;-1;Faint;3;SwdShrpner;1;PsychicVis;2;MixSucRate;2;Velociprey Scale;3;Velociprey Hide;2;Earth Crystal;1;Disk Stone;3
Velociprey Guards;1;2;1;0;2;2;10;3;3;0;3;1;Paralysis;-1;Faint;3;PelletS Up;2;PsychicVis;1;Shot Mix;2;Velociprey Scale;3;Velociprey Hide;2;Earth Crystal;1;Disk Stone;3
Vespoid Vambraces;1;1;1;0;1;3;20;-6;2;2;-5;-4;Paralysis;2;Poison;-1;Backpackng;4;Everlastng;2;;;Vespoid Wing;3;Iron Ore;3;Earth Crystal;2;;
Vespoid Guards;1;1;1;0;2;3;10;-5;5;2;-4;-3;Paralysis;2;Poison;-1;Backpackng;4;Everlastng;2;;;Vespoid Shell;4;Iron Ore;3;Earth Crystal;2;;
Hi-Metal Vambraces;1;1;1;0;1;3;20;-2;3;0;-2;-1;Health;3;Whim;2;Stamina;-2;Gunnery;2;;;Machalite Ore;3;Iron Ore;4;Carpenterbug;2;;
Hi-Metal Guards;1;1;1;0;2;3;10;0;5;0;0;0;Health;3;CragS Add;1;Stamina;-2;Gunnery;3;;;Machalite Ore;3;Iron Ore;4;Carpenterbug;2;;
Hornet Vambraces;1;2;1;0;1;3;22;-6;-5;2;-1;-5;Protection;-2;HearProtct;2;Dragon Res;2;Gathering;3;;;Hornetaur Wing;3;Hornetaur Shell;3;Iron Ore;5;Monster Fluid;1
Hornet Guards;1;2;1;0;2;3;11;-5;-3;3;2;-4;Protection;-2;HearProtct;3;Dragon Res;2;Gathering;2;;;Hornetaur Wing;3;Hornetaur Shell;3;Iron Ore;5;Monster Fluid;1
Genprey Vambraces;1;2;1;0;1;3;22;2;3;-1;-2;-2;Paralysis;3;Poison;-1;Health;3;SwdShrpner;2;;;Genprey Fang;5;Genprey Scale;4;Iron Ore;2;Kut-Ku Scale;1
Genprey Guards;1;2;1;0;2;3;11;4;5;0;0;0;Paralysis;3;Rec Speed;-1;PelletSAdd;4;Spc Attack;1;;;Genprey Fang;5;Genprey Scale;4;Iron Ore;2;Kut-Ku Scale;1
Steel Vambraces;1;1;1;0;1;3;24;2;-2;0;2;0;Guard;2;Map;4;PsychicVis;1;Stamina;-2;;;Machalite Ore;10;Iron Ore;10;Disk Stone;6;;
