name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Mafumofu Jacket;1;1;0;0;0;1;1;0;0;0;0;3;Protection;2;Ice Res;1;Heat Res;-2;Cold Res;4;;;Anteka Pelt;1;;;;;;
Leather Armor;1;1;0;0;0;1;2;2;0;0;0;0;Throw;2;Backpackng;2;Gathering;2;MixSucRate;2;Cooking;-1;Disk Stone;1;Anteka Pelt;1;;;;
Chain Mail;1;1;0;0;0;1;4;2;-2;0;2;1;Paralysis;-1;Health;3;Hunger;2;Map;1;Whim;2;Iron Ore;3;Anteka Pelt;1;;;;
Hunter's Mail;1;1;0;0;1;1;8;0;-4;0;0;0;Faint;-1;PsychicVis;3;Carving;2;BBQ;3;;;Iron Ore;3;Bullfango Pelt;1;Disk Stone;1;;
Hunter's Vest;1;1;0;0;2;1;6;2;-2;0;2;2;Faint;-1;NormalS Up;3;PsychicVis;2;Carving;2;;;Iron Ore;3;Bullfango Pelt;1;Disk Stone;1;;
Bone Mail;1;1;0;0;1;2;14;2;-2;-2;2;-2;Anti-Theft;3;Map;-1;PsychicVis;1;Alchemy;2;Horn;2;Brute Bone;3;Bullfango Pelt;1;Giaprey Hide;1;;
Bone Vest;1;1;0;0;2;2;8;5;0;0;5;-1;Anti-Theft;3;Map;-1;PsychicVis;1;Alchemy;2;BBQ;2;Brute Bone;3;Bullfango Pelt;1;Giaprey Hide;1;;
Giaprey Mail;1;2;1;0;1;2;16;0;1;-1;1;3;Snow Res;2;Guard;2;Fire Res;-1;PsychicVis;2;;;Giadrome Hide;1;Earth Crystal;3;Giaprey Scale;3;;
Giaprey Vest;1;2;1;0;2;2;8;1;3;0;3;4;Snow Res;2;PelletS Up;2;Fire Res;-1;PsychicVis;2;;;Giadrome Hide;1;Earth Crystal;3;Giaprey Scale;3;;
Battle Mail;1;2;0;0;1;2;16;2;-2;0;-2;-1;Health;2;SwdShrpner;3;Hunger;-2;Attack;2;;;Kelbi Hide;2;Velociprey Scale;1;Earth Crystal;3;Whetstone;5
Battle Vest;1;2;0;0;2;2;10;4;0;2;0;0;Load;3;Hunger;-2;Attack;2;Precision;2;;;Kelbi Hide;2;Velociprey Scale;1;Huskberry;20;Sm Bone Husk;5
Velociprey Mail;1;2;0;0;1;2;20;1;1;-1;1;1;Paralysis;-2;Faint;3;SwdShrpner;2;MixSucRate;2;;;Velociprey Hide;2;Velociprey Scale;3;Iron Ore;5;Bullfango Pelt;1
Velociprey Vest;1;2;0;0;2;2;10;3;3;0;3;1;Paralysis;-2;Faint;3;PelletSAdd;2;Shot Mix;2;;;Velociprey Hide;2;Velociprey Scale;3;Iron Ore;5;Bullfango Pelt;1
Vespoid Mail;1;1;0;0;1;3;20;-6;2;2;-5;-4;Paralysis;3;Poison;-2;MixSucRate;2;Everlastng;2;;;Vespoid Wing;5;Machalite Ore;1;Carpenterbug;3;;
