name;hr;village;slots;skill_one;skill_one_points;skill_two;skill_two_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four;alt_material_one;alt_amount_one;alt_material_two;alt_amount_two;alt_material_three;alt_amount_three;alt_material_four;alt_amount_four
Attack Jewel;1;1;1;Attack;1;;;Suiko Jewel;1;Power Seed;1;Kut-Ku Scale;1;;;;;;;;;;
Fierce Jewel;1;1;2;Attack;3;Defense;-1;Akito Jewel;1;Fire Wyvern Claw;1;Demondrug;2;;;;;;;;;;
Strongest Jewel;8;10;3;Attack;5;Defense;-1;LapisLazuliJewel;1;HrdFireWyvernClw;4;Mega Demondrug;3;Lthr Pelagus Plt;2;;;;;;;;
Defense Jewel;1;1;1;Defense;1;;;Suiko Jewel;1;Sm Hermitaur Shl;2;;;;;;;;;;;;
Turtle Jewel;3;5;2;Defense;3;All Resist;-1;BattlefieldJewel;1;HrdHermitaurClaw;1;;;;;Akito Jewel;1;Blk Gravios Shl;1;Hermitaur Claw;1;;
Steadfast Jewel;1;1;1;Faint;1;Paralysis;-1;Suiko Jewel;1;Velociprey Fang;2;;;;;;;;;;;;
Anti-Faint Jewel;2;3;2;Faint;3;Paralysis;-1;Akito Jewel;1;Velocidrome Claw;2;Pur Rubbery Hide;1;;;;;;;;;;
Steadfast Jewel+;8;10;1;Faint;2;;;BattlefieldJewel;1;LthrC.BlangoTail;1;ThkBullfangoPelt;2;;;;;;;;;;
Paralysis Jewel;1;1;1;Paralysis;1;Poison;-1;Suiko Jewel;1;Genprey Fang;1;;;;;;;;;;;;
AntiParalyzJewel;1;1;2;Paralysis;3;Poison;-1;Akito Jewel;1;Paralysis Sac;1;;;;;;;;;;;;
Paralysis Jewel+;7;10;1;Paralysis;2;;;BattlefieldJewel;1;VespoidQn'sCrown;1;Thunderbug Jelly;2;;;;;;;;;;
Pep Jewel;1;1;1;Sleep;1;Water Res;-1;Suiko Jewel;1;Sleep Herb;2;;;;;;;;;;;;
Jolt Jewel;1;1;1;Sleep;2;;;Akito Jewel;1;Sleep Sac;1;Sleepyfish;2;;;;;;;;;;
Antidote Jewel;2;4;1;Poison;1;Faint;-1;Suiko Jewel;1;Ioprey Fang;2;;;;;;;;;;;;
Antivenin Jewel;2;4;2;Poison;3;Faint;-1;Akito Jewel;1;Poison Sac;2;Herbal Medicine;2;;;;;;;;;;
Antidote Jewel+;7;10;1;Poison;2;;;BattlefieldJewel;1;DeadlyPoisonSac;1;SpecRemobraSkin+;2;;;;;;;;;;
Retroviral Jewel;1;1;1;Antiseptic;1;Sneak;-1;Suiko Jewel;1;Conga Pelt;2;Bitterbug;1;;;;;;;;;;
Antiviral Jewel;1;1;1;Antiseptic;2;;;Akito Jewel;1;Congalala Pelt;2;Antiseptic Stone;2;;;BattlefieldJewel;1;HrdCongalalaPlt+;1;;;;
Tireless Jewel;3;5;1;Fatigue;2;;;LapisLazuliJewel;1;ThckFireDrgnScl;2;Energy Drink;1;;;BattlefieldJewel;1;Fire Drgn Webbng;1;Sunset Herb;3;;
Anchor Jewel;2;4;1;Quake Res;1;Sleep;-1;Akito Jewel;1;Blangonga Pelt;1;Power Pill;1;;;;;;;;;;
Tectonic Jewel;4;6;2;Quake Res;3;Sleep;-1;LapisLazuliJewel;1;Hard Gaoren Claw;1;;;;;BattlefieldJewel;1;Gaoren Pincer;1;Blangonga Tail;1;;
Snowblower Jewel;1;1;1;Snow Res;1;Terrain;-1;Suiko Jewel;1;Giaprey Scale;2;;;;;;;;;;;;
Snowplow Jewel;2;4;2;Snow Res;3;Terrain;-1;Akito Jewel;1;Blangonga Fang;1;;;;;;;;;;;;
SnowblowerJewel+;8;10;1;Snow Res;2;;;BattlefieldJewel;1;LeathrBlangoTail;1;Giaprey Scale+;3;;;;;;;;;;
