name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Mafumofu Hood;1;1;0;0;0;1;1;0;0;0;0;3;Protection;2;Heat Res;-2;Cold Res;4;PsychicVis;3;;;Anteka Pelt;1;;;;;;
Leather Helm;1;1;1;0;0;1;2;2;0;0;0;0;Throw;2;Backpackng;1;Gathering;2;Shot Mix;2;Cooking;-2;Disk Stone;1;;;;;;
Chain Helm;1;1;1;0;0;1;4;2;-2;0;2;1;Paralysis;-1;Health;2;Backpackng;2;Map;2;Whim;2;Iron Ore;2;Sm Monster Bone;2;;;;
Hunter's Helm;1;1;1;0;0;1;8;0;-4;0;0;0;Faint;-1;Health;3;PsychicVis;3;Carving;2;;;Iron Ore;2;Bullfango Pelt;1;Kelbi Hide;2;;
Hunter's Cap;1;1;1;0;0;1;6;2;-2;0;2;2;Faint;-1;PsychicVis;3;Precision;3;Carving;2;;;Iron Ore;2;Bullfango Pelt;1;Kelbi Hide;2;;
Protection Piercing;1;2;0;0;0;2;12;0;0;0;0;0;Auto-Guard;10;;;;;;;;;Machalite Ore;1;Kut-Ku Scale;2;Velociprey Fang;4;Iron Ore;5
Bone Helm;1;2;1;0;0;2;14;2;-2;-2;2;-2;Anti-Theft;2;Map;-2;PsychicVis;1;Alchemy;3;Horn;2;Unknown Skull;1;Blango Pelt;1;;;;
Bone Cap;1;2;1;0;0;2;8;5;0;0;5;-1;Anti-Theft;2;Map;-1;PsychicVis;1;Alchemy;3;BBQ;2;Unknown Skull;1;Blango Pelt;1;;;;
Giaprey Helm;1;1;1;0;0;2;16;0;1;-1;1;3;Snow Res;3;Fire Res;-2;Ice Res;2;PsychicVis;2;;;Giaprey Scale;2;Iron Ore;4;Anteka Antlers;1;;
Giaprey Cap;1;1;1;0;0;2;8;1;3;0;3;4;Snow Res;3;PelletSAdd;2;Fire Res;-2;PsychicVis;2;;;Giaprey Scale;2;Iron Ore;4;Anteka Antlers;1;;
