english;spanish;french;italian;german;japanese;chinese
Mafumofu Mittens;Mitones Mafumofu;Mitaines Mafumofu;Guanti Mafumofu;Mafumofu-Fäustlinge;;
Leather Vambraces;Brazales de Cuero;Avant-bras en cuir;Parabraccia di Cuoio;Leder-Armschienen;;
Chain Vambraces;Brazales Cota Malla;Avant-bras en maille;Parabraccia Maglia;Ketten-Armschienen;;
Hunter's Vambraces;Brazales de Cazador;Avt-bras de chasseur;Parabraccia Cacciat.;Jäger-Armschienen;;
Hunter's Guards;Guardabrazos Cazador;Gardes de chasseur;Protezioni Cacciat.;Jäger-Armschutz;;
Bone Vambraces;Brazales de Hueso;Avant-bras d'os;Parabraccia d’Osso;Knochen-Armschienen;;
Bone Guards;Guardabrazos Hueso;Gardes d'os;Protezioni d’Osso;Knochen-Armschutz;;
Giaprey Vambraces;Brazales Giaprey;Avant-bras Giaprey;Parabraccia Giaprey;Giaprey-Armschienen;;
Giaprey Guards;Guard. Giaprey;Gardes Giaprey;Protezioni Giaprey;Giaprey-Armschutz;;
Battle Vambraces;Brazales de Combate;Avant-bras de combat;Parabr. Battaglia;Kampf-Armschienen;;
Battle Guards;Guardabrazos Combate;Gardes de combat;Protez. Battaglia;Kampf-Armschutz;;
Velociprey Braces;Brazales Velociprey;Avt-bras Velociprey;Parabr. Velociprey;VelocipreyArmschiene;;
Velociprey Guards;Guardabr. Velociprey;Gardes Velociprey;Protez. Velociprey;Velociprey-Armschutz;;
Vespoid Vambraces;Brazales de Vespoid;Avant-bras Vespoid;Parabraccia Vespoid;Vespoid-Armschienen;;
Vespoid Guards;Guardabrazos Vespoid;Gardes Vespoid;Protezioni Vespoid;Vespoid-Armschutz;;
Hi-Metal Vambraces;Brazales Megametal;Avt-bras haut-métal;Parabraccia Hi-Metal;HochmetallArmschiene;;
Hi-Metal Guards;Guardabr. Megametal;Gardes haut-métal;Protezioni Hi-Metal;Hochmetall-Armschutz;;
Hornet Vambraces;Brazales de Hornet.;Avant-bras Hornet;Parabraccia Hornet;HornissenArmschienen;;
Hornet Guards;Guardab. de Hornet.;Gardes Hornet;Protezioni Hornet;Hornissen-Armschutz;;
Genprey Vambraces;Brazales de Genprey;Avant-bras Genprey;Parabraccia Genprey;Genprey-Armschienen;;
Genprey Guards;Guardabrazos Genprey;Gardes Genprey;Protezioni Genprey;Genprey-Armschutz;;
Steel Vambraces;Brazales de acero;Avant-bras d'acier;Parabraccia acciaio;Stahl-Armschienen;;
Ioprey Vambraces;Brazales de Ioprey;Avant-bras Ioprey;Parabraccia Ioprey;Ioprey-Armschienen;;
Ioprey Guards;Guardabrazos Ioprey;Gardes Ioprey;Protezioni Ioprey;Ioprey-Armschutz;;
Kut-Ku Vambraces;Brazales de Kut-Ku;Avant-bras Kut-Ku;Parabraccia Kut-Ku;Kut-Ku-Armschienen;;
Kut-Ku Guards;Guardabr. de Kut-Ku;Gardes Kut-Ku;Protezioni Kut-Ku;Kut-Ku-Armschutz;;
Cephalos Vambraces;Brazales Cephalos;Avant-bras Cephalos;Parabraccia Cephalos;Cephalos-Armschienen;;
Cephalos Guards;Guardabr. Cephalos;Gardes Cephalos;Protezioni Cephalos;Cephalos-Armschutz;;
Conga Vambraces;Braz. de Conga;Avant-bras Conga;Parabraccia Conga;Conga-Armschienen;;
Conga Guards;Guard. de Conga;Gardes Conga;Protezioni di Conga;Conga-Armschutz;;
Gypceros Vambraces;Brazales de Gypceros;Avant-bras Gypceros;Parabraccia Gypceros;Gypceros-Armschienen;;
Gypceros Guards;Guardabr. Gypceros;Gardes Gypceros;Protezioni Gypceros;Gypceros-Armschutz;;
Khezu Vambraces;Brazales de Khezu;Avant-bras Khezu;Parabraccia Khezu;Khezu-Armschienen;;
Khezu Guards;Guardabrazos Khezu;Gardes Khezu;Protezioni Khezu;Khezu-Armschutz;;
Hermitaur Braces;Brazales Hermitaur;Avant-bras Hermit.;Parabrac. Hermitaur;HermitaurArmschienen;;
Hermitaur Guards;Guardabr. Hermitaur;Gardes Hermitaur;Protezioni Hermitaur;Hermitaur-Armschutz;;
Plesioth Vambraces;Brazales de Plesioth;Avant-bras Plesioth;Parabraccia Plesioth;Plesioth-Armschienen;;
Plesioth Guards;Guard. Plesioth;Gardes Plesioth;Protezioni Plesioth;Plesioth-Armschutz;;
Lobster Vambraces;Brazales de Langosta;Avant-bras homard;Parabraccia Aragosta;Hummer-Armschienen;;
Lobster Guards;Guardabr. Langosta;Gardes homard;Protezioni Aragosta;Hummer-Armschutz;;
Kut-Ku Vambraces D;Brazales Kut-Ku D;Avant-bras Kut-Ku D;Parabraccia Kut-Ku D;Kut-Ku-Armschienen D;;
Kut-Ku Guards D;Guardabraz. Kut-Ku D;Gardes Kut-Ku D;Protezioni Kut-Ku D;Kut-Ku-Armschutz D;;
Gypceros Vambraces D;Brazales Gypceros D;Avt-bras Gypceros D;Parabr. Gypceros D;GypcerosArmschienenD;;
Gypceros Guards D;Guardabr. Gypceros D;Gardes Gypceros D;Protez. Gypceros D;Gypceros-Armschutz D;;
Khezu Vambraces D;Brazales de Khezu D;Avant-bras Khezu D;Parabraccia Khezu D;Khezu-Armschienen D;;
Khezu Guards D;Guardabr. de Khezu D;Gardes Khezu D;Protezioni Khezu D;Khezu-Armschutz D;;
Plesioth Vambraces D;Brazales Plesioth D;Avt-bras Plesioth D;Parabr. Plesioth D;PlesiothArmschienenD;;
Plesioth Guards D;Guardabr. Plesioth D;Gardes Plesioth D;Protez. Plesioth D;Plesioth-Armschutz D;;
Basarios Vambraces;Brazales de Basarios;Avant-bras Basarios;Parabraccia Basarios;Basarios-Armschienen;;
Basarios Guards;Guardabr. Basarios;Gardes Basarios;Protezioni Basarios;Basarios-Armschutz;;
Monoblos Vambraces;Brazales de Monoblos;Avant-bras Monoblos;Parabraccia Monoblos;Monoblos-Armschienen;;
Monoblos Guards;Guardabr. Monoblos;Gardes Monoblos;Protezioni Monoblos;Monoblos-Armschutz;;
Garuga Vambraces;Brazales de Garuga;Avant-bras Garuga;Parabraccia Garuga;Garuga-Armschienen;;
Garuga Guards;Guardabrazos Garuga;Gardes Garuga;Protezioni Garuga;Garuga-Armschutz;;
Blango Vambraces;Brazales de Blango;Avant-bras Blango;Parabraccia Blango;Blango-Armschienen;;
Blango Guards;Guardabrazos Blango;Gardes Blango;Protezioni di Blango;Blango-Armschutz;;
Ceanataur Braces;Brazales Ceanataur;Avant-bras Ceanataur;Parabr. di Ceanataur;CeanataurArmschienen;;
