english;spanish;french;italian;german;japanese;chinese
Mafumofu Jacket;Chaqueta Mafumofu;Gilet Mafumofu;Giacca Mafumofu;Mafumofu-Jacke;;
Leather Armor;Armadura de Cuero;Armure de cuir;Armatura di Cuoio;Lederrüstung;;
Chain Mail;Cota de Malla;Cotte de mailles;Cotta di Maglia;Kettenpanzer;;
Hunter's Mail;Malla de Cazador;Cotte de chasseur;Cotta da Cacciatore;Jägerpanzer;;
Hunter's Vest;Chaleco de Cazador;Tunique de chasseur;Pettorina Cacciatore;Jägerweste;;
Bone Mail;Malla de Hueso;Cotte d'os;Cotta d’Osso;Knochenpanzer;;
Bone Vest;Chaleco de Hueso;Tunique d'os;Pettorina d’Osso;Knochenweste;;
Giaprey Mail;Malla de Giaprey;Cotte Giaprey;Cotta di Giaprey;Giaprey-Panzer;;
Giaprey Vest;Chaleco de Giaprey;Tunique Giaprey;Pettorina di Giaprey;Giaprey-Weste;;
Battle Mail;Malla de Combate;Cotte de combat;Cotta da Battaglia;Kampfpanzer;;
Battle Vest;Chaleco de Combate;Tunique de combat;Pettorina Battaglia;Kampfweste;;
Velociprey Mail;Malla de Velociprey;Cotte Velociprey;Cotta Velociprey;Velociprey-Panzer;;
Velociprey Vest;Chaleco Velociprey;Tunique Velociprey;Pettorina Velociprey;Velociprey-Weste;;
Vespoid Mail;Malla de Vespoid;Cotte Vespoid;Cotta Vespoid;Vespoid-Panzer;;
Vespoid Vest;Chaleco de Vespoid;Tunique Vespoid;Pettorina Vespoid;Vespoid-Weste;;
Hi-Metal Mail;Malla de Megametal;Cotte haut-métal;Cotta Hi-Metal;Hochmetall-Panzer;;
Hi-Metal Vest;Chaleco de Megametal;Tunique haut-métal;Pettorina Hi-Metal;Hochmetall-Weste;;
Hornet Mail;Malla de Hornet.;Cotte Hornet;Cotta Hornet;Hornissen-Panzer;;
Hornet Vest;Chaleco de Hornet.;Tunique Hornet;Pettorina Hornet;Hornissen-Weste;;
Genprey Mail;Malla de Genprey;Cotte Genprey;Cotta Genprey;Genprey-Panzer;;
Genprey Vest;Chaleco de Genprey;Tunique Genprey;Pettorina Genprey;Genprey-Weste;;
Steel Mail;Malla de acero;Cotte d'acier;Cotta d’Acciaio;Stahlpanzer;;
Ioprey Mail;Malla de Ioprey;Cotte Ioprey;Cotta Ioprey;Ioprey-Panzer;;
Ioprey Vest;Chaleco de Ioprey;Tunique Ioprey;Pettorina Ioprey;Ioprey-Weste;;
Kut-Ku Mail;Malla de Kut-Ku;Cotte Kut-Ku;Cotta Kut-Ku;Kut-Ku-Panzer;;
Kut-Ku Vest;Chaleco de Kut-Ku;Tunique Kut-Ku;Pettorina Kut-Ku;Kut-Ku-Weste;;
Cephalos Mail;Malla de Cephalos;Cotte Cephalos;Cotta Cephalos;Cephalos-Panzer;;
Cephalos Vest;Chaleco de Cephalos;Tunique Cephalos;Pettorina Cephalos;Cephalos-Weste;;
Conga Mail;Malla de Conga;Cotte Conga;Cotta di Conga;Conga-Panzer;;
Conga Vest;Chaleco de Conga;Tunique Conga;Pettorina di Conga;Conga-Weste;;
Gypceros Mail;Malla de Gypceros;Cotte Gypceros;Cotta Gypceros;Gypceros-Panzer;;
Gypceros Vest;Chaleco de Gypceros;Tunique Gypceros;Pettorina Gypceros;Gypceros-Weste;;
Khezu Mail;Malla de Khezu;Cotte Khezu;Cotta Khezu;Khezu-Panzer;;
Khezu Vest;Chaleco de Khezu;Tunique Khezu;Pettorina Khezu;Khezu-Weste;;
Hermitaur Mail;Malla de Hermitaur;Cotte Hermitaur;Cotta Hermitaur;Hermitaur-Panzer;;
Hermitaur Vest;Chaleco de Hermitaur;Tunique Hermitaur;Pettorina Hermitaur;Hermitaur-Weste;;
Plesioth Mail;Malla de Plesioth;Cotte Plesioth;Cotta Plesioth;Plesioth-Panzer;;
Plesioth Vest;Chaleco de Plesioth;Tunique Plesioth;Pettorina Plesioth;Plesioth-Weste;;
Lobster Mail;Malla de Langosta;Cotte homard;Cotta Aragosta;Hummer-Panzer;;
Lobster Vest;Chaleco de Langosta;Tunique homard;Pettorina Aragosta;Hummer-Weste;;
Kut-Ku Mail D;Malla de Kut-Ku D;Cotte Kut-Ku D;Cotta Kut-Ku D;Kut-Ku-Panzer D;;
Kut-Ku Vest D;Chaleco de Kut-Ku D;Tunique Kut-Ku D;Pettorina Kut-Ku D;Kut-Ku-Weste D;;
Gypceros Mail D;Malla de Gypceros D;Cotte Gypceros D;Cotta Gypceros D;Gypceros-Panzer D;;
Gypceros Vest D;Chaleco Gypceros D;Tunique Gypceros D;Pettorina Gypceros D;Gypceros-Weste D;;
Khezu Mail D;Malla de Khezu D;Cotte Khezu D;Cotta Khezu D;Khezu-Panzer D;;
Khezu Vest D;Chaleco de Khezu D;Tunique Khezu D;Pettorina Khezu D;Khezu-Weste D;;
Plesioth Mail D;Malla de Plesioth D;Cotte Plesioth D;Cotta Plesioth D;Plesioth-Panzer D;;
Plesioth Vest D;Chaleco Plesioth D;Tunique Plesioth D;Pettorina Plesioth D;Plesioth-Weste D;;
