english;spanish;french;italian;german;japanese;chinese
Anteka Pelt;Piel de Anteka;Peau d'Anteka;Pelle di Anteka;Anteka-Pelz;;
Disk Stone;Piedra disco;Disque de pierre;Pietra a disco;Scheibenstein;;
Iron Ore;Mineral hierro;Minerai de fer;Minerale ferro;Eisenerz;;
Sm Monster Bone;H. monstr. pq.;Os monstre petit;Osso mostro pic;Monsterknochen S;;
Bullfango Pelt;Piel Bullfango;Peau Bullfango;Pelle Bullfango;Bullfango-Fell;;
Kelbi Hide;Piel de Kelbi;Peau Kelbi;Pelle di Kelbi;Kelbi-Haut;;
Machalite Ore;Min. Machalita;Miner. Machalite;Min. Machalite;Machalit-Erz;;
Kut-Ku Scale;Escama Kut-Ku;Écaille Kut-Ku;Scaglia Kut-Ku;Kut-Ku-Schuppe;;
Velociprey Fang;Colm. Velociprey;Croc Velociprey;Zanna Velociprey;Velociprey-Zahn;;
Unknown Skull;Cráneo desconoc.;Crâne inconnu;Teschio ignoto;Anonymer Schädel;;
Blango Pelt;Piel de Blango;Peau Blango;Pelle Blango;Blango-Pelz;;
Giaprey Scale;Escama Giaprey;Écaille Giaprey;Scaglia Giaprey;Giaprey-Schuppe;;
Anteka Antlers;Astas de Anteka;Cornes d'Anteka;Corna di Anteka;Anteka-Geweih;;
Earth Crystal;Cristal tierra;Cristal de terre;Cristallo terra;Erdkristall;;
Whetstone;Piedra de afilar;Aiguisoir;Cote;Wetzstein;;
Huskberry;Baya hueca;Baie-coque;Guscio di bacca;Hülsenbeere;;
Sm Bone Husk;Cásc. hueso pq.;Pt coque d'os;Invol. osso pic.;Kl. Knochenhülse;;
Velociprey Scale;Esc. Velociprey;Éc. Velociprey;Sc. Velociprey;Velocip-Schuppe;;
Velociprey Hide;Piel Velociprey;Peau Velociprey;Pelle Velociprey;Velociprey-Haut;;
Carpenterbug;Bicho carpintero;Charpentinsecte;Insetto-carpent.;Tischlerkäfer;;
Vespoid Wing;Ala de Vespoid;Aile Vespoid;Ala Vespoid;Vespoid-Flügel;;
Vespoid Shell;Concha Vespoid;Carapace Vespoid;Corazza Vespoid;Vespoid-Panzer;;
Lightcrystal;Cristal ligero;Cristal lumiè re;Crist. di luce;Lichtkristall;;
Hornetaur Head;Cabeza Hornetaur;Tête Hornetaur;Testa Hornetaur;Hornetaur-Kopf;;
Hornetaur Shell;Concha Hornetaur;Carap. Hornetaur;Cor. Hornetaur;Hornetaur-Panzer;;
Vibrant Pelt;Piel vibrante;Peau vibrante;Pelle vibrante;Leuchtender Pelz;;
Monster Fluid;Fluido monstruo;Fluide monstre;Fluido di mostro;Monsterfluid;;
Gendrome Hide;Piel de Gendrome;Peau Gendrome;Pelle Gendrome;Gendrome-Haut;;
Genprey Scale;Escama Genprey;Écaille Genprey;Scaglia Genprey;Genprey-Schuppe;;
Ioprey Scale;Escama Ioprey;Écaille Ioprey;Scaglia Ioprey;Ioprey-Schuppe;;
Ioprey Hide;Piel de Ioprey;Peau Ioprey;Pelle Ioprey;Ioprey-Haut;;
Kut-Ku Ear;Oreja de Kut-Ku;Oreille Kut-Ku;Orecchio Kut-Ku;Kut-Ku-Ohr;;
Kut-Ku Shell;Concha Kut-Ku;Carapace Kut-Ku;Corazza Kut-Ku;Kut-Ku-Panzer;;
Kut-Ku Webbing;Cincha de Kut-Ku;Palmure Kut-Ku;Membrana Kut-Ku;Kut-Ku-Gewebe;;
Cephalos Fin;Aleta Cephalos;Nageoi. Cephalos;Pinna Cephalos;Cephalos-Flosse;;
Cephalos Scale;Escama Cephalos;Écaille Cephalos;Scaglia Cephalos;Cephalos-Schuppe;;
Congalala Pelt;Piel Congalala;Peau Congalala;Pelle Congalala;Congalala-Pelz;;
Sharp Claw;Garra afilada;Griffe acérée;Artiglio affil.;Scharfe Klaue;;
Rubbery Hide;Piel gomosa;Peau élastique;Pelle gommosa;Gummihaut;;
Antiseptic Stone;Piedra antisépt.;Pierre antisept.;Pietra antisett.;Antiseptikstein;;
Genprey Hide;Piel de Genprey;Peau Genprey;Pelle Genprey;Genprey-Haut;;
Pale Bone;Hueso pálido;Os pâle;Osso pallido;Bleicher Knochen;;
Flabby Hide;Piel blanda;Cuir flasque;Pelle vizza;Schwabbelhaut;;
Hermitaur Claw;Garra Hermitaur;Griffe Hermitaur;Art. Hermitaur;Hermitaur-Klaue;;
Hermitaur Shell;Con. Hermitaur;Car. Hermitaur;Cor. Hermitaur;Hermitaur-Panzer;;
Plesioth Scale;Escama Plesioth;Écaille Plesioth;Scaglia Plesioth;Plesioth-Schuppe;;
Bomb Arrowana;Arrowana bomba;Arrowana bombe;Arrowana bomba;Bomben-Arrowana;;
Sm Lobstershell;Concha Lang. pq.;Pt carap. homard;Guscio arag. pic;Kl Hummerpanzer;;
Plesioth Fin;Aleta Plesioth;Nageoir.Plesioth;Pinna Plesioth;Plesioth-Flosse;;
Blue Kut-Ku Shl;Con. Kut-Ku azul;Carap. Kut-Ku bl;Cor. Kut-Ku blu;BlauerKutKuPanzr;;
Pur Rubbery Hide;Piel gomosa pura;P.élast.violette;Pelle gomm.viol.;Lila Gummihaut;;
Alluring Hide;Piel seductora;Cuir élégant;Pelle seducente;LockendeLedrhaut;;
Grn Plesioth Scl;Esc. Plesioth v.;Éca. Plesi. vert;Sc. Plesioth vrd;GrünPles-Schup.;;
Grn Plesioth Fin;Al. Plesioth v.;Nag. Plesi. vert;Pinna Ples. vrd;GrünPles-Flosse ;;
Basarios Shell;Concha Basarios;Carapa. Basarios;Corazza Basarios;Basarios-Panzer;;
Knife Mackerel;Caballa cuchillo;Makro couteau;Sgombro-coltello;Messermakrele;;
Monoblos Shell;Concha Monoblos;Carap. Monoblos;Corazza Monoblos;Monoblos-Panzer;;
Blood Red Horn;Cuerno encarnado;Corne rouge sang;Corno rss sangue;Blutrotes Horn;;
Garuga Ear;Oreja de Garuga;Oreille Garuga;Orecchio Garuga;Garuga-Ohr;;
Sharpened Beak;Pico afilado;Bec aiguisé;Becco appuntito;Geschliff Schnab;;
Garuga Shell;Concha de Garuga;Carapace Garuga;Corazza Garuga;Garuga-Panzer;;
Garuga Mane;Crin de Garuga;Crinière Garuga;Criniera Garuga;Garuga-Mähne;;
Blangonga Whiskr;Pelo Blangonga;Moust. Blangonga;Baffo Blangonga;Blangonga-Bart;;
Blangonga Pelt;Piel Blangonga;Peau Blangonga;Pelle Blangonga;Blangonga-Pelz;;
Lg Monster Bone;H. monstr. gr.;Os monstre grand;Osso mostro gr;Monsterknochen L;;
Velocidrome Hide;Piel Velocidrome;Peau Velocidrome;Pel. Velocidrome;Velocidrome-Haut;;
Ceanataur Claw;Garra Ceanataur;Griffe Ceanataur;Art. Ceanataur;Ceanataur-Klaue;;
Ceanataur Shell;Conch. Ceanat.;Car. Ceanataur;Cor. Ceanataur;Ceanataur-Panzer;;
Sm Ceanataur Shl;Con. Ceanat. pq.;Pt car.Ceanataur;Cor.Ceanataur pc;KlCeanataurPnzer;;
Killer Beetle;Escar. asesino;Scarabée tueur;Scaraf.assassino;Killerkäfer;;
Rathian Scale;Escama Rathian;Écaille Rathian;Scaglia Rathian;Rathian-Schuppe;;
Rathian Shell;Concha Rathian;Carapace Rathian;Corazza Rathian;Rathian-Panzer;;
Tigrex Skull Shl;C. crán. Tigrex;Cara.crâneTigrex;Cor.tesch.Tigrex;TigrexSchädPanz;;
Tigrex Scale;Escama de Tigrex;Écaille Tigrex;Scaglia Tigrex;Tigrex-Schuppe;;
Tigrex Shell;Concha de Tigrex;Carapace Tigrex;Corazza Tigrex;Tigrex-Panzer;;
Rathalos Wing;Ala de Rathalos;Aile Rathalos;Ala Rathalos;Rathalos-Flügel;;
Rathalos Scale;Escama Rathalos;Écaille Rathalos;Scaglia Rathalos;Rathalos-Schuppe;;
Dragonite Ore;Min. Dragonita;Miner. Dragonite;Min. Dragonite;Drachenit-Erz;;
Twisted Horn;Cuerno retorcido;Corne tordue;Corno contorto;Gedrehtes Horn;;
Diablos Shell;Concha Diablos;Carapace Diablos;Corazza Diablos;Diablos-Panzer;;
Monster Bone+;Hueso monstruo+;Os de monstre+;Osso mostro+;Monsterknochen+;;
Gravios Shell;Concha Gravios;Carapace Gravios;Corazza Gravios;Gravios-Panzer;;
Gravios Skl Shl;C. crán. Gravios;Cara.crâ.Gravios;Cor.tesch.Grav.;GraviosSchädlPnz;;
TwstBlkBlosHrn;Cu. Ret. Blos n.;Corne Blos noir;C. cont. Blos nr;GedrschwaBloshrn;;
Black Blos Shell;Concha Blos n.;Carap. Blos noir;Cor. Blos nero;Schw Blos-Panzer;;
Blk Gravios Shl;Con. Gravios n.;Car. Gravi. noir;Cor. Gravios nr;Schw. Grav-Panz;;
Blk Gravios Skl;Crán. Gravios n.;Crâ. Gravi. noir;Tesch.Gravios nr;SchwzGravsSchäd;;
Chaos Mushroom;Seta del caos;Champi chaos;Fungo caos;Chaospilz;;
Parashroom;Paraliseta;Champaralysie;Fungo paralisi;Lähmpilz;;
FlynMealPassReg;Tick. com. Fel.;PassDîn.Fel.Rég.;BuonoPstFln.norm;FlynMahlPassNorm;;
Godbug;Bicho divino;Insecte-dieu;Insetto-dio;Götterkäfer;;
Mosswine Hide;Piel de Mosswine;Peau de Mosswine;Pelle Mosswine;Mosswine-Haut;;
Pawprint Stamp;Sello hue. zarpa;Sceau empreinte;Bollo a impronta;Tatzendruckmarke;;
Bullfango Head;Cabeza Bullfango;Tête Bullfango;Testa Bullfango;Bullfango-Kopf;;
Bulldrome Hide;Piel Bulldrome;Cuir de Bulldr.;Pelle Bulldrome;Bulldrome-Haut;;
Giant Bone;Hueso gigante;Os de géant;Osso gigante;Riesenknochen;;
Giadrome Skull;Cráneo Giadrome;Crâne Giadrome;Teschio Giadrome;Giadrome-Schädel;;
Giaprey Hide;Piel de Giaprey;Peau Giaprey;Pelle di Giaprey;Giaprey-Haut;;
Kut-Ku Coin;Moneda Kut-Ku;Pièce Kut-Ku;Moneta Kut-Ku;Kut-Ku-Münze;;
Velocidrome Head;Cab. Velocidrome;Tête Velocidrome;Testa Velocidr.;Velocidrome-Kopf;;
Congalala Coin;Moneda Congalala;Pièce Congalala;Moneta Congalala;Congalala-Münze;;
Flame Sac;Bolsa de llama;Poche de flamme;Sacca-fiamma;Flammenbeutel;;
Electro Sac;Bolsa eléctrica;Poche électrique;Elettrosacca;Strombeutel;;
Power Juice;Zumo de poder;Jus d'énergie;Supersucco;Kraftsaft;;
Black Pearl;Perla negra;Perle noire;Perla nera;Schwarze Perle;;
Basarios Wing;Ala de Basarios;Aile Basarios;Ala Basarios;Basarios-Flügel;;
Hornetaur Wing;Ala de Hornetaur;Aile Hornetaur;Ala Hornetaur;Hornetaur-Flügel;;
Pokke Ticket;Ticket Pokke;Ticket Pokke;Buono Pokke;Pokke-Schein;;
Ice Crystal;Cristal hielo;Cristal glacé;Crist. ghiaccio;Eiskristall;;
Lifecrystals;Cristales vida;Cristaux de vie;Crist. di vita;Lebenskristalle;;
Commendation G;Mención honor G;Récompense G;Elogio G;Belobigung G;;
Felyne Fur Ruby;Rubí­ piel Felyne;Rubis poils fél.;Rub. pelo Felyne;Felyne-Pelzrubin;;
Emperor Cricket;Grillo emperador;Grillon empereur;Grillo imperat.;KaiserGrile;;
FlynMealPassPlus;Tick. com. Fel.+;PassDîn.Fel.Plus;BuonoPstFln.Plus;FlynMahlPassPlus;;
Firestone;Piedra fuego;Pierre-feu;Pietra focaia;Feuerstein;;
Gourmet Fish;Pesc. gourmet;Poisson gourmet;Pesce gourmet;Gourmet-Fisch;;
Gendrome Skull;Cráneo Gendrome;Crâne Gendrome;Teschio Gendrome;Gendrome-Schädel;;
Wyvern Fang;Colmillo Wyvern;Croc de Wyvern;Zanna di wyvern;Wyvern-Reißzahn;;
Khezu Coin;Moneda de Khezu;Pièce Khezu;Moneta Khezu;Khezu-Münze;;
Yian Garuga Coin;Mon. Yian Garuga;Piè. Yian Garuga;Mon. Yian Garuga;YianGaruga-Münze;;
Blackbelt Ticket;Ticket cint. n.;Tick.ceint.noire;Buono Cint.nera;Schwarzgürt-Sch.;;
Shogun Coin;Moneda Shogun;Pièce Shogun;Moneta Shogun;Shogun-Münze;;
Gaoren Spine;Columna Gaoren;Dos Gaoren;Sp. dors. Gaoren;Gaoren-Rückgrat;;
Commendation;Mención de honor;Récompense;Encomio;Empfehlung;;
Dosbiscus;Dosbiscus;Dosbiscus;Dosbiscus;Dosbiskus;;
Tigrex Coin;Moneda de Tigrex;Pièce Tigrex;Moneta Tigrex;Tigrex-Münze;;
