english;spanish;french;italian;german;japanese;chinese
Mafumofu Boots;Botas Mafumofu;Bottes Mafumofu;Stivali Mafumofu;Mafumofu-Stiefel;;
Green Pants;Pantalones Verdes;Pantalon vert;Pantaloni Verdi;Grüne Hose;;
Blue Pants;Pantalones Azules;Pantalon bleu;Pantaloni Blu;Blaue Hose;;
Hunter's Greaves;Grebas de Cazador;Grèves de chasseur;Schin.Cacciatore;Jäger-Beinschienen;;
Hunter's Leggings;Calzas de Cazador;Cuiss. de chasseur;Gamb. Cacciatore;Jäger-Gamaschen;;
Bone Greaves;Grebas de Hueso ;Grèves d'os ;Schinieri Osso ;Knochen-Beinschiene;;
Bone Leggings;Calzas de Hueso;Cuissardes d'os;Gambali d’Osso;Knochen-Gamaschen;;
Giaprey Greaves;Grebas de Giaprey;Grèves Giaprey;Schinieri di Giaprey;Giaprey-Beinschienen;;
Giaprey Leggings;Calzas de Giaprey;Cuissardes Giaprey;Gambali di Giaprey;Giaprey-Gamaschen;;
Battle Greaves;Grebas de Combate;Grèves de combat;Schinieri Battaglia;Kampf-Beinschienen;;
Battle Leggings;Calzas de Combate;Cuissardes de combat;Gambali Battaglia;Kampf-Gamaschen;;
Silver Metal Boots;Botas Metal Plateado;Bottes argentées;Stiv. Metal. Argen.;Silber.Metallstiefel;;
Dark Metal Boots;Botas Metal Oscuro;Bottes métal sombre;Stiv. Metallo Scuro;Schw. Metallstiefel;;
Velociprey Greaves;Grebas de Velociprey;Grèves Velociprey;Schinieri Velociprey;Velociprey-Schienen;;
Velociprey Leggings;Calzas de Velociprey;Cuiss. Velociprey;Gambali Velociprey;Velociprey-Gamaschen;;
Vespoid Greaves;Grebas de Vespoid;Grèves Vespoid;Schinieri Vespoid;Vespoid-Beinschienen;;
Vespoid Leggings;Calzas de Vespoid;Cuissardes Vespoid;Gambali Vespoid;Vespoid-Gamaschen;;
Hi-Metal Greaves;Grebas de Megametal;Grèves haut-métal;Schinieri Hi-Metal;Hochmetall-Schienen;;
Hi-Metal Leggings;Calzas de Megametal;Cuiss. haut-métal;Gambali Hi-Metal;Hochmetall-Gamaschen;;
Hornet Greaves;Grebas de Hornet;Grèves Hornet;Schinieri Hornet;Hornissen-Schienen;;
Hornet Leggings;Calzas de Hornet;Cuissardes Hornet;Gambali Hornet;Hornissen-Gamaschen;;
Genprey Greaves;Grebas de Genprey;Grèves Genprey;Schinieri Genprey;Genprey-Beinschienen;;
Genprey Leggings;Calzas de Genprey;Cuissardes Genprey;Gambali Genprey;Genprey-Gamaschen;;
Chrome Metal Boots;Botas Metal Cromado;Bottes Chrome;Stivali Cromati;Chrom-Metallstiefel;;
Ioprey Greaves;Grebas de Ioprey;Grèves Ioprey;Schinieri Ioprey;Ioprey-Beinschienen;;
Ioprey Leggings;Calzas de Ioprey;Cuissardes Ioprey;Gambali Ioprey;Ioprey-Gamaschen;;
Kut-Ku Greaves;Grebas de Kut-Ku;Grèves Kut-Ku;Schinieri di Kut-Ku;Kut-Ku-Beinschienen;;
Kut-Ku Leggings;Calzas de Kut-Ku;Cuissardes Kut-Ku;Gambali di Kut-Ku;Kut-Ku-Gamaschen;;
Cephalos Greaves;Grebas de Cephalos;Grèves Cephalos;Schinieri Cephalos;Cephalos-Schienen;;
Cephalos Leggings;Calzas de Cephalos;Cuissardes Cephalos;Gambali Cephalos;Cephalos-Gamaschen;;
Conga Greaves;Grebas de Conga;Grèves Conga;Schinieri di Conga;Conga-Beinschienen;;
Conga Leggings;Calzas de Conga;Cuissardes Conga;Gambali di Conga;Conga-Gamaschen;;
Gypceros Greaves;Grebas de Gypceros;Grèves Gypceros;Schinieri Gypceros;Gypceros-Schienen;;
Gypceros Leggings;Calzas de Gypceros;Cuissardes Gypceros;Gambali Gypceros;Gypceros-Gamaschen;;
Khezu Greaves;Grebas de Khezu;Grèves Khezu;Schinieri Khezu;Khezu-Beinschienen;;
Khezu Leggings;Calzas de Khezu;Cuissardes Khezu;Gambali Khezu;Khezu-Gamaschen;;
Hermitaur Greaves;Grebas de Hermitaur;Grèves Hermitaur;Schinieri Hermitaur;Hermitaur-Beinschn;;
Hermitaur Leggings;Calzas de Hermitaur;Cuissardes Hermitaur;Gambali Hermitaur;Hermitaur-Gamaschen;;
Plesioth Greaves;Grebas de Plesioth;Grèves Plesioth;Schinieri Plesioth;Plesioth-Schienen;;
Plesioth Leggings;Calzas de Plesioth;Cuissardes Plesioth;Gambali Plesioth;Plesioth-Gamaschen;;
Lobster Greaves;Grebas de Langosta;Grèves homard;Schinieri Aragosta;Hummer-Beinschienen;;
Lobster Leggings;Calzas de Langosta;Cuissardes homard;Gambali Aragosta;Hummer-Gamaschen;;
Kut-Ku Greaves D;Grebas de Kut-Ku D;Grèves Kut-Ku D;Schinieri Kut-Ku D;Kut-Ku-BeinschienenD;;
Kut-Ku Leggings D;Calzas de Kut-Ku D;Cuissardes Kut-Ku D;Gambali di Kut-Ku D;Kut-Ku-Gamaschen D;;
Gypceros Greaves D;Grebas de Gypceros D;Grèves Gypceros D;Schinieri Gypceros D;Gypceros-Schienen D;;
Gypceros Leggings D;Calzas de Gypceros D;Cuiss. Gypceros D;Gambali Gypceros D;Gypceros-Gamaschen D;;
Khezu Greaves D;Grebas de Khezu D;Grèves Khezu D;Schinieri Khezu D;Khezu-Beinschienen D;;
Khezu Leggings D;Calzas de Khezu D;Cuissardes Khezu D;Gambali Khezu D;Khezu-Gamaschen D;;
Plesioth Greaves D;Grebas Plesioth D;Grèves Plesioth D;Schinieri Plesioth D;Plesioth-Schienen D;;
Plesioth Leggings D;Calzas Plesioth D;Cuiss. Plesioth D;Gambali Plesioth D;Plesioth-Gamaschen D;;
Basarios Greaves;Grebas de Basarios;Grèves Basarios;Schinieri Basarios;Basarios-Beinschiene;;
Basarios Leggings;Calzas de Basarios;Cuissardes Basarios;Gambali Basarios;Basarios-Gamaschen;;
Monoblos Greaves;Grebas de Monoblos;Grèves Monoblos;Schinieri Monoblos;Monoblos-Beinschnen;;
Monoblos Leggings;Calzas Monoblos;Cuissardes Monoblos;Gambali di Monoblos;Monoblos-Gamaschen;;
Garuga Greaves;Grebas de Garuga;Grèves Garuga;Schinieri Garuga;Garuga-Beinschienen;;
Garuga Leggings;Calzas de Garuga;Cuissardes Garuga;Gambali Garuga;Garuga-Stiefel;;
Blango Greaves;Grebas de Blango;Grèves Blango;Schinieri di Blango;Blango-Beinschienen;;
Blango Leggings;Calzas de Blango;Cuissardes Blango;Gambali di Blango;Blango-Gamaschen;;
Ceanataur Greaves;Grebas de Cenataur;Grèves Ceanataur;Schinieri Ceanataur;Ceanataur-Beinschn;;
Ceanataur Leggings;Calzas Ceanataur;Cuissardes Ceanat aur;Gambali di Ceanataur;Ceanataur-Gamaschen;;
Rathian Greaves;Grebas de Rathian;Grèves Rathian;Schinieri Rathian;Rathian-Beinschienen;;
Rathian Leggings;Calzas de Rathian;Cuissardes Rathian;Gambali Rathian;Rathian-Gamaschen;;
