english;spanish;french;italian;german;japanese;chinese
Attack;Ataque;Attaque;Attacco;Angriff;;
Defense;Defensa;Défense;Difesa;Verteidig;;
Health;Salud;Santé;Salute;Gesundheit;;
All Resist;Res. todo;Rés. tout;Res. Tutto;All Abwehr;;
Ice Res;Res. hielo;Rés. Glace;Res. Ghiac;Eisabwehr;;
Water Res;Res. agua;Rés. Eau;Res. Acqua;Wasserabw;;
ThunderRes;Res.trueno;Rés.Foudre;Res. Tuono;Donnerabw;;
Dragon Res;Res.dragón;Rés.Dragon;Res. Drago;Drachenabw;;
Fire Res;Res. fuego;Rés. Feu;Res. Fuoco;Feuerabw.;;
Faint;Desmayo;Évanouiss.;Svenimento;Ohnmacht;;
Poison;Veneno;Poison;Veleno;Gift;;
Paralysis;Parálisis;Paralysie;Paralisi;Lähmung;;
Sleep;Sueño;Sommeil;Sonno;Schlaf;;
Antiseptic;Antisépt.;Antisept.;Antisett.;Antiseptk;;
Fatigue;Fatiga;Fatigue;Fatica;Ermüdung;;
Snow Res;R. nieve;Rés. neige;Res Neve;SchneeAbwr;;
Quake Res;Anti-temb.;Rés. trbl.;Res Scossa;ErdbAbwhr;;
HearProtct;Prot. oí do;Prot.aud.;Prot.udito;Ohrschutz;;
WindPress;PresViento;Press.vent;PressVento;Winddruck;;
Anti-Theft;Anti-Robo;Antivol;Anti-ladro;Anti-Dieb;;
ResistSts;EstResist;Res. stat.;Res. stati;Abwhrsttus;;
AntiFirDrg;AntiFueDrg;AntiFeuDrg;AntiFuoDrg;AntFeuDrch;;
AntiDaora;AntiDaora;AntiDaora;Anti Daora;AntiDaora;;
AntiChamel;AntiChamel;AntiChamel;AntiChamel;AntiChamel;;
Artisan;Artesano;Artisan;Artigiano;Künstler;;
Sharpness;Afilado;Trancha nt;Acutezza;Schärfe;;
Fencing;Esgrima;Escrime;Scherma;Fechten;;
SwdShrpner;Afilador;Aiguiseur;Aff.Spada;Schwtschrf;;
Guard;Proteger;Garde;Guardia;Block;;
Auto-Guard;Autoprot.;Garde auto;Autoguard.;Autoblock;;
Sword Draw;Dsnf. esp.;Dégainer;SguainaArm;Schwertzug;;
Edgemaster;M.Espada;MaîtreLame;MastroSpad;Klngmeistr;;
NormalS Up;SubirDNorm;Aug.Mn Nrm;PNorm.aum.;NormlShoch;;
PierceS Up;SubirDPerf;Aug.Mn Prc;PPerf.aum.;PiercShoch;;
PelletS Up;SubirDPerd;Aug.Mn.Plb;PPall.aum.;SchrtShoch;;
NormalSAdd;AñDNormal;Aj.Mn Norm;Agg.PNorm.;NormlSzufü;;
PierceSAdd;AñDPerf;Aj. Mn Prc;Agg.PPerf.;PiercSzufü;;
PelletSAdd;AñDPerd;Aj.Mn.Plb;Agg.PPall.;SchrtSzufü;;
Crag S Add;AñDExpl;Aj.Mn Expl;Agg.PPicco;CragSzufüg;;
ClustS Add;AñDispGr;Aj. Mn Frg;Agg.PGrapp;StreuSzfüg;;
Reload;Recargar;Recharge;Ricarica;Nachladen;;
AutoReload;Autorecarg;RecharAuto;Autocarica;AutoNachla;;
Recoil;Retroceso;Recul;Rinculo;Rückstoß;;
Precision;Precis.;Précision;Precisione;Präzision;;
PoisonCAdd;Añ.Rev.ven;Aj.E.poisn;SVelenoAgg;GiftBesZuf;;
ParalyCAdd;Añ.Rev.par;Aj.E.para.;SParalAgg;LähmBesZuf;;
SleepCAdd;Añ.Rev.sue;Aj.E.somme;SSonnoAgg;SchlfBsZuf;;
PowerCAdd;Añ.Rev.ene;Aj.E.énerg;SForzaAgg;KraftBsZuf;;
ClsRngCAdd;Añ.Rev.cmb;Aj.E.combo;SAttRavAgg;NhkpfBsZuf;;
SteadyHand;Mano firme;Stabilité;Mano Ferma;SichreHand;;
Expert;Experto;Expert;Esperto;Experte;;
Spc Attack;Atq espec.;Attaque sp;Att. spec.;SondrAngr.;;
ElementAtk;Atq elem.;Att. élém.;Att. Elem.;ElementAng;;
Rec Speed;Vel. recup;Vit. récup;Vel. rec.;ErholGschw;;
Protection;Protección;Protection;Protezione;Schutz;;
Guard Up;Subir prot;Aug. garde;Aum.Guard.;Block hoch;;
Evade;Evadir;Évasion;Evasione;Ausweichen;;
Evade Dist;Dist Evas.;Dist.evas.;Dist.Evas.;Asweichdst;;
Potential;Potencial;Potentiel;Potenziale;Potenzial;;
Gunnery;Artillerí a;Artillerie;Artiglier.;Schießen;;
Capacity;Cargam.;Chargement;Capacità;Kapazität;;
ShortCharg;CargaCorta;ChargCourt;CaricaCort;Kurz laden;;
Guts;Agallas;Tripes;Coraggio;Mut;;
Fury;Furia;Fureur;Ira;Wut;;
Map;Mapa;Carte;Mappa;Karte;;
PsychicVis;VisPsí quic;Clairvoy.;Chiaroveg.;Vision;;
Gathering;Recogida;Collecte;Raccolta;Sammeln;;
Carving;Cortar;Dépeçage;Scalco;Zerlegen;;
HiSpdGathr;RecAltaVel;Collec.rap;RacAltaVel;SchnSammln;;
Backpackng;Mochilero;Routard;ViaggZaino;Rucksack;;
Whim;Capricho;Lubie;Capriccio;Laune;;
Fishing;Pesca;Pêche;Pesca;Angeln;;
Heat Res;Res. calor;Rés. chaud;Res.calore;Hitzeabw;;
Cold Res;Res. frí o;Rés. froid;Res.freddo;Kälteabw;;
