name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
Mafumofu Coat;1;1;1;0;0;1;1;0;0;0;0;3;Protection;2;Heat Res;-2;Cold Res;4;Map;1;;;Anteka Pelt;1;;;;;;
Light Belt;1;1;1;0;0;1;2;-2;2;-2;2;2;Backpackng;5;Gathering;4;;;;;;;Anteka Pelt;2;;;;;;
Leather Belt;1;1;0;0;0;1;2;2;0;0;0;0;Throw;2;Backpackng;1;Gathering;3;MixSucRate;3;Cooking;-2;Sm Monster Bone;2;Anteka Pelt;1;;;;
Iron Belt;1;1;1;0;0;1;4;4;-6;0;-4;-2;Hunger;4;Fate;2;Stamina;3;;;;;Iron Ore;2;Kelbi Hide;1;Pin Tuna;2;;
Chain Belt;1;1;1;0;0;1;4;2;-2;0;2;1;Paralysis;-1;Health;3;Backpackng;2;Map;1;Whim;2;Iron Ore;2;Anteka Pelt;2;;;;
Hunter Tasset;1;1;1;0;1;1;8;0;-4;0;0;0;Faint;-1;PsychicVis;3;Carving;2;BBQ;3;;;Iron Ore;1;Bullfango Pelt;3;;;;
Hunter Coat;1;1;1;0;2;1;6;2;-2;0;2;2;Faint;-1;NormalS Up;3;PsychicVis;3;Carving;2;;;Iron Ore;1;Bullfango Pelt;3;;;;
Bone Tasset;1;2;1;0;1;2;14;2;-2;-2;2;-2;Anti-Theft;3;Map;-1;PsychicVis;1;Alchemy;2;Horn;2;Unknown Skull;1;Bullfango Pelt;1;Anteka Pelt;2;;
Bone Coat;1;1;1;0;2;2;8;5;0;0;5;-1;Anti-Theft;3;Map;-1;PsychicVis;1;Alchemy;2;BBQ;2;Carpenterbug;2;Bullfango Pelt;1;Sm Bone Husk;3;;
Giaprey Tasset;1;2;0;0;1;2;16;0;1;-1;1;3;Torso Inc;;;;;;;;;;Giaprey Scale;3;Earth Crystal;2;Bullfango Pelt;1;;
Giaprey Coat;1;2;0;0;2;2;8;1;3;0;3;4;Torso Inc;;;;;;;;;;Giaprey Scale;3;Earth Crystal;2;Bullfango Pelt;1;;
Battle Tasset;1;2;1;0;1;2;16;2;-2;0;-2;-1;Health;2;SwdShrpner;3;Hunger;-2;Attack;2;;;Kelbi Hide;2;Anteka Pelt;2;Earth Crystal;2;Whetstone;2
Battle Coat;1;2;1;0;2;2;10;4;0;2;0;0;Load;3;Hunger;-2;Attack;2;Precision;2;;;Kelbi Hide;2;Anteka Pelt;2;Iron Ore;3;Sm Bone Husk;3
