english;spanish;french;italian;german;japanese;chinese
Attack Jewel;Joya de ataque;Joyau attaque;Gioiello Attacco;Angriffs-Juwel;;
Fierce Jewel;Joya fiera;Joyau ardent;Gll Fierezza;Wild-Juwel;;
Strongest Jewel;Joya más fuerte;Joyau fort;Gll fortissimo;Stärkstes Juwel;;
Defense Jewel;Joya de defensa;Joyau défense;Gioiello Difesa;Verteidig-Juwel;;
Turtle Jewel;Joya de tortuga;Joyau tortue;Gll Tartaruga;SchildkrötJuwel;;
Steadfast Jewel;Joya firme;Joyau ténacité;Gll risolutezza;Felsenfest-Juwel;;
Anti-Faint Jewel;Joya antidesmayo;Joyau anti-évan.;Gll Anti-sven.;AntiOhnmJuwel;;
Steadfast Jewel+;Joya firme+;Joyau ténacité+;Gll risolutezza+;FelsenfestJuwel+;;
Paralysis Jewel;Joya parálisis;Joyau paralysie;GioielloParalisi;Lähm-Juwel;;
AntiParalyzJewel;Joya antiparal.;Joyau antiparal.;Gll Antiparalisi;Anti-Lähm-Juwel;;
Paralysis Jewel+;Joya parálisis+;Joyau paralysie+;Gioiel.Paralisi+;Lähm-Juwel+;;
Pep Jewel;Joya vitalidad;Joyau vitalité;Gioiello Vigore;Pepp-Juwel;;
Jolt Jewel;Joya sobresalto;Joyau secousse;Gioiello Scossa;Aufweck-Juwel;;
Antidote Jewel;Joya antí doto;Joyau antidote;GioielloAntidoto;Gegengift-Juwel;;
Antivenin Jewel;Joya antiveneno;Joyau anti-venin;Gll Antiveleno;AntiGift-Juwel;;
Antidote Jewel+;Joya antí doto+;Joyau antidote+;Gioiel.Antidoto+;Gegengift-Juwel+;;
Retroviral Jewel;Joya retroviral;Joyau rétroviral;Gll Retrovirale;Retroviral-Juwel;;
Antiviral Jewel;Joya antiviral;Joyau antiviral;Gll Antivirale;Antivirus-Juwel;;
Tireless Jewel;Joya inagotable;Joyau infatig.;Gll Instancabile;UnermüdlichJuwel;;
Anchor Jewel;Joya de ancla;Joyau ancre;Gioiello Ancora;Anker-Juwel;;
Tectonic Jewel;Joya tectónica;Joyau tectonique;Gll Tettonica;Tektonik-Juwel;;
Snowblower Jewel;Joya quitanieve;Joyau de neige;Gll Spazzaneve;SchngestöberJwl;;
Snowplow Jewel;Joya antinieve;Joyau des neiges;Gll Antineve;AntiSchnee-Juwel;;
SnowblowerJewel+;Joya quitanieve+;Joyau de neige+;Gll Spazzaneve+;SchngestöberJwl+;;
Tip Toe Jewel;Joya sigilo;Joyau orteil;Gll PuntaDiPiedi;ZehensptzenJuwel;;
Ninja Jewel;Joya ninja;Joyau ninja;Gioiello Ninja;Ninja-Juwel;;
Strength Jewel;Joya de fuerza;Joyau force;Gioiello Forza;Stärke-Juwel;;
Artisan Jewel;Joya de artesano;Joy au artisan;Gll Artigiano;Kunsthandw-Juwel;;
Master Jewel;Joya maestra;Joyau maître;Gioiello Maestro;Meister-Juwel;;
Fencer Jewel;Joya esgrimidor;Joyau escrimeur;Gll Schermidore;Fecht-Juwel;;
