english;spanish;french;italian;german;japanese;chinese
Mafumofu Hood;Capucha Mafumofu;Capuchon Mafumofu;Cappuccio Mafumofu;Mafumofu-Kapuze;;
Leather Helm;Casco de Cuero;Casque en cuir;Elmo di Cuoio;Lederhelm;;
Chain Helm;Casco Cota de Malla;Casque en mailles;Elmo Maglia di Ferro;Kettenhelm;;
Hunter's Helm;Casco de Cazador;Casque de chasseur;Elmo da Cacciatore;Jägerhelm;;
Hunter's Cap;Gorro de Cazador;Heaume de chasseur;Cappello Cacciatore;Jägerkappe;;
Protection Piercing;Piercing Protección;Piercing protecteur;Orecchino Protezione;Schutz-Piercing;;
Bone Helm;Casco de Hueso;Casque d'os;Elmo di Osso;Knochenhelm;;
Bone Cap;Gorro de Hueso;Heaume d'os;Cappello di Osso;Knochenkappe;;
Giaprey Helm;Casco de Giaprey;Casque Giaprey;Elmo di Giaprey;Giaprey-Helm;;
Giaprey Cap;Gorro de Giaprey;Heaume Giaprey;Cappello di Giaprey;Giaprey-Kappe;;
Battle Helm;Casco de Combate;Casque de combat;Elmo da Battaglia;Kampfhelm;;
Battle Cap;Gorro de Combate;Heaume de combat;Cappello Battaglia;Kampfkappe;;
Velociprey Helm;Casco de Velociprey;Casque Velociprey;Elmo Velociprey;Velociprey-Helm;;
Velociprey Cap;Gorro de Velociprey;Heaume Velociprey;Cappello Velociprey;Velociprey-Kappe;;
Vespoid Helm;Casco de Vespoid;Casque Vespoid;Elmo Vespoid;Vespoid-Helm;;
Vespoid Cap;Gorro de Vespoid;Heaume Vespoid;Cappello Vespoid;Vespoid-Kappe;;
Hi-Metal Helm;Casco de Megametal;Casque haut-métal;Elmo Hi-Metal;Hochmetall-Helm;;
Hi-Metal Cap;Gorro de Megametal;Heaume haut-métal;Cappello Hi-Metal;Hochmetall-Kappe;;
Hornet Helm;Casco de Hornet.;Casque Hornet;Elmo Hornet;Hornissen-Helm;;
Hornet Cap;Gorro de Hornet.;Heaume Hornet;Cappello Hornet;Hornissen-Kappe;;
Genprey Helm;Casco de Genprey;Casque Genprey;Elmo Genprey;Genprey-Helm;;
Genprey Cap;Gorro de Genprey;Heaume Genprey;Cappello Genprey;Genprey-Kappe;;
Ioprey Helm;Casco de Ioprey;Casque Ioprey;Elmo Ioprey;Ioprey-Helm;;
Ioprey Cap;Gorro de Ioprey;Heaume Ioprey;Cappello Ioprey;Ioprey-Kappe;;
Kut-Ku Helm;Casco de Kut-Ku;Casque Kut-Ku;Elmo di Kut-Ku;Kut-Ku-Helm;;
Kut-Ku Cap;Gorro de Kut-Ku;Heaume Kut-Ku;Cappello di Kut-Ku;Kut-Ku-Kappe;;
Cephalos Helm;Casco de Cephalos;Casque Cephalos;Elmo Cephalos;Cephalos-Helm;;
Cephalos Cap;Gorro de Cephalos;Heaume Cephalos;Cappello Cephalos;Cephalos-Kappe;;
Conga Helm;Casco de Conga;Casque Conga;Elmo di Conga;Conga-Helm;;
Conga Cap;Gorro de Conga;Heaume Conga;Cappello di Conga;Conga-Kappe;;
Gypceros Helm;Casco de Gypceros;Casque Gypceros;Elmo Gypceros;Gypceros-Helm;;
Gypceros Cap;Gorro de Gypceros;Heaume Gypceros;Cappello Gypceros;Gypceros-Kappe;;
Khezu Helm;Casco de Khezu;Casque Khezu;Elmo Khezu;Khezu-Helm;;
Khezu Cap;Gorro de Khezu;Heaume Khezu;Cappello Khezu;Khezu-Kappe;;
Hermitaur Helm;Casco de Hermitaur;Casque Hermitaur;Elmo Hermitaur;Hermitaur-Helm;;
Hermitaur Cap;Gorro de Hermitaur;Heaume Hermitaur;Cappello Hermitaur;Hermitaur-Kappe;;
Plesioth Helm;Casco de Plesioth;Casque Plesioth;Elmo Plesioth;Plesioth-Helm;;
Plesioth Cap;Gorro de Plesioth;Heaume Plesioth;Cappello Plesioth;Plesioth-Kappe;;
Lobster Helm;Casco de Langosta;Casque homard;Elmo Aragosta;Hummer-Helm;;
Lobster Cap;Gorro de Langosta;Heaume homard;Cappello Aragosta;Hummer-Kappe;;
Kut-Ku Helm D;Casco de Kut-Ku D;Casque Kut-Ku D;Elmo di Kut-Ku D;Kut-Ku-Helm D;;
Kut-Ku Cap D;Gorro de Kut-Ku D;Heaume Kut-Ku D;Cappello di Kut-Ku D;Kut-Ku-Kappe D;;
Gypceros Helm D;Casco de Gypceros D;Casque Gypceros D;Elmo Gypceros D;Gypceros-Helm D;;
Gypceros Cap D;Gorro de Gypceros D;Heaume Gypceros D;Cappello Gypceros D;Gypceros-Kappe D;;
Khezu Helm D;Casco de Khezu D;Casque Khezu D;Elmo Khezu D;Khezu-Helm D;;
Khezu Cap D;Gorro de Khezu D;Heaume Khezu D;Cappello Khezu D;Khezu-Kappe D;;
Plesioth Helm D;Casco de Plesioth D;Casque Plesioth D;Elmo Plesioth D;Plesioth-Helm D;;
Plesioth Cap D;Gorro de Plesioth D;Heaume Plesioth D;Cappello Plesioth D;Plesioth-Kappe D;;
Basarios Helm;Casco de Basarios;Casque Basarios;Elmo Basarios;Basarios-Helm;;
Basarios Cap;Gorro de Basarios;Heaume Basarios;Cappello Basarios;Basarios-Kappe;;
Monoblos Helm;Casco de Monoblos;Ca sque Monoblos;Elmo Monoblos;Monoblos-Helm;;
Monoblos Cap;Gorro de Monoblos;Heaume Monoblos;Cappello Monoblos;Monoblos-Kappe;;
Yian Garuga Helm;Casco de Yian Garuga;Casque Yian Garuga;Elmo Yian Garuga;Yian Garuga-Helm;;
Yian Garuga Cap;Gorro de Yian Garuga;Heaume Yian Garuga;Cappello Yian Garuga;Yian Garuga-Kappe;;
Blango Helm;Casco de Blango;Casque Blango;Elmo di Blango;Blango-Helm;;
Blango Cap;Gorro de Blango;Heaume Blango;Cappello di Blango;Blango-Kappe;;
Ceanataur Helm;Casco de Ceanataur;Casque Ceanataur;Elmo di Ceanataur;Ceanataur-Helm;;
Ceanataur Cap;Gorro de Ceanataur;Heaume Ceanataur;Cappello Ceanataur;Ceanataur-Kappe;;
Rathian Helm;Casco de Rathian;Casque Rathian;Elmo Rathian;Rathian-Helm;;
Rathian Cap;Gorro de Rathian;Heaume Rathian;Cappello Rathian;Rathian-Kappe;;
Tigrex Helm;Casco de Tigrex;Casque Tigrex;Elmo di Tigrex;Tigrex-Helm;;
Tigrex Cap;Gorro de Tigrex;Heaume Tigrex;Cappello di Tigrex;Tigrex-Kappe;;
Rathalos Helm;Casco de Rathalos;Casque Rathalos;Elmo Rathalos;Rathalos-Helm;;
Rathalos Cap;Gorro de Rathalos;Heaume Rathalos;Cappello Rathalos;Rathalos-Kappe;;
Diablo Helm;Casco de Diablos;Casque Diablos;Elmo di Diablos;Diablos-Helm;;
Diablo Cap;Gorro de Diablos;Heaume Diablos;Cappello Diablos;Diablos-Kappe;;
Gravios Helm;Casco de Gravios;Casque Gravios;Elmo Gravios;Gravios-Helm;;
Gravios Cap;Gorro de Gravios;Heaume Gravios;Cappello Gravios;Gravios-Kappe;;
Diablo Helm D;Casco de Diablos D;Casque Diablos D;Elmo di Diablos D;Diablos-Helm D;;
Diablo Cap D;Gorro de Diablos D;Heaume Diablos D;Cappello Diablos D;Diablos-Kappe D;;
Gravios Helm D;Casco de Gravios D;Casque Gravios D;Elmo Gravios D;Gravios-Helm D;;
Gravios Cap D;Gorro de Gravios D;Heaume Gravios D;Cappello Gravios D;Gravios-Kappe D;;
Chaoshroom;Caospiñón;Chaospignon;Fungo-caos;Chaospilz;;
Mosswine Mask;Máscara de Mosswine;Masque Mosswine;Maschera Mosswine;Mosswine-Maske;;
Felyne Mask;Máscara de Felyne;Masque Felyne;Maschera Felyne;Felyne-Maske;;
Bullfango Mask;Máscara de Bullfango;Masque Bullfango;Maschera Bullfango;Bullfango-Maske;;
Giaprey Mask;Máscara de Giaprey;Masque Giaprey;Maschera di Giaprey;Giaprey-Maske;;
Velociprey Mask;Máscara Velociprey;Masque Velociprey;Maschera Velociprey;Velociprey-Maske;;
Red Piercing;Piercing Rojo;Piercing rouge;Orecchino Rosso;Rotes Piercing;;
Blue Piercing;Piercing Azul;Piercing bleu;Orecchino Blu;Blaues Piercing;;
Yellow Piercing;Piercing Amarillo;Piercing jaune;Orecchino Giallo;Gelbes Piercing;;
Black Piercing;Piercing Negro;Piercing noir;Orecchino Nero;Schwarzes Piercing;;
White Piercing;Piercing Blanco;Piercing blanc;Orecchino Bianco;Weißes Piercing;;
Comrade Piercing;Piercing Camarada;Piercing compagnon;Orecchino Compagno;Kameraden-Piercing;;
Garuga Mask;Máscara de Garuga;Masque Garuga;Maschera Garuga;Garuga-Maske;;
Bistro Cap;Gorro de Chef;Heaume Bistro;Cappello Bistro;Bistro-Kappe;;
Genprey Mask;Máscara de Genprey;Masque Genprey;Maschera Genprey;Genprey-Maske;;
Black Belt Helm;Casco Cinturón Negro;Casq. ceinture noire;Elmo Cintura Nera;Schwarzgurt-Helm;;
Shinobi Mask (Sun);Másc. Shinobi (Sol);Masq. Shinobi Soleil;Masch.Shinobi (Sole);Shinobi-Maske Sonne;;
Shinobi Mask (Moon);Másc. Shinobi (Luna);Masque Shinobi Lune;Masch.Shinobi (Luna);Shinobi-Maske Mond;;
Guild Knight Feather;Pluma caball. Gremio;Plume de la guilde;Piuma cav. Gilda;Gildenritter-Feder;;
Guild Knight Mask;Máscara cab. Gremio;Masque de la guilde;Maschera cav. Gilda;Gildenritter-Maske;;
Guardian Helm;Casco de Guardián;Casque du gardien;Elmo Guardiano;Wächter-Helm;;
Guardian Mask;Máscara de Guardián;Masque du gardien;Maschera Guardiano;Wächter-Maske;;
Maiden's Hat;Sombrero de Doncella;Coiffe de demoiselle;Cappello da Donna;Magd-Hut;;
Designer Glasses;Gafas de Diseño;Lunettes branchées;Occhiali Firmati;Designerbrille;;
Helper Hood;Capucha de Ayudante;Capuchon aide;Cappuccio Aiutante;Helfer-Haube;;
Healer Glasses;Gafas de Sanador;Lunettes guérisseur;Occhiali Guaritrici;Heiler-Brille;;
Ioprey Mask;Máscara de Ioprey;Masque Ioprey;Maschera Ioprey;Ioprey-Maske;;
Remobra Face;Cara de Remobra;Visage Remobra;Faccia di Remobra;Remobra-Gesicht;;
Melahoa Flower Hat;Somb. Flores Melahoa;Coif. Fleur Melahoa;Capp. Fiore Melahoa;Melahoa-Blumenhut;;
Melahoa Bloom;Flor Melahoa;Fleur Melahoa;Fiore Melahoa;Melahoa-Blüte;;
Makluva Hood;Capucha de Makluva;Capuchon Makluva;Cappuccio Makluva;Makluva-Kapuze;;
Makluva Gills;Agallas de Makluva;Branchies Makluva;Branchie Makluva;Makluva-Kiemen;;
Hypno Helm;Casco Hypno;Casque Hypno;Elmo Hypno;Hypno-Helm;;
Hypno Cap;Gorro Hypno;Heaume Hypno;Cappello Hypno;Hypno-Kappe;;
Obituary Testa;Testa de Obituario;Testa nécrologie;Testa Necrologio;Todes-Testa;;
Obituary Caput;Cabeza de Obituario;Caput nécrologie;Caput Necrologio;Todes-Caput;;
Butterfly Testa;Testa de Mariposa;Testa papillon;Testa Farfalla;Schmetterling-Testa;;
Butterfly Caput;Cabeza de Mariposa;Caput papillon;Caput Farfalla;Schmetterling-Caput;;
Black Head;Cabeza Negra;Tête noire;Testa nera;Schwarzer Kopf;;
Black Face;Cara negra;Visage noir;Faccia nera;Schwarzes Gesicht;;
Death Stench Brain;Cerebro Hedor Muerte;Cerv. odeur de mort;Cervello Puzza morte;Todesgestank-Hirn;;
